# Stahle - Moody Tract - QULY - ITRDB GA009
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4901
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4901.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ga009-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ga009-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ga009.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ga009.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Moody Tract - QULY - ITRDB GA009
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Sierzchula, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Moody Tract
#   Location: Georgia
#   Northernmost_Latitude: 31.93
#   Southernmost_Latitude: 31.93
#   Easternmost_Longitude: -82.32
#   Westernmost_Longitude: -82.32
#   Elevation_m: 24
#--------------------
# Data_Collection
#   Collection_Name: GA009
#   First_Year: 1803
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus lyrata Walter
#   Common_Name: overcup oak
#   Tree_Species_Code: QULY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MOO27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO28B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO28B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO28C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO28C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO29B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO29B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO30B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO30B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MOO27A_raw	MOO28A_raw	MOO28B_raw	MOO28C_raw	MOO29A_raw	MOO29B_raw	MOO30A_raw	MOO30B_raw	MOO31A_raw	MOO32A_raw
1872	3.2	0.36	1.36	0.5	0.46	0.83	1.78	1.2	NA	1.34
1873	5.04	1.25	1.7	0.95	0.65	0.77	2.85	1.43	NA	3.59
1874	4.29	1.26	1.87	0.98	0.34	0.78	3.22	2.02	NA	2.96
1875	3.64	0.73	0.79	0.5	0.18	0.37	2.22	1.89	2.33	2.53
1876	1.81	0.92	1.12	0.54	0.42	0.34	1.26	1.48	1.76	1.45
1877	2.97	1.26	1	0.72	0.5	0.49	2.08	2.03	1.81	1.01
1878	2.56	0.73	0.73	0.56	0.38	0.31	1.5	1.52	1.91	1.08
1879	2.3	0.75	0.74	0.62	0.39	0.44	1.45	1.55	2.32	1.13
1880	2.12	0.74	0.53	0.48	1.15	1.11	1.42	1.39	2.07	1.32
1881	2.74	0.87	0.74	0.68	0.42	1.19	1.33	1.59	2.39	1.8
1882	2.85	1	1.26	0.79	1.1	1.44	3.39	3.91	4.3	2.81
1883	3.18	0.85	0.97	1.04	0.89	1.23	2.35	3.03	3.66	1.86
1884	3.56	0.77	0.92	0.9	1.14	1.46	3.02	2.89	4.05	2.77
1885	1.59	0.62	0.93	0.96	0.41	0.74	1.97	1.85	3.8	1.27
1886	2.98	0.84	1.16	1.34	0.76	1	4.05	3.36	4.22	2.72
1887	2.04	0.66	0.71	0.99	0.32	0.78	2.56	2.18	2.54	1.3
1888	1.84	0.71	1.04	1.15	0.32	0.84	2.32	2.41	3.67	1.88
1889	2.14	0.81	1.33	1.27	0.53	1.08	2.3	2.36	3.77	1.61
1890	1.29	0.62	0.67	0.76	0.21	0.72	1.19	1.04	1.85	1.16
1891	2.15	0.69	0.68	0.96	0.13	0.66	1.42	1.53	2.06	0.83
1892	2.58	1.02	1.47	1.38	0.21	0.61	1.54	1.98	1.05	1.37
1893	2.4	0.93	1.13	1.2	0.44	0.92	1.98	2.07	1.56	0.99
1894	1.94	0.8	0.76	0.77	0.38	0.79	1.82	1.87	1.33	0.97
1895	2.69	0.75	1.17	0.98	0.5	1.16	1.73	1.56	2.21	1.56
1896	1.2	0.49	0.57	0.38	0.18	0.57	1.21	0.85	1.06	1
1897	2.3	0.89	1.13	1.25	0.78	1.44	1.52	1.04	1.76	1.98
1898	1.46	0.51	0.89	1.15	0.4	0.87	1.15	0.39	1.35	2.9
1899	1.1	0.57	1.09	0.78	0.51	0.89	1.01	0.46	1.6	1.64
1900	1.29	0.92	1.21	1.24	0.75	1.18	1.03	0.68	1.41	2.05
1901	2.81	0.97	1.8	1.09	0.8	1.38	0.99	0.67	1.62	2.04
1902	1.83	0.83	1.1	1.54	0.87	1.16	1.07	0.65	1.52	2.56
1903	2.52	0.85	0.69	0.87	1.53	1.94	1.85	1.19	1.64	4.18
1904	1.41	0.59	0.68	0.99	0.75	1	1.01	0.65	1.02	1.95
1905	1.76	0.52	0.64	0.85	0.65	1.16	1	0.68	1.25	2.75
1906	2.38	0.69	1.51	1	0.59	0.92	1.34	0.91	2	3.63
1907	2.3	0.78	1.31	1.18	0.65	0.98	1.31	0.97	1.59	3.01
1908	2.96	0.78	1.71	1.01	0.86	0.92	1.04	1.09	1.71	3.79
1909	2.51	0.77	1.06	1	1.68	1.09	0.88	0.95	1.84	4.23
1910	2.28	1.12	1.47	0.87	1.17	0.89	0.76	1.11	1.31	4.08
1911	1.55	0.43	0.75	0.79	0.54	0.53	0.54	0.85	0.62	3.02
1912	2.34	0.61	1.12	1.02	1.29	1.25	0.79	1.69	1.82	4.74
1913	1.74	0.91	1.29	0.82	1.03	1.03	0.51	1.07	1.21	3.01
1914	0.98	1.03	1.33	1.13	0.35	0.58	0.37	0.6	0.84	3.03
1915	1.08	1.2	1.93	1.8	0.4	0.75	0.53	0.75	1.32	2.78
1916	0.78	0.84	1.33	1.3	0.29	0.62	0.64	0.68	1.07	2.48
1917	1.49	1.69	2.07	2.02	1.04	1.01	0.92	1.23	1.29	3.62
1918	1.36	0.8	2.45	1.5	0.8	0.77	1.21	1.06	1.26	3.66
1919	2.12	1.22	4.21	1.71	1.26	1.09	1.45	1.33	1.98	4.87
1920	2.89	1.44	4.21	2.55	1.07	1.18	1.55	1.68	2.13	4.06
1921	2.29	0.8	1.95	1.97	0.72	1.1	1.38	1.29	1.18	3.29
1922	2.71	1.22	2.82	2.42	0.96	1.06	1.51	1.47	1.72	4.09
1923	2.96	0.83	2.15	1.77	1.16	1.22	1.4	1.48	2.35	3.93
1924	2.72	1.12	2.04	2.62	1.18	1.33	1.56	1.54	1.92	3.7
1925	1.87	0.68	1.13	1.68	0.85	1.09	0.82	0.98	1.48	2.49
1926	1.37	0.87	1.73	1.39	0.78	1.01	1.11	0.92	1.29	2.94
1927	1.1	0.64	1.41	1.1	0.6	0.67	1.27	0.85	0.93	2.32
1928	2.79	1.28	1.8	2.19	1.49	2.07	2.12	2.16	2.56	4.59
1929	3.19	1.59	2.77	3.24	1.06	1.58	2.3	3.04	2.83	5.47
1930	1.1	0.62	1.37	1.06	0.8	0.95	1.22	1.61	1.48	2.55
1931	1.26	1.32	1.14	1.6	0.76	0.7	1.56	1.42	1.35	2.94
1932	0.84	1.1	1.31	1.64	0.49	0.87	1.46	0.66	1.08	3.12
1933	1.28	1.28	2.25	2.09	1.05	0.89	1.71	1.1	1.2	2.65
1934	1.58	0.94	1.96	2.91	1.28	1.24	2.59	0.98	1.53	2.45
1935	1.59	0.7	1.68	2.32	0.86	0.9	1.37	0.57	1.26	2.13
1936	1.92	0.76	1.27	1.48	1.2	1.02	1.79	0.97	1.66	2.15
1937	1.62	1	1.76	2.2	1.31	1.74	1.92	1.21	1.73	3.2
1938	1.32	1.16	2.52	2.12	1.03	1.51	2.05	0.88	1.54	3.53
1939	1.56	1.58	2.44	3.33	1.5	1.35	2.08	1.12	1.98	4.28
1940	1.25	1.36	1.48	1.49	1.38	1.46	2.04	0.82	1.68	3.82
1941	0.91	1.18	1.15	1.53	1.04	1.17	2.37	0.77	1.08	2.46
1942	1.32	1.55	1.98	1.33	1.14	0.69	1.53	1.02	1.46	3.03
1943	1.39	2.31	2.26	1.76	1.51	1.41	2.58	1.23	1.27	3.17
1944	1.24	2.46	1.86	1.7	1.55	1.55	2.56	1.21	1.44	3.35
1945	1.33	1.99	1.91	1.77	1.54	1.98	2.7	1.71	1.45	5.48
1946	1.47	1.35	1.82	1.27	1.31	1.71	2.33	1.33	1.7	4.52
1947	1.91	1.49	1.4	1.25	1.41	1.58	2.19	1.54	1.36	2.62
1948	1.74	1.06	2.02	0.92	1.07	0.98	2.04	1.52	1.41	3.14
1949	3.25	0.33	1.87	1.4	1.85	1.87	2.11	1.98	1.41	3.97
1950	2.26	0.52	1.91	0.65	1.08	1.63	1.91	1.66	1.54	2.96
1951	1.67	0.75	1.84	0.84	0.71	1	1.9	1.13	1.22	2.47
1952	2.05	0.54	1.37	0.64	1.11	1.02	1.97	1.02	1.09	4.27
1953	1.98	0.86	1.6	0.83	2.27	1.65	2.34	1.47	1.49	4.3
1954	1.55	0.53	1.17	0.73	1.18	1.15	1.81	0.92	1.71	2.55
1955	0.92	0.57	0.91	0.58	0.67	0.82	0.97	0.59	1.39	2.75
1956	1.28	1.14	1.96	0.8	1.82	1.38	1.9	1.32	2.67	3.86
1957	1.62	0.91	1.82	2.14	2.1	1.99	3.13	1.42	3.17	4.45
1958	1.55	0.68	1.41	1.21	1.8	2.05	2.69	1.42	3.69	3.61
1959	1.24	0.91	1.22	1.07	1.55	2	2.16	1.11	2.26	2.63
1960	1.24	1.08	1.52	1.01	2.21	2.29	2.34	1.12	2.87	1.54
1961	0.91	1.58	1.51	1.51	2.47	2.63	3.02	1.6	4.13	2.25
1962	0.93	0.85	1.08	0.98	1.89	2.48	2.89	1.79	3.22	1.92
1963	1.54	1.15	1.39	1.14	2.18	3	2.82	2.25	3.84	3.43
1964	1.66	0.84	1.16	0.94	2.9	4.26	2.51	1.6	4.8	2.66
1965	1.52	0.81	1.34	0.88	2.64	3.1	3.24	2.29	4.18	2.88
1966	1.44	1.15	1.61	1.15	2.52	3.6	2.92	2.38	3.61	3.44
1967	0.88	0.79	1.13	1.02	2.25	4.29	3.36	2.2	2.53	3.22
1968	1.17	1.03	1.4	0.97	2.07	3.02	3.23	2.8	2.77	3.33
1969	1.07	1.21	1.23	0.99	2.35	3.68	3.69	3.07	2.65	4.69
1970	1.38	1.05	0.88	1.07	2.54	5.16	4.09	2.35	2.85	3.13
1971	1.63	1.6	1.85	1.12	2.74	3.78	4.67	2.75	3.54	4.65
1972	0.99	0.82	0.93	0.86	2.25	2.35	3.41	1.58	2.57	2.65
1973	1.89	1.32	1.6	1.06	2.59	2.89	4.34	2.68	4.07	5.28
1974	1.57	0.94	1.09	0.7	2.24	2.55	4.01	1.8	2.66	3.46
1975	1.6	1.08	0.96	0.8	2.59	3.11	4.45	2.58	2.36	5.18
1976	1.89	0.98	1.01	0.8	2.19	2.4	4.03	2.1	2.21	4.08
1977	1.56	0.79	0.71	0.55	2.28	2.4	3.12	1.49	2.52	2.25
1978	1.56	1.15	1.07	0.72	2	2.4	2.52	1.77	2.23	3.2
1979	2.23	0.93	1.05	0.61	2.22	3.02	2.83	1.61	2.82	3.5
1980	1.7	0.71	0.64	0.44	2.22	2.35	2.5	1.34	3.16	2.77
1981	1.48	0.72	0.68	0.36	1.41	1.8	1.6	0.69	1.82	2.29
1982	1.28	0.78	0.79	0.59	1.9	1.7	2.45	1.35	1.91	4.3
1983	1.55	0.46	0.6	0.4	2.3	2.13	3.14	1.24	2.55	1.83
1984	1.76	0.56	0.77	0.45	2.9	2.93	3.17	1.58	2.9	2.36
1985	0.99	0.63	0.54	0.51	1.49	1.51	1.99	1.07	1.7	1.54
1986	1.02	0.52	0.47	0.3	1.32	1.33	1.74	2.32	1.25	1.95
1987	0.87	0.75	0.68	0.23	1.11	1.43	1.67	1.37	1.49	1.97
1988	1.23	0.63	0.78	0.61	1.13	1.64	2.03	1.42	2.11	2.94
1989	0.75	0.46	0.65	0.35	1.12	0.98	2.36	1.48	1.58	4.33
1990	0.96	0.73	0.74	0.38	1.22	1.01	2.88	2	1.81	2.88
1991	1.21	0.72	0.88	0.55	0.86	0.99	3.91	1.99	1.91	4.19
1992	1.11	0.67	0.77	0.54	1.16	1.32	2.05	1.23	1.82	1.96
