# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP473N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP511N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP513N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP571N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP601N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473N_raw	DP511N_raw	DP513N_raw	DP571N_raw	DP601N_raw
1770	NA	0.35	0.33	NA	NA
1771	NA	0.3	0.27	NA	NA
1772	NA	0.32	0.28	NA	NA
1773	NA	0.32	0.33	NA	NA
1774	NA	0.32	0.25	NA	NA
1775	NA	0.33	0.32	NA	NA
1776	NA	0.32	0.31	NA	NA
1777	NA	0.33	0.32	NA	NA
1778	NA	0.3	0.31	NA	NA
1779	NA	0.34	0.3	NA	NA
1780	NA	0.33	0.34	NA	NA
1781	NA	0.34	0.34	NA	NA
1782	NA	0.35	0.33	NA	NA
1783	NA	0.3	0.29	NA	NA
1784	NA	0.32	0.28	NA	NA
1785	NA	0.31	0.3	NA	NA
1786	NA	0.32	0.28	NA	NA
1787	NA	0.33	0.3	NA	NA
1788	NA	0.31	0.31	NA	NA
1789	NA	0.35	0.31	NA	NA
1790	NA	0.31	0.3	NA	NA
1791	NA	0.3	0.26	NA	NA
1792	NA	0.33	0.32	NA	NA
1793	NA	0.3	0.29	NA	NA
1794	NA	0.32	0.3	NA	NA
1795	NA	0.32	0.31	NA	NA
1796	NA	0.32	0.32	NA	NA
1797	NA	0.35	0.32	NA	NA
1798	NA	0.32	0.33	NA	NA
1799	NA	0.3	0.31	NA	NA
1800	NA	0.33	0.3	NA	NA
1801	NA	0.34	0.34	NA	NA
1802	NA	0.29	0.28	NA	NA
1803	NA	0.31	0.3	NA	NA
1804	NA	0.33	0.31	NA	NA
1805	NA	0.34	0.36	NA	NA
1806	NA	0.34	0.36	NA	NA
1807	NA	0.34	0.32	NA	NA
1808	NA	0.36	0.34	NA	NA
1809	NA	0.37	0.3	NA	NA
1810	NA	0.32	0.31	NA	NA
1811	NA	0.3	0.29	NA	NA
1812	NA	0.32	0.3	NA	NA
1813	NA	0.32	0.29	NA	NA
1814	NA	0.33	0.31	NA	NA
1815	NA	0.33	0.33	NA	NA
1816	NA	0.34	0.3	NA	NA
1817	NA	0.33	0.3	NA	NA
1818	NA	0.33	0.35	NA	NA
1819	NA	0.33	0.3	NA	NA
1820	NA	0.34	0.35	NA	0.36
1821	NA	0.32	0.29	NA	0.3
1822	NA	0.33	0.32	NA	0.34
1823	NA	0.31	0.3	NA	0.32
1824	NA	0.35	0.33	NA	0.32
1825	NA	0.32	0.31	NA	0.31
1826	NA	0.34	0.29	NA	0.29
1827	NA	0.35	0.32	NA	0.3
1828	NA	0.32	0.31	NA	0.3
1829	NA	0.32	0.3	NA	0.31
1830	NA	0.34	0.3	NA	0.3
1831	NA	0.32	0.3	NA	0.29
1832	NA	0.32	0.3	NA	0.29
1833	NA	0.34	0.31	NA	0.32
1834	NA	0.32	0.34	NA	0.29
1835	NA	0.33	0.3	NA	0.28
1836	NA	0.34	0.31	NA	0.34
1837	NA	0.32	0.32	NA	0.33
1838	NA	0.32	0.32	NA	0.31
1839	NA	0.35	0.31	NA	0.31
1840	NA	0.33	0.29	NA	0.34
1841	NA	0.34	0.3	NA	0.31
1842	NA	0.35	0.33	NA	0.33
1843	NA	0.35	0.32	NA	0.33
1844	NA	0.35	0.31	NA	0.34
1845	NA	0.35	0.3	NA	0.33
1846	NA	0.3	0.3	NA	0.31
1847	NA	0.34	0.31	NA	0.4
1848	NA	0.32	0.29	NA	0.3
1849	NA	0.34	0.31	NA	0.33
1850	NA	0.33	0.28	NA	0.35
1851	NA	0.37	0.31	NA	0.41
1852	NA	0.31	0.27	NA	0.35
1853	NA	0.32	0.28	NA	0.34
1854	NA	0.31	0.27	NA	0.35
1855	NA	0.34	0.29	NA	0.33
1856	NA	0.32	0.29	NA	0.34
1857	NA	0.33	0.3	NA	0.37
1858	NA	0.32	0.32	NA	0.35
1859	NA	0.3	0.3	NA	0.33
1860	NA	0.32	0.31	NA	0.36
1861	NA	0.33	0.39	NA	0.43
1862	NA	0.32	0.29	NA	0.34
1863	NA	0.33	0.31	NA	0.32
1864	NA	0.32	0.32	NA	0.33
1865	NA	0.34	0.33	NA	0.38
1866	NA	0.32	0.3	NA	0.36
1867	NA	0.32	0.29	NA	0.34
1868	NA	0.31	0.29	NA	0.34
1869	NA	0.33	0.31	NA	0.32
1870	NA	0.35	0.29	NA	0.38
1871	NA	0.37	0.31	NA	0.38
1872	NA	0.34	0.33	NA	0.34
1873	NA	0.33	0.33	NA	0.34
1874	NA	0.34	0.28	NA	0.3
1875	NA	0.34	0.3	NA	0.33
1876	NA	0.36	0.34	NA	0.38
1877	NA	0.3	0.32	NA	0.29
1878	NA	0.33	0.31	NA	0.33
1879	NA	0.33	0.33	NA	0.34
1880	0.29	0.3	0.33	0.38	0.35
1881	0.32	0.36	0.34	0.36	0.37
1882	0.31	0.33	0.29	0.3	0.36
1883	0.3	0.33	0.32	0.32	0.32
1884	0.27	0.32	0.3	0.29	0.3
1885	0.26	0.3	0.27	0.3	0.31
1886	0.28	0.34	0.26	0.28	0.3
1887	0.3	0.34	0.29	0.29	0.32
1888	0.27	0.34	0.31	0.3	0.33
1889	0.29	0.32	0.28	0.29	0.31
1890	0.28	0.33	0.28	0.31	0.32
1891	0.29	0.33	0.29	0.3	0.33
1892	0.29	0.34	0.29	0.32	0.31
1893	0.3	0.33	0.28	0.32	0.33
1894	0.3	0.33	0.31	0.37	0.35
1895	0.27	0.33	0.28	0.33	0.32
1896	0.32	0.37	0.32	0.38	0.35
1897	0.31	0.31	0.3	0.3	0.3
1898	0.31	0.33	0.28	0.34	0.31
1899	0.36	0.34	0.32	0.37	0.34
1900	0.33	0.35	0.32	0.34	0.36
1901	0.34	0.32	0.29	0.34	0.32
1902	0.42	0.34	0.32	0.38	0.39
1903	0.29	0.32	0.28	0.33	0.31
1904	0.39	0.31	0.36	0.4	0.38
1905	0.3	0.31	0.3	0.31	0.31
1906	0.28	0.3	0.28	0.34	0.29
1907	0.28	0.32	0.28	0.33	0.3
1908	0.33	0.33	0.28	0.32	0.32
1909	0.31	0.32	0.29	0.31	0.34
1910	0.31	0.32	0.28	0.32	0.32
1911	0.3	0.3	0.28	0.32	0.31
1912	0.33	0.32	0.32	0.32	0.35
1913	0.33	0.32	0.33	0.31	0.36
1914	0.26	0.31	0.3	0.3	0.33
1915	0.32	0.31	0.31	0.3	0.35
1916	0.28	0.32	0.29	0.31	0.34
1917	0.3	0.32	0.29	0.29	0.34
1918	0.29	0.31	0.31	0.32	0.35
1919	0.26	0.32	0.3	0.31	0.33
1920	0.28	0.32	0.27	0.3	0.33
1921	0.26	0.29	0.28	0.31	0.33
1922	0.34	0.31	0.29	0.32	0.36
1923	0.32	0.35	0.32	0.32	0.35
1924	0.32	0.34	0.32	0.31	0.34
1925	0.33	0.33	0.33	0.33	0.37
1926	0.32	0.32	0.3	0.31	0.34
1927	0.32	0.31	0.27	0.36	0.33
1928	0.3	0.34	0.3	0.34	0.35
1929	0.32	0.32	0.28	0.31	0.34
1930	0.34	0.33	0.28	0.32	0.32
1931	0.3	0.32	0.27	0.33	0.33
1932	0.31	0.33	0.28	0.32	0.34
1933	0.35	0.31	0.28	0.34	0.36
1934	0.33	0.32	0.28	0.36	0.33
1935	0.3	0.31	0.28	0.34	0.37
1936	0.3	0.33	0.29	0.32	0.33
1937	0.31	0.32	0.28	0.3	0.32
1938	0.31	0.32	0.28	0.29	0.33
1939	0.34	0.35	0.31	0.34	0.37
1940	0.33	0.32	0.28	0.34	0.32
1941	0.28	0.32	0.28	0.31	0.3
1942	0.34	0.35	0.32	0.33	0.32
1943	0.31	0.33	0.3	0.33	0.32
1944	0.32	0.34	0.32	0.32	0.3
1945	0.31	0.33	0.32	0.32	0.3
1946	0.34	0.36	0.33	0.38	0.38
1947	0.31	0.33	0.32	0.32	0.34
1948	0.31	0.31	0.3	0.32	0.3
1949	0.27	0.32	0.29	0.3	0.28
1950	0.32	0.37	0.32	0.35	0.32
1951	0.35	0.35	0.31	0.32	0.31
1952	0.29	0.35	0.3	0.3	0.29
1953	0.31	0.33	0.3	0.32	0.34
1954	0.31	0.53	0.32	0.34	0.35
1955	0.33	0.34	0.35	0.36	0.36
1956	0.3	0.32	0.31	0.32	0.35
1957	0.25	0.32	0.3	0.3	0.35
1958	0.3	0.34	0.31	0.31	0.35
1959	0.28	0.32	0.29	0.31	0.35
1960	0.26	0.32	0.3	0.26	0.32
1961	0.26	0.33	0.32	0.32	0.33
1962	0.29	0.35	0.3	0.32	0.34
1963	0.29	0.33	0.34	0.34	0.32
1964	0.31	0.31	0.32	0.36	0.37
1965	0.28	0.32	0.3	0.31	0.33
1966	0.3	0.33	0.29	0.29	0.34
1967	0.3	0.35	0.3	0.36	0.33
1968	0.29	0.35	0.34	0.33	0.35
1969	0.3	0.32	0.31	0.34	0.32
1970	0.3	0.32	0.32	0.33	0.29
1971	0.28	0.33	0.32	0.34	0.35
1972	0.31	0.34	0.33	0.37	0.37
1973	0.26	0.34	0.32	0.32	0.28
1974	0.29	0.35	0.3	0.35	0.32
1975	0.29	0.3	0.34	0.33	0.28
1976	0.31	0.36	0.35	0.36	0.32
1977	0.3	0.4	0.34	0.38	0.36
1978	0.27	0.32	0.31	0.32	0.3
