# Speer - Surveyor Flow - PIPO - ITRDB OR050
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4784
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4784.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or050-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; or050-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or050.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or050.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-11
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-11
#--------------------
# Title
#   Study_Name: Speer - Surveyor Flow - PIPO - ITRDB OR050
#--------------------
# Investigators
#   Investigators: Speer, J.H.; Swetnam, T.W.(https://orcid.org/0000-0001-7268-2184)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Surveyor Flow
#   Location: Oregon
#   Northernmost_Latitude: 43.62
#   Southernmost_Latitude: 43.62
#   Easternmost_Longitude: -121.3
#   Westernmost_Longitude: -121.3
#   Elevation_m: 1550
#--------------------
# Data_Collection
#   Collection_Name: OR050
#   First_Year: 1747
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SVF01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVF05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SVF05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SVF01A_raw	SVF01B_raw	SVF02A_raw	SVF02B_raw	SVF03A_raw	SVF03B_raw	SVF04A_raw	SVF04B_raw	SVF05A_raw	SVF05B_raw
1820	2.8	2.01	NA	1.29	3.47	2.4	1.88	1.94	4.04	4.23
1821	2.14	1.82	NA	0.89	2.08	2.12	1.38	1.31	3.46	3.07
1822	2.28	2.03	NA	1.32	2.37	2.45	1.45	1.86	5.48	5.95
1823	2.45	1.28	NA	0	1.57	0.88	0.76	0.85	4.08	4.46
1824	2.71	1.87	NA	0.14	1.63	1.08	0.8	0.91	4.62	4.43
1825	1.54	2.17	NA	0.49	2.17	1.7	1.07	1.08	4.37	4.19
1826	1.28	2.36	NA	0.81	2.63	2.19	1.02	1.64	4.6	4.58
1827	1.76	1.72	NA	0.84	3.01	2.07	0.87	1.26	3.66	3.68
1828	2.65	1.94	NA	1.23	2.82	2.13	1.06	1.36	3.5	3.34
1829	1.95	2.14	NA	1.21	1.96	1.26	0.91	1.14	3.69	4.92
1830	1.52	1.27	NA	0.94	2.02	1.6	0.99	1.13	2.97	4.29
1831	1.98	1.36	NA	1.02	2.57	2.32	1.26	1.4	2.98	3.52
1832	1.74	1.89	NA	1.41	3.44	3.5	1.08	1.73	3.94	4.76
1833	1.99	1.82	NA	1.3	2.18	2.63	1.1	1.61	2.83	4
1834	1.83	1.55	NA	0.98	3.02	2.65	1.38	1.31	3.04	3.49
1835	1.97	1.67	NA	1.35	2.48	1.93	1.29	1.63	2.65	3.42
1836	2.1	1.36	NA	1.64	3.06	1.95	1.76	1.7	2.78	3.44
1837	3.06	1.65	NA	1.7	3.17	2.48	2.19	1.79	2.87	3.25
1838	2.96	1.75	NA	1.45	2.45	2.79	1.69	2.32	2.83	2.79
1839	2.21	1.43	NA	1.86	3	2.06	2.07	2.59	2.59	2.93
1840	1.76	1.25	NA	1.7	2.46	2.83	1.89	1.67	1.98	3.12
1841	2.28	1.75	NA	2.06	2.6	2.76	1.37	1.87	2.03	3.07
1842	1.9	1.76	NA	1.78	2.19	2.31	1.47	1.75	2.13	2.89
1843	2.01	1.22	NA	1.52	2.08	2.45	1.77	1.62	1.96	2.04
1844	1.79	1.17	NA	1.68	1.83	1.33	1.25	1.58	1.92	2.42
1845	2	1.75	NA	1.78	2.04	2.27	1.92	2.19	2.3	1.99
1846	1.74	1.6	NA	1.83	2.24	2	1.41	1.99	1.62	1.72
1847	1.4	0.86	NA	1.34	1.16	1.61	1.16	1.26	1.24	1.49
1848	1.89	1.19	NA	1.74	2.36	1.74	1.61	1.6	1.48	1.97
1849	1.38	1.14	NA	1.72	2.16	2.23	1.22	1.34	1.27	1.48
1850	1.68	1.17	NA	2.09	1.79	1.67	1.3	1.57	1.7	1.85
1851	2.04	1.04	NA	1.52	1.74	1.3	1.43	1.46	2	1.88
1852	1.94	0.78	NA	1.62	2.01	1.46	1.34	1.97	1.4	1.59
1853	1.61	1.09	NA	1.42	1.87	1.33	1.72	1.84	1.6	2.2
1854	1.77	1.12	NA	1.72	1.91	1.66	1.42	2	1.24	2.15
1855	1.82	1.32	NA	1.24	2.23	2.23	1.93	2.64	1.38	1.79
1856	1.67	1.18	NA	1.2	1.97	1.62	1.41	1.73	1.74	1.63
1857	1.79	1.15	NA	1.62	1.98	1.84	1.27	1.83	1.53	1.32
1858	1.45	1.2	NA	1.6	1.75	1.09	1.57	1.58	1.85	1.46
1859	1.26	0.98	NA	1.51	1.21	1.18	1.63	1.2	1.25	1.18
1860	1.99	1.1	NA	1.9	1.85	1.75	1.67	1.96	1.23	2.16
1861	2.16	1.23	NA	2.35	1.99	2.6	2.01	2	1.91	2.07
1862	1.4	0.96	NA	2.21	1.53	1.66	1.95	2.12	1.89	2.09
1863	1.67	1	3.41	1.85	2.07	1.76	1.76	2.3	1.8	2.54
1864	1.81	1.17	3.83	2.55	2.37	1.41	1.77	1.55	2.41	1.81
1865	1.69	1.24	3.78	2.76	2.6	1.29	1.52	1.85	1.89	1.98
1866	1.87	1.22	3.11	2.29	2.53	2	1.44	2.38	2.34	2.13
1867	1.39	0.93	2.77	1.53	2.08	1.5	1.65	1.78	2.25	1.43
1868	1.67	1.11	3.03	2.09	1.49	1.75	1.68	2.2	2.02	1.77
1869	1.88	1.13	2.16	1.92	1.47	1.72	2	1.7	1.92	1.26
1870	0.4	0.26	0.21	0.04	0.08	0.33	0.28	0.11	0.65	1.11
1871	0.47	0.17	0	0	0.15	0.26	0	0	0.53	1.02
1872	0.55	0.31	0.17	0	0.18	0.37	0.15	0.07	0.97	1.74
1873	0.92	0.4	0.27	0.19	0.23	0.56	0.12	0.19	1.42	1.27
1874	1.01	0.5	0.55	0.33	0.3	0.44	0.18	0.3	1.11	1.74
1875	1.34	0.82	1.12	0.44	0.74	1.04	0.21	0.51	1.65	2.17
1876	1.23	0.76	1.19	0.31	1.45	1.94	0.24	0.66	1.77	1.8
1877	1.49	0.91	2.41	0.73	2.24	1.71	0.51	0.83	1.91	2.13
1878	1.25	1.15	2.62	0.7	2.17	1.95	0.57	0.97	1.76	2.07
1879	1.5	1.34	2.68	1.32	1.87	1.57	0.79	0.92	1.9	1.53
1880	1.27	1.59	1.66	1.54	1.62	1.28	0.64	0.87	1.32	1.74
1881	1.71	1.79	1.76	2.06	1.97	1.69	0.88	1.39	1.76	1.44
1882	1.29	1.45	2.25	2.01	2.33	1.92	1.07	1.46	1.46	1.24
1883	1.6	1.33	2.49	2.21	3.06	2.26	0.78	0.85	1.68	1.83
1884	1.84	1.25	2.5	1.57	1.88	2.58	0.85	0.94	1.04	1.11
1885	1.74	1.41	3.06	1.84	2.03	2	1.32	1.21	1.53	1.23
1886	1.58	1.59	3.01	1.54	1.64	1.65	1.39	1.14	1.17	1.56
1887	1.46	1.49	3.24	1.72	1.77	1.85	1.1	1.08	1.2	1.52
1888	1.75	1.39	2.79	1.39	1.37	2.09	1.29	1.03	0.95	1.58
1889	1.05	1.14	2.46	1.85	1.2	1.34	1.2	0.89	0.88	1.62
1890	1.03	0.96	2.04	0.88	1.01	0.77	0.62	0.61	0.51	1.04
1891	0.92	1.01	3.25	1.07	0.77	0.87	1.17	0.91	0.36	0.97
1892	1.12	1.18	3.65	1.58	1.05	0.72	1.07	0.84	0.57	1.5
1893	1.03	1.11	3.58	2.09	1.26	1.02	1.26	1.06	0.68	1.44
1894	1.13	1.38	3.63	1.73	1.18	1.22	1.41	1.06	0.87	1.51
1895	1.21	1.27	2.9	1.19	0.62	1.22	1.26	1.21	0.93	1.79
1896	0.59	0.97	2.18	1.59	0.73	0.91	1.45	0.78	0.92	1.38
1897	1.11	1.06	2.38	1.75	0.89	1.02	1.42	0.87	0.82	1.43
1898	1.24	0.93	1.83	1.33	0.81	1.1	1.23	0.95	0.92	1.33
1899	1.03	0.79	1.64	1.37	0.92	1.26	1.22	0.85	0.79	1.26
1900	1.54	1.17	2.38	1.98	1.27	1.72	2.25	1.15	0.72	1.39
1901	1.36	1.34	1.94	2.91	2.53	1.94	2.23	1.01	0.8	1.34
1902	1.27	1.32	1.87	2.29	2.13	1.43	1.38	1.11	0.78	1.66
1903	1.62	1.53	2.42	2.56	2.2	2.02	1.71	1.17	0.96	1.86
1904	1.46	1.34	2.55	2.17	1.7	1.88	1.99	1.26	0.98	1.66
1905	1.13	1.33	3.02	2	1.11	1.53	1.86	1.47	1.11	1.87
1906	1.01	1.31	2.3	1.39	0.99	1.52	1.12	1.12	0.88	1.48
1907	1.36	1.26	2.91	1.74	1.36	1.4	1.52	1.39	1.09	1.77
1908	1.51	1.29	3.1	1.5	1.23	1.58	1.56	1.59	1.13	2.02
1909	1.89	1.2	3.45	1.44	1.27	1.41	1.31	1.25	1.15	1.46
1910	1.76	1.12	3.36	1.05	1.37	1.03	1.43	1.73	1.05	1.6
1911	1.4	1.33	2.5	1.07	1.22	1.39	1.68	1.78	1.19	1.45
1912	1.42	1.29	3.02	1.16	2.21	1.64	1.32	1.39	0.93	1.7
1913	1.51	1.21	3.08	1.58	2.22	1.66	1.55	1.79	1.12	1.26
1914	1.44	1.2	2.42	1.06	1.51	1.05	1.73	1.84	1.09	1.6
1915	1.18	1.15	2.22	1.51	2.03	1.46	1.81	1.48	1.24	1.27
1916	1.06	1.1	2.59	1.33	1.59	0.93	1.03	1.35	1.06	1.29
1917	1.13	1.02	2.44	1.41	1.6	0.97	1.49	1.55	1.1	1.12
1918	1.2	0.82	1.97	1.03	0.97	0.91	1.25	1.11	1.22	1.23
1919	1.12	1.13	1.84	1.45	1.4	1.06	1.57	1.38	1.02	1.18
1920	1.16	0.64	1.51	1.51	1.08	0.91	0.91	1.2	0.69	0.99
1921	0.99	0.82	1.58	1.19	1.11	0.87	0.94	1.2	1.07	1.3
1922	0.69	0.87	1.48	1.45	1.03	1.03	1.09	1.09	0.9	1.09
1923	1.12	0.85	1.41	1.73	1.82	0.88	1.08	1.28	0.95	1.22
1924	0.92	0.54	1.39	1.63	1.35	0.92	0.93	1.2	0.55	0.98
1925	0.94	0.75	1.49	1.18	1.17	1.17	1.18	1.15	0.68	0.93
1926	0.95	0.73	1.41	1.43	0.76	1.18	0.9	1.17	0.85	0.7
1927	0.84	0.6	1.26	1.31	1.43	0.97	0.82	1.21	0.69	0.75
1928	1.06	0.6	1.86	1.29	1.46	1.18	1.23	1.34	0.75	0.62
1929	0.74	0.47	1.49	0.97	1.12	0.99	0.91	0.83	0.56	0.85
1930	0.71	0.53	1.39	0.9	0.86	0.89	0.78	0.92	0.47	0.6
1931	0.63	0.38	1.7	1.18	0.56	0.85	0.69	0.91	0.52	0.47
1932	0.75	0.59	1.68	0.81	0.83	1.2	1.06	0.93	0.76	0.8
1933	0.68	0.51	1.59	0.87	0.74	1.13	0.91	0.84	0.87	0.98
1934	0.67	0.46	1.77	1.02	0.88	1.12	0.82	0.95	0.57	0.67
1935	0.66	0.59	1.73	0.54	0.58	0.77	0.73	1.07	0.79	0.77
1936	0.76	0.53	2	0.6	0.63	0.94	0.64	0.96	0.77	0.56
1937	0.75	0.51	2.07	0.64	0.78	1.05	0.72	1.1	0.73	0.71
1938	0.87	0.69	2.05	0.94	1.17	1.34	0.91	1.15	0.64	0.8
1939	0.88	0.62	1.81	0.92	1.01	1.34	0.97	1.3	0.75	0.53
1940	0.92	0.6	2.04	0.79	1.33	1.11	1.16	1.34	0.68	0.61
1941	0.39	0.66	1.98	0.86	1.28	1.14	1.11	1.27	0.7	0.9
1942	0.85	0.83	1.89	1.31	2.3	2.22	1.65	2.02	1.04	1.13
1943	1.19	1.07	2.81	1.73	3.16	2.45	2.54	1.83	1.05	0.96
1944	1	1.07	2.62	3.3	4.18	2.27	2.66	1.81	0.95	1.31
1945	1.34	1.53	3.3	4.37	4.31	3.05	3.82	2.3	0.97	1.14
1946	2.2	1.75	4.26	4.85	4.85	3.03	4.13	2.78	0.95	0.92
1947	1.92	1.87	5.11	3.79	4.5	3.34	3.37	2.94	0.76	1.34
1948	1.91	1.67	3.79	3.63	3	3.09	2.58	2.29	0.85	1.11
1949	1.71	1.88	2.44	2.41	2.22	3.11	2.35	2.38	0.79	0.82
1950	1.71	1.93	2.71	1.86	3.36	3.21	2.59	2.36	0.59	0.94
1951	1.89	2.11	3.24	2.6	4.07	2.99	2.09	3.16	0.55	0.95
1952	1.83	1.79	3.02	2.9	3.38	2.27	1.69	3.1	0.65	0.69
1953	2.14	1.84	2.43	2.51	2.41	2.43	2.16	2.32	0.62	0.98
1954	2.05	1.72	2.91	2.49	2.47	1.74	1.56	2.07	0.62	0.98
1955	1.85	1.64	3.56	3.39	4.12	3.07	3.04	3.65	0.52	0.85
1956	2.03	1.79	3.79	2.2	2.89	1.98	1.96	2.5	0.67	1.12
1957	2.33	1.72	4.6	1.24	2.43	1.89	1.83	2.26	0.48	0.94
1958	1.59	1.49	2.8	1.57	2.28	1.19	1.63	1.62	0.39	0.69
1959	1.41	1.53	2.53	1.67	2.74	1.46	1.8	2.09	0.46	0.95
1960	1.41	1.43	2.99	1.59	4.78	2.95	2.93	3.21	0.7	0.87
