# Black - Parsons - PSME - ITRDB OR126
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38229
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38229.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or126-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or126.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or126.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Parsons - PSME - ITRDB OR126
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Parsons
#   Location: Oregon
#   Northernmost_Latitude: 45.54
#   Southernmost_Latitude: 45.54
#   Easternmost_Longitude: -123.244
#   Westernmost_Longitude: -123.244
#   Elevation_m: 320
#--------------------
# Data_Collection
#   Collection_Name: OR126
#   First_Year: 1709
#   Last_Year: 1854
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PAC02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PAC02A_raw	PAC02B_raw	PAC02C_raw	PAC01A_raw	PAC01B_raw	PAC01C_raw	PAC01D_raw	PAC02D_raw	PAC02E_raw	PAC02F_raw
1785	NA	NA	NA	2.87	4.2	0.88	0.79	NA	NA	NA
1786	NA	NA	NA	2.95	4	0.92	0.82	NA	NA	NA
1787	NA	NA	NA	2.31	2.36	0.58	0.57	NA	NA	NA
1788	NA	NA	NA	2.54	2.61	0.71	0.51	NA	NA	NA
1789	NA	NA	NA	2.59	2.54	0.51	0.45	NA	NA	NA
1790	NA	NA	NA	1.75	1.73	0.46	0.48	NA	NA	NA
1791	NA	NA	NA	1.21	1.19	0.4	0.43	NA	NA	NA
1792	NA	NA	NA	2.6	2.56	0.52	0.66	NA	NA	NA
1793	NA	NA	NA	2.02	1.81	0.56	0.61	NA	NA	NA
1794	NA	NA	NA	1.65	1.68	0.51	0.59	NA	NA	NA
1795	NA	NA	NA	0.94	0.92	0.3	0.36	NA	NA	NA
1796	NA	NA	NA	1.68	1.61	0.27	0.33	NA	NA	NA
1797	NA	NA	NA	1.73	1.67	0.22	0.33	NA	NA	NA
1798	NA	NA	NA	1.63	1.59	0.32	0.36	NA	NA	NA
1799	2.23	2	2.88	1.65	1.64	0.24	0.29	NA	NA	NA
1800	3.82	3.15	4.1	2.28	2.24	0.36	0.39	NA	NA	NA
1801	4.18	4.44	4.2	3.45	3.41	0.72	0.66	NA	NA	NA
1802	4.49	4.39	5.15	2.31	2.57	0.54	0.46	NA	NA	NA
1803	5.17	5.1	5.58	1.59	1.77	0.44	0.39	4.54	4.99	5.18
1804	4.39	4.52	4.26	2.21	2.14	0.65	0.58	4.51	4.89	4.61
1805	6.63	6.16	6.24	2.48	2.49	0.82	0.73	7.59	7.62	7.93
1806	6.11	5.57	5.69	1.9	1.99	0.73	0.6	6.02	5.8	5.68
1807	4.79	4.49	4.44	1.62	1.59	0.97	0.83	4.74	4.77	4.63
1808	5.36	5.32	5.24	1.32	1.4	0.94	0.72	4.47	4.6	4.67
1809	6.22	5.78	6.18	1.85	2.58	1.54	1.29	5.83	5.95	5.94
1810	6.12	6.09	6.36	2.01	2.45	1.72	1.57	6.73	6.83	6.59
1811	6.08	5.52	5.15	1.32	1.7	0.91	0.9	6.59	6.33	6.21
1812	7.9	6.76	6.49	1.93	2.46	1.04	1.08	7.64	8.05	8.47
1813	6.72	6.34	6.32	1.96	2.24	0.91	0.98	6.26	6.27	6.08
1814	5.9	6.21	5.07	2.08	2.19	0.91	0.92	5.78	5.8	5.75
1815	4	5.13	4.03	2.12	2.34	0.59	0.59	4.34	4.29	4.51
1816	5.29	4.71	4.49	2.39	2.41	0.52	0.46	4.86	5.17	5.05
1817	6.19	4.95	5.93	1.45	1.31	0.39	0.42	5.84	6.06	5.77
1818	6.7	4.51	5.85	1.4	1.4	0.34	0.31	6.21	6.52	6.28
1819	6.29	5.1	5.65	1.8	1.94	0.51	0.45	6.4	6.82	6.4
1820	5.12	4.36	5	1.83	2.02	0.44	0.41	5.29	6.18	5.48
1821	4.15	4.31	3.57	1.3	1.61	0.33	0.34	4.1	5.3	4.4
1822	4.06	4.39	3.49	1.64	1.76	0.41	0.39	4.22	5.02	5.23
1823	4.1	4.63	4.16	1.03	1.1	0.34	0.36	4.66	4.46	3.31
1824	3.66	4.7	4.17	1.05	1.27	0.38	0.37	4.82	4.32	4.51
1825	4.07	4.43	3.97	1.09	1.38	0.46	0.45	4.22	4.24	4.76
1826	3.51	4.27	3.18	0.81	0.9	0.34	0.39	3.63	4.31	3.7
1827	3.31	4.41	3.57	0.73	0.92	0.25	0.34	3.97	3.98	3.5
1828	3.03	4.19	3.31	0.87	1.34	0.23	0.32	3.66	4.04	3.22
1829	3.22	3.84	3.76	1.32	1.84	0.35	0.44	3.26	3.73	3.21
1830	3.14	3.39	3.49	1.4	1.76	0.42	0.47	3.12	3.82	3.23
1831	3.32	2.62	3.33	1.16	1.73	0.36	0.36	3.32	3.07	3.22
1832	3.44	2.62	3.03	1.46	1.75	0.39	0.39	2.7	2.79	3.41
1833	3	2.3	2.76	1.36	1.62	0.37	0.42	2.76	2.63	3.16
1834	2.23	1.62	1.99	1.4	1.71	0.29	0.28	2.23	1.88	2.35
1835	2.14	1.86	2.27	1.67	NA	0.33	0.34	2.71	2.27	2.5
1836	2.01	1.98	2.19	NA	NA	0.3	0.32	2.61	2.43	2.4
1837	1.64	1.94	1.78	NA	NA	0.35	0.26	2.38	2.18	2.11
1838	1.87	2.54	2.12	NA	NA	0.59	0.52	2.89	2.8	2.35
1839	2.86	5.39	3.13	NA	NA	0.74	0.53	4.05	4.79	3.3
1840	2.95	5.44	2.87	NA	NA	0.75	0.48	3.33	4.61	2.69
1841	3.75	5.92	3.5	NA	NA	0.95	0.73	3.36	4.83	3.29
1842	3.65	4.88	3.42	NA	NA	0.93	0.82	3.17	3.98	3.57
1843	2.76	3.7	2.35	NA	NA	0.93	0.78	1.95	2.29	2.36
1844	3.75	4.35	3.19	NA	NA	1.07	0.95	2.23	2.38	2.96
1845	5.64	4.32	5.62	NA	NA	1.28	1.18	3.83	2.4	4.41
1846	5.32	3.38	5.76	NA	NA	1.36	1.33	4.31	2.75	4.45
1847	3.71	2.57	3.98	NA	NA	1.13	1.08	3.81	3.28	3.51
1848	3.94	2.33	4.57	NA	NA	1.07	1.12	4.49	3.85	4.12
1849	4.46	2.14	5.32	NA	NA	0.68	0.82	5.98	5.67	5.2
1850	4.8	2.21	5.66	NA	NA	0.72	NA	6.12	5.41	4.75
1851	6.65	NA	7.11	NA	NA	0.93	NA	7.52	8.22	6.68
1852	5.59	NA	NA	NA	NA	0.75	NA	6.8	NA	NA
1853	2.31	NA	NA	NA	NA	0.9	NA	NA	NA	NA
1854	2.53	NA	NA	NA	NA	NA	NA	NA	NA	NA
