# Yamaguchi - Columbia River/Grays River snags - THPL - ITRDB WA131
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5379
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5379.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa131-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa131-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa131.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa131.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Yamaguchi - Columbia River/Grays River snags - THPL - ITRDB WA131
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Columbia River/Grays River snags
#   Location: Washington
#   Northernmost_Latitude: 46.3
#   Southernmost_Latitude: 46.3
#   Easternmost_Longitude: -123.68
#   Westernmost_Longitude: -123.68
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA131
#   First_Year: 1291
#   Last_Year: 1691
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SS578_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS578; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SS580_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS580; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC5821_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC5821; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC5822_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC5822; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SS7761_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS7761; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SS7772_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS7772; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SS578_raw	SS580_raw	CC5821_raw	CC5822_raw	SS7761_raw	SS7772_raw
1390	2.24	NA	NA	NA	NA	0.74
1391	1.35	NA	NA	NA	NA	0.52
1392	1.37	NA	NA	NA	NA	0.63
1393	1.6	NA	NA	NA	NA	0.59
1394	1.38	NA	NA	NA	NA	0.45
1395	1.67	NA	NA	NA	NA	0.48
1396	1.21	NA	NA	NA	NA	0.48
1397	1.64	NA	NA	NA	NA	0.71
1398	1.86	NA	NA	NA	NA	0.8
1399	1.46	NA	NA	NA	NA	0.69
1400	0.73	NA	NA	NA	NA	0.81
1401	1.05	NA	NA	NA	NA	0.57
1402	1.34	NA	NA	NA	NA	0.71
1403	0.86	NA	NA	NA	NA	0.4
1404	1.26	NA	NA	NA	NA	0.46
1405	1	NA	NA	NA	NA	0.44
1406	1.25	NA	NA	NA	NA	0.57
1407	1.48	NA	NA	NA	NA	0.43
1408	1.22	NA	NA	NA	NA	0.38
1409	1.22	NA	NA	NA	NA	0.45
1410	1.25	NA	NA	NA	NA	0.41
1411	1.13	NA	NA	NA	NA	0.44
1412	1.41	NA	NA	NA	NA	0.61
1413	1.67	NA	NA	NA	NA	0.54
1414	1.46	NA	NA	NA	NA	0.65
1415	1.33	NA	NA	NA	NA	0.55
1416	1.27	NA	NA	NA	NA	0.56
1417	0.87	NA	NA	NA	NA	0.4
1418	0.95	NA	NA	NA	NA	0.44
1419	1.04	NA	NA	NA	NA	0.45
1420	0.87	NA	NA	NA	NA	0.34
1421	1	NA	NA	NA	NA	0.41
1422	0.9	NA	NA	NA	NA	0.31
1423	0.87	NA	NA	NA	NA	0.41
1424	1.14	NA	NA	NA	NA	0.57
1425	0.45	NA	NA	NA	NA	0.47
1426	0.74	NA	NA	NA	NA	0.37
1427	0.75	NA	NA	NA	NA	0.58
1428	1.01	NA	NA	NA	NA	0.69
1429	0.95	NA	NA	NA	NA	0.81
1430	0.81	NA	NA	NA	NA	0.71
1431	0.78	NA	NA	NA	2.23	0.64
1432	0.97	NA	NA	NA	2.61	0.46
1433	1.01	NA	NA	NA	2.49	0.43
1434	1.02	NA	NA	NA	3.69	0.42
1435	0.7	9.48	NA	NA	3.41	0.43
1436	0.88	9.04	NA	NA	3.23	0.63
1437	1.11	8.08	NA	NA	3.61	0.6
1438	1.37	9.74	NA	NA	3.1	0.8
1439	1.15	7.03	NA	NA	2.29	0.87
1440	1.23	6.43	NA	NA	2.75	0.69
1441	1.2	6.57	NA	NA	2.63	0.79
1442	1.7	5.9	NA	NA	2.96	1.04
1443	1.61	3.79	NA	NA	2.8	0.85
1444	1.44	3.19	NA	NA	2.16	0.86
1445	1.41	3.27	NA	NA	2.6	0.66
1446	1.31	3.74	NA	NA	2	0.67
1447	1.33	2.59	NA	NA	2.34	0.7
1448	1.43	1.92	NA	NA	2.42	0.74
1449	1.23	1.81	NA	NA	2.26	0.79
1450	1.25	2.12	NA	NA	2.67	0.7
1451	1.25	1.77	NA	NA	2.53	0.77
1452	1.61	1.85	NA	NA	3.28	0.89
1453	1.36	2.01	NA	NA	2.34	0.65
1454	1.35	2.16	NA	NA	2.72	0.67
1455	1.23	1.91	NA	NA	3.11	0.58
1456	1.24	2.5	NA	NA	3.24	0.75
1457	1.13	2.31	NA	NA	3.41	0.72
1458	1.01	1.78	NA	NA	1.86	0.6
1459	1.13	2.43	NA	NA	2.47	0.62
1460	1.04	2.07	NA	NA	1.97	0.45
1461	0.73	1.63	NA	NA	1.38	0.27
1462	0.81	1.84	NA	NA	1.62	0.32
1463	0.82	2.04	NA	NA	1.92	0.34
1464	0.91	1.53	NA	NA	1.83	0.42
1465	0.71	1.26	NA	NA	1.96	0.31
1466	0.43	1	NA	NA	1.32	0.2
1467	0.6	1.36	NA	NA	1.34	0.36
1468	0.82	1.7	NA	NA	2.24	0.43
1469	0.82	1.94	7.67	NA	2.26	0.49
1470	0.85	1.89	7.35	NA	2.8	0.47
1471	0.86	2.13	7.5	NA	2.73	0.47
1472	0.88	2.1	6.45	4.92	2.78	0.49
1473	0.97	1.96	4.86	4.62	2.68	0.6
1474	0.95	2.48	6.48	4.89	2.29	0.55
1475	0.88	3.44	7.15	5	3.49	0.57
1476	0.94	3.26	5.48	4.47	1.59	0.58
1477	0.98	4.05	5.43	3.73	1.95	0.74
1478	0.96	2.4	4.73	2.98	3.18	0.82
1479	1.1	1.97	5.74	4.72	3.17	0.96
1480	1.3	2.07	6.02	4.17	2.7	1.01
1481	1.21	1.33	3.51	3.25	3.28	0.9
1482	1.21	1.34	5.45	3.55	3.91	0.93
1483	1.36	1.92	7.49	4.59	4.75	0.95
1484	1.04	2.15	4.65	3.98	3.02	0.76
1485	1.3	2.66	4.45	3.61	2.87	0.72
1486	0.93	2.51	4.3	5.07	3.49	0.53
1487	0.79	1.94	3.69	4.03	2.74	0.66
1488	0.56	1.22	2.71	3.57	2.13	0.57
1489	0.56	0.99	2.49	2.88	1.81	0.62
1490	0.63	1.19	2.44	2.42	1.68	0.55
1491	0.77	1.36	2.17	3.06	1.81	0.69
1492	0.8	0.96	2.15	3.04	3.17	0.68
1493	0.89	1.15	2.35	2.8	2.66	0.72
1494	0.81	1.49	2.54	3.16	3.55	0.57
1495	0.77	1.47	2.67	3	2.48	0.57
1496	0.91	2.65	3.32	3.18	2.93	0.58
1497	0.95	2.14	2.94	2.84	2.22	0.5
1498	0.78	1.67	2.62	2.84	2.21	0.55
1499	0.68	1.19	1.93	2.14	1.45	0.56
1500	0.74	2.23	2.02	2.81	2.4	0.5
1501	0.75	2.17	1.83	2.94	2.47	0.48
1502	0.8	2.73	2.17	2.94	3.68	0.62
1503	0.84	2.75	2.14	3.97	2.55	0.84
1504	0.88	2.5	2.01	3.47	1.97	0.92
1505	0.65	1.73	1.76	2.96	1.6	1.02
1506	0.47	1.4	1.55	3.48	1.73	0.93
1507	0.33	1.15	1.98	4.07	1.11	0.82
1508	0.27	1.46	2.24	4.2	1.43	1.19
1509	0.3	1.07	1.67	3.94	1.68	1.05
1510	0.13	0.91	1.1	3.21	0.89	0.57
1511	0.27	1.11	1.08	2.41	1.03	0.72
1512	0.51	1.04	1.1	2.29	1.14	0.75
1513	0.53	1.46	1.31	2.08	1.99	0.83
1514	0.67	2.43	1.53	2.69	3.18	0.89
1515	0.62	2.75	1.88	4.4	3.01	1
1516	0.8	1.87	2.38	4.89	2.74	1.06
1517	0.92	1.76	1.71	3.87	2.74	1.05
1518	0.8	1.67	1.59	3.23	1.75	1.24
1519	0.93	1.88	1.78	3.23	2.05	1.4
1520	0.97	1.81	1.33	3.4	1.74	1.48
1521	1.2	1.88	1.44	3.59	2.63	1.24
1522	0.88	1.62	1.61	2.78	1.97	1.45
1523	0.92	1.78	1.53	4.15	1.32	1.6
1524	1.12	1.9	1.33	4.92	1.33	1.76
1525	1.02	1.92	1.06	3.84	1.1	1.36
1526	0.9	1.86	1.01	3.34	1.02	1.21
1527	0.75	1.37	0.83	2.45	0.81	1.11
1528	0.76	1.67	0.85	3.18	0.99	1.25
1529	0.75	1.76	0.84	3.19	0.93	0.72
1530	0.73	1.74	0.86	3.27	0.98	0.85
1531	0.73	1.75	0.95	3.07	1.14	1.03
1532	0.51	1.02	0.94	2.43	1.19	0.73
1533	1.1	1.22	1.1	2.6	1.26	1.04
1534	0.85	1.07	0.87	1.38	1.18	0.74
1535	1.49	1.52	1.67	2.11	1.31	1.13
1536	1.58	1.34	1.49	1.8	1.01	1.19
1537	1.44	1.62	1.4	2.29	0.89	1.09
1538	1.4	1.24	1.42	2.32	0.87	0.93
1539	1.54	1.27	1.28	2.66	0.9	0.93
1540	1.41	1.11	1.3	3	0.69	0.79
1541	0.98	1.28	1.21	3.27	0.85	0.65
1542	1.01	1.13	1.24	3.45	1	0.59
1543	0.81	1.12	1.26	2.64	0.75	0.67
1544	1.16	1.51	1.83	2.79	0.94	0.76
1545	0.95	1.24	1.95	2.1	0.87	0.53
1546	0.89	0.93	1.34	1.34	0.4	0.35
1547	1	1.57	1.83	2.01	0.63	0.57
1548	1.06	1.62	1.51	1.86	0.43	0.46
1549	0.92	1.36	1.37	1.63	0.59	0.41
1550	1.15	1.77	1.44	1.94	0.61	0.39
1551	1.11	1.78	1.37	1.72	0.72	0.52
1552	1.13	1.79	1.17	1.08	0.62	0.49
1553	1.21	2.07	1.34	1.65	0.83	0.42
1554	0.99	1.54	1.11	1.59	0.67	0.38
1555	1.16	1.76	1.24	1.58	0.72	0.49
1556	1.12	1.94	1.26	1.74	0.66	0.44
1557	0.97	1.8	1.1	1.42	0.77	0.37
1558	0.87	2.1	1.5	1.81	0.76	0.51
1559	0.75	1.66	1.26	1.6	0.77	0.67
1560	0.73	1.88	1.08	1.74	0.82	0.77
1561	0.57	1.76	0.86	1.12	0.76	0.75
1562	0.46	1.48	0.53	0.81	0.51	0.71
1563	0.57	1.41	0.57	1.06	0.54	0.57
1564	0.47	1.61	0.69	1.17	0.5	0.62
1565	0.4	1.38	0.65	1.12	0.31	0.45
1566	0.47	1.65	0.6	1.18	0.57	0.66
1567	0.49	1.6	0.83	1.57	0.55	0.54
1568	0.44	1.84	0.57	1.56	0.63	0.61
1569	0.51	2.27	0.66	1.56	0.75	0.61
1570	0.26	1.64	0.52	1.25	0.76	0.44
1571	0.29	1.62	0.56	1.23	0.83	0.46
1572	0.5	1.82	0.51	1	0.74	0.53
1573	0.62	1.77	0.55	1.26	1.08	0.42
1574	0.62	1.7	0.55	0.98	1.15	0.83
1575	0.56	1.61	0.48	0.89	1.03	0.65
1576	0.45	1.1	0.54	1.03	0.92	0.6
1577	0.48	1.49	0.57	1.02	0.98	0.56
1578	0.6	1.53	0.43	0.96	0.82	0.71
1579	0.6	2.15	0.72	1.31	0.79	0.71
1580	0.64	1.9	0.73	1.12	0.78	0.77
1581	0.5	2.26	0.58	1.03	0.77	0.77
1582	0.51	2.05	0.6	0.86	0.79	0.81
1583	0.59	2.26	0.6	0.94	0.76	0.78
1584	0.45	2.04	0.56	0.85	0.65	0.58
1585	0.49	1.61	0.42	0.63	0.61	0.67
1586	0.59	2.34	0.51	0.77	0.59	0.79
1587	0.88	1.88	0.88	0.96	0.93	1.11
1588	0.74	1.43	0.66	0.89	0.84	1
1589	0.72	1.63	0.73	0.9	0.83	0.8
1590	0.47	1.37	0.33	0.55	0.73	0.72
1591	0.3	1.27	0.58	0.83	0.8	0.7
1592	0.26	1.54	0.61	0.87	0.8	0.87
1593	0.41	1.53	0.57	0.92	0.71	0.96
1594	0.37	1.84	0.67	1.16	0.73	0.88
1595	0.53	1.55	0.84	1.4	0.82	1.1
1596	0.67	1.63	0.88	1.55	0.91	1.02
1597	0.78	1.74	0.98	1.75	1.04	1.11
1598	0.73	1.8	0.6	1.23	0.74	1.19
1599	0.95	2.14	0.93	1.56	0.82	1.28
1600	0.82	1.45	0.71	1.37	0.8	1.08
1601	0.78	2.32	0.99	2.15	1.06	1.09
1602	0.69	1.86	1.08	0.91	1.14	0.96
1603	0.78	1.41	1.04	0.92	0.96	0.64
1604	0.78	1.51	1.25	1.16	1.15	0.62
1605	0.57	1.43	1.01	0.64	0.77	0.48
1606	0.78	1.52	0.99	0.67	1.13	0.67
1607	0.77	1.4	1.05	0.7	1.15	0.81
1608	0.93	1.32	0.81	0.59	1.22	0.68
1609	0.82	1.29	1.02	0.7	0.97	0.67
1610	0.47	1.5	0.99	0.75	1.13	0.78
1611	0.71	1.27	1.18	0.88	0.88	0.91
1612	0.54	1.17	1.08	0.9	0.66	0.81
1613	0.58	1.16	1.25	1.01	0.67	0.69
1614	0.64	1.13	1.31	1.13	0.6	0.82
1615	0.63	1.26	1.4	0.99	0.64	0.76
1616	0.78	1.04	1.2	1.18	0.77	0.85
1617	0.96	1.51	1.89	1.88	0.96	0.99
1618	0.63	0.85	1.37	1	0.56	0.67
1619	0.65	0.72	1.62	1.39	0.78	0.67
1620	0.81	1.03	1.77	1.69	0.93	0.71
1621	1.19	1.16	2.18	2.09	1.4	0.81
1622	1.18	1.07	2.59	2.71	1.44	0.91
1623	1.05	0.82	1.5	1.81	1.15	0.65
1624	1.19	0.92	1.63	2.04	1.16	0.67
1625	1.48	0.82	2.04	2.06	1.33	0.75
1626	1.44	0.75	2.08	1.88	1.18	0.53
1627	1.56	0.66	1.45	1.3	1.17	0.41
1628	1.77	0.86	2.01	1.97	1.41	0.5
1629	1.79	1.06	1.87	2.05	1.75	0.48
1630	1.5	1	2.07	2.01	1.71	0.52
1631	1.35	0.71	1.29	1.54	1.67	0.52
1632	1.7	0.92	1.97	2.42	1.86	0.58
1633	1.32	0.75	2.01	2.22	1.51	0.56
1634	1.43	0.78	1.6	1.95	1.4	0.55
1635	1.49	0.88	2.08	3.18	1.63	0.53
1636	1.56	1	1.93	2.8	1.95	0.62
1637	1.66	0.8	1.19	1.76	1.42	0.59
1638	2.05	0.91	1.93	2.7	1.93	0.6
1639	1.78	1.09	2.04	2.51	1.93	0.63
1640	1.77	0.94	1.3	1.75	1.83	0.54
1641	1.56	0.98	1.88	2.39	1.7	0.66
1642	1.41	0.83	1.57	2.19	1.97	0.59
1643	1.55	0.86	1.32	1.71	1.74	0.59
1644	1.2	0.82	1.78	1.97	1.9	0.51
1645	1.67	1.09	1.58	2.2	2.38	0.72
1646	1.42	1.08	1.74	2.27	2.21	0.89
1647	1.33	1.16	1.78	2.31	2.21	0.84
1648	1.12	1.13	1.72	2.31	2.01	0.83
1649	0.59	1.08	0.91	1.66	1.3	0.65
1650	0.75	1.04	1.69	2.17	1.61	1
1651	0.71	1.25	1.96	2.02	1.94	1.24
1652	0.65	1.1	1.78	1.77	2.23	1.19
1653	0.52	0.77	1.97	1.88	2.28	1.18
1654	0.44	1.03	1.53	1.35	1.55	1.11
1655	0.52	1.01	2.03	1.35	1.88	1.2
1656	0.49	0.78	2.06	1.17	2.11	1.17
1657	0.65	1.35	1.92	1.54	3.16	1.48
1658	0.59	1.04	1.66	1.84	2.94	1.24
1659	0.56	NA	1.67	2.2	2.22	1.49
1660	0.38	NA	1.84	2.51	1.73	1.13
1661	0.13	NA	1.34	1.73	1.48	0.8
1662	0.36	NA	1.9	2.34	2.43	0.89
1663	0.27	NA	1.4	1.61	1.97	0.74
1664	0.3	NA	2.07	1.87	1.96	0.97
1665	0.14	NA	1.62	1.38	1.67	0.89
1666	0.19	NA	1.95	1.77	1.16	0.81
1667	0.22	NA	1.99	1.74	1.09	NA
1668	0.33	NA	1.83	1.99	0.95	NA
1669	0.38	NA	1.42	1.68	1.04	NA
1670	0.33	NA	1.55	1.99	1.18	NA
