# Kaiser - Yakutat Situk River Valley - PCSI - ITRDB AK138
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16478
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16478.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak138-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak138-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak138.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak138.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Situk River Valley - PCSI - ITRDB AK138
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Situk River Valley
#   Location: Alaska
#   Northernmost_Latitude: 59.5592
#   Southernmost_Latitude: 59.5592
#   Easternmost_Longitude: -139.3503
#   Westernmost_Longitude: -139.3503
#   Elevation_m: 39
#--------------------
# Data_Collection
#   Collection_Name: AK138
#   First_Year: 1825
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GLDO0210_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0210; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0220_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0220; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0240_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0240; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0250_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0250; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0260_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0260; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0270_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0270; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0280_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0280; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0290_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0290; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0300_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0300; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GLDO0210_raw	GLDO0220_raw	GLDO0230_raw	GLDO0240_raw	GLDO0250_raw	GLDO0260_raw	GLDO0270_raw	GLDO0280_raw	GLDO0290_raw	GLDO0300_raw
1894	2.73	5.42	4.02	4.31	2.09	2.15	2.76	4.24	3.26	2.87
1895	3.64	5.48	4.13	4.99	2.04	2.81	3.23	4.49	3.56	3.34
1896	3.23	3.59	3.4	4.56	1.96	2.2	3.58	3.98	3.11	2.86
1897	2.59	4.19	4.11	4.72	2	3.71	3.84	4.98	3.39	3.88
1898	3.81	4.82	3.86	4.75	2.33	3.45	3.35	4.02	4.13	3.72
1899	2.85	5.03	3.56	4.64	2.01	2.64	4.1	5.71	4.19	4.5
1900	3.57	5.21	3.16	4.51	2.17	3.21	4.83	4.67	4.14	4.6
1901	3.36	4.29	3.08	4.17	1.68	1.93	4.08	3.82	4.03	4.05
1902	3.5	5.57	3.61	5.22	1.96	2.85	4.5	4.05	5.21	5.92
1903	3.68	5.32	3.78	5.04	1.81	2.4	4.31	3.88	4.44	4.77
1904	2.83	4.48	2.64	3.79	1.41	2.09	3.57	3.58	3.24	3.31
1905	4.47	6.1	3.3	4.69	1.88	2.51	5.23	6.23	5.93	5.18
1906	3.66	4.46	2.28	3.53	1.54	2.73	3.82	4.35	5.08	5.23
1907	3.81	4.59	2.13	3.5	1.63	2.36	4.79	4.54	4.26	5.3
1908	4	5.31	2.16	3.46	1.77	2.79	4.76	5.28	5.55	5.81
1909	3.75	4.97	2.3	3.31	1.82	2.81	4.27	4.29	5	4.79
1910	3.45	4.15	2.04	3.17	1.36	2.65	3.63	3.65	4.52	3.53
1911	3.49	3.55	2.06	3.17	0.99	2.34	4.06	4.1	3.75	3.11
1912	3.94	3.49	1.82	3.3	0.92	2.69	3.84	3.36	3.48	3.29
1913	3.88	3.42	2.07	3.03	0.96	2.73	3.82	3.49	4.06	4.08
1914	4.68	4.38	2.27	2.92	0.93	3.7	4.23	3.82	5.43	5.06
1915	4.8	4.24	2.56	3.38	0.92	4	4.43	3.71	6.26	5.5
1916	3.65	3.39	2.19	2.61	0.76	2.78	3.6	2.44	4.13	3.47
1917	3.21	3.63	2.19	2.43	1.05	3.1	3.16	2.56	3.65	3.03
1918	3.78	4.1	2.68	2.64	1.29	3.94	4.12	4.05	4.06	3.64
1919	3.71	3.42	2.33	2.73	1.42	4.06	3.51	3.19	4.23	3.71
1920	3.85	3.96	2.72	2.89	1.47	3.77	3.78	3.77	4.91	4.06
1921	4.03	4	3.49	3.23	1.63	3.79	4.2	4.29	4.98	5.79
1922	2.99	2.89	2.85	2.8	1.33	2.38	2.91	3.13	3.28	4
1923	4.1	3.38	2.96	2.72	1.49	3.9	4.06	4.31	3.82	4.03
1924	2.79	2.34	1.73	2.26	1.21	2.81	2.95	2.9	4.37	3.55
1925	2.87	2.33	1.71	2.04	1.1	1.85	2.48	2.97	4.01	3.29
1926	3.6	2.26	1.78	2.65	1.22	2.74	3.94	3.64	5.54	4.34
1927	4.21	2.33	1.46	2.62	1.68	3.94	4.82	3.29	5.42	3.88
1928	4.31	2.5	1.66	2.3	1.66	4.06	3.64	2.84	4.25	3.61
1929	4.55	2.7	2.05	2.3	1.66	3.91	4.37	3.29	5.48	4.12
1930	3.81	2.37	1.74	2.16	1.44	2.87	3.56	2.88	4.8	3.33
1931	4.18	2.62	2	2.8	1.82	3.84	4.55	3.59	5.7	4.62
1932	3.54	2.72	1.82	2.52	1.47	4.02	4.55	3.7	4.39	4.48
1933	3.94	2.82	1.93	2.53	1.46	3.66	4.71	3.86	4.21	4.48
1934	3.96	2.87	1.33	2.34	1.13	3.66	4.9	3.08	3.55	3.43
1935	2.95	2.32	1.14	2.8	1.01	3.04	4.25	2.86	2.67	2.29
1936	3.38	2.35	1.02	2.45	0.91	3.46	3.69	2.65	2.14	2.42
1937	2.83	1.69	0.8	2.42	0.72	2.36	3.19	1.54	1.77	1.67
1938	2.72	1.58	0.91	2.38	0.61	2.61	4.06	1.84	1.64	1.78
1939	2.95	1.6	0.93	2.59	0.69	3.2	4.33	2.43	2.53	2.46
1940	4.49	2.31	1.21	2.96	0.88	3.79	5.36	2.6	3.71	4.45
1941	4.38	2.37	1.1	2.87	0.93	3.04	4.54	2.94	3.66	4.29
1942	4.72	2.87	1.32	3.03	1.29	2.8	4.85	4.62	4.27	5
1943	3.37	2.86	1.35	2.53	1.06	2.85	4.51	4.36	3.16	3.86
1944	3	2.49	1.44	2.49	0.98	3.25	4.84	5.66	3.87	3.24
1945	3.45	2.16	1.74	2.52	1.17	3.57	4.03	5.78	5.89	3.7
1946	3.51	2.15	1.91	2.3	1.25	4	3.19	4.78	5.9	3.89
1947	3.04	1.74	1.46	2.15	1.28	3.97	3.6	2.85	3.54	2.74
1948	2.93	1.96	1.27	1.88	1.2	3.18	3.95	2.89	2.41	2.34
1949	2.3	1.78	0.99	1.46	0.99	2.55	3.03	2.17	2.08	2.2
1950	2.64	1.5	0.97	1.61	1.1	3.09	3.91	1.95	1.74	1.99
1951	2.18	1.19	0.8	1.43	0.96	2.7	3.11	1.54	2	2.08
1952	2.07	1.11	0.73	1.26	0.93	2.68	2.68	1.68	2.07	2.3
1953	2.64	1.46	0.99	1.53	1.23	3.2	3.93	3.28	2.84	3
1954	2.24	1.33	0.89	1.27	0.84	2.64	3.75	2.92	2.41	2.27
1955	2.3	1.24	0.92	1.14	0.64	2.6	3.06	3.31	2.65	2.46
1956	1.88	1.41	0.93	1.16	0.56	2.37	2.87	2.67	2.01	2.18
1957	2.26	1.9	1	1.54	0.76	2.99	3.82	3.02	2.37	2.38
1958	2.95	1.73	0.86	1.26	0.7	2.71	3.42	2.02	1.7	1.76
1959	2.5	1.67	1	1.37	0.94	2.66	2.99	2.73	1.87	1.96
1960	2.44	1.62	0.94	1.42	1.04	3.08	3.19	3.34	2.26	2.89
1961	2.31	1.44	0.8	1.08	0.85	2.64	3.14	2.57	2.11	2.53
1962	2.16	1.44	0.7	0.96	0.66	2.71	2.62	2.31	1.62	2.31
1963	2.26	1.55	0.88	1.25	0.9	2.63	3.09	2.43	2.6	2.76
1964	2.2	1.68	0.88	1.17	0.87	2.71	2.67	2.53	2.91	2.51
1965	2.03	1.48	0.81	1.03	0.8	2.52	2.35	2.63	2.55	2.44
1966	1.87	1.56	0.77	1.1	0.71	2.51	2.38	2.73	2.71	2.26
1967	1.62	1.53	0.71	0.93	0.56	2.56	2.27	1.7	1.99	1.73
1968	2.1	1.74	0.77	1.28	0.54	2.97	2.97	2.29	2.47	1.83
1969	1.89	1.25	0.58	1.2	0.41	2.24	2.56	2.15	1.48	0.99
1970	1.63	0.87	0.65	0.9	0.43	2.21	1.82	1.34	1.11	1.14
1971	1.96	1.04	0.74	0.87	0.56	2.46	1.96	1.5	1.21	1.24
1972	1.67	0.98	0.76	0.88	0.59	2.24	1.68	1.5	0.99	1.13
1973	1.84	1.07	0.76	0.84	0.49	2.58	1.54	1.49	1.19	1.26
1974	2.3	1.06	0.74	0.92	0.49	3.04	2.07	2.24	1.25	1.24
1975	2.01	0.94	0.73	0.79	0.57	2.64	1.87	2.1	1.13	1.09
1976	2.11	1.08	0.74	0.92	0.54	2.61	2.17	2.46	1.51	1.27
1977	1.8	1.18	0.81	1.03	0.69	2.75	2.44	2.41	2	1.3
1978	1.7	1.04	0.65	0.74	0.46	2.62	2.14	2.1	1.82	1.05
1979	1.93	0.96	0.74	0.81	0.53	2.91	2.27	2.43	1.9	1.22
1980	1.89	1.25	0.88	0.94	0.66	3.23	2.64	2.37	2.51	1.8
1981	2.65	1.1	0.8	1.16	0.53	3.08	2.81	3.03	2.87	2.22
1982	1.88	0.89	0.65	0.97	0.29	2.69	2.18	3.27	1.42	1.17
1983	2.25	0.97	0.73	1.16	0.36	3.06	2.1	3.2	1.27	1.17
1984	2.27	1.13	0.88	1.15	0.53	3.04	2.37	3.62	1.58	1.47
1985	2.09	1.06	0.72	1.05	0.59	2.96	2.03	2.53	1.71	1.58
1986	2.22	1.19	0.82	1.29	0.72	2.83	1.92	2.33	1.73	1.56
1987	1.91	0.82	0.7	0.88	0.47	2.61	1.89	2.08	1.23	1.12
1988	2.34	1.01	0.8	1.02	0.51	2.72	2.26	2.55	1.77	1.72
1989	1.99	0.75	0.74	0.92	0.49	2.14	2.09	2.47	0.82	0.74
1990	1.39	0.88	0.76	0.84	0.61	2.12	1.85	2.36	0.8	0.93
1991	1.36	0.83	0.83	0.86	0.54	2.16	1.61	2.22	1.13	1.18
1992	1.94	0.9	1.07	1.07	0.7	2.57	2.3	2.77	1.43	1.5
1993	1.83	0.89	0.98	1.19	0.76	3.21	2.6	3.77	1.92	1.87
1994	1.31	0.69	0.7	0.85	0.42	2.24	2.04	1.9	1.15	0.84
1995	1.36	0.8	0.75	0.93	0.51	2.25	1.94	1.46	1.16	0.8
1996	0.51	0.25	0.5	0.32	0.27	1.36	1.02	0.92	0.65	0.39
