# Meko - Custer State Park - QUMA - ITRDB SD007
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3939
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3939.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd007-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd007-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd007.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd007.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Custer State Park - QUMA - ITRDB SD007
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Custer State Park
#   Location: South Dakota
#   Northernmost_Latitude: 43.75
#   Southernmost_Latitude: 43.75
#   Easternmost_Longitude: -103.38
#   Westernmost_Longitude: -103.38
#   Elevation_m: 1340
#--------------------
# Data_Collection
#   Collection_Name: SD007
#   First_Year: 1775
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CSP01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CSP01A_raw	CSP01B_raw	CSP01E_raw	CSP01F_raw	CSP01G_raw	CSP02A_raw	CSP03A_raw	CSP04A_raw	CSP05A_raw	CSP06A_raw
1848	0.64	1	NA	NA	NA	NA	1.24	NA	1.08	0.92
1849	1.17	1.51	NA	NA	NA	NA	1.52	NA	1.22	0.69
1850	0.9	1.73	NA	NA	NA	NA	1.65	NA	1.05	0.97
1851	0.8	2.36	NA	NA	NA	NA	1.76	NA	1.12	0.71
1852	0.7	1.81	NA	NA	NA	NA	1.58	NA	0.95	0.91
1853	1	2.12	NA	NA	NA	NA	1.88	NA	0.92	1.23
1854	1.1	1.96	NA	NA	NA	NA	1.52	NA	0.6	0.96
1855	0.82	1.28	NA	NA	NA	NA	0.67	NA	0.63	0.78
1856	0.51	0.71	NA	NA	NA	NA	0.8	NA	0.59	0.75
1857	0.54	0.78	NA	NA	NA	NA	1.08	NA	0.62	0.72
1858	0.37	0.76	NA	NA	NA	NA	1.39	NA	0.57	0.48
1859	0.37	0.61	NA	NA	NA	NA	1.01	NA	0.62	0.64
1860	0.33	0.58	NA	NA	NA	NA	0.71	NA	0.54	0.62
1861	0.39	0.54	NA	NA	NA	NA	0.83	NA	0.47	0.81
1862	0.44	0.72	NA	NA	NA	NA	1.25	NA	0.63	0.88
1863	0.71	0.56	NA	NA	NA	NA	1.05	NA	0.4	0.64
1864	1.19	0.63	NA	NA	NA	NA	1.14	NA	0.42	0.58
1865	0.89	0	NA	NA	NA	NA	0.69	NA	0.36	0.63
1866	1.52	0.44	NA	NA	NA	NA	0.75	NA	0.54	0.72
1867	1.23	0.57	NA	NA	NA	NA	1.11	NA	0.59	0.92
1868	2	0.55	NA	NA	NA	NA	0.71	NA	0.55	0.79
1869	1.25	0.3	NA	NA	NA	NA	0.81	NA	0.48	0.83
1870	1.35	0.43	NA	NA	NA	NA	0.74	NA	0.43	0.67
1871	1.01	0.37	NA	NA	NA	NA	0.66	NA	0.44	0.44
1872	0.72	0.3	NA	NA	NA	NA	0.55	NA	0.36	0.43
1873	0.7	0.3	NA	NA	NA	NA	0.82	NA	0.42	0.47
1874	0.6	0.33	NA	NA	NA	NA	0.78	NA	0.48	0.68
1875	0.75	0.26	NA	NA	NA	NA	0.53	NA	0.47	0.75
1876	0.62	0.27	NA	NA	NA	NA	0.53	NA	0.45	0.58
1877	0.63	0.34	0.53	NA	NA	NA	0.68	NA	0.43	0.54
1878	NA	0.38	0.7	NA	NA	NA	0.77	NA	0.45	0.59
1879	NA	0.49	0.68	NA	NA	NA	1.34	NA	0.58	0.75
1880	NA	0.4	0.53	NA	NA	NA	1.01	NA	0.59	0.87
1881	NA	0.37	0.66	NA	NA	NA	0.93	NA	0.62	0.76
1882	NA	0.48	0.73	NA	NA	NA	1.19	NA	0.75	0.81
1883	NA	0.4	0.88	NA	NA	NA	0.72	NA	0.6	0.76
1884	NA	0.49	0.83	NA	NA	NA	0.98	NA	0.66	0.92
1885	NA	0.53	0.73	NA	NA	NA	1.13	NA	0.78	0.89
1886	NA	0.48	0.7	NA	NA	NA	0.98	NA	0.73	0.89
1887	NA	0.64	1.22	NA	NA	NA	1.31	NA	1.02	1.03
1888	NA	0.51	1.42	NA	NA	NA	1.16	NA	1.04	1.11
1889	NA	0.81	1.33	NA	NA	NA	1.17	NA	1	1.14
1890	NA	0.6	1.14	NA	NA	NA	1.12	NA	0.97	1.15
1891	NA	0.71	1.06	NA	NA	NA	1.45	NA	1.22	1.32
1892	NA	1.13	1.14	NA	NA	NA	1.79	NA	1.24	1.41
1893	NA	0.66	0.85	NA	NA	NA	1.31	NA	0.97	1.2
1894	NA	0.77	0.53	NA	NA	NA	1.01	NA	0.79	1.12
1895	NA	0.84	0.51	NA	NA	NA	0.97	NA	0.87	1.12
1896	NA	0.7	0.59	NA	NA	NA	0.68	NA	0.93	1.17
1897	NA	0.55	0.36	NA	NA	NA	0.57	NA	1.02	1.34
1898	NA	0.57	0.38	NA	NA	NA	0.55	NA	1.68	1.37
1899	NA	0.61	0.45	NA	NA	NA	0.57	2.7	1.66	1.57
1900	NA	0.55	0.51	NA	NA	NA	0.56	2.62	1.27	1.73
1901	NA	0.57	0.52	NA	NA	NA	0.54	3.28	1.51	1.85
1902	NA	0.96	0.84	NA	NA	NA	0.8	3.07	1.67	2.39
1903	NA	0.96	0.51	NA	NA	NA	0.76	3.16	1.54	2.33
1904	NA	1.11	0.38	NA	NA	NA	1.11	2.92	1.61	2.38
1905	NA	1.55	0.75	NA	NA	NA	1.22	2.73	1.7	2.1
1906	NA	0.92	1.04	NA	NA	NA	1.2	2.25	1.35	1.91
1907	NA	1.16	0.68	NA	NA	NA	1.43	3.26	1.78	2.67
1908	NA	1.05	0.68	1.16	NA	NA	1.27	2.49	1.54	1.84
1909	NA	0.8	0.66	0.77	NA	NA	1.14	2.14	1.42	1.84
1910	NA	0.44	0.54	0.56	NA	NA	1.09	1.16	0.88	1
1911	NA	0.44	0.55	0.48	NA	NA	0.82	1.8	0.9	1.36
1912	NA	0.93	0.81	0.83	NA	2.44	1.29	3.14	1.67	2.31
1913	NA	0.82	0.52	0.51	NA	1.48	0.93	3.23	1.38	2.08
1914	NA	0.75	0.57	0.53	NA	1.05	0.81	1.74	0.94	1.32
1915	NA	0.62	0.28	0.6	NA	1.93	0.77	1.32	0.79	0.75
1916	NA	0.8	0.32	0.93	NA	3	1.13	1.57	1.04	0.8
1917	NA	0.96	0.42	1.13	NA	3.21	1.33	2.03	0.96	0.81
1918	NA	0.89	0.65	1.08	NA	2.95	1.58	2.07	0.98	1.16
1919	NA	1.07	0.6	1.05	NA	2.89	1.64	2.24	0.95	1.13
1920	NA	1.19	0.58	1.1	NA	2.81	1.02	1.52	0.89	0.74
1921	NA	0.91	0.53	0.89	NA	2.55	1.35	1.63	1.11	1.09
1922	NA	1.09	0.71	1.03	NA	3.64	1.7	1.98	1.26	1.1
1923	NA	1.37	0.61	1.15	NA	3.65	1.89	2.14	0.93	1.28
1924	NA	1.23	0.68	1.11	NA	3.43	0.93	1.33	0.77	0.94
1925	NA	1.6	0.87	1.1	NA	3.75	1.09	1.86	1.03	1.17
1926	NA	1.69	0.53	1.42	NA	3.36	1.06	1.68	0.88	0.97
1927	NA	1.45	0.66	1.05	NA	2.81	0.76	1.8	0.69	1.08
1928	NA	1.78	0.99	1.71	NA	3.02	0.81	1.86	0.72	1.05
1929	NA	1.46	1.1	1.53	NA	2.14	1.07	1.89	0.73	1.12
1930	NA	0.96	1.12	1.18	NA	2.04	0.85	1.68	0.49	1.03
1931	NA	0.61	1.03	0.85	NA	1.35	0.64	1.51	0.54	0.77
1932	NA	1.24	1.05	1.7	NA	3.43	0.68	1.84	0.63	1.24
1933	NA	1.29	0.75	1.31	NA	2.63	0.7	1.79	0.61	0.91
1934	NA	0.52	0.84	1.17	NA	2.28	0.71	1.88	0.46	0.76
1935	NA	1.09	0.82	1.24	NA	3.26	0.7	1.48	0.48	1.08
1936	NA	0.85	0.74	0.78	NA	1.63	0.68	1.06	0.45	0.74
1937	NA	0.66	0.75	0.76	NA	1.35	0.52	0.83	0.46	0.62
1938	NA	0.73	0.65	0.62	NA	1.27	0.45	0.76	0.46	0.53
1939	NA	0.58	0.86	0.61	NA	1.29	0.54	0.82	0.41	0.59
1940	NA	0.6	0.69	0.57	NA	1.03	0.42	0.71	0.33	0.51
1941	NA	0.62	0.83	0.63	NA	2.16	0.47	0.9	0.36	0.66
1942	NA	0.55	1.1	0.48	NA	2.43	0.61	1.02	0.44	0.64
1943	NA	0.57	1.01	0.59	NA	3.85	0.59	0.94	0.37	0.62
1944	NA	0.58	NA	0.56	NA	2.9	0.57	1.05	0.42	0.54
1945	NA	0.55	NA	0.64	NA	3.23	0.62	0.88	0.37	0.56
1946	NA	0.43	NA	0.5	NA	2.63	0.49	0.91	0.34	0.55
1947	NA	0.47	NA	0.45	NA	2.16	0.56	0.82	0.4	0.59
1948	NA	0.39	NA	0.38	NA	2.97	0.46	0.82	0.34	0.56
1949	NA	0.58	NA	0.53	NA	3.25	0.58	0.96	0.4	0.71
1950	NA	0.55	NA	0.49	NA	2.6	0.54	1.33	0.33	0.7
1951	NA	0.48	NA	0.61	NA	1.57	0.47	0.98	0.46	0.5
1952	NA	0.48	NA	0.55	NA	1.84	0.45	0.95	0.41	0.58
1953	NA	0.43	NA	0.5	NA	1.98	0.42	1.26	0.44	0.58
1954	NA	0.49	NA	0.52	NA	1.88	0.52	0.86	0.25	0.53
1955	NA	0.46	NA	0.5	NA	2.03	0.41	0.96	0.33	0.39
1956	NA	0.51	NA	0.52	NA	1.51	0.41	0.66	0.35	0.35
1957	NA	0.92	NA	0.86	NA	3.42	0.45	0.96	0.4	0.5
1958	NA	0.68	NA	0.61	NA	3.43	0.54	1.2	0.41	0.48
1959	NA	0.65	NA	0.79	NA	2.36	0.55	1.34	0.5	0.52
1960	NA	0.51	NA	0.59	NA	1.75	0.39	1	0.31	0.37
1961	NA	0.46	NA	0.61	NA	1.35	0.52	0.84	0.41	0.37
1962	NA	0.94	NA	NA	NA	2.15	0.6	0.99	0.36	0.4
1963	NA	0.62	NA	NA	0.77	2.12	0.61	1	0.38	0.54
1964	NA	0.55	NA	NA	0.75	3.04	0.83	0.95	0.29	0.59
1965	NA	0.74	NA	NA	0.99	3.18	0.87	1.03	0.42	0.59
1966	NA	0.47	NA	NA	0.58	2.39	0.63	0.98	0.3	0.46
1967	NA	0.6	NA	NA	0.55	2.25	0.65	0.93	0.38	0.45
1968	NA	0.44	NA	NA	0.5	2.24	0.69	0.9	0.4	0.61
1969	NA	0.44	NA	NA	0.56	3.51	0.62	1.11	0.34	0.61
1970	NA	0.76	NA	NA	0.71	2.37	0.83	0.92	0.36	0.53
1971	NA	0.59	NA	NA	0.52	3.2	0.73	1.08	0.4	0.67
1972	NA	0.76	NA	NA	0.71	3.54	0.89	1.07	0.43	0.79
1973	NA	0.54	NA	NA	0.62	2.37	0.96	1.19	0.47	0.71
1974	NA	0.44	NA	NA	0.46	1.74	0.62	0.77	0.37	0.51
1975	NA	0.56	NA	NA	0.42	2.63	0.6	0.97	0.39	0.64
1976	NA	0.42	NA	NA	0.43	2.01	0.48	0.7	0.41	0.58
1977	NA	0.42	NA	NA	0.39	2.69	0.66	0.69	0.55	0.76
1978	NA	0.47	NA	NA	0.59	3.21	0.91	0.9	0.63	0.86
1979	NA	0.55	NA	NA	0.51	2.87	0.96	1.01	0.67	0.8
1980	NA	0.36	NA	NA	0.51	1.94	0.67	1.13	0.54	0.7
1981	NA	0.6	NA	NA	0.59	2.56	0.88	1.02	0.55	0.85
1982	NA	0.65	NA	NA	0.52	2.49	1.11	1.28	0.71	0.82
1983	NA	0.49	NA	NA	0.34	2.37	0.88	1.12	0.63	0.61
1984	NA	0.74	NA	NA	0.56	3.09	0.73	1.06	0.55	0.66
1985	NA	0.34	NA	NA	0.27	1.7	0.63	0.84	0.45	0.6
1986	NA	0.6	NA	NA	0.53	2.59	0.67	0.85	0.53	0.75
1987	NA	0.56	NA	NA	0.45	2.69	0.71	0.52	0.61	0.7
1988	NA	0.5	NA	NA	0.38	2.42	0.61	0.89	0.65	0.65
1989	NA	0.42	NA	NA	0.37	1.98	0.68	1.09	0.61	0.68
1990	NA	0.41	NA	NA	0.38	2.19	NA	0.73	0.56	0.51
