# Yamaguchi - Grays Harbor/Johns River snags - THPL - ITRDB WA133
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5381
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5381.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa133-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa133-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa133.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa133.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Grays Harbor/Johns River snags - THPL - ITRDB WA133
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Grays Harbor/Johns River snags
#   Location: Washington
#   Northernmost_Latitude: 46.9
#   Southernmost_Latitude: 46.9
#   Easternmost_Longitude: -124.02
#   Westernmost_Longitude: -124.02
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA133
#   First_Year: 1378
#   Last_Year: 1685
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## JR560_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR560; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## JR5611_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR5611; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## JR5612_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR5612; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## JR566_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR566; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	JR560_raw	JR5611_raw	JR5612_raw	JR566_raw
1495	1.55	2.34	1.08	2.14
1496	1.72	2.08	1.04	2.71
1497	1.99	2.47	0.96	2.78
1498	1.59	1.99	0.87	2.29
1499	1.51	1.7	0.67	2.6
1500	1.64	1.87	0.96	2.92
1501	1.88	2.18	0.63	2.7
1502	2.82	2.74	1.05	3.55
1503	2.38	2.13	1	4.01
1504	1.7	1.07	0.66	3.35
1505	1.67	1.08	0.8	3.66
1506	1.31	0.82	0.49	3.3
1507	1.55	0.7	0.5	3.2
1508	2.53	1.12	0.85	3.11
1509	1.75	1.32	0.87	2.47
1510	1.81	1.08	0.91	3.5
1511	1.93	0.82	0.56	3.78
1512	1.43	0.98	0.81	2.12
1513	1.3	0.89	0.85	1.76
1514	1.18	0.86	0.72	1.81
1515	1.66	0.86	0.99	1.84
1516	1.21	1.04	1.06	1.82
1517	1.17	1.36	1.14	1.98
1518	1.2	1.51	1.26	2.15
1519	1.23	1.67	1.58	2.44
1520	1.25	1.63	1.46	2.31
1521	1.36	1.38	1.47	2.11
1522	1.12	1.99	1.38	2.05
1523	1.92	2.41	1.62	2.8
1524	1.88	2.09	1.38	2.88
1525	1.45	1.46	1.23	3.23
1526	2.07	1.66	1.48	3.85
1527	2.11	1.3	1.26	2.77
1528	1.63	1.44	1.62	3.3
1529	1.14	1.64	1.95	3.88
1530	1.27	1.37	1.41	3.5
1531	0.93	1.16	1.16	2.23
1532	0.9	0.96	1.11	2.49
1533	1.18	1.14	1.28	2.31
1534	1.01	0.78	1.07	2.34
1535	1.81	1.45	1.36	3.5
1536	1.58	1.17	1.37	2.82
1537	0.93	1.27	1.3	2.76
1538	0.86	1.44	1.55	1.89
1539	0.74	1.49	1.67	2.02
1540	0.58	1.57	1.38	2.34
1541	0.64	1.92	1.9	3.7
1542	0.69	1.59	1.89	3.67
1543	0.71	1.42	1.92	2.72
1544	0.7	1.39	1.9	2.76
1545	0.64	1.05	1.59	2.97
1546	0.52	0.74	0.96	2.35
1547	0.65	1.42	1.96	2.9
1548	0.84	1.21	1.64	2.22
1549	0.68	0.75	1.14	1.85
1550	0.93	1.26	2.07	2.67
1551	0.88	1.22	1.89	3.18
1552	0.78	1.13	2	2.49
1553	0.86	1.44	2.01	2.76
1554	0.8	1.29	1.65	2.3
1555	0.83	1.29	2.04	3.83
1556	0.73	1.49	2.13	2.59
1557	0.91	1.05	1.3	1.9
1558	0.88	1.39	1.79	1.58
1559	1	1.37	1.19	1.17
1560	1.06	1.52	1.46	1.31
1561	0.94	1.31	1.44	1.12
1562	1.02	1.19	1.69	1.46
1563	0.98	0.74	1.4	1.45
1564	0.87	0.94	1.18	1.72
1565	0.82	0.94	0.97	1.55
1566	0.98	1.03	1.01	1.62
1567	0.85	1.1	1.19	0.99
1568	0.92	1.03	1.02	0.78
1569	0.85	1.08	0.96	1
1570	0.79	0.86	0.86	0.88
1571	0.88	1.27	1.21	1.08
1572	0.92	0.86	0.95	0.93
1573	1.09	1.03	1.21	1.06
1574	1.04	0.75	1.18	0.96
1575	0.99	0.7	1.21	0.81
1576	0.84	1.1	1.31	0.75
1577	0.86	0.94	1.32	0.72
1578	0.87	0.84	1	0.93
1579	1	0.82	0.98	0.78
1580	1	0.77	0.66	0.88
1581	1.11	0.69	0.69	1.14
1582	1.13	0.72	0.57	0.84
1583	1.11	0.73	0.58	0.99
1584	0.77	0.75	0.48	1.01
1585	0.62	0.48	0.39	0.93
1586	0.67	0.6	0.39	1.27
1587	0.85	0.74	0.7	1.37
1588	0.73	0.55	0.53	1.18
1589	0.83	0.76	0.63	1.39
1590	0.76	0.71	0.8	1.42
1591	0.82	0.52	0.72	1.1
1592	0.73	0.62	0.82	1.36
1593	0.73	0.55	0.97	1.12
1594	0.76	0.55	0.96	1.15
1595	0.77	0.59	0.82	1.05
1596	0.74	0.57	0.9	0.99
1597	0.85	0.58	0.92	1.02
1598	1	0.57	0.88	1.05
1599	0.8	0.63	1.05	1.46
1600	0.81	0.62	0.73	1.61
1601	0.89	0.68	1.06	2.7
1602	0.96	0.64	0.85	2.25
1603	0.98	0.63	0.95	2.7
1604	0.91	0.71	0.85	2.5
1605	0.82	0.56	0.88	1.35
1606	0.89	0.6	0.92	1.63
1607	0.79	0.6	0.85	2.01
1608	0.73	0.52	0.73	3.33
1609	0.79	0.68	1.05	2.18
1610	0.95	0.86	0.92	2.29
1611	0.77	0.5	0.93	2.21
1612	0.65	0.8	0.82	2.43
1613	0.54	0.61	0.92	1.61
1614	0.63	0.67	0.98	1.74
1615	0.43	0.55	0.97	1.54
1616	0.58	0.58	0.74	1.53
1617	0.44	0.6	1.11	1.65
1618	0.41	0.49	1.22	1.61
1619	0.46	0.68	0.96	1.68
1620	0.46	0.81	0.84	1.67
1621	0.65	0.81	1.13	1.98
1622	0.64	0.78	1.19	1.99
1623	0.57	0.79	0.96	1.93
1624	0.64	0.69	0.98	1.41
1625	0.8	1	1.13	1.89
1626	0.68	0.72	0.95	1.55
1627	0.88	0.93	1.15	1.31
1628	1.05	1.54	1.73	1.98
1629	0.95	1.14	1.27	1.99
1630	0.82	0.93	1.13	1.24
1631	0.91	0.99	0.86	1.39
1632	0.94	0.85	1.14	1.58
1633	0.66	0.53	0.74	1.39
1634	0.62	0.52	0.8	1.66
1635	0.55	0.49	0.81	1.36
1636	0.68	0.77	0.9	1.51
1637	0.63	0.55	0.86	1.34
1638	0.6	0.59	1.06	1.77
1639	0.65	0.55	1.08	1.76
1640	0.71	0.64	0.93	2.13
1641	0.72	0.72	1.24	1.3
1642	0.56	0.48	0.91	1.5
1643	0.61	0.65	0.96	1.35
1644	0.52	0.44	0.9	1.16
1645	0.67	0.6	0.97	1.84
1646	0.68	0.61	0.98	1.29
1647	0.63	0.6	1.01	1.49
1648	0.69	0.55	0.86	1.16
1649	0.39	0.36	0.6	0.9
1650	0.5	0.53	0.76	1.48
1651	0.55	0.88	0.78	1.66
1652	0.52	0.81	0.7	1.99
1653	0.47	0.73	0.79	1.53
1654	0.48	0.69	0.73	1.67
1655	0.65	0.77	0.72	2.18
1656	0.66	0.7	0.73	1.43
1657	0.78	0.95	0.91	1.7
1658	0.68	0.66	0.83	1.36
1659	0.7	0.64	0.77	1.21
1660	0.73	0.72	0.84	1.65
1661	0.74	0.43	0.64	1.95
1662	0.69	0.55	0.82	1.7
1663	0.33	0.5	0.77	1.37
1664	0.57	0.61	0.82	1.45
1665	0.5	0.6	0.68	1.38
1666	0.59	0.55	0.55	1.52
1667	0.63	0.65	0.9	2.21
1668	0.57	0.52	0.98	2.07
1669	0.63	0.54	0.96	2.47
1670	0.38	0.51	0.88	2.04
1671	0.43	0.46	NA	1.76
1672	0.32	0.43	NA	2.07
1673	0.39	0.43	NA	2.34
1674	0.4	0.4	NA	2.34
1675	NA	0.26	NA	2.4
1676	NA	0.28	NA	1.86
1677	NA	0.2	NA	1.75
1678	NA	0.31	NA	1.76
1679	NA	NA	NA	1.97
1680	NA	NA	NA	1.78
1681	NA	NA	NA	2.17
1682	NA	NA	NA	1.67
1683	NA	NA	NA	1.31
1684	NA	NA	NA	1.75
1685	NA	NA	NA	1.53
