# Bigler - Cameron Pass - PICO - ITRDB CO634
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5503
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5503.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co634-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co634-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co634.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co634.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2007-08-02
#--------------------
# Title
#   Study_Name: Bigler - Cameron Pass - PICO - ITRDB CO634
#--------------------
# Investigators
#   Investigators: Bigler, C.; Veblen, T.T.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cameron Pass
#   Location: Colorado
#   Northernmost_Latitude: 40.55
#   Southernmost_Latitude: 40.55
#   Easternmost_Longitude: -105.83
#   Westernmost_Longitude: -105.83
#   Elevation_m: 3100
#--------------------
# Data_Collection
#   Collection_Name: CO634
#   First_Year: 1747
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus contorta Douglas ex Loudon
#   Common_Name: lodgepole pine
#   Tree_Species_Code: PICO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## C043216_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043216; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043234_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043234; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043408_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043408; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044204_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044204; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044236_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044236; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044244_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044244; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	C043216_raw	C043234_raw	C043408_raw	C044204_raw	C044222_raw	C044230_raw	C044236_raw	C044244_raw
1819	0.043	0.082	0.099	0.131	0.058	0.06	0.038	0.046
1820	0.042	0.083	0.097	0.118	0.05	0.063	0.036	0.045
1821	0.042	0.081	0.095	0.118	0.04	0.046	0.035	0.039
1822	0.068	0.084	0.078	0.171	0.049	0.041	0.034	0.048
1823	0.054	0.073	0.067	0.148	0.058	0.044	0.034	0.047
1824	0.058	0.079	0.07	0.134	0.048	0.045	0.037	0.053
1825	0.07	0.09	0.092	0.135	0.058	0.045	0.045	0.052
1826	0.072	0.11	0.089	0.164	0.046	0.05	0.043	0.052
1827	0.072	0.12	0.1	0.18	0.053	0.056	0.058	0.056
1828	0.056	0.114	0.105	0.146	0.048	0.06	0.048	0.069
1829	0.049	0.095	0.08	0.128	0.047	0.064	0.047	0.05
1830	0.076	0.12	0.1	0.106	0.065	0.058	0.025	0.048
1831	0.066	0.088	0.083	0.1	0.041	0.056	0.023	0.045
1832	0.048	0.063	0.06	0.078	0.036	0.039	0.03	0.037
1833	0.049	0.083	0.077	0.093	0.045	0.051	0.036	0.039
1834	0.054	0.077	0.073	0.111	0.05	0.056	0.04	0.035
1835	0.051	0.089	0.072	0.085	0.049	0.049	0.037	0.038
1836	0.05	0.077	0.055	0.08	0.033	0.036	0.033	0.036
1837	0.042	0.087	0.091	0.092	0.053	0.041	0.036	0.037
1838	0.038	0.073	0.078	0.093	0.047	0.038	0.035	0.033
1839	0.05	0.073	0.077	0.064	0.048	0.041	0.029	0.031
1840	0.055	0.071	0.084	0.067	0.069	0.055	0.023	0.04
1841	0.056	0.083	0.092	0.064	0.059	0.05	0.029	0.041
1842	0.048	0.085	0.07	0.069	0.054	0.061	0.027	0.034
1843	0.059	0.086	0.055	0.063	0.053	0.05	0.028	0.044
1844	0.057	0.069	0.056	0.066	0.043	0.05	0.022	0.04
1845	0.047	0.064	0.044	0.057	0.039	0.05	0.017	0.037
1846	0.051	0.067	0.059	0.059	0.045	0.061	0.012	0.035
1847	0.052	0.079	0.049	0.071	0.039	0.049	0.017	0.043
1848	0.049	0.08	0.053	0.062	0.054	0.037	0.017	0.039
1849	0.054	0.076	0.062	0.061	0.047	0.036	0.02	0.039
1850	0.053	0.073	0.053	0.072	0.051	0.034	0.015	0.038
1851	0.052	0.074	0.049	0.051	0.05	0.033	0.016	0.028
1852	0.049	0.094	0.052	0.055	0.043	0.035	0.019	0.028
1853	0.054	0.082	0.061	0.075	0.039	0.027	0.018	0.028
1854	0.058	0.077	0.061	0.069	0.041	0.034	0.017	0.026
1855	0.077	0.081	0.066	0.083	0.051	0.028	0.016	0.03
1856	0.071	0.093	0.056	0.086	0.057	0.033	0.02	0.034
1857	0.056	0.099	0.049	0.092	0.053	0.029	0.023	0.03
1858	0.058	0.09	0.047	0.067	0.05	0.023	0.024	0.032
1859	0.062	0.086	0.056	0.071	0.045	0.029	0.02	0.036
1860	0.073	0.094	0.064	0.07	0.056	0.041	0.013	0.036
1861	0.085	0.102	0.073	0.066	0.058	0.046	0.025	0.037
1862	0.099	0.109	0.071	0.063	0.065	0.034	0.02	0.033
1863	0.086	0.112	0.076	0.085	0.067	0.051	0.02	0.041
1864	0.067	0.089	0.08	0.064	0.054	0.046	0.017	0.029
1865	0.058	0.069	0.059	0.051	0.035	0.038	0.013	0.025
1866	0.08	0.096	0.072	0.065	0.046	0.04	0.023	0.04
1867	0.069	0.105	0.069	0.048	0.048	0.036	0.032	0.03
1868	0.07	0.11	0.07	0.059	0.041	0.039	0.027	0.028
1869	0.082	0.107	0.059	0.047	0.045	0.037	0.021	0.03
1870	0.094	0.108	0.052	0.063	0.037	0.042	0.018	0.025
1871	0.077	0.082	0.054	0.058	0.04	0.041	0.026	0.017
1872	0.083	0.079	0.043	0.041	0.035	0.031	0.017	0.022
1873	0.082	0.078	0.042	0.037	0.025	0.029	0.011	0.025
1874	0.095	0.102	0.046	0.041	0.03	0.028	0.015	0.02
1875	0.067	0.137	0.037	0.039	0.042	0.032	0.015	0.022
1876	0.068	0.127	0.045	0.044	0.042	0.031	0.015	0.034
1877	0.073	0.092	0.035	0.06	0.038	0.039	0.024	0.032
1878	0.072	0.083	0.033	0.042	0.03	0.029	0.016	0.024
1879	0.103	0.089	0.029	0.033	0.032	0.038	0.019	0.022
1880	0.08	0.08	0.03	0.039	0.031	0.027	0.014	0.017
1881	0.089	0.097	0.036	0.032	0.034	0.025	0.017	0.026
1882	0.096	0.084	0.033	0.037	0.036	0.029	0.021	0.018
1883	0.07	0.063	0.03	0.035	0.025	0.027	0.015	0.022
1884	0.061	0.068	0.031	0.031	0.018	0.028	0.019	0.026
1885	0.075	0.081	0.029	0.045	0.033	0.026	0.024	0.036
1886	0.075	0.077	0.03	0.044	0.038	0.037	0.025	0.039
1887	0.064	0.071	0.028	0.037	0.036	0.037	0.029	0.036
1888	0.061	0.065	0.029	0.033	0.035	0.039	0.023	0.034
1889	0.064	0.069	0.029	0.03	0.03	0.031	0.017	0.029
1890	0.058	0.07	0.024	0.041	0.028	0.027	0.019	0.027
1891	0.065	0.073	0.022	0.032	0.028	0.036	0.019	0.028
1892	0.065	0.082	0.03	0.038	0.03	0.036	0.019	0.026
1893	0.056	0.08	0.022	0.036	0.025	0.027	0.017	0.023
1894	0.058	0.082	0.026	0.048	0.029	0.03	0.018	0.028
1895	0.054	0.082	0.023	0.037	0.028	0.028	0.016	0.024
1896	0.053	0.073	0.019	0.038	0.024	0.027	0.02	0.023
1897	0.059	0.071	0.025	0.041	0.025	0.024	0.012	0.019
1898	0.068	0.072	0.024	0.043	0.027	0.031	0.018	0.016
1899	0.064	0.078	0.025	0.038	0.026	0.024	0.02	0.012
1900	0.083	0.075	0.023	0.046	0.033	0.027	0.013	0.016
1901	0.08	0.08	0.027	0.052	0.041	0.03	0.027	0.013
1902	0.057	0.067	0.017	0.047	0.021	0.024	0.013	0.011
1903	0.057	0.075	0.021	0.035	0.023	0.028	0.015	0.013
1904	0.053	0.072	0.016	0.033	0.02	0.025	0.016	0.011
1905	0.05	0.093	0.019	0.029	0.022	0.027	0.019	0.013
1906	0.049	0.068	0.018	0.031	0.014	0.025	0.018	0.008
1907	0.059	0.076	0.02	0.039	0.021	0.024	0.018	0.014
1908	0.054	0.085	0.014	0.039	0.021	0.023	0.019	0.014
1909	0.063	0.074	0.023	0.039	0.012	0.022	0.02	0.012
1910	0.047	0.056	0.016	0.039	0.023	0.026	0.022	0.009
1911	0.042	0.078	0.015	0.036	0.026	0.031	0.019	0.008
1912	0.043	0.073	0.02	0.038	0.013	0.023	0.022	0.012
1913	0.043	0.06	0.013	0.033	0.015	0.021	0.024	0.01
1914	0.05	0.061	0.019	0.039	0.02	0.022	0.019	0.011
1915	0.047	0.051	0.016	0.039	0.028	0.024	0.018	0.009
1916	0.043	0.06	0.018	0.038	0.019	0.025	0.024	0.016
1917	0.041	0.079	0.017	0.047	0.017	0.015	0.024	0.021
1918	0.037	0.076	0.013	0.036	0.015	0.015	0.019	0.014
1919	0.033	0.057	0.012	0.037	0.013	0.017	0.019	0.01
1920	0.032	0.059	0.009	0.029	0.021	0.02	0.026	0.014
1921	0.041	0.064	0.011	0.031	0.014	0.019	0.015	0.013
1922	0.031	0.078	0.017	0.033	0.021	0.019	0.018	0.01
1923	0.038	0.085	0.019	0.038	0.018	0.016	0.015	0.008
1924	0.037	0.076	0.017	0.033	0.019	0.014	0.018	0.014
1925	0.039	0.086	0.009	0.031	0.018	0.013	0.017	0.011
1926	0.036	0.086	0.012	0.034	0.023	0.014	0.014	0.011
1927	0.041	0.086	0.016	0.039	0.026	0.02	0.02	0.013
1928	0.043	0.081	0.021	0.04	0.026	0.017	0.017	0.016
1929	0.046	0.115	0.024	0.045	0.032	0.016	0.024	0.01
1930	0.038	0.092	0.015	0.032	0.022	0.013	0.015	0.009
1931	0.038	0.101	0.013	0.034	0.027	0.015	0.022	0.006
1932	0.041	0.1	0.023	0.047	0.029	0.018	0.014	0.007
1933	0.037	0.079	0.017	0.041	0.019	0.014	0.013	0.011
1934	0.032	0.08	0.019	0.044	0.023	0.018	0.01	0.01
1935	0.029	0.071	0.015	0.039	0.02	0.018	0.007	0.008
1936	0.026	0.065	0.019	0.029	0.013	0.015	0.007	0.007
1937	0.027	0.069	0.017	0.033	0.018	0.013	0.008	0.007
1938	0.025	0.064	0.022	0.035	0.016	0.014	0.014	0.008
1939	0.034	0.081	0.024	0.035	0.016	0.021	0.009	0.009
1940	0.035	0.09	0.023	0.036	0.017	0.015	0.012	0.007
1941	0.029	0.074	0.02	0.045	0.02	0.016	0.01	0.004
1942	0.027	0.053	0.021	0.04	0.018	0.013	0.009	0.009
1943	0.023	0.067	0.02	0.031	0.018	0.016	0.011	0.006
1944	0.027	0.068	0.021	0.04	0.011	0.013	0.007	0.006
1945	0.025	0.058	0.02	0.048	0.01	0.012	0.008	0.007
1946	0.021	0.065	0.022	0.047	0.018	0.018	0.013	0.008
1947	0.023	0.052	0.017	0.048	0.017	0.012	0.009	0.008
1948	0.03	0.049	0.016	0.034	0.015	0.014	0.009	0.007
1949	0.031	0.05	0.021	0.043	0.016	0.016	0.011	0.01
1950	0.027	0.055	0.017	0.036	0.02	0.015	0.011	0.012
1951	0.033	0.066	0.019	0.048	0.019	0.017	0.011	0.011
1952	0.029	0.076	0.013	0.042	0.017	0.019	0.007	0.009
1953	0.021	0.093	0.014	0.046	0.016	0.016	0.01	0.01
1954	0.022	0.066	0.014	0.06	0.016	0.015	0.01	0.01
1955	0.022	0.057	0.011	0.055	0.021	0.014	0.006	0.008
1956	0.026	0.054	0.012	0.052	0.017	0.015	0.011	0.009
1957	0.025	0.071	0.014	0.049	0.022	0.015	0.011	0.011
1958	0.022	0.065	0.014	0.037	0.02	0.015	0.008	0.01
1959	0.022	0.053	0.008	0.039	0.023	0.014	0.007	0.008
1960	0.027	0.058	0.011	0.049	0.021	0.017	0.009	0.009
1961	0.022	0.086	0.012	0.051	0.027	0.013	0.011	0.012
1962	0.026	0.075	0.015	0.045	0.025	0.017	0.013	0.014
1963	0.024	0.088	0.011	0.049	0.032	0.02	0.019	0.016
1964	0.024	0.091	0.016	0.04	0.028	0.025	0.025	0.01
1965	0.024	0.076	0.02	0.042	0.03	0.019	0.025	0.01
1966	0.023	0.08	0.014	0.047	0.028	0.018	0.024	0.013
1967	0.023	0.074	0.011	0.041	0.031	0.017	0.022	0.013
1968	0.021	0.078	0.008	0.039	0.034	0.018	0.023	0.013
1969	0.02	0.079	0.007	0.032	0.027	0.018	0.016	0.012
1970	0.02	0.062	0.007	0.03	0.021	0.019	0.018	0.012
1971	0.022	0.056	0.013	0.034	0.021	0.013	0.02	0.009
1972	0.022	0.069	0.015	0.031	0.023	0.013	0.013	0.01
1973	0.024	0.082	0.009	0.045	0.027	0.014	0.017	0.012
1974	0.028	0.09	0.013	0.058	0.034	0.021	0.021	0.018
1975	0.026	0.086	0.009	0.044	0.027	0.023	0.023	0.019
1976	0.024	0.083	0.008	0.043	0.033	0.02	0.023	0.015
1977	0.019	0.077	0.008	0.034	0.031	0.015	0.028	0.02
1978	0.023	0.087	0.006	0.037	0.035	0.022	0.029	0.02
1979	0.026	0.082	0.006	0.049	0.039	0.019	0.035	0.014
1980	0.023	0.095	0.005	0.036	0.029	0.023	0.036	0.011
1981	0.019	0.077	0.011	0.04	0.034	0.017	0.032	0.014
1982	0.028	0.069	0.014	0.048	0.042	0.022	0.043	0.02
1983	0.027	0.066	0.018	0.044	0.033	0.015	0.03	0.021
1984	0.025	0.065	0.014	0.032	0.035	0.022	0.029	0.019
1985	0.025	0.063	0.016	0.034	0.037	0.018	0.027	0.019
1986	0.025	0.07	0.014	0.024	0.041	0.02	0.025	0.017
1987	0.021	0.057	0.011	0.019	0.034	0.024	0.022	0.014
1988	0.018	0.062	0.013	0.024	0.048	0.029	0.014	0.023
1989	0.017	0.061	0.012	0.021	0.042	0.023	0.022	0.016
1990	0.021	0.067	0.013	0.022	0.038	0.026	0.015	0.018
1991	0.021	0.056	0.009	0.021	0.037	0.023	0.012	0.021
1992	0.019	0.043	0.01	0.019	0.032	0.016	0.013	0.017
1993	0.021	0.052	0.017	0.021	0.037	0.024	0.02	0.021
1994	0.021	0.056	0.011	0.021	0.029	0.022	0.019	0.017
1995	0.016	0.053	0.008	0.017	0.034	0.024	0.024	0.023
1996	0.015	0.046	0.009	0.016	0.026	0.017	0.027	0.02
1997	0.015	0.051	0.011	0.016	0.043	0.016	0.027	0.025
1998	0.016	0.059	0.01	0.019	0.04	0.015	0.03	0.023
1999	0.016	0.052	0.017	0.018	0.039	0.018	0.037	0.023
2000	0.016	0.053	0.013	0.014	0.034	0.015	0.028	0.021
2001	0.018	0.056	0.013	0.017	0.049	0.018	0.033	0.024
2002	0.018	0.048	0.014	0.028	0.057	0.028	0.029	0.026
2003	0.021	0.054	0.022	0.037	0.051	0.029	0.022	0.024
