# Wager - Mill D South - PSME - ITRDB UT575
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37971
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37971.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut575-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut575.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut575.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-04-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-04-17
#--------------------
# Title
#   Study_Name: Wager - Mill D South - PSME - ITRDB UT575
#--------------------
# Investigators
#   Investigators: Wager, David J.; DeRose, R. Justin; Jess, Ryan
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Wager, David J; F A Baker
#   Published_Date_or_Year: 2003
#   Published_Title: Potential effects of ozone, climate, and spruce budworm on Douglas-fir growth in the Wasatch Mountains
#   Journal_Name: Can. J. For. Res.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1139/x02-211
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Mill D South
#   Location: Utah
#   Northernmost_Latitude: 40.68
#   Southernmost_Latitude: 40.68
#   Easternmost_Longitude: -111.65
#   Westernmost_Longitude: -111.65
#   Elevation_m: 2300
#--------------------
# Data_Collection
#   Collection_Name: UT575
#   First_Year: 1873
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MDS-02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MCS-03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MCS-03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MDS-02A_raw	MDS-02B_raw	MCS-03A_raw	MDS-03B_raw	MDS-04A_raw	MDS-04B_raw	MDS-06A_raw	MDS-06B_raw	MDS-07A_raw	MDS-07B_raw
1939	3.194	3.821	2.009	1.737	2.269	1.569	1.628	1.997	1.972	1.747
1940	2.228	2.378	1.551	1.502	1.833	1.489	1.3	1.815	1.383	1.225
1941	1.975	1.604	1.652	1.449	1.698	1.305	1.608	1.74	1.394	1.184
1942	2.252	2.246	1.561	1.431	1.983	1.537	1.189	1.762	1.851	1.21
1943	2.286	2.382	1.837	1.571	2.174	1.912	1.067	2.089	2.07	1.048
1944	1.97	2.051	1.948	1.411	1.846	2.08	1.309	2.061	1.985	0.995
1945	1.705	1.913	2.206	1.522	1.79	1.604	1.163	2.04	2.035	0.876
1946	2.412	2.368	1.917	1.479	1.715	1.873	1.411	1.923	2.006	0.79
1947	2.071	2.507	1.26	0.88	1.36	1.397	1.33	1.381	1.615	0.677
1948	2.231	2.959	1.949	1.435	1.671	1.731	1.424	1.876	1.739	0.86
1949	2.009	3.1	1.814	1.345	1.812	1.758	1.183	1.826	1.638	0.985
1950	1.799	3.093	1.59	1.277	1.419	1.468	1.039	1.543	1.512	0.865
1951	1.811	3.993	2.07	2.518	1.745	1.585	1.647	1.908	1.574	1.393
1952	2.002	2.94	2.528	2.926	1.532	1.491	1.287	1.612	1.98	1.509
1953	1.771	2.353	1.762	1.907	1.247	1.276	0.983	1.619	1.451	1.175
1954	2.194	2.534	1.137	1.491	1.506	1.474	0.738	1.271	1.103	0.706
1955	1.65	2.939	1.358	1.471	1.506	1.6	0.745	1.271	1.284	0.747
1956	1.768	2.537	1.326	1.414	1.302	1.501	0.833	1.211	0.997	0.728
1957	1.968	2.626	0.896	1.115	1.226	1.31	0.82	1.104	0.936	0.659
1958	1.697	3.394	1.245	1.405	1.275	1.454	1.003	1.226	1.176	0.667
1959	1.871	3.658	1.125	1.306	1.318	1.352	0.882	1.191	1.205	0.768
1960	1.695	3.124	1.026	1.448	1.39	1.453	0.859	1.178	1.221	0.667
1961	1.291	2.162	0.652	0.944	1.231	1.241	0.662	0.539	0.62	0.268
1962	1.929	2.802	0.998	1.493	1.308	1.516	1.102	0.898	1.224	0.642
1963	1.737	3.323	1.258	1.429	1.664	1.759	1.016	1.106	1.174	0.788
1964	2.215	3.234	1.392	1.68	1.429	2.021	1.284	1.728	1.531	0.977
1965	1.781	3.305	1.724	1.898	1.871	2.521	1.532	1.863	1.585	1.02
1966	1.907	3.681	1.445	1.321	1.726	1.994	1.366	1.593	1.883	1.199
1967	1.718	3.266	1.684	1.202	1.793	1.699	1.221	1.121	1.527	1.044
1968	1.963	4.093	3.591	1.935	2.092	2.164	1.572	1.674	1.738	1.281
1969	2.103	4.027	4.028	1.652	2.127	2.176	1.502	2.262	1.712	1.274
1970	1.903	2.618	2.061	0.967	1.349	1.423	1.239	1.173	1.323	0.803
1971	1.763	2.68	2.736	0.968	1.764	1.492	1.219	1.44	1.328	0.893
1972	1.848	2.427	2.685	1.125	1.863	1.418	1.262	1.215	1.457	0.928
1973	1.711	2.383	2.137	1.072	1.691	1.707	1.362	1.158	1.495	0.756
1974	1.88	3.489	2.14	1.636	1.596	1.835	1.564	1.419	1.518	0.807
1975	1.592	3.155	1.851	1.185	1.369	1.557	1.38	1.369	1.553	0.723
1976	1.904	3.069	1.652	1.162	1.88	1.91	1.351	1.628	1.471	0.701
1977	1.303	2.384	0.994	0.695	1.535	1.368	0.856	1.03	0.721	0.471
1978	1.537	2.757	1.508	1.177	1.238	1.334	1.255	1.536	1.289	0.568
1979	1.367	2.557	1.548	0.929	1.201	0.961	0.832	1.128	0.938	0.46
1980	1.193	2.731	1.202	0.68	1.162	0.882	0.982	1.343	0.98	0.537
1981	1.587	3.329	1.266	0.865	1.456	1.306	1.03	1.434	1.246	0.563
1982	1.85	3.541	1.213	0.949	1.211	0.945	0.693	1.157	1.077	0.566
1983	1.947	3.2	1.391	1.264	1.492	1.34	1.107	1.656	1.013	0.643
1984	2.059	3.295	1.553	1.1	1.378	1.31	1.11	1.598	1.208	0.803
1985	2.839	3.577	2.03	1.948	2.034	1.39	1.793	2.112	2.195	1.289
1986	2.693	3.24	1.85	2.12	1.842	1.442	1.522	2.265	2.032	1.613
1987	2.248	2.474	1.502	1.381	1.351	1.147	0.935	1.593	1.427	1.191
1988	1.358	1.8	0.881	0.884	0.849	0.898	0.462	0.707	0.566	0.672
1989	1.128	2.323	0.24	0.212	0.432	0.37	0.245	0.558	0.514	0.349
1990	0.992	2.323	0.484	0.531	0.992	0.767	0.498	0.893	0.833	0.578
1991	1.044	1.773	0.419	0.552	0.655	0.597	0.525	1.096	0.711	0.475
1992	1.303	2.365	0.558	0.561	0.886	0.818	0.407	0.846	0.512	0.351
1993	1.649	2.972	0.822	0.502	0.813	0.952	0.479	1.116	0.68	0.579
1994	1.625	2.414	1.013	0.901	0.963	1.11	0.563	1.705	0.943	0.592
1995	1.718	2.446	0.914	0.755	1.062	1.087	0.489	1.528	1.122	0.575
1996	2.03	3.04	1.592	1.038	1.462	1.43	0.68	2.01	1.365	0.741
1997	1.806	2.184	1.546	0.872	1.377	NA	0.612	1.825	NA	0.762
1998	2.206	2.67	2.584	1.283	1.758	NA	0.9	2.169	NA	0.987
