# Holmes - Donner Summit - PIJE - ITRDB CA074
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3519
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3519.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca074-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ca074-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca074.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ca074.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Holmes - Donner Summit - PIJE - ITRDB CA074
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Adams, R.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Donner Summit
#   Location: California
#   Northernmost_Latitude: 39.32
#   Southernmost_Latitude: 39.32
#   Easternmost_Longitude: -120.35
#   Westernmost_Longitude: -120.35
#   Elevation_m: 2265
#--------------------
# Data_Collection
#   Collection_Name: CA074
#   First_Year: 1510
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus jeffreyi Balf.
#   Common_Name: Jeffrey pine
#   Tree_Species_Code: PIJE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DON06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DON06A_raw	DON06B_raw	DON07A_raw	DON07B_raw	DON08A_raw	DON08B_raw	DON09B_raw	DON10A_raw	DON10B_raw	DON11A_raw	DON11B_raw
1751	1.16	0.96	0.57	0.64	1.12	0.96	NA	NA	NA	NA	0.72
1752	0.68	0.64	0.34	0.31	0.79	0.55	NA	NA	NA	NA	0.38
1753	0.57	0.35	0.11	0.14	0.72	0.59	NA	NA	NA	NA	0.22
1754	0.42	0.29	0.13	0.12	0.48	0.51	NA	NA	NA	NA	0.25
1755	0.68	0.6	0.3	0.27	0.46	0.48	NA	NA	NA	NA	0
1756	0.73	0.61	0.51	0.31	0.71	0.42	NA	NA	NA	NA	0.4
1757	0.65	0.52	0.35	0.38	0.86	0.73	NA	NA	NA	NA	0.64
1758	0.81	0.7	0.53	0.33	1.04	0.72	NA	NA	NA	NA	0.5
1759	0.85	0.68	0.47	0.26	0.98	0.68	NA	NA	NA	NA	0.52
1760	0.67	0.61	0.36	0.23	0.76	0.47	NA	NA	NA	NA	0.59
1761	0.96	0.83	0.55	0.46	0.92	0.69	NA	NA	NA	NA	0.68
1762	1.18	1.1	0.55	0.45	1.03	0.66	NA	NA	NA	NA	0.49
1763	0.94	0.85	0.32	0.34	0.86	0.7	NA	NA	NA	NA	0.81
1764	0.96	0.92	0.58	0.4	0.9	0.82	NA	NA	NA	NA	0.69
1765	1.08	1.25	0.69	0.52	0.91	0.82	NA	NA	NA	NA	0.78
1766	0.66	0.75	0.64	0.33	0.9	0.68	NA	NA	NA	NA	0.32
1767	1.02	1.2	0.92	0.48	0.89	0.62	NA	NA	NA	NA	0.64
1768	1.13	1.2	1.06	0.57	1.21	0.71	NA	NA	NA	NA	0.63
1769	0.73	0.75	0.72	0.34	0.81	0.62	NA	NA	NA	NA	0.41
1770	0.94	1.3	1	0.48	0.96	0.6	NA	NA	NA	NA	0.62
1771	0.81	1.04	0.8	0.17	0.77	0.43	NA	NA	NA	NA	0.41
1772	1.01	1.01	0.79	0.42	0.9	0.5	NA	NA	NA	NA	0.57
1773	1.02	1.16	0.7	0.17	0.89	0.54	NA	NA	NA	NA	0.53
1774	1.41	1.29	0.55	0.16	0.94	0.35	NA	NA	NA	NA	0.52
1775	0.84	1.18	0.73	0.31	0.87	0.47	NA	NA	NA	NA	0.53
1776	0.9	1.03	0.59	0.43	0.78	0.58	NA	NA	NA	NA	0.57
1777	1.08	1.18	0.54	0.32	1.14	0.66	NA	NA	NA	NA	0.47
1778	0.81	0.97	0.47	0.32	0.84	0.52	NA	NA	NA	NA	0.38
1779	0.93	1.52	0.46	0.35	0.95	0.56	NA	NA	NA	NA	0.77
1780	1.28	1.73	0.71	0.41	1.09	0.59	NA	NA	NA	NA	0.71
1781	1.05	1.19	0.62	0.29	0.64	0.33	NA	NA	NA	NA	0.53
1782	0.7	0.86	0.55	0.17	0.53	0.33	NA	NA	NA	NA	0.36
1783	0.76	0.77	0.41	0.23	0.63	0.44	NA	NA	NA	NA	0.21
1784	0.87	1.13	0.42	0.3	0.9	0.46	NA	NA	NA	NA	0.67
1785	0.75	0.77	0.44	0.31	0.97	0.57	NA	NA	NA	NA	0.48
1786	0.78	0.72	0.58	0.29	0.55	0.47	NA	NA	NA	NA	0.55
1787	0.59	0.65	0.47	0.16	0.62	0.4	NA	NA	NA	NA	0.18
1788	0.89	0.98	0.64	0.36	0.79	0.54	NA	NA	NA	NA	0.32
1789	1.13	1.09	0.74	0.34	0.96	0.65	NA	NA	NA	NA	0.34
1790	1.3	1.21	0.82	0.47	0.8	0.55	NA	NA	NA	NA	0.26
1791	1.37	1.53	0.97	0.61	0.69	0.47	NA	NA	NA	NA	0.28
1792	1.2	1.37	0.92	0.67	0.76	0.56	NA	NA	NA	NA	0.37
1793	0.89	1.06	0.8	0.37	0.72	0.5	NA	NA	NA	NA	0.5
1794	0.64	1.16	0.76	0.51	0.97	0.71	NA	NA	NA	NA	0.41
1795	0.46	0.68	0.69	0.32	0.61	0.64	NA	NA	NA	NA	0.37
1796	0.43	0.6	0.44	0.27	0.7	0.43	NA	NA	NA	NA	0.48
1797	0.51	0.5	0.48	0.44	0.71	0.46	NA	NA	NA	NA	0.39
1798	0.4	0.45	0.53	0.45	0.76	0.57	NA	NA	NA	NA	0.49
1799	0.75	0.87	0.54	0.49	0.79	0.52	NA	NA	0.68	NA	0.53
1800	1.04	1	0.91	0.49	0.97	0.55	NA	0.88	1.27	NA	0.66
1801	1.03	1.18	0.75	0.39	0.75	0.53	NA	1.31	1.32	NA	0.61
1802	0.88	1.23	0.78	0.58	0.86	0.51	NA	3.25	2.73	NA	0.77
1803	0.78	0.92	0.66	0.41	0.91	0.65	NA	1.79	1.75	NA	0.83
1804	0.72	1.01	0.66	0.38	0.77	0.57	NA	1.99	1.97	NA	0.62
1805	1.03	0.96	0.52	0.48	0.8	0.62	NA	2.18	1.71	NA	0.75
1806	0.85	1.04	0.48	0.47	1.05	0.8	NA	2.18	1.79	NA	0.74
1807	0.88	0.93	0.67	0.54	1.01	0.78	NA	2.18	2.22	NA	0.65
1808	0.45	0.53	0.45	0.37	0.55	0.5	NA	1.64	1.97	NA	0.63
1809	0.55	0.76	0.42	0.28	0.76	0.47	NA	1.04	1.53	NA	0.67
1810	0.66	0.76	0.39	0.45	0.92	0.64	NA	1.14	1.18	NA	0.54
1811	0.85	0.82	0.47	0.4	0.94	0.54	NA	1.29	1.58	NA	0.66
1812	0.84	0.73	0.52	0.32	0.77	0.52	NA	1.13	1.14	NA	0.68
1813	1	0.8	0.49	0.37	0.68	0.65	0.6	0.83	0.96	NA	0.46
1814	1	0.99	0.72	0.54	1.01	0.77	0.96	1.67	1.68	NA	0.78
1815	0.81	0.67	0.78	0.95	1.05	0.91	0.94	2.67	2.12	NA	1
1816	1.02	0.78	1.04	0.88	0.85	0.87	0.87	2.42	1.62	NA	0.65
1817	0.71	0.52	0.87	0.73	0.87	0.83	1.1	2.24	1.5	NA	0.84
1818	0.7	0.77	1.01	0.72	0.95	0.8	1.08	2.43	1.73	NA	0.72
1819	0.81	0.77	0.8	0.75	0.62	0.7	0.86	2.38	1.92	NA	0.52
1820	0.5	0.42	0.67	0.63	0.53	0.51	0.91	3.38	2.07	NA	0.3
1821	0.39	0.25	0.58	0.53	0.48	0.48	0.72	1.95	1.5	NA	0.35
1822	0.6	0.52	0.59	0.51	0.83	0.68	0.74	1.89	1.05	NA	0.38
1823	0.35	0.39	0.5	0.34	0.72	0.47	0.54	2.15	1.43	NA	0.54
1824	0.41	0.35	0.45	0.39	0.68	0.57	0.92	2.17	1.41	NA	0.54
1825	0.62	0.55	0.65	0.42	0.81	0.52	0.8	1.51	1.05	NA	0.72
1826	0.57	0.51	0.62	0.54	0.76	0.56	0.88	2.49	0.94	NA	0.56
1827	0.61	0.48	0.52	0.36	0.7	0.5	0.7	2.64	1.69	NA	0.66
1828	0.87	0.61	0.83	0.69	1.05	0.9	0.91	2.52	1.96	NA	0.64
1829	1.53	0.72	1.02	0.85	1.46	1.25	1.25	2.04	1.78	NA	0.67
1830	0.85	0.75	0.63	0.49	0.81	0.6	0.63	2.21	2.13	NA	0.36
1831	0.65	0.64	0.75	0.56	0.69	0.5	0.87	2.98	2.19	NA	0.4
1832	1.07	0.81	1.12	0.9	0.87	0.73	1.17	2.06	2.06	NA	0.63
1833	0.97	0.76	0.98	0.83	1.01	0.71	0.78	1.83	2.1	NA	0.41
1834	0.76	0.67	0.94	0.64	0.81	0.64	0.79	2.76	2.43	NA	0.46
1835	0.67	0.41	0.5	0.48	0.75	0.48	0.83	1.68	1.64	NA	0.33
1836	0.63	0.53	0.38	0.48	1.14	0.73	0.82	1.79	1.77	NA	0.41
1837	0.91	0.73	0.78	0.77	0.93	0.92	1.28	1.92	1.74	NA	0.68
1838	1.21	0.84	0.83	0.88	1.13	1	1.28	1.56	1.76	NA	0.65
1839	0.79	0.78	0.38	0.41	0.68	0.56	0.49	1.37	1.68	NA	0.24
1840	0.68	0.82	0.49	0.51	0.65	0.63	0.74	1.06	1.93	NA	0.36
1841	0.6	0.59	0.48	0.46	0.72	0.64	0.89	0.1	0.25	NA	0.39
1842	0.65	0.61	0.51	0.31	0.67	0.54	0.57	0.07	0.12	NA	0.22
1843	0.57	0.58	0.36	0.24	0.76	0.62	0.67	0.08	0.14	NA	0.29
1844	0.47	0.65	0.32	0.17	0.59	0.79	0.58	0.26	0.35	NA	0.31
1845	0.73	0.59	0.43	0.22	0.74	0.53	0.66	0.55	0.91	NA	0.54
1846	0.81	0.63	0.53	0.2	0.73	0.57	0.62	0.82	1.58	NA	0.54
1847	0.78	0.56	0.49	0.19	0.61	0.73	0.75	1.6	1.6	NA	0.35
1848	0.71	0.49	0.47	0.24	0.81	0.69	0.83	1.67	1.82	NA	0.23
1849	0.56	0.51	0.44	0.25	0.8	0.69	0.65	1.6	1.19	NA	0.39
1850	0.6	0.67	0.56	0.32	0.8	0.66	0.69	1.82	1.35	NA	0.39
1851	0.56	0.5	0.51	0.3	0.63	0.5	0.82	2.87	1.93	NA	0.38
1852	0.83	0.66	0.74	0.65	1.02	0.69	0.76	2.72	2.52	NA	0.56
1853	0.87	0.76	0.82	0.63	0.83	0.71	0.73	2.95	1.81	NA	0.55
1854	0.74	0.62	0.6	0.46	0.85	0.75	0.82	2.4	1.8	NA	0.45
1855	1.06	0.67	0.72	0.52	0.89	0.9	0.64	2.31	1.68	NA	0.58
1856	0.57	0.41	0.66	0.21	0.74	0.75	0.5	1.17	1.14	NA	0.29
1857	0.95	0.93	0.63	0.48	0.79	0.74	0.58	1.64	1.36	NA	0.44
1858	0.9	0.69	0.6	0.28	0.71	0.47	0.54	1.14	1.35	NA	0.15
1859	0.26	0.39	0.3	0.11	0.47	0.37	0.54	1.02	0.88	NA	0
1860	0.56	0.43	0.46	0.29	0.82	0.62	0.5	1.32	1.46	NA	0.48
1861	1.1	0.78	0.64	0.46	0.69	0.9	0.81	1.78	1.79	NA	0.42
1862	0.66	0.46	0.49	0.24	0.76	0.66	0.44	0.79	0.89	NA	NA
1863	0.77	0.62	0.41	0.42	0.7	0.57	0.53	0.95	1.31	NA	NA
1864	0.71	0.52	0.41	0.19	0.46	0.4	0.46	1.32	1.52	NA	NA
1865	0.57	0.59	0.33	0.24	0.48	0.37	0.39	1.33	1.27	NA	NA
1866	0.66	0.78	0.42	0.22	0.54	0.36	0.46	1.47	1.71	NA	NA
1867	0.68	0.68	0.43	0.39	0.51	0.47	0.49	1.34	1.27	NA	NA
1868	0.81	0.82	0.45	0.48	0.64	0.55	0.32	1.29	1.61	0.33	NA
1869	0.83	0.9	0.38	0.39	0.67	0.69	0.18	1.61	1.77	0.39	NA
1870	0.67	0.8	0.32	0.26	0.68	0.55	0.29	1.62	1.51	0.37	NA
1871	0.58	0.48	0.17	0.19	0.53	0.33	0.22	1.38	1.14	0.24	NA
1872	0.61	0.57	0.39	0.41	0.67	0.46	0.27	1.56	1.35	0.43	NA
1873	0.62	0.76	0.44	0.43	0.72	0.61	0.24	1.91	1.58	0.38	NA
1874	0.57	0.66	0.35	0.58	0.58	0.53	0.29	1.42	1.41	0.49	NA
1875	0.82	1.05	0.62	0.6	0.78	0.48	0.33	1.54	1.6	0.52	NA
1876	0.61	1.02	0.34	0.46	0.5	0.48	0.16	0.69	1.04	0.6	NA
1877	0.68	1.01	0.26	0.3	0.66	0.42	0.23	1.65	1.73	0.35	NA
1878	0.8	1.05	0.35	0.37	0.77	0.5	0.32	1.83	1.88	0.5	NA
1879	0.69	0.99	0.41	0.32	0.74	0.62	0.21	2.16	2.15	0.38	NA
1880	0.44	0.79	0.39	0.36	0.41	0.42	0.36	1.91	1.8	0.61	NA
1881	0.73	0.95	0.59	0.42	0.6	0.5	0.22	1.81	2.19	0.62	NA
1882	0.88	1.18	0.54	0.4	0.87	0.9	0.35	2.08	2.07	0.31	NA
1883	0.57	0.87	0.34	0.3	0.46	0.48	0.1	1.78	2.09	0.27	NA
1884	0.88	1.22	0.54	0.62	0.89	0.49	0.34	2.27	2.78	0.17	NA
1885	1.46	1.73	0.9	0.9	1.21	0.97	0.57	4.34	4.26	0.5	NA
1886	1.09	1.39	0.48	0.62	0.79	0.69	0.21	2.12	3.23	0.52	NA
1887	0.7	1	0.48	0.6	0.94	0.66	0.4	2.8	3.22	0.48	NA
1888	0.99	1.15	0.63	0.73	1.15	1.01	0.28	3.32	3.61	0.44	NA
1889	0.75	1.3	0.64	0.35	1.22	0.89	0.3	1.89	2.53	0.13	NA
1890	0.32	0.38	0.8	0.67	0.73	0.73	0.25	2.2	2.14	0.26	NA
1891	0.85	0.81	1.65	1.28	0.84	0.83	0.25	2.97	2.89	0.25	NA
1892	1.18	0.84	1.24	1.02	1.07	1.05	0.3	2.76	2.92	0.37	NA
1893	0.75	0.45	0.62	0.63	0.83	0.8	0.24	2.31	1.48	0.52	NA
1894	0.47	0.39	0.53	0.54	0.41	0.44	0.34	3.13	1.65	0.46	NA
1895	0.88	0.54	0.62	0.35	0.63	0.57	0.27	3.86	2.42	0.42	NA
1896	1.37	1	0.68	0.43	0.82	0.85	0.26	4.98	2.33	0.54	NA
1897	1.18	1.06	0.72	0.58	0.76	0.59	0.28	3.52	2.3	0.72	NA
1898	0.92	0.78	0.75	0.56	0.93	0.7	0.36	2.4	2.45	0.58	NA
1899	0.52	0.53	0.45	0.53	0.44	0.46	0.32	2.22	1.56	0.36	NA
1900	0.81	1.07	0.73	0.57	0.8	0.76	0.24	2.95	2.68	0.69	NA
1901	0.72	1.03	0.84	0.46	1	0.96	0.41	2.87	3.19	0.64	NA
1902	0.42	0.6	0.52	0.2	0.71	0.59	0.23	1.94	1.89	0.46	NA
1903	0.68	0.78	0.68	0.43	0.65	0.45	0.25	2.48	2.13	0.55	NA
1904	0.88	1.27	0.66	0.41	0.87	0.65	0.18	2.42	2.35	0.55	NA
1905	0.85	1.01	0.7	0.44	0.73	0.53	0.24	2.5	2.36	0.5	NA
1906	0.84	0.91	0.45	0.35	0.67	0.45	0.24	1.93	1.77	0.49	NA
1907	1.09	1.32	0.7	0.57	0.94	0.6	0.47	2.27	2.37	0.57	NA
1908	0.93	1.11	0.78	0.61	1.25	0.78	0.4	2.28	2.21	0.87	NA
1909	0.82	0.98	0.54	0.35	0.67	0.62	0.2	1.69	1.53	0.58	NA
1910	0.81	0.68	0.5	0.41	0.36	0.38	0.26	0.91	1.36	0.45	NA
1911	0.73	0.83	0.25	0.54	0.52	0.34	0.23	1.28	1.34	0.45	NA
1912	0.79	0.86	0.38	0.43	0.66	0.47	0.33	1.72	1.65	0.79	NA
1913	1.1	1.23	0.49	0.58	0.79	0.59	0.31	1.57	2.01	0.96	NA
1914	1.24	0.98	0.51	0.51	0.71	0.52	0.27	1.44	1.67	0.97	NA
1915	0.57	0.58	0.28	0.32	0.63	0.5	0.38	1.88	1.67	0.64	NA
1916	0.81	0.69	0.37	0.35	0.58	0.39	0.42	1.3	2.09	0.72	NA
1917	0.61	0.36	0.39	0.25	0.52	0.4	0.24	0.98	0.86	0.68	NA
1918	0.51	0.24	0.37	0.22	0.21	0.23	0.32	1.11	1.14	0.72	NA
1919	0.72	0.6	0.5	0.38	0.53	0.47	0.36	1.41	1.03	0.71	NA
1920	0.52	0.28	0.39	0.31	0.42	0.27	0.3	0.91	1.07	0.55	NA
1921	0.53	0.28	0.4	0.32	0.2	0.23	0.31	1.85	1.16	0.41	NA
1922	0.63	0.39	0.4	0.31	0.13	0.11	0.24	1.22	0.97	0.53	NA
1923	0.83	0.57	0.4	0.32	0.36	0.37	0.43	1.61	1.31	0.46	NA
1924	0.7	0.48	0.39	0.32	0.29	0.51	0.27	1.57	1.43	0.5	NA
1925	0.84	0.4	0.37	0.34	0.16	0.35	0.24	1.6	1.41	0.39	NA
1926	0.58	0.42	0.49	0.43	0.23	0.33	0.35	2	1.97	0.71	NA
1927	0.8	0.32	0.44	0.51	0.42	0.48	0.33	1.94	1.52	0.57	NA
1928	0.89	0.24	0.35	0.34	0.34	0.57	0.45	2.01	1.49	0.58	NA
1929	0.61	0.17	0.41	0.22	0.18	0.44	0.39	1.2	1.32	0.47	NA
1930	0.39	0.1	0.22	0.18	0.18	0.2	0.31	1.54	0.96	0.58	NA
1931	0.53	0.07	0.3	0.21	0.21	0.35	0.43	1.61	1.75	0.49	NA
1932	0.51	0.23	0.26	0.2	0.15	0.33	0.41	1.41	1.18	0.54	NA
1933	0.28	0.11	0.07	0.13	NA	0.24	0.29	0.95	0.91	0.35	NA
1934	0.67	0.42	0.36	0.29	NA	0.44	0.43	1.02	1.53	0.78	NA
1935	0.61	0.31	0.25	0.21	NA	0.23	0.26	1.2	1.23	0.59	NA
1936	0.36	0.2	0.15	0.14	NA	0.23	0.2	1.42	1.35	0.69	NA
1937	0.27	0.39	0.11	0.13	NA	0.31	0.2	0.87	1.09	0.48	NA
1938	0.64	0.42	0.26	0.11	NA	0.27	0.25	1.29	1.07	0.51	NA
1939	0.74	0.18	0.31	0.27	NA	0.3	0.39	1.67	1.24	0.61	NA
1940	0.73	0.19	0.28	0.22	NA	0.35	0.28	1.46	1.65	0.58	NA
1941	0.57	NA	0.35	0.22	NA	0.26	0.28	1.4	1.56	0.79	NA
1942	0.87	NA	0.42	0.35	NA	0.53	0.46	2.34	2.12	1.01	NA
1943	0.77	NA	0.31	0.16	NA	0.3	0.23	1.46	1.6	0.54	NA
1944	0.57	NA	0.18	0.17	NA	0.22	0.24	1	1.47	0.57	NA
1945	0.47	NA	0.24	0.26	NA	0.23	0.26	1.3	1.52	0.53	NA
1946	0.55	NA	0.3	0.14	NA	0.36	0.35	1.06	1.72	0.52	NA
1947	0.57	NA	0.34	0.13	NA	0.31	0.27	1.37	1.48	0.53	NA
1948	0.28	NA	0.21	0	NA	0.16	0.18	1.18	1.22	0.51	NA
1949	0.37	NA	0.48	0.34	NA	0.2	0.25	1.38	0.89	1.06	NA
1950	0.5	NA	0.53	0.28	NA	0.2	0.13	1.23	1.16	0.74	NA
1951	0.48	NA	0.31	0.11	NA	0.23	0.19	1.18	1.19	0.43	NA
1952	0.57	NA	0.28	0.23	NA	0.32	0.19	0.93	1.14	0.63	NA
1953	0.45	NA	0.25	0.18	NA	0.32	0.3	0.83	0.94	0.55	NA
1954	0.77	NA	0.38	0.4	NA	0.51	0.34	1.29	1.37	0.71	NA
1955	0.61	NA	0.29	0.34	NA	0.42	0.23	1.09	1.12	0.49	NA
1956	0.45	NA	0.28	0.14	NA	0.35	0.36	0.82	0.91	0.61	NA
1957	0.73	NA	0.3	0.25	NA	0.38	0.35	0.97	0.94	0.75	NA
1958	0.63	NA	0.37	0.27	NA	0.41	0.45	0.89	1.04	0.88	NA
1959	0.41	NA	0.33	0.17	NA	0.34	0.39	0.95	1.17	0.55	NA
1960	0.28	NA	0.21	0.08	NA	0.33	0.3	0.73	1.18	0.56	NA
1961	0.32	NA	0.21	0.19	NA	0.39	0.33	0.53	1	0.42	NA
1962	0.4	NA	0.37	0.22	NA	0.51	0.49	0.77	1	0.5	NA
1963	0.4	NA	0.32	0.26	NA	0.47	0.34	0.56	0.93	0.45	NA
1964	0.44	NA	0.26	0.2	NA	0.44	0.33	0.59	0.99	0.56	NA
1965	0.44	NA	0.36	0.24	NA	0.49	0.36	0.81	0.99	0.55	NA
1966	0.74	NA	0.32	0.37	NA	0.75	0.33	0.9	1.12	0.83	NA
1967	0.65	NA	0.22	0.19	NA	0.49	0.3	0.78	0.93	0.69	NA
1968	0.71	NA	0.24	0.26	NA	0.45	0.22	0.9	0.85	0.64	NA
1969	0.79	NA	0.34	0.39	NA	0.51	0.34	0.68	0.9	0.62	NA
1970	0.64	NA	0.34	0.29	NA	0.56	0.39	0.58	0.84	0.38	NA
1971	0.44	NA	0.33	0.16	NA	0.53	0.38	0.64	0.77	0.37	NA
1972	0.4	NA	0.34	0.07	NA	0.48	0.21	0.84	0.83	0.23	NA
1973	0.41	NA	0.27	0.15	NA	0.72	0.11	0.54	0.55	0.26	NA
1974	0.6	NA	0.26	0.12	NA	0.61	0.09	0.74	0.89	0.29	NA
1975	0.68	NA	0.35	0.35	NA	0.48	0.3	0.93	0.98	0.49	NA
1976	0.63	NA	0.28	0.3	NA	0.64	0.42	1.11	1.11	0.51	NA
1977	0.75	NA	0.34	0.4	NA	0.74	0.45	1.01	1.29	0.39	NA
1978	0.57	NA	0.36	0.43	NA	0.79	0.55	1	1.54	0.49	NA
1979	0.81	NA	0.34	0.44	NA	0.95	0.61	1.33	1.42	0.49	NA
1980	0.72	NA	0.41	0.37	NA	0.72	0.52	0.98	1.61	0.53	NA
