# Cook - Slo-N-Easy Ranch - JUOC - ITRDB WY067
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27630
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27630.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wy067-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wy067-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wy067.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wy067.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-05-17
#--------------------
# File_Last_Modified_Date
#   Date: 2019-05-17
#--------------------
# Title
#   Study_Name: Cook - Slo-N-Easy Ranch - JUOC - ITRDB WY067
#--------------------
# Investigators
#   Investigators: Cook, E.R.(https://orcid.org/0000-0001-7478-4176)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Slo-N-Easy Ranch
#   Location: Wyoming
#   Northernmost_Latitude: 42.333
#   Southernmost_Latitude: 42.333
#   Easternmost_Longitude: -105.5833
#   Westernmost_Longitude: -105.5833
#   Elevation_m: 2335
#--------------------
# Data_Collection
#   Collection_Name: WY067
#   First_Year: 1296
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Juniperus occidentalis Hook.
#   Common_Name: western juniper
#   Tree_Species_Code: JUOC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## sne061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	sne061_raw	sne091_raw	sne021_raw	sne041_raw	sne111_raw	sne071_raw	sne011_raw	sne051_raw	sne031_raw	sne081_raw
1370	NA	0.336	NA	NA	NA	NA	0.336	NA	NA	NA
1371	NA	0.387	NA	NA	NA	NA	0.35	NA	NA	NA
1372	NA	0.335	NA	NA	NA	NA	0.305	NA	NA	NA
1373	NA	0.391	NA	NA	NA	NA	0.311	NA	NA	NA
1374	NA	0.272	NA	NA	NA	NA	0.241	NA	NA	NA
1375	NA	0.354	NA	NA	NA	NA	0.193	NA	NA	NA
1376	NA	0.5	NA	NA	NA	NA	0.312	NA	NA	NA
1377	NA	0.636	NA	NA	NA	NA	0.24	NA	NA	NA
1378	NA	0.295	NA	NA	NA	NA	0.281	NA	NA	NA
1379	NA	0.215	NA	NA	NA	NA	0.273	NA	NA	NA
1380	NA	0.131	NA	NA	NA	NA	0.276	NA	NA	NA
1381	NA	0.502	NA	NA	NA	NA	0.386	NA	NA	NA
1382	NA	0.155	NA	NA	NA	NA	0.191	NA	NA	NA
1383	NA	0.433	NA	NA	NA	NA	0.287	NA	NA	NA
1384	NA	0.459	NA	NA	NA	NA	0.407	NA	NA	NA
1385	NA	0.346	NA	NA	NA	NA	0.489	NA	NA	NA
1386	NA	0.479	NA	NA	NA	NA	0.709	NA	NA	NA
1387	NA	0.252	NA	NA	NA	NA	0.322	NA	NA	NA
1388	NA	0.201	NA	NA	NA	NA	0.208	NA	NA	NA
1389	NA	0.09	NA	NA	NA	NA	0.145	NA	NA	NA
1390	NA	0.236	NA	NA	NA	NA	0.278	NA	NA	NA
1391	NA	0.064	NA	NA	NA	NA	0.079	NA	NA	NA
1392	NA	0.18	NA	NA	NA	NA	0.187	NA	NA	NA
1393	NA	0.071	NA	NA	NA	NA	0.072	NA	NA	NA
1394	NA	0.263	NA	NA	NA	NA	0.201	NA	NA	NA
1395	NA	0.267	NA	NA	NA	NA	0.266	NA	NA	NA
1396	NA	0.207	NA	NA	NA	NA	0.139	NA	NA	NA
1397	NA	0.186	NA	NA	NA	NA	0.152	NA	NA	NA
1398	NA	0.187	NA	NA	NA	NA	0.12	NA	NA	NA
1399	NA	0.211	NA	NA	NA	NA	0.08	NA	NA	NA
1400	NA	0.352	NA	NA	NA	NA	0.144	NA	NA	NA
1401	NA	0.133	NA	NA	NA	NA	0.023	NA	NA	NA
1402	NA	0.28	NA	NA	NA	NA	0.128	NA	NA	NA
1403	NA	0.5	NA	NA	NA	NA	0.206	NA	NA	NA
1404	NA	0.496	NA	NA	NA	NA	0.274	NA	NA	NA
1405	NA	0.421	NA	NA	NA	NA	0.397	NA	NA	NA
1406	NA	0.578	NA	NA	NA	NA	0.359	NA	NA	NA
1407	NA	0.197	NA	NA	NA	NA	0.244	NA	NA	NA
1408	NA	0.588	NA	NA	NA	NA	0.402	NA	NA	NA
1409	NA	0.472	NA	NA	NA	NA	0.287	NA	NA	NA
1410	NA	0.525	NA	NA	NA	NA	0.212	NA	NA	NA
1411	NA	0.792	NA	NA	NA	NA	0.35	NA	NA	NA
1412	NA	0.326	NA	NA	NA	NA	0.145	NA	NA	NA
1413	NA	0.34	NA	NA	NA	NA	0.127	NA	NA	NA
1414	NA	0.347	NA	NA	NA	NA	0.263	NA	NA	NA
1415	NA	0.146	NA	NA	NA	NA	0.202	NA	NA	NA
1416	NA	0.349	NA	NA	NA	NA	0.339	NA	NA	NA
1417	NA	0.294	NA	NA	NA	NA	0.22	NA	NA	NA
1418	NA	0.597	NA	NA	NA	NA	0.256	NA	NA	NA
1419	NA	0.291	NA	NA	NA	NA	0.175	NA	NA	NA
1420	NA	0.194	NA	NA	NA	NA	0.161	NA	NA	NA
1421	NA	0.025	NA	NA	NA	NA	0.041	NA	NA	NA
1422	NA	0.044	NA	NA	NA	NA	0.022	NA	NA	NA
1423	NA	0.02	NA	NA	NA	NA	0.02	NA	NA	NA
1424	NA	0.076	NA	NA	NA	NA	0.172	NA	NA	NA
1425	NA	0.287	NA	NA	NA	NA	0.306	NA	NA	NA
1426	NA	0.203	NA	NA	NA	NA	0.127	NA	NA	NA
1427	NA	0.192	NA	NA	NA	NA	0.197	NA	NA	NA
1428	NA	0.259	NA	NA	NA	NA	0.147	NA	NA	NA
1429	NA	0.257	NA	NA	NA	NA	0.106	NA	NA	NA
1430	NA	0.336	NA	NA	NA	NA	0.148	NA	NA	NA
1431	NA	0.427	NA	NA	NA	NA	0.186	NA	NA	NA
1432	NA	0.365	NA	NA	NA	NA	0.194	NA	NA	NA
1433	NA	0.845	NA	NA	NA	NA	0.28	NA	NA	NA
1434	NA	0.563	NA	NA	NA	NA	0.287	NA	NA	NA
1435	NA	0.445	NA	NA	NA	NA	0.265	NA	NA	NA
1436	NA	0.305	NA	NA	NA	NA	0.022	NA	NA	NA
1437	NA	0.394	NA	NA	NA	NA	0.048	NA	NA	NA
1438	NA	0.411	NA	NA	NA	NA	0.129	NA	NA	NA
1439	NA	0.112	NA	NA	NA	NA	0.174	NA	NA	NA
1440	NA	0.3	NA	NA	NA	NA	0.31	NA	NA	NA
1441	NA	0.204	NA	NA	NA	NA	0.154	NA	NA	NA
1442	NA	0.257	NA	NA	NA	NA	0.104	NA	NA	NA
1443	NA	0.393	NA	NA	NA	NA	0.229	NA	NA	NA
1444	NA	0.081	NA	NA	NA	NA	0.069	NA	NA	NA
1445	NA	0.229	NA	NA	NA	NA	0.144	NA	NA	NA
1446	NA	0.23	NA	NA	NA	NA	0.131	NA	NA	NA
1447	NA	0.397	NA	NA	NA	NA	0.231	NA	NA	NA
1448	NA	0.359	NA	NA	NA	NA	0.141	NA	NA	NA
1449	NA	0.528	NA	NA	NA	NA	0.541	NA	NA	NA
1450	NA	0.892	NA	NA	NA	0.828	0.551	NA	0.486	NA
1451	NA	0.348	NA	NA	NA	0.48	0.205	NA	0.192	NA
1452	NA	0.255	NA	NA	NA	0.412	0.258	NA	0.106	NA
1453	NA	0.58	NA	NA	NA	0.498	0.396	NA	0.409	NA
1454	NA	0.32	NA	NA	NA	0.368	0.548	NA	0.351	NA
1455	NA	0.388	NA	NA	NA	0.279	0.506	NA	0.364	NA
1456	NA	0.39	NA	NA	NA	0.516	0.41	NA	0.302	NA
1457	NA	0.43	NA	NA	NA	0.417	0.394	NA	0.265	NA
1458	NA	0.345	NA	NA	NA	0.244	0.313	NA	0.361	NA
1459	NA	0.343	NA	NA	NA	0.407	0.428	NA	0.256	NA
1460	NA	0.347	NA	NA	NA	0.079	0.203	NA	0.069	NA
1461	NA	0.276	NA	NA	NA	0.641	0.485	NA	0.565	NA
1462	NA	0.273	NA	NA	NA	0.388	0.365	NA	0.405	NA
1463	NA	0.329	NA	NA	NA	0.364	0.202	NA	0.388	NA
1464	NA	0.328	NA	NA	NA	0.24	0.211	NA	0.328	NA
1465	NA	0.44	NA	NA	NA	0.303	0.194	NA	0.253	NA
1466	NA	0.266	NA	NA	NA	0.265	0.166	NA	0.22	NA
1467	NA	0.441	NA	NA	NA	0.276	0.212	NA	0.34	NA
1468	NA	0.373	NA	NA	NA	0.384	0.255	NA	0.308	NA
1469	NA	0.407	NA	NA	NA	0.355	0.226	NA	0.205	NA
1470	0.096	0.221	0.057	NA	NA	0.21	0.197	NA	0.127	NA
1471	0.26	0.513	0.301	NA	NA	0.411	0.472	NA	0.363	NA
1472	0.194	0.293	0.234	NA	NA	0.203	0.276	NA	0.342	NA
1473	0.477	0.05	0.337	NA	NA	0.35	0.422	NA	0.519	NA
1474	0.416	0.098	0.133	NA	NA	0.637	0.333	NA	0.345	NA
1475	0.401	0.166	0.213	NA	NA	0.352	0.322	NA	0.365	NA
1476	0.385	0.231	0.261	NA	NA	0.592	0.418	NA	0.364	NA
1477	0.338	0.319	0.445	NA	NA	0.702	0.32	NA	0.421	NA
1478	0.302	0.32	0.331	NA	NA	0.378	0.298	NA	0.353	NA
1479	0.125	0.208	0.148	NA	NA	0.18	0.08	NA	0.232	NA
1480	0.256	0.462	0.219	NA	NA	0.222	0.145	NA	0.355	NA
1481	0.177	0.357	0.203	NA	NA	0.146	0.121	NA	0.18	NA
1482	0.376	0.511	0.217	NA	NA	0.229	0.229	NA	0.309	NA
1483	0.27	0.29	0.279	NA	NA	0.192	0.318	NA	0.368	NA
1484	0.437	0.755	0.373	NA	NA	0.425	0.318	NA	0.407	NA
1485	0.121	0.639	0.19	NA	NA	0.242	0.285	NA	0.312	NA
1486	0.355	1.081	0.361	NA	NA	0.302	0.316	NA	0.204	NA
1487	0.235	0.527	0.241	NA	NA	0.089	0.201	NA	0.22	NA
1488	0.224	0.272	0.101	NA	NA	0.052	0.165	NA	0.302	NA
1489	0.12	0.102	0.068	NA	NA	0.02	0.07	NA	0.25	NA
1490	0	0.323	0.073	NA	NA	0.239	0.108	NA	0.262	NA
1491	0.063	0.356	0.178	NA	NA	0.322	0.335	NA	0.286	NA
1492	0.388	0.424	0.244	NA	NA	0.369	0.324	NA	0.19	NA
1493	0.089	0.39	0.181	NA	NA	0.267	0.208	NA	0.213	NA
1494	0.261	0.416	0.311	NA	NA	0.416	0.393	NA	0.347	NA
1495	0.131	0.349	0.134	NA	NA	0.215	0.319	NA	0.265	NA
1496	0.305	0.469	0.322	NA	NA	0.204	0.417	NA	0.338	NA
1497	0.064	0.154	0.06	NA	NA	0.065	0.212	NA	0.133	NA
1498	0.47	0.514	0.354	NA	NA	0.303	0.333	NA	0.34	NA
1499	0.242	0.501	0.118	NA	NA	0.304	0.321	NA	0.371	NA
1500	0.262	0.542	0.033	NA	NA	0.243	0.263	NA	0.291	NA
1501	0.603	0.596	0.144	NA	NA	0.266	0.277	NA	0.244	NA
1502	0.331	0.514	0.111	NA	NA	0.135	0.12	NA	0.307	NA
1503	0.305	0.588	0.261	NA	NA	0.191	0.263	NA	0.347	NA
1504	0.253	0.734	0.319	NA	NA	0.284	0.293	NA	0.362	NA
1505	0.144	0.813	0.293	NA	NA	0.426	0.068	NA	0.114	NA
1506	0.463	0.872	0.263	NA	NA	0.442	0.133	NA	0.393	NA
1507	0.071	0.367	0.127	NA	NA	0.209	0.167	NA	0.197	NA
1508	0.237	0.545	0.155	NA	NA	0.317	0.072	NA	0.239	NA
1509	0.262	0.557	0.017	NA	NA	0.413	0.031	NA	0.121	NA
1510	0.093	0.361	0.03	NA	NA	0.312	0.152	NA	0.239	NA
1511	0.057	0.211	0.052	NA	NA	0.403	0.128	NA	0.04	NA
1512	0.204	0.639	0.192	NA	NA	0.495	0.192	NA	0.361	NA
1513	0.105	0.145	0.017	NA	NA	0.123	0.229	NA	0.03	NA
1514	0.19	0.144	0.246	NA	NA	0.212	0.201	NA	0.134	NA
1515	0.038	0.134	0.012	NA	NA	0.055	0.138	NA	0.04	NA
1516	0.31	0.684	0.312	NA	NA	0.358	0.381	0.209	0.409	NA
1517	0.017	0.126	0.019	NA	NA	0.096	0.111	0.07	0.041	NA
1518	0.215	0.535	0.256	NA	NA	0.336	0.239	0.101	0.4	NA
1519	0.234	0.692	0.348	NA	NA	0.621	0.367	0.217	0.461	NA
1520	0.203	0.7	0.238	NA	NA	0.615	0.495	0.235	0.461	NA
1521	0.272	0.819	0.353	NA	NA	0.704	0.625	0.286	0.535	NA
1522	0.032	0.249	0.078	NA	NA	0.156	0.284	0.087	0.109	0.226
1523	0.269	0.342	0.155	NA	NA	0.329	0.296	0.283	0.345	0.522
1524	0.355	0.428	0.2	NA	NA	0.482	0.589	0.33	0.458	0.538
1525	0.324	0.439	0.098	NA	NA	0.596	0.496	0.276	0.197	0.516
1526	0.122	0.314	0.062	NA	NA	0.414	0.345	0.224	0.11	0.331
1527	0.194	0.47	0.171	NA	NA	0.238	0.2	0.148	0.184	0.261
1528	0.076	0.215	0.184	NA	NA	0.132	0.103	0.094	0.054	0.06
1529	0.352	0.605	0.288	NA	NA	0.593	0.295	0.263	0.413	0.373
1530	0.088	0.244	0.055	NA	NA	0.225	0.118	0.019	0.22	0.244
1531	0.256	0.752	0.315	NA	NA	0.601	0.298	0.052	0.283	0.546
1532	0.052	0.344	0.204	NA	NA	0.308	0.265	0.049	0.26	0.36
1533	0.189	0.459	0.184	NA	NA	0.347	0.25	0.128	0.326	0.394
1534	0.115	0.387	0.136	NA	NA	0.166	0.145	0.164	0.321	0.371
1535	0.2	0.885	0.321	NA	NA	0.676	0.562	0.302	0.596	0.516
1536	0.042	0.674	0.027	NA	NA	0.374	0.628	0.133	0.416	0.03
