# Kaiser - Yakutat Alsek Logging Road - PCSI - ITRDB AK137
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16477
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16477.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak137-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak137-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak137.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak137.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Alsek Logging Road - PCSI - ITRDB AK137
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Alsek Logging Road
#   Location: Alaska
#   Northernmost_Latitude: 59.5417
#   Southernmost_Latitude: 59.5417
#   Easternmost_Longitude: -139.3511
#   Westernmost_Longitude: -139.3511
#   Elevation_m: 54
#--------------------
# Data_Collection
#   Collection_Name: AK137
#   First_Year: 1576
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ALSE00E0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00E0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00F0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00F0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00L0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00L0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00B0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00B0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00N0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00N0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00M0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00M0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00G0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00G0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00A0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00A0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00D0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00D0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00O0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00O0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00C0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00C0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ALSE00E0_raw	ALSE00F0_raw	ALSE00L0_raw	ALSE00B0_raw	ALSE00N0_raw	ALSE00M0_raw	ALSE00G0_raw	ALSE00A0_raw	ALSE00D0_raw	ALSE00O0_raw	ALSE00C0_raw
1650	NA	NA	NA	NA	NA	NA	NA	0.75	1	1.18	NA
1651	NA	NA	NA	NA	NA	NA	NA	0.53	0.66	1.25	NA
1652	NA	NA	NA	NA	NA	NA	NA	0.58	0.88	1.87	NA
1653	NA	NA	NA	NA	NA	NA	NA	0.44	0.83	1.34	NA
1654	NA	NA	NA	NA	NA	NA	NA	0.4	0.77	1.18	NA
1655	NA	NA	NA	NA	NA	NA	NA	0.29	0.9	1.52	NA
1656	NA	NA	NA	NA	NA	NA	NA	0.22	0.89	1.64	NA
1657	NA	NA	NA	NA	NA	NA	NA	0.21	1.04	1.82	NA
1658	NA	NA	NA	NA	NA	NA	NA	0.26	0.92	1.48	NA
1659	NA	NA	NA	NA	NA	NA	NA	0.34	1.14	1.41	NA
1660	NA	NA	NA	NA	NA	NA	NA	0.34	0.76	1.02	NA
1661	NA	NA	NA	NA	NA	NA	1.25	0.59	0.75	0.87	NA
1662	NA	NA	NA	NA	NA	NA	1.23	0.75	0.9	1.12	NA
1663	NA	NA	NA	NA	NA	NA	1.46	0.87	0.8	1.15	NA
1664	NA	NA	NA	NA	NA	NA	1.66	1.08	0.92	1.15	NA
1665	NA	NA	NA	NA	NA	NA	1.68	0.88	0.85	1.05	NA
1666	NA	NA	NA	NA	NA	NA	1.4	0.79	0.89	1.18	NA
1667	NA	NA	NA	NA	NA	NA	1.34	0.81	0.86	1.32	NA
1668	NA	NA	NA	NA	NA	NA	1.12	0.86	0.86	1.39	NA
1669	NA	NA	NA	NA	NA	NA	1.25	0.73	0.98	1.54	NA
1670	NA	NA	NA	NA	NA	NA	0.98	0.57	0.64	1.12	NA
1671	NA	NA	NA	NA	NA	NA	0.96	0.52	0.72	1.14	NA
1672	NA	NA	NA	NA	NA	NA	0.63	0.54	0.64	0.99	NA
1673	NA	1.76	NA	NA	NA	NA	0.72	0.94	0.63	1.23	NA
1674	NA	2.34	NA	NA	NA	NA	0.85	1.39	0.85	1.46	NA
1675	NA	3.03	NA	NA	NA	NA	1.08	1.33	0.81	2.16	NA
1676	1.07	1.99	NA	NA	NA	NA	0.81	1.36	0.67	1.51	NA
1677	0.91	2	NA	NA	NA	NA	0.96	1.56	0.64	1.06	NA
1678	0.82	1.89	NA	NA	NA	NA	1.3	1.56	0.69	1.33	NA
1679	0.79	0.97	NA	NA	NA	NA	1.13	1.46	0.38	0.99	NA
1680	0.94	1.17	NA	NA	NA	NA	1.2	1.77	0.53	1.32	1.12
1681	1.01	1.5	NA	NA	NA	NA	1.3	2.38	0.41	1.31	1.21
1682	1.33	1.8	NA	NA	NA	NA	1.39	3.11	0.59	1.61	1.77
1683	1.47	2.58	NA	NA	NA	NA	1.52	2.75	0.61	1.62	1.29
1684	1.3	1.74	NA	NA	NA	NA	1.6	2.07	0.54	1.57	1.31
1685	1.55	1.87	NA	NA	NA	NA	2.23	2.5	0.7	1.9	1.75
1686	1.34	1.36	NA	NA	NA	NA	1.9	2.49	0.74	1.62	1.76
1687	1.85	2.25	NA	NA	NA	NA	1.77	3.05	0.68	1.72	1.56
1688	1.56	2.23	NA	NA	NA	NA	1.59	2.45	0.59	1.29	1.42
1689	1.42	2.61	NA	NA	NA	NA	1.67	2.28	0.64	1.18	1.22
1690	1.02	1.53	NA	NA	NA	NA	1.28	1.24	0.69	1.16	1.25
1691	1.36	1.16	NA	NA	NA	NA	1.23	1.07	0.63	1.13	1.19
1692	1.27	1.34	NA	NA	NA	NA	1.37	1.56	0.63	1.22	1.24
1693	1.71	1.93	NA	NA	NA	NA	1.61	2.3	0.58	1.52	1.34
1694	1.64	1.66	NA	NA	NA	NA	2.09	2.64	0.64	1.49	1.18
1695	1.68	1.44	NA	NA	NA	3.59	1.82	2.57	0.61	1.21	1.12
1696	1.66	2.06	NA	NA	NA	3.2	2.04	2.74	0.77	1.2	1.18
1697	0.87	0.72	NA	NA	NA	1.7	0.9	1.51	0.41	0.56	0.44
1698	0.66	0.33	NA	NA	NA	1.26	0.63	1.28	0.32	0.29	0.27
1699	0.55	0.45	NA	NA	NA	1.46	0.51	1.13	0.28	0.25	0.3
1700	0.81	0.51	NA	NA	NA	2.04	0.71	1.42	0.38	0.51	0.46
1701	0.95	0.92	NA	NA	NA	2.95	0.82	1.58	0.48	0.87	0.85
1702	1.03	1.06	NA	NA	NA	3.29	0.84	1.48	0.58	0.96	0.92
1703	1.21	2.03	NA	NA	NA	3.78	1.08	2.02	0.7	1.28	1.14
1704	0.94	1.76	NA	NA	NA	3.86	1.3	2.09	0.69	1.4	1.25
1705	1.01	1.54	NA	NA	NA	2.98	1.41	1.94	0.66	1.07	1.31
1706	0.97	1.3	NA	NA	NA	2.26	1.25	1.66	0.45	0.87	1.08
1707	1.5	2.18	NA	NA	NA	4.28	2.19	2.85	0.9	1.71	2.04
1708	1.47	1.25	NA	NA	NA	3.23	1.8	2.2	0.83	1.26	1.55
1709	1.62	1.38	NA	NA	NA	4.23	1.96	2.28	0.86	1.56	1.74
1710	1.85	1.38	NA	NA	NA	3.55	2.07	2.19	0.81	1.57	1.63
1711	1.64	1.03	NA	NA	NA	2.53	1.71	1.73	0.77	1.44	1.48
1712	2.01	0.98	NA	NA	NA	2.93	1.63	1.98	0.84	1.98	1.52
1713	1.8	1.63	NA	NA	NA	3.74	1.86	1.79	0.66	1.93	1.74
1714	1.7	1.78	NA	NA	NA	3.57	1.65	1.71	0.7	1.57	1.46
1715	2	2.1	NA	NA	NA	3.57	1.63	1.65	0.81	2.03	1.54
1716	1.26	1.47	NA	NA	NA	1.56	1.27	1.05	0.63	1.25	0.78
1717	0.89	1.09	NA	NA	NA	1.28	1.21	1.03	0.43	0.97	0.83
1718	1.12	1.45	NA	NA	NA	3.06	1.64	1.6	0.6	1.29	1.41
1719	1.69	1.46	NA	NA	NA	4.72	2.48	1.98	0.67	1.64	2.01
1720	1.57	1.48	NA	NA	NA	4.37	2.4	2	0.58	2	1.63
1721	1.64	1.68	NA	NA	NA	5.16	2.7	2.2	0.63	2.11	1.73
1722	1.52	1.55	NA	NA	NA	4.48	2.22	1.6	0.55	1.57	1.8
1723	1.63	1.48	NA	NA	NA	4.69	2.2	1.7	0.71	1.66	1.44
1724	1.45	1.22	NA	NA	NA	3.47	1.94	1.73	0.71	1.7	1.25
1725	1.46	1.03	NA	NA	NA	3.52	1.95	1.82	0.91	1.77	1.34
1726	1.15	0.53	NA	NA	NA	2.69	1.35	1.46	0.68	1.1	0.88
1727	1.11	0.67	NA	NA	NA	2.28	0.9	1.17	0.53	0.99	0.96
1728	0.98	0.46	NA	NA	NA	1.91	0.57	0.94	0.5	0.92	0.73
1729	0.9	0.6	NA	NA	NA	2.34	0.67	1.04	0.48	0.97	0.77
1730	1.06	0.86	NA	NA	NA	2.12	0.57	1.26	0.43	0.97	0.8
1731	1.06	0.88	NA	NA	NA	2.96	1.23	1.11	0.73	0.9	0.77
1732	1	0.92	NA	NA	NA	2.52	1.28	1.32	0.7	0.93	0.79
1733	1.36	1.08	NA	NA	NA	2.29	1.42	1.17	0.86	1.16	0.71
1734	1.05	0.75	NA	NA	NA	1.63	1.2	1.03	0.68	0.86	0.67
1735	1.14	1.04	NA	NA	NA	2.14	1.37	1.1	0.68	1.16	0.84
1736	1.04	1	NA	NA	NA	1.97	1.04	1.03	0.53	0.9	0.62
1737	1.79	1.3	NA	NA	NA	3.48	1.51	1.32	0.58	1.54	0.89
1738	1.29	0.99	NA	NA	NA	2.37	0.94	0.93	0.38	0.84	0.75
1739	1.74	1.4	NA	NA	NA	2.52	1.29	1.24	0.58	1.09	1.12
1740	1.46	1.13	NA	NA	NA	1.78	0.98	0.77	0.54	0.8	0.95
1741	1.18	0.64	NA	NA	NA	1.62	0.79	0.59	0.6	0.8	0.6
1742	0.97	0.57	NA	NA	NA	1.78	0.71	0.6	0.48	0.72	0.53
1743	1.25	0.72	NA	NA	NA	2.31	0.87	0.75	0.54	0.91	0.75
1744	1.08	0.47	NA	NA	NA	1.39	0.58	0.56	0.3	0.51	0.45
1745	1.48	0.45	NA	NA	NA	1.23	0.66	0.48	0.4	0.88	0.61
1746	1.36	0.32	NA	NA	0.33	0.71	0.49	0.25	0.37	0.52	0.38
1747	1.25	0.26	NA	NA	0.22	0.87	0.45	0.26	0.59	0.98	0.37
1748	1.14	0.39	NA	NA	0.41	1.32	0.49	0.34	0.6	1.03	0.42
1749	1.28	0.53	NA	NA	0.69	2.25	0.56	0.68	0.61	0.99	0.56
1750	1.76	0.56	NA	NA	1.15	4.01	1.11	1.26	0.75	1.21	0.99
1751	1.39	0.56	NA	NA	1.6	2.54	0.96	1.09	0.76	0.75	0.63
1752	1.09	0.52	NA	NA	1.56	1.67	1.12	1.03	0.77	0.56	0.42
1753	1.36	0.47	NA	NA	1.63	1.27	1.09	0.96	0.82	0.45	0.55
1754	0.82	0.33	NA	NA	0.71	0.73	0.8	0.54	0.38	0.42	0.36
1755	0.54	0.26	NA	NA	1.05	0.7	0.45	0.5	0.39	0.36	0.38
1756	0.51	0.24	NA	NA	1.29	1.11	0.43	0.59	0.27	0.34	0.44
1757	0.72	0.44	NA	NA	1.97	1.71	0.57	0.81	0.4	0.54	0.6
1758	1.25	0.83	NA	NA	2.28	2.57	1.07	1.15	0.45	0.78	0.82
1759	1.47	0.8	NA	NA	1.6	2.33	0.97	1.07	0.6	0.73	0.75
1760	1.78	0.79	NA	NA	2.62	2.71	1.09	1.42	0.68	0.94	0.9
1761	2.21	1.15	NA	NA	2.48	3.01	1.66	1.63	0.92	1.42	1.07
1762	2.02	1.06	NA	NA	2.5	2.07	1.56	1.62	1.19	1.33	1.11
1763	1.97	0.9	NA	NA	2.87	2.04	1.83	1.64	1.6	1.67	0.99
1764	1.68	0.9	NA	NA	2.82	1.78	1.74	1.14	1.26	1.23	1.03
1765	1.88	1.15	NA	NA	3.26	3.03	2.28	1.66	1.35	1.54	1.33
1766	1.47	0.8	NA	NA	2.24	2.34	1.54	1.36	1.14	1.09	1.11
1767	1.58	1.01	NA	NA	2.22	2.54	1.54	1.4	1.07	1.08	1.38
1768	1.28	0.79	NA	NA	1.74	1.69	1.03	0.87	0.74	0.6	0.86
1769	1.32	0.75	NA	NA	2.05	1.72	1.38	0.82	0.86	0.7	0.9
1770	1.09	0.64	NA	NA	1.51	1.95	1.29	0.78	0.78	0.85	0.84
1771	1.24	0.72	NA	NA	1.64	2.37	1.47	0.78	0.84	1.08	0.87
1772	1.29	0.79	NA	NA	1.48	2.76	1.92	0.77	0.87	1.32	1.43
1773	1.26	0.81	NA	NA	1.63	3.05	2.22	0.86	0.95	1.21	1.29
1774	1.32	1.01	NA	NA	2.14	3.84	1.39	0.75	1.01	1.35	1.3
1775	1.21	1.24	NA	1.19	1.69	1.51	1.25	0.67	0.7	1.06	1.07
1776	1.09	1.76	NA	1.47	1.46	1.55	0.84	0.51	0.5	1.04	0.84
1777	1.33	1.8	NA	1.2	2.01	2.34	1.08	0.76	0.55	1.56	1.14
