# Young - Rainbow Falls Trail - CADN - ITRDB TN015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5392
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5392.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tn015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tn015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Young - Rainbow Falls Trail - CADN - ITRDB TN015
#--------------------
# Investigators
#   Investigators: Young, J.; Keeland, R.; Alford, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rainbow Falls Trail
#   Location: Tennessee
#   Northernmost_Latitude: 35.67
#   Southernmost_Latitude: 35.67
#   Easternmost_Longitude: -83.5
#   Westernmost_Longitude: -83.5
#   Elevation_m: 825
#--------------------
# Data_Collection
#   Collection_Name: TN015
#   First_Year: 1695
#   Last_Year: 1922
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Castanea dentata (Marsh.) Borkh.
#   Common_Name: American Chestnut
#   Tree_Species_Code: CADN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RFT03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT08D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT08D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT10C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT10C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT10E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT10E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT13B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT13B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT21B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT21B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RFT03B_raw	RFT05B_raw	RFT08A_raw	RFT08B_raw	RFT08D_raw	RFT10B_raw	RFT10C_raw	RFT10E_raw	RFT13B_raw	RFT21A_raw	RFT21B_raw
1767	NA	NA	2.909	NA	2.93	3.73	NA	NA	2.048	NA	NA
1768	NA	NA	2.893	NA	2.871	3.421	NA	NA	2.629	NA	NA
1769	NA	NA	2.426	NA	2.507	2.524	NA	NA	1.717	NA	NA
1770	NA	NA	2.2	NA	2.277	3.891	NA	NA	1.426	NA	NA
1771	NA	NA	2.845	NA	3.089	2.152	2.055	NA	2.637	NA	NA
1772	NA	NA	2.888	NA	3.009	2.539	2.728	NA	2.897	NA	NA
1773	NA	NA	2.529	NA	2.733	1.485	2.213	2.071	3.817	NA	NA
1774	NA	NA	1.24	NA	1.399	1.215	1.338	2.289	1.473	NA	NA
1775	NA	NA	2.304	NA	2.404	1.584	1.934	1.946	2.118	NA	NA
1776	NA	NA	2.805	NA	3.229	2.111	2.572	3.354	1.638	NA	NA
1777	NA	NA	2.679	NA	2.674	3.187	3.597	3.366	2.39	NA	NA
1778	NA	NA	3.41	NA	3.393	4.709	4.006	3.857	2.114	NA	NA
1779	NA	NA	2.61	NA	2.794	2.863	2.607	3.196	2.73	NA	NA
1780	NA	NA	3.14	NA	2.958	3.404	3.06	4.205	1.945	NA	NA
1781	NA	NA	2.544	NA	2.57	3.618	3.062	4.031	2.629	NA	NA
1782	NA	NA	2.583	NA	2.707	3.689	3.795	3.542	2.638	NA	NA
1783	NA	NA	1.876	NA	2.095	2.988	3.412	3	2.708	NA	NA
1784	NA	NA	1.004	NA	1.21	1.383	1.705	1.775	2.165	NA	NA
1785	NA	NA	1.701	NA	1.945	1.843	1.997	1.972	2.413	NA	NA
1786	NA	NA	2.169	NA	2.39	3.805	3.54	3.103	2.238	NA	NA
1787	NA	NA	2.777	NA	3.13	2.448	2.869	2.876	1.99	NA	NA
1788	NA	NA	2.696	NA	2.985	3.434	3.73	3.279	2.013	NA	NA
1789	NA	NA	1.98	2.053	2.274	2	2.445	2.884	2.309	NA	NA
1790	1.929	NA	2.433	2.566	2.779	1.963	3.164	2.586	2.327	NA	NA
1791	1.413	NA	2.425	2.216	2.512	3.16	3.124	2.88	2.103	NA	NA
1792	1.38	NA	2.492	2.694	3.035	2.649	2.972	3.062	2.348	NA	NA
1793	1.835	NA	2.277	2.25	2.633	2.664	3.009	3.567	3.003	NA	NA
1794	1.782	NA	3.167	2.71	3.031	2.901	3.049	3.209	2.421	NA	NA
1795	1.577	NA	2.382	2.107	2.617	2.023	2.569	2.634	2.222	NA	NA
1796	1.307	NA	2.151	2.015	2.314	2.219	2.546	2.762	2.563	NA	NA
1797	1.497	NA	2.457	2.131	2.461	2.625	2.867	3.093	2.228	NA	NA
1798	1.838	NA	2.696	2.555	2.97	2.708	3.246	3.56	2.815	NA	NA
1799	1.383	NA	1.632	1.638	1.682	1.573	1.693	2.061	2.128	NA	NA
1800	1.875	NA	2.089	1.993	2.383	2.388	2.479	2.83	3.906	NA	NA
1801	1.392	NA	1.688	1.663	1.983	2.012	1.854	2.145	2.559	NA	NA
1802	1.546	NA	2.059	1.972	2.406	2.376	2.417	2.389	3.378	NA	NA
1803	1.606	NA	1.798	1.66	1.657	1.953	1.866	3.042	2.914	NA	NA
1804	1.417	NA	1.496	1.58	1.49	2.114	1.715	2.375	3.775	NA	NA
1805	1.994	NA	1.352	1.615	1.725	1.929	1.854	1.939	3.847	NA	NA
1806	2.045	NA	1.338	1.44	1.635	3	2.379	2.392	4.936	NA	NA
1807	2.423	NA	1.221	1.406	1.527	2.197	2.583	2.399	4.637	NA	NA
1808	2.095	NA	1.601	1.741	1.915	1.862	2.167	2.71	6.139	NA	NA
1809	2.811	NA	1.85	1.83	2.059	1.792	1.675	2.366	6.371	NA	NA
1810	2.813	NA	2.231	2.36	2.658	2.25	2.049	2.875	5.08	NA	NA
1811	3.25	NA	2.27	2.593	2.68	2.305	2.584	2.229	6.089	NA	NA
1812	2.489	NA	2.016	2.229	2.067	1.466	1.453	2.193	5.854	NA	NA
1813	3.507	NA	1.496	1.513	1.541	1.369	1.794	1.615	4.779	NA	NA
1814	2.397	NA	1.078	1.132	1.167	1.126	1.916	1.714	2.834	NA	NA
1815	3.104	NA	1.918	1.862	2.019	2.037	2.199	2.591	3.907	NA	NA
1816	3.451	NA	1.91	1.774	1.945	2.061	2.216	2.473	4.071	NA	NA
1817	3.174	NA	1.996	1.971	2.047	2.072	2.35	2.727	5.037	NA	NA
1818	2.571	NA	1.74	1.694	1.811	1.723	2.191	2.136	3.794	NA	NA
1819	3.181	NA	1.635	1.633	1.748	1.368	1.807	1.716	3.552	NA	NA
1820	3.087	NA	1.502	1.638	1.744	1.774	3.208	2.936	4.77	NA	NA
1821	2.859	NA	1.396	1.516	1.541	2.025	2.77	2.417	4.322	NA	NA
1822	2.529	NA	0.963	1.263	1.229	1.987	3.231	3.166	4.717	NA	NA
1823	2.219	NA	1.036	1.238	1.152	1.607	2.38	2.222	4.052	NA	NA
1824	2.456	NA	2.457	2.592	2.679	2.171	2.783	3.047	5.559	NA	NA
1825	2.242	NA	2.225	2.123	2.242	1.856	2.579	2.218	6.677	NA	NA
1826	2.226	NA	1.631	1.653	1.65	1.636	2.147	1.826	6.525	NA	NA
1827	2.328	NA	2.116	2.215	2.362	2.652	2.554	2.597	3.955	NA	NA
1828	2.47	NA	1.667	1.59	1.662	2.811	2.708	2.354	5.215	NA	NA
1829	2.184	NA	1.843	1.776	1.988	2.407	2.6	2.071	6.608	1.562	NA
1830	1.801	NA	1.742	1.588	1.915	2.874	2.091	3.014	5.729	1.493	1.83
1831	1.89	NA	1.683	1.916	1.773	2.069	2.111	2.523	4.232	1.601	1.527
1832	1.558	NA	1.153	1.351	1.458	2.409	2.507	2.414	4.748	1.737	1.561
1833	1.812	NA	1.859	1.922	2.013	2.199	2.55	2.041	3.672	1.758	1.528
1834	2.184	NA	1.503	1.477	1.74	2.007	2.404	1.57	4.395	2.001	1.667
1835	1.901	NA	1.294	1.322	1.348	1.848	1.592	1.431	7.63	2.031	1.737
1836	1.272	NA	1.614	1.492	1.658	1.979	1.442	1.626	5.824	2.019	1.359
1837	1.198	NA	1.532	1.597	1.601	2.242	1.331	1.248	5.226	1.777	1.667
1838	1.004	NA	1.537	1.658	1.839	1.873	1.261	1.268	4.013	1.89	1.917
1839	1.468	NA	1.859	1.785	1.911	2.173	1.113	1.526	5.265	2.802	2.399
1840	1.97	NA	1.886	2.222	2.226	3.164	1.847	2.792	3.901	3.007	2.475
1841	1.583	NA	1.902	1.873	1.924	2.398	1.625	1.431	6.838	1.875	1.781
1842	1.412	NA	2.329	2.183	2.474	2.86	1.947	2.684	NA	2.51	2.319
1843	1.259	NA	2.346	2.181	2.369	2.152	1.785	2.287	NA	1.854	1.841
1844	1.494	NA	1.821	1.85	1.944	1.93	1.552	1.994	NA	2.483	1.889
1845	1.621	NA	1.787	1.864	2.049	2.006	2.007	2	NA	1.612	2.129
1846	1.325	NA	1.575	1.562	1.58	2.248	2.608	3.119	NA	1.657	2.128
1847	1.583	NA	2.093	2.147	2.221	2.837	3.039	2.535	NA	1.584	2.055
1848	1.614	NA	2.036	2.441	2.433	2.647	2.712	2.619	NA	2.46	2.972
1849	1.545	NA	2.449	2.396	2.397	2.949	2.977	2.861	NA	1.673	2.775
1850	1.636	NA	1.756	1.863	1.799	2.296	1.769	2.376	NA	1.993	2.843
1851	1.429	NA	1.442	1.513	1.536	2.481	2.123	2.708	NA	1.679	2.663
1852	1.507	NA	1.454	1.53	1.497	2.123	1.862	2.671	NA	1.726	2.893
1853	1.613	NA	1.49	1.522	1.412	2.326	2.421	3.386	NA	1.326	2.49
1854	1.741	3.392	1.48	1.536	1.566	3.13	2.997	NA	NA	1.066	2.189
1855	NA	6.707	1.748	1.699	1.751	3.358	2.66	NA	NA	1.13	2.178
1856	NA	2.596	1.574	1.641	1.565	1.867	1.615	NA	NA	1.152	2.105
1857	NA	4.43	1.929	1.971	1.893	2.804	2.384	NA	NA	1.41	2.289
1858	NA	6.078	1.85	2.042	1.873	2.888	2.58	NA	NA	1.066	2.191
1859	NA	4.238	1.89	1.904	1.962	2.208	2.198	NA	NA	1.128	1.933
1860	NA	4.313	1.704	1.869	1.747	2.566	1.953	NA	NA	0.804	1.676
1861	NA	4.659	2.085	2.13	1.882	2.354	2.119	NA	NA	0.882	1.243
1862	NA	5.04	2.045	2.22	2.049	2.48	2.337	NA	NA	0.957	1.55
1863	NA	4.715	2.389	2.768	2.343	2.533	3.332	NA	NA	1.081	2.465
1864	NA	3.575	2.219	2.837	2.628	2.505	4.072	NA	NA	1.138	2.47
1865	NA	5.487	2.567	2.805	2.677	2.492	4.091	NA	NA	1.925	3.498
1866	NA	4.93	2.622	2.788	2.583	2.023	2.941	NA	NA	1.473	2.662
1867	NA	3.723	2.563	2.674	2.523	2.786	3.736	NA	NA	1.847	2.986
1868	NA	3.756	2.789	3.158	2.312	NA	NA	NA	NA	1.995	2.393
1869	NA	4.797	2.789	3.311	2.755	NA	NA	NA	NA	2.888	5.207
1870	NA	4.081	2.438	2.853	2.472	NA	NA	NA	NA	2.582	4.176
1871	NA	3.878	2.684	2.904	2.549	NA	NA	NA	NA	3.584	4.478
1872	NA	4.521	2.589	2.616	2.536	NA	NA	NA	NA	2.68	3.104
1873	NA	3.343	2.26	2.369	2.303	NA	NA	NA	NA	3.527	3.595
1874	NA	2.654	1.847	2.231	2.044	NA	NA	NA	NA	3.01	2.541
1875	NA	3.007	2.21	2.552	2.171	NA	NA	NA	NA	2.777	2.602
1876	NA	2.367	2.734	2.87	2.928	NA	NA	NA	NA	3.14	3.199
1877	NA	2.276	2.819	2.766	2.699	NA	NA	NA	NA	2.252	2.338
1878	NA	2.591	2.385	2.634	2.273	NA	NA	NA	NA	2.523	2.573
1879	NA	2.163	1.79	1.828	1.755	NA	NA	NA	NA	3.044	3.293
1880	NA	3.666	1.839	2.044	1.992	NA	NA	NA	NA	2.673	2.93
1881	NA	3.189	2.135	2.189	2.028	NA	NA	NA	NA	2.272	2.272
1882	NA	5.565	2.285	2.539	2.158	NA	NA	NA	NA	2.115	2.339
1883	NA	5.458	1.938	2.018	1.707	NA	NA	NA	NA	1.925	2.114
1884	NA	5.251	2.335	2.505	2.248	NA	NA	NA	NA	3.263	2.865
1885	NA	4.069	1.514	1.598	1.501	NA	NA	NA	NA	2.05	1.813
1886	NA	4.549	1.973	1.989	1.865	NA	NA	NA	NA	2.185	1.936
1887	NA	5.166	1.536	1.604	1.55	NA	NA	NA	NA	1.688	1.727
1888	NA	4.779	1.673	1.664	1.591	NA	NA	NA	NA	1.611	1.57
1889	NA	6.216	1.792	1.777	1.683	NA	NA	NA	NA	2.478	2.677
1890	NA	4.061	1.574	1.664	1.544	NA	NA	NA	NA	2.046	2.22
1891	NA	5.652	1.605	1.613	1.531	NA	NA	NA	NA	1.837	2.455
1892	NA	4.652	1.674	1.789	1.714	NA	NA	NA	NA	1.573	1.893
1893	NA	4.634	1.739	1.791	1.639	NA	NA	NA	NA	1.503	1.923
1894	NA	3.628	1.421	1.604	1.465	NA	NA	NA	NA	1.098	1.326
1895	NA	3.439	1.618	1.639	1.579	NA	NA	NA	NA	1.264	1.354
1896	NA	4.623	1.46	1.63	1.561	NA	NA	NA	NA	1.462	2.087
1897	NA	4.804	1.581	1.631	1.506	NA	NA	NA	NA	1.701	2.547
1898	NA	3.358	1.329	1.338	1.285	NA	NA	NA	NA	1.139	1.401
