# Jacoby - Chisana Air - PCGL - ITRDB AK076
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3590
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3590.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak076-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak076-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak076.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak076.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2006-04-26
#--------------------
# Title
#   Study_Name: Jacoby - Chisana Air - PCGL - ITRDB AK076
#--------------------
# Investigators
#   Investigators: Jacoby, G.C.; Davi, N.K.(https://orcid.org/0000-0002-4529-5418); Wiles, G.(https://orcid.org/0000-0001-7977-5383)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Chisana Air
#   Location: Alaska
#   Northernmost_Latitude: 62.08
#   Southernmost_Latitude: 62.08
#   Easternmost_Longitude: -142.02
#   Westernmost_Longitude: -142.02
#   Elevation_m: 1006
#--------------------
# Data_Collection
#   Collection_Name: AK076
#   First_Year: 1415
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CA1E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA1E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA3S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA3S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA3N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA3N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA3SW1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA3SW1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA4SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA4SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA4NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA4NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA5N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA5N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CA1E_raw	CA2N_raw	CA3S_raw	CA3N_raw	CA3SW1_raw	CA4SE_raw	CA4NW_raw	CA5N_raw
1504	NA	NA	NA	NA	NA	NA	NA	0.137
1505	NA	NA	NA	NA	NA	NA	NA	0.095
1506	NA	NA	NA	NA	NA	NA	NA	0.157
1507	NA	NA	NA	NA	NA	NA	NA	0.121
1508	NA	NA	NA	NA	NA	NA	NA	0.173
1509	NA	NA	NA	NA	NA	NA	NA	0.178
1510	NA	NA	NA	NA	NA	NA	NA	0.156
1511	NA	NA	NA	NA	NA	NA	NA	0.098
1512	NA	NA	NA	NA	NA	NA	NA	0.105
1513	NA	NA	NA	NA	NA	NA	NA	0.142
1514	NA	NA	NA	NA	NA	NA	NA	0.149
1515	NA	NA	NA	NA	NA	NA	NA	0.159
1516	NA	NA	NA	NA	NA	NA	NA	0.144
1517	NA	NA	NA	NA	NA	NA	NA	0.211
1518	NA	NA	NA	NA	NA	NA	NA	0.251
1519	NA	NA	NA	NA	NA	NA	NA	0.229
1520	NA	NA	NA	NA	NA	NA	NA	0.236
1521	NA	NA	NA	NA	NA	NA	NA	0.186
1522	NA	NA	NA	NA	NA	NA	NA	0.214
1523	NA	NA	NA	NA	NA	NA	NA	0.241
1524	NA	NA	NA	NA	NA	NA	NA	0.197
1525	NA	NA	NA	NA	NA	NA	NA	0.171
1526	NA	NA	NA	NA	NA	NA	NA	0.142
1527	NA	NA	NA	NA	NA	NA	NA	0.187
1528	NA	NA	NA	NA	NA	NA	NA	0.149
1529	NA	NA	NA	NA	NA	NA	NA	0.19
1530	NA	NA	NA	NA	NA	NA	NA	0.228
1531	NA	NA	NA	NA	NA	NA	NA	0.201
1532	NA	NA	NA	NA	NA	NA	NA	0.206
1533	NA	NA	NA	NA	NA	NA	NA	0.163
1534	NA	NA	NA	NA	NA	NA	NA	0.152
1535	NA	NA	NA	NA	NA	NA	NA	0.211
1536	NA	NA	NA	NA	NA	NA	NA	0.194
1537	NA	NA	NA	NA	NA	NA	NA	0.246
1538	NA	NA	NA	NA	NA	NA	NA	0.22
1539	NA	NA	NA	NA	NA	NA	NA	0.215
1540	NA	NA	NA	NA	NA	NA	NA	0.164
1541	NA	NA	NA	NA	NA	NA	NA	0.213
1542	NA	NA	NA	NA	NA	NA	NA	0.166
1543	NA	NA	NA	NA	NA	NA	NA	0.188
1544	NA	NA	NA	NA	NA	NA	NA	0.211
1545	NA	NA	NA	NA	NA	NA	NA	0.217
1546	NA	NA	NA	NA	NA	NA	NA	0.17
1547	NA	NA	NA	NA	NA	NA	NA	0.152
1548	NA	NA	NA	NA	NA	NA	NA	0.256
1549	NA	NA	NA	NA	NA	NA	NA	0.247
1550	NA	NA	NA	NA	NA	NA	NA	0.283
1551	NA	NA	NA	NA	NA	NA	NA	0.31
1552	NA	NA	NA	NA	NA	NA	NA	0.302
1553	NA	NA	NA	NA	NA	NA	NA	0.222
1554	NA	NA	NA	NA	NA	NA	NA	0.277
1555	NA	NA	NA	NA	NA	NA	NA	0.294
1556	NA	NA	NA	NA	NA	NA	NA	0.294
1557	NA	NA	NA	NA	NA	NA	NA	0.236
1558	NA	NA	NA	NA	NA	NA	NA	0.302
1559	NA	NA	NA	NA	NA	NA	NA	0.328
1560	NA	NA	NA	NA	NA	NA	NA	0.325
1561	NA	NA	NA	NA	NA	NA	NA	0.354
1562	NA	NA	NA	NA	NA	NA	NA	0.311
1563	NA	NA	NA	NA	NA	NA	NA	0.309
1564	NA	NA	NA	NA	NA	NA	NA	0.305
1565	NA	NA	NA	NA	NA	NA	NA	0.336
1566	NA	NA	NA	NA	NA	NA	NA	0.343
1567	NA	NA	NA	NA	NA	NA	NA	0.251
1568	NA	NA	NA	NA	NA	NA	NA	0.261
1569	NA	NA	NA	NA	NA	NA	NA	0.199
1570	NA	NA	NA	NA	NA	NA	NA	0.19
1571	NA	NA	NA	NA	NA	NA	NA	0.187
1572	NA	NA	NA	NA	NA	NA	NA	0.235
1573	NA	NA	NA	NA	NA	NA	NA	0.25
1574	NA	NA	NA	NA	NA	NA	NA	0.221
1575	NA	NA	NA	NA	NA	NA	NA	0.234
1576	NA	NA	NA	NA	NA	NA	NA	0.255
1577	NA	NA	NA	NA	NA	NA	NA	0.154
1578	NA	NA	NA	NA	NA	NA	NA	0.166
1579	NA	NA	NA	NA	NA	NA	NA	0.126
1580	NA	NA	NA	NA	NA	NA	NA	0.129
1581	NA	NA	NA	NA	NA	NA	NA	0.125
1582	NA	NA	NA	NA	NA	NA	NA	0.119
1583	NA	NA	NA	NA	NA	NA	NA	0.13
1584	NA	NA	NA	NA	NA	NA	NA	0.144
1585	NA	NA	NA	NA	NA	NA	NA	0.133
1586	NA	NA	NA	NA	NA	NA	NA	0.118
1587	NA	NA	NA	NA	NA	NA	NA	0.081
1588	NA	NA	NA	NA	NA	NA	NA	0.111
1589	NA	NA	NA	NA	NA	NA	NA	0.085
1590	NA	NA	NA	NA	NA	NA	NA	0.139
1591	NA	NA	NA	NA	NA	NA	NA	0.08
1592	NA	NA	NA	NA	NA	NA	NA	0.113
1593	NA	NA	NA	NA	NA	NA	NA	0.103
1594	NA	NA	NA	NA	NA	NA	NA	0.074
1595	NA	NA	NA	NA	NA	NA	NA	0.102
1596	NA	NA	NA	NA	NA	NA	NA	0.062
1597	NA	NA	NA	NA	NA	NA	NA	0.131
1598	NA	NA	NA	NA	NA	NA	NA	0.078
1599	NA	NA	NA	0.202	NA	NA	NA	0.12
1600	NA	NA	0.157	0.144	NA	NA	NA	0.098
1601	NA	NA	0.152	0.165	NA	NA	NA	0.09
1602	NA	NA	0.18	0.171	NA	NA	NA	0.116
1603	NA	NA	0.18	0.148	NA	NA	NA	0.156
1604	NA	NA	0.165	0.195	NA	NA	NA	0.215
1605	NA	NA	0.141	0.154	NA	NA	NA	0.142
1606	NA	NA	0.142	0.171	NA	NA	NA	0.199
1607	NA	NA	0.125	0.156	NA	NA	NA	0.222
1608	NA	NA	0.164	0.18	NA	NA	NA	0.218
1609	NA	NA	0.225	0.273	NA	NA	NA	0.348
1610	NA	NA	0.189	0.213	NA	NA	NA	0.348
1611	NA	NA	0.213	0.21	NA	NA	NA	0.269
1612	NA	NA	0.181	0.196	NA	NA	NA	0.333
1613	NA	NA	0.18	0.16	NA	NA	NA	0.348
1614	NA	NA	0.164	0.15	NA	NA	NA	0.331
1615	NA	NA	0.193	0.184	NA	NA	NA	0.309
1616	NA	NA	0.183	0.181	NA	NA	NA	0.276
1617	NA	NA	0.198	0.164	NA	NA	NA	0.203
1618	NA	NA	0.174	0.17	NA	NA	NA	0.178
1619	NA	NA	0.208	0.204	NA	NA	NA	0.17
1620	NA	NA	0.165	0.177	NA	NA	NA	0.136
1621	NA	NA	0.25	0.221	NA	NA	NA	0.187
1622	NA	NA	0.17	0.175	NA	NA	NA	0.192
1623	NA	NA	0.223	0.223	NA	NA	NA	0.237
1624	NA	NA	0.146	0.169	NA	NA	NA	0.118
1625	NA	NA	0.219	0.228	NA	NA	NA	0.165
1626	NA	NA	0.223	0.275	NA	0.524	0.61	0.243
1627	NA	NA	0.194	0.25	NA	0.58	0.623	0.292
1628	NA	NA	0.188	0.237	NA	0.64	0.656	0.157
1629	NA	NA	0.226	0.302	NA	0.6	0.659	0.243
1630	NA	NA	0.219	0.268	NA	0.59	0.693	0.302
1631	NA	NA	0.125	0.173	NA	0.638	0.556	0.176
1632	NA	NA	0.325	0.358	NA	0.72	0.779	0.274
1633	NA	NA	0.234	0.259	NA	0.562	0.551	0.247
1634	NA	NA	0.298	0.328	NA	0.599	0.747	0.352
1635	NA	NA	0.247	0.319	NA	0.745	0.673	0.274
1636	NA	NA	0.316	0.374	NA	0.692	0.642	0.324
1637	NA	NA	0.391	0.388	NA	0.77	0.782	0.388
1638	NA	NA	0.307	0.335	NA	0.505	0.579	0.294
1639	NA	NA	0.304	0.296	NA	0.616	0.72	0.242
1640	NA	NA	0.409	0.354	NA	0.64	0.694	0.267
1641	NA	NA	0.279	0.248	NA	0.467	0.42	0.23
1642	NA	NA	0.262	0.287	NA	0.385	0.5	0.211
1643	NA	NA	0.253	0.316	NA	0.536	0.529	0.216
1644	NA	NA	0.267	0.307	NA	0.558	0.644	0.224
1645	NA	NA	0.184	0.203	0.246	0.484	0.522	0.199
1646	NA	NA	0.152	0.218	0.165	0.443	0.449	0.229
1647	NA	NA	0.267	0.288	0.25	0.444	0.581	0.225
1648	NA	NA	0.194	0.265	0.226	0.46	0.55	0.268
1649	NA	NA	0.184	0.215	0.227	0.496	0.463	0.163
1650	NA	NA	0.204	0.269	0.251	0.337	0.355	0.104
1651	NA	NA	0.186	0.196	0.19	0.386	0.336	0.18
1652	NA	NA	0.233	0.26	0.245	0.392	0.321	0.127
1653	NA	NA	0.227	0.28	0.236	0.345	0.337	0.139
1654	NA	NA	0.251	0.244	0.24	0.473	0.436	0.217
1655	NA	NA	0.147	0.164	0.194	0.406	0.444	0.202
1656	NA	NA	0.178	0.203	0.21	0.548	0.564	0.256
1657	NA	NA	0.225	0.218	0.207	0.528	0.652	0.308
1658	NA	NA	0.206	0.234	0.217	0.492	0.631	0.34
1659	NA	NA	0.227	0.213	0.185	0.569	0.67	0.379
1660	NA	NA	0.173	0.227	0.173	0.54	0.654	0.366
1661	NA	NA	0.213	0.168	0.203	0.434	0.666	0.44
1662	NA	NA	0.151	0.143	0.167	0.499	0.59	0.418
1663	NA	NA	0.272	0.243	0.276	0.614	0.662	0.478
1664	NA	NA	0.22	0.175	0.15	0.562	0.728	0.467
1665	NA	NA	0.241	0.194	0.225	0.534	0.777	0.393
1666	NA	NA	0.213	0.215	0.252	0.508	0.702	0.34
1667	NA	NA	0.161	0.166	0.169	0.423	0.604	0.138
1668	NA	NA	0.192	0.196	0.274	0.454	0.755	0.28
1669	NA	NA	0.196	0.206	0.23	0.445	0.684	0.274
1670	NA	NA	0.185	0.195	0.24	0.454	0.635	0.325
1671	NA	NA	0.194	0.189	0.235	0.465	0.756	0.264
1672	NA	NA	0.213	0.212	0.241	0.42	0.539	0.34
1673	NA	NA	0.236	0.197	0.226	0.557	0.694	0.434
1674	NA	NA	0.163	0.114	0.161	0.254	0.294	0.148
1675	NA	NA	0.317	0.215	0.246	0.482	0.628	0.361
1676	NA	NA	0.236	0.195	0.21	0.465	0.597	0.356
1677	NA	NA	0.163	0.184	0.186	0.427	0.576	0.418
1678	NA	NA	0.235	0.236	0.231	0.446	0.609	0.483
1679	NA	NA	0.219	0.258	0.247	0.535	0.715	0.402
1680	NA	NA	0.25	0.239	0.264	0.486	0.616	0.34
1681	NA	NA	0.207	0.18	0.292	0.433	0.466	0.351
1682	NA	NA	0.15	0.169	0.223	0.361	0.33	0.22
1683	NA	NA	0.225	0.202	0.265	0.482	0.442	0.183
1684	NA	NA	0.291	0.238	0.338	0.618	0.58	0.311
1685	NA	NA	0.298	0.225	0.272	0.567	0.717	0.317
1686	NA	NA	0.256	0.236	0.263	0.546	0.577	0.295
1687	NA	NA	0.142	0.157	0.182	0.387	0.541	0.249
1688	NA	NA	0.201	0.219	0.272	0.574	0.623	0.265
1689	NA	NA	0.247	0.242	0.302	0.746	0.993	0.297
1690	NA	NA	0.277	0.255	0.289	0.718	0.888	0.294
1691	NA	NA	0.281	0.252	0.293	0.584	0.766	0.229
1692	NA	NA	0.155	0.153	0.158	0.544	0.614	0.166
1693	NA	NA	0.194	0.166	0.199	0.582	0.503	0.269
1694	NA	NA	0.206	0.215	0.204	0.514	0.402	0.171
1695	NA	NA	0.193	0.149	0.22	0.429	0.462	0.206
1696	NA	NA	0.287	0.232	0.27	0.496	0.332	0.194
1697	NA	NA	0.275	0.212	0.269	0.511	0.379	0.226
1698	NA	NA	0.17	0.137	0.185	0.457	0.437	0.248
1699	NA	NA	0.156	0.121	0.17	0.388	0.443	0.281
1700	NA	NA	0.155	0.121	0.171	0.308	0.322	0.286
1701	NA	NA	0.236	0.17	0.222	0.367	0.35	0.272
1702	NA	NA	0.194	0.156	0.197	0.371	0.403	0.427
1703	NA	NA	0.182	0.103	0.173	0.436	0.416	0.394
1704	NA	NA	0.149	0.119	0.156	0.418	0.496	0.5
1705	NA	NA	0.114	0.118	0.111	0.364	0.361	0.378
1706	NA	NA	0.104	0.1	0.116	0.413	0.382	0.537
1707	NA	NA	0.15	0.149	0.156	0.5	0.472	0.571
1708	NA	NA	0.121	0.096	0.109	0.42	0.42	0.523
1709	NA	NA	0.081	0.088	0.08	0.35	0.361	0.5
1710	NA	NA	0.089	0.1	0.112	0.331	0.351	0.462
1711	NA	NA	0.099	0.079	0.101	0.339	0.4	0.436
1712	NA	NA	0.107	0.093	0.111	0.426	0.468	0.416
1713	NA	NA	0.115	0.108	0.097	0.309	0.37	0.43
1714	NA	NA	0.062	0.093	0.062	0.352	0.329	0.386
1715	NA	NA	0.138	0.125	0.131	0.577	0.54	0.455
1716	NA	NA	0.087	0.072	0.094	0.483	0.44	0.296
1717	NA	NA	0.098	0.105	0.118	0.378	0.442	0.289
