# Yamaguchi - Copalis River snags - THPL - ITRDB WA130
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5380
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5380.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa130-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa130-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa130.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa130.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Copalis River snags - THPL - ITRDB WA130
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Copalis River snags
#   Location: Washington
#   Northernmost_Latitude: 47.13
#   Southernmost_Latitude: 47.13
#   Easternmost_Longitude: -124.18
#   Westernmost_Longitude: -124.18
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA130
#   First_Year: 1305
#   Last_Year: 1680
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CP7892_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP7892; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP790_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP790; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP791_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP791; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP793_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP793; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP794_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP794; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CPGF2A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CPGF2A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CPGF2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CPGF2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CPGF2NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CPGF2NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CP7892_raw	CP790_raw	CP791_raw	CP793_raw	CP794_raw	CPGF2A_raw	CPGF2B_raw	CPGF2NW_raw
1385	2.01	0.74	NA	1.33	3.21	NA	NA	NA
1386	2.27	0.89	NA	1.22	2.92	NA	NA	NA
1387	2.57	0.97	NA	1.09	3.3	NA	NA	NA
1388	1.08	1.1	NA	1.35	2.75	NA	NA	NA
1389	2.8	1.34	NA	1.67	3.23	NA	NA	NA
1390	3.2	1.12	NA	1.51	3.35	NA	NA	NA
1391	2.32	0.84	NA	1.35	2.95	NA	NA	NA
1392	2.99	0.92	NA	1.5	3.32	NA	NA	NA
1393	3.43	1.01	NA	1.58	2.27	NA	NA	NA
1394	2.79	1.05	NA	1.34	2.18	NA	NA	NA
1395	2.74	0.97	NA	1.48	2.3	NA	NA	NA
1396	2.79	0.83	0.65	1.29	2.19	NA	NA	NA
1397	2.08	0.86	0.77	1.22	2.68	NA	NA	NA
1398	2.33	1.01	0.6	1.2	3.28	NA	NA	NA
1399	1.78	0.94	0.75	1	3.46	NA	NA	NA
1400	1.79	0.97	0.85	1.36	4.07	NA	NA	NA
1401	1.78	0.74	0.77	1.19	2.64	NA	NA	NA
1402	1.52	0.67	0.77	1.19	2.67	NA	NA	NA
1403	1.72	0.72	0.67	1	2.62	NA	NA	NA
1404	1.86	0.76	0.81	1.11	2.69	NA	NA	NA
1405	2	0.88	1	0.93	2.64	NA	NA	NA
1406	1.93	0.67	0.51	0.74	2.76	NA	NA	NA
1407	1.99	0.97	0.98	1.96	1.83	NA	NA	NA
1408	2.27	0.83	1.09	1.98	2.36	NA	NA	NA
1409	1.71	0.8	1.02	1.71	0.58	NA	NA	NA
1410	2.03	0.8	1.46	1.62	1.27	NA	NA	NA
1411	0.77	0.75	1.71	1.55	1.48	NA	NA	NA
1412	0.68	0.67	1.92	1.71	1.48	NA	NA	NA
1413	0.61	0.71	1.69	1.59	2.22	NA	NA	NA
1414	0.73	0.82	1.68	1.08	0.3	NA	NA	NA
1415	0.79	0.77	1.66	1.28	1.4	NA	NA	NA
1416	0.8	0.71	1.6	1.29	1.92	NA	NA	NA
1417	0.98	0.6	1.67	1.13	1.73	NA	NA	NA
1418	0.88	0.64	1.68	1.15	1.03	NA	NA	NA
1419	1.53	0.58	1.24	1.24	1.34	NA	NA	2.19
1420	2.04	0.56	0.77	1.41	2.94	NA	NA	2.453
1421	1.81	0.45	0.66	1.56	2.95	NA	NA	2.114
1422	1.97	0.53	0.82	1.46	3.77	NA	NA	1.985
1423	1.67	0.57	0.88	1.46	3.63	NA	NA	2.039
1424	1.37	0.63	1	1.65	2.53	NA	NA	1.91
1425	0.96	0.39	0.87	1.96	1.67	NA	NA	1.572
1426	1.04	0.44	0.92	1.46	2.75	NA	NA	1.916
1427	1.1	0.46	1.01	1.66	2.51	NA	NA	1.948
1428	1.15	0.47	1.39	1.59	0.63	NA	NA	1.961
1429	1.5	0.49	1.51	2.06	2.46	NA	NA	1.972
1430	1.58	0.51	1.38	1.63	3.12	NA	NA	1.944
1431	1.41	0.47	1.36	1.63	2.63	NA	NA	1.794
1432	1.4	0.38	1.54	1.45	2.59	NA	NA	1.871
1433	1.61	0.47	1.34	1.55	0.35	NA	NA	2.098
1434	1.6	0.39	1.35	1.58	1.91	NA	NA	2.207
1435	2.22	0.37	1.28	1.28	3.42	NA	NA	2.092
1436	2.49	0.53	1.3	1.44	2.71	NA	NA	2.423
1437	2.5	0.22	1.12	1.23	2.66	NA	NA	1.993
1438	3.09	0.37	1.17	1.11	2.62	NA	NA	2.327
1439	2.63	0.34	1.39	1.34	2.87	NA	NA	2.203
1440	1.71	0.43	1.42	1.43	2.22	NA	NA	1.818
1441	1.72	0.48	1.46	1.32	2.2	NA	NA	2.153
1442	1.87	1.97	1.49	1.74	2.97	NA	NA	2.312
1443	1.52	1.52	1.33	1.66	1.32	NA	NA	2.281
1444	1.2	0.81	1.17	1.82	2.12	NA	NA	2.395
1445	1.22	0.67	1.34	1.72	2.57	NA	NA	2.439
1446	1.03	0.43	1.11	1.49	1.67	NA	NA	2.146
1447	1.18	0.38	1.19	1.86	1.92	NA	NA	1.958
1448	1.24	0.43	1.02	1.78	1.95	NA	NA	1.827
1449	1.34	0.46	1.14	1.69	2.01	NA	NA	1.925
1450	1.35	0.6	1.13	1.97	2.43	NA	NA	1.946
1451	1.33	0.51	1.24	1.8	2.38	NA	NA	1.924
1452	1.56	0.56	1.27	1.94	2.45	NA	NA	2.118
1453	1.68	0.57	1.08	1.56	2.34	NA	NA	2.07
1454	1.88	0.64	1.28	1.62	2.18	NA	NA	1.722
1455	1.49	0.55	1.12	1.16	2.39	NA	NA	1.501
1456	1.6	0.5	1.14	1.51	2.38	NA	NA	1.682
1457	1.6	0.46	1	1.47	2.41	NA	NA	1.506
1458	2.08	0.62	0.95	1.46	1.92	NA	NA	1.551
1459	2	0.58	1.04	1.96	1.9	NA	NA	1.944
1460	2.36	0.43	0.96	1.64	1.83	NA	NA	1.501
1461	1.71	0.39	0.88	1.21	1.82	NA	NA	1.431
1462	1.63	0.42	0.89	1.49	1.77	NA	NA	1.621
1463	1.8	0.42	0.86	1.48	2.12	NA	NA	1.651
1464	1.51	0.46	0.94	1.37	1.7	NA	NA	1.569
1465	1.6	0.47	0.61	1.26	1.78	NA	NA	1.602
1466	0.64	0.23	0.48	0.61	1.38	NA	NA	1.086
1467	1.07	0.28	0.6	0.44	1.36	NA	NA	1.05
1468	1.09	0.35	0.73	0.64	1.47	NA	NA	1.028
1469	1	0.31	0.64	0.6	1.21	NA	NA	1.187
1470	1.09	0.36	0.73	0.55	1.53	NA	NA	1.654
1471	1.22	0.19	0.72	0.52	1.56	NA	NA	1.927
1472	1.48	0.31	0.97	0.58	1.79	NA	NA	1.999
1473	1.57	0.39	0.95	0.57	1.4	NA	NA	2.213
1474	1.94	0.45	1.25	0.74	1.46	NA	NA	2.072
1475	1.74	0.4	1.21	0.58	1.6	NA	NA	1.631
1476	1.45	0.59	1.27	0.61	1.61	NA	NA	1.689
1477	1.4	0.51	1.4	0.9	1.47	NA	NA	1.461
1478	1.27	0.57	0.95	0.77	1.4	NA	NA	1.149
1479	1.15	0.48	1.29	0.75	1.2	NA	NA	1.133
1480	1.09	0.39	1.23	0.79	1.32	NA	NA	1.411
1481	1.29	0.58	1.45	0.9	1.51	NA	NA	1.376
1482	1.24	0.6	1.47	0.77	2.06	1.455	NA	1.502
1483	1	0.57	1.57	0.6	1.72	1.748	NA	1.658
1484	1.18	0.56	1.5	0.8	1.75	1.466	NA	1.647
1485	1.05	0.55	1.52	0.76	1.74	1.203	NA	1.142
1486	0.94	0.4	1.4	0.62	1.33	1.015	NA	1.102
1487	0.93	0.4	1.45	0.65	1.21	1.035	NA	1.136
1488	0.85	0.47	1.43	0.79	0.92	1.036	NA	1.228
1489	0.5	0.43	0.97	0.74	0.63	0.538	NA	0.878
1490	0.39	0.55	1.35	0.93	1.18	0.807	NA	1.092
1491	0.54	0.66	1.36	0.92	1.23	0.888	NA	1.096
1492	0.55	0.56	1.29	1.11	1.35	1.227	NA	1.557
1493	0.54	0.58	0.95	0.74	0.78	1.024	NA	1.25
1494	0.56	0.59	1.14	1.06	1.16	1.42	NA	1.501
1495	0.57	0.64	1.03	1.01	0.94	1.099	NA	1.412
1496	0.63	0.6	1.01	0.81	0.97	1.169	NA	1.423
1497	0.8	0.72	1.21	1.26	1.37	1.565	NA	1.746
1498	0.87	0.72	0.82	1.22	1.35	1.445	NA	1.605
1499	0.66	0.61	1.01	0.49	0.87	1.276	NA	1.406
1500	0.95	0.66	1.07	0.71	1.27	1.736	NA	1.927
1501	1.09	0.62	1.2	0.6	1.24	1.048	NA	1.456
1502	1.22	0.73	1.21	0.79	1.48	1.333	NA	1.435
1503	1.28	0.79	1.24	0.88	1.6	1.207	NA	1.315
1504	0.94	0.56	1.24	0.74	1.4	1.552	NA	1.697
1505	1.08	0.68	1.36	0.79	1.59	1.58	NA	1.447
1506	1.01	0.47	1.27	0.98	1.81	1.318	NA	1.647
1507	0.96	0.49	1.32	0.94	1.45	1.444	NA	1.869
1508	1.23	0.63	1.51	1.21	2.19	1.247	NA	1.702
1509	1.36	0.82	1.45	1.3	2.13	1.734	NA	1.771
1510	1.11	0.56	1.29	1.23	1.62	1.562	NA	1.96
1511	1.19	0.63	1.66	1.04	1.43	1.77	NA	2.031
1512	0.96	0.58	1.49	0.87	1.56	1.872	NA	1.865
1513	0.95	0.69	1.41	0.98	1.27	1.5	NA	1.44
1514	1.09	0.68	1.47	1.1	1.38	1.891	NA	2.086
1515	1.36	0.63	1.24	0.76	1.27	1.575	1.167	1.475
1516	1.01	0.72	1.21	0.93	1.31	1.34	1.266	1.416
1517	1.41	0.76	1.33	0.96	1.34	1.407	1.404	1.235
1518	1.02	0.78	1.52	0.87	1.66	1.232	1.371	1.086
1519	0.94	0.95	1.5	1.06	1.91	0.579	1.177	0.773
1520	0.98	1.06	1.61	1	1.99	0.745	1.325	0.985
1521	0.83	1.34	1.54	1.15	2.09	0.902	1.095	1.277
1522	0.95	1.24	1.37	1	1.82	0.949	0.977	1.037
1523	0.54	0.99	1.34	0.72	1.57	0.598	0.909	0.955
1524	0.66	0.92	1.29	0.96	1.62	0.979	1.309	1.346
1525	0.89	0.96	1.27	0.89	1.58	1.268	1.513	1.557
1526	0.84	1.31	1.28	0.86	1.88	1.099	1.229	1.257
1527	0.71	1.3	1.27	0.44	1.94	1.002	1.409	1.407
1528	0.81	1.54	1.37	0.83	1.92	1.027	1.295	1.628
1529	0.68	1.07	1.6	0.9	2.16	0.978	1.236	1.362
1530	0.82	1.08	1.39	0.79	2.01	0.938	1.473	1.576
1531	0.65	0.89	1.29	0.59	2.05	0.694	1.22	1.244
1532	0.53	1.12	1.09	0.57	1.66	0.709	1.057	1.479
1533	0.53	1.09	1.19	0.45	1.54	0.773	1.239	1.554
1534	0.51	1.35	0.91	0.51	1.42	0.719	1.187	1.484
1535	0.67	1.67	1.18	0.67	1.53	0.757	0.931	0.944
1536	0.89	1.43	1.08	0.79	1.46	0.812	1.145	1.32
1537	0.79	1.24	1.21	0.56	1.34	0.791	1.416	1.503
1538	0.83	1.01	1.09	0.49	1.53	1.055	1.436	1.625
1539	0.69	1.44	0.57	0.42	1	1.188	1.729	2.111
1540	0.54	1.2	0.67	0.49	0.72	0.558	0.881	1.348
1541	0.74	1.3	0.71	0.41	0.97	1.163	1.263	2.167
1542	0.65	1.36	0.9	0.53	1.29	1.081	1.28	1.589
1543	0.8	1.64	0.99	0.9	1.47	1.333	1.909	2.114
1544	0.73	1.32	1.04	0.95	1.45	1.655	2.128	2.563
1545	0.86	1.28	0.96	0.74	1.36	1.298	1.628	2.018
1546	0.78	1.13	1.06	0.81	1.18	1.046	1.262	1.385
1547	0.97	1.46	1.14	1.06	1.35	1.386	1.52	2.082
1548	0.91	1.22	0.95	0.8	1.24	0.651	1.041	0.946
1549	1.04	1.14	0.84	0.63	1.03	0.807	1.039	1.462
1550	1.01	1.12	1.1	1.03	1.26	1.087	1.008	1.584
1551	0.98	1.27	1.11	0.75	1.24	1.113	0.931	1.561
1552	1.05	1.1	1.06	0.79	1.36	1.371	1.362	1.621
1553	1.07	1.33	1.22	1.14	1.7	1.019	1.114	1.554
1554	1.32	1.41	1.09	1.13	1.6	0.949	0.98	1.092
1555	1.33	1.37	1.24	1.12	1.51	0.948	0.982	1.014
1556	1.22	1.42	1.13	1.58	1.43	0.935	1.05	1.474
1557	1	1.22	1.03	1.36	1.56	0.915	1	1.6
1558	0.96	1.1	1.17	1.62	1.39	0.86	0.994	1.5
1559	1.11	1.48	1.31	1.96	1.54	0.847	1.006	1.421
1560	1.07	1.29	1.35	1.87	1.66	1.185	1.395	2.231
1561	0.98	1.06	1.17	2.14	1.35	1.486	1.6	2.147
1562	1	0.93	1.07	2.19	1.37	1.218	1.305	1.929
1563	0.7	0.77	0.84	1.6	1.24	1.38	1.517	1.981
1564	0.67	0.56	1.1	1.91	1.04	1.242	1.395	1.764
1565	0.73	0.47	1.02	1.61	1.06	0.951	1.119	1.016
1566	0.71	0.54	0.59	0.28	0.87	0.796	0.93	0.873
1567	0.8	0.52	0.87	1.61	1.2	1.157	1.181	1.404
1568	0.95	0.65	0.92	2.09	1.26	1.195	1.33	1.271
1569	0.84	0.71	0.84	1.72	1.07	1.194	1.399	1.275
1570	0.8	0.63	0.85	1.58	1.1	1.316	1.682	1.58
1571	0.7	0.56	0.8	1.6	1.09	1.103	1.291	0.923
1572	0.61	0.56	0.7	1.63	1	0.752	1.041	1.044
1573	0.63	0.67	0.77	1.63	1.11	1.122	1.27	1.423
1574	0.72	0.61	0.85	1.45	1	1.513	1.623	1.685
1575	0.67	0.65	0.85	1.11	1.01	1.862	1.861	2.032
1576	1.15	0.76	0.97	1.54	1.18	1.848	1.996	1.881
1577	1.05	0.72	0.96	1.65	1.1	1.944	2.078	2.338
1578	1.55	0.78	0.83	1.69	0.9	1.805	1.885	2.274
1579	1.54	0.74	0.95	1.89	0.8	1.947	1.923	2.165
1580	1.34	0.55	0.82	1.58	0.9	1.478	1.547	2.106
1581	1.29	0.5	0.75	1.86	0.94	1.43	1.411	2.29
1582	0.86	0.48	0.65	1.74	0.7	1.109	1.101	2.027
1583	0.59	0.3	0.62	1.73	0.61	1.07	0.977	1.992
1584	0.67	0.43	0.62	1.48	0.67	0.916	0.885	1.214
1585	0.63	0.36	0.53	1.72	0.6	0.721	0.703	1.541
