# Wyse - Good Harbor Plains - QURU - ITRDB MI013
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5355
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5355.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi013-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi013-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi013.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi013.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Wyse - Good Harbor Plains - QURU - ITRDB MI013
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Good Harbor Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.93
#   Southernmost_Latitude: 44.93
#   Easternmost_Longitude: -85.85
#   Westernmost_Longitude: -85.85
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI013
#   First_Year: 1872
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus rubra L.
#   Common_Name: red oak
#   Tree_Species_Code: QURU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 81-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 81-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 94-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 94-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 87-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 87-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 96_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 96; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 89-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 89-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 84-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 84-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 71-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 71-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 96-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 96-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	81-2_raw	94-2_raw	87-1_raw	96_raw	60-2_raw	89-2_raw	84-2_raw	71-3_raw	96-3_raw
1946	1.59	0.19	2.48	2.47	NA	1.33	0.95	NA	0.86
1947	1.65	0.29	1.84	2.16	NA	1.52	0.89	NA	0.31
1948	1.33	0.35	1.46	1.97	NA	1.34	0.95	NA	0.3
1949	1.02	0.29	1.91	2.22	NA	1.65	0.95	NA	0.25
1950	1.21	0.35	2.09	1.71	NA	1.59	1.08	NA	0.84
1951	1.46	0.66	2.35	2.1	NA	1.66	1.46	NA	1.27
1952	1.4	0.95	2.7	2.92	NA	1.59	1.97	NA	1.02
1953	1.33	0.7	2.41	3.3	NA	1.78	1.84	NA	0.67
1954	1.21	0.57	1.11	3.18	NA	1.97	1.52	NA	0.7
1955	1.02	0.45	1.37	2.35	NA	1.78	1.14	NA	0.57
1956	1.27	0.5	2.13	3.5	NA	2.35	1.46	NA	0.57
1957	1.78	1.08	2.73	2.92	0.83	2.6	1.65	NA	0.95
1958	1.59	1.21	2.44	3.05	0.76	2.29	1.84	NA	0.7
1959	1.14	1.21	1.5	2.67	0.67	1.97	1.14	NA	0.67
1960	1.78	1.78	3.24	4.63	0.58	4.12	2.79	NA	1.21
1961	1.71	1.59	1.81	3.93	0.47	3.19	1.65	NA	1.17
1962	1.65	2.03	1.87	4.7	0.55	2.79	2.22	NA	1.14
1963	1.33	1.34	1.27	3.56	0.54	2.79	1.52	NA	0.92
1964	1.27	1.58	1.52	2.67	0.73	2.79	2.29	NA	1.24
1965	1.52	1.71	1.59	2.92	0.62	2.79	2.1	NA	1.08
1966	1.02	1.21	1.02	1.53	0.65	1.78	1.33	NA	0.89
1967	1.14	1.9	1.49	2.03	0.62	2.29	1.9	NA	1.27
1968	1.65	2.1	2.66	2.03	1.66	2.73	2.35	NA	1.3
1969	1.59	2.99	2.89	2.41	1.41	3.69	3.3	NA	1.11
1970	1.72	2.54	2.22	2.03	1.72	3.18	2.16	1.15	0.79
1971	1.4	2.86	1.94	1.84	1.22	2.6	2.03	1.22	0.82
1972	2.22	3.62	3.08	2.1	2.78	3.18	2.29	1.28	1.02
1973	1.65	2.79	2.48	1.53	2.03	2.6	1.9	0.7	0.86
1974	1.84	2.67	2.79	1.72	2.22	2.48	2.35	1.02	1.05
1975	1.97	2.16	2.51	1.46	2.8	3.11	1.97	0.9	0.7
1976	1.14	1.71	1.56	0.76	1.39	2.28	1.21	0.6	0.67
1977	1.39	1.78	1.59	0.83	2.73	2.67	2.1	0.83	0.82
1978	1.52	1.4	1.3	0.63	3.11	1.97	1.52	1.4	0.89
1979	1.59	1.65	1.3	0.76	2.54	2.66	1.71	1.7	0.98
1980	1.59	2.67	1.24	0.95	2.6	3.3	2.22	1.58	1.17
1981	1.46	2.28	1.11	0.89	1.78	2.42	1.78	1.14	0.76
1982	1.72	2.92	1.43	1.33	2.92	3.05	2.03	1.33	1.02
1983	1.33	3.18	0.92	0.76	1.59	2.41	1.21	1.14	0.35
1984	1.65	3.81	1.42	0.89	4.06	2.48	1.46	1.58	0.6
1985	2.1	4	1.52	1.14	3.74	2.73	2.16	1.4	1.14
1986	2.6	3.43	1.27	1.52	4.96	4	2.79	1.77	0.48
1987	1.52	2.6	0.83	0.7	4.57	2.67	1.72	1.15	0.32
1988	1.27	2.48	0.8	0.63	3.87	1.78	1.65	0.95	0.22
1989	1.46	2.54	0.86	0.89	3.5	2.35	1.27	1.59	0.32
1990	1.84	3.05	1.24	0.76	5.59	2.35	1.65	1.84	0.28
1991	1.4	3.62	1.05	1.08	4.19	1.27	1.14	2.03	0.48
1992	1.4	4	1.14	0.89	5.08	1.78	1.21	2.67	0.44
1993	1.71	4.83	1.11	0.57	5.52	2.16	1.21	3.75	0.63
1994	1.52	3.55	0.92	0.82	4.83	1.97	1.14	3.11	0.51
1995	1.14	3.62	0.89	0.89	4.7	1.65	1.4	2.73	0.51
1996	1.21	3.87	0.6	0.82	3.11	2.03	1.33	3.24	0.44
1997	1.33	3.24	0.64	0.76	2.79	2.03	1.27	2.16	0.44
1998	1.39	6.03	1.14	1.08	5.21	2.73	1.9	2.73	0.83
1999	1.65	5.59	1.27	0.95	6.73	3.11	1.27	4.06	1.21
2000	1.27	3.56	0	0.7	4.06	2.67	1.52	3.62	1.08
2001	1.27	4.07	0	0.76	4.44	2.79	1.78	2.67	0.95
2002	1.21	2.86	0	0.57	4.51	2.35	1.21	3.05	0.57
