# Meko - Rockerville - QUMA - ITRDB SD018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3964
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3964.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd018-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd018-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd018.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Rockerville - QUMA - ITRDB SD018
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rockerville
#   Location: South Dakota
#   Northernmost_Latitude: 43.93
#   Southernmost_Latitude: 43.93
#   Easternmost_Longitude: -103.37
#   Westernmost_Longitude: -103.37
#   Elevation_m: 1370
#--------------------
# Data_Collection
#   Collection_Name: SD018
#   First_Year: 1717
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ROC01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ROC01A_raw	ROC01B_raw	ROC03A_raw	ROC03B_raw	ROC04A_raw	ROC04B_raw	ROC05A_raw	ROC05B_raw	ROC06A_raw	ROC06B_raw
1790	NA	NA	NA	NA	1.14	0.64	1.53	1.04	NA	0.83
1791	NA	NA	NA	NA	0.72	0.51	0.95	0.71	NA	0.49
1792	NA	NA	NA	NA	0.75	0.57	0.86	0.75	NA	0.94
1793	NA	NA	NA	NA	0.82	0.61	1.24	0.98	NA	1.05
1794	NA	NA	NA	NA	0.91	0.6	0.96	0.78	NA	1.33
1795	NA	NA	NA	NA	1.01	0.75	1.22	0.91	NA	1.32
1796	NA	NA	NA	NA	0.83	0.65	0.92	0.51	NA	0.72
1797	NA	NA	NA	NA	0.91	0.9	1.24	0.82	NA	0.78
1798	NA	NA	NA	NA	0.89	0.82	1.34	0.64	NA	0.73
1799	NA	NA	NA	NA	0.88	0.87	1.37	0.77	NA	0.97
1800	NA	NA	NA	NA	0.65	0.67	0.75	0.49	NA	0.54
1801	NA	NA	NA	NA	0.88	0.78	0.8	0.64	NA	0.93
1802	NA	NA	NA	NA	1	0.95	1.02	0.64	NA	1.67
1803	NA	NA	NA	NA	1.3	0.97	1.13	0.78	NA	2.04
1804	NA	NA	NA	NA	0.97	0.94	0.99	0.65	NA	1.11
1805	NA	NA	NA	NA	0.94	1.05	0.83	0.67	NA	1.58
1806	NA	NA	NA	NA	0.8	0.78	0.69	0.43	NA	1.54
1807	NA	NA	NA	NA	0.73	0.91	1.11	0.66	0.91	0.85
1808	NA	NA	NA	NA	0.69	0.79	0.72	0.58	0.8	0.62
1809	NA	NA	NA	NA	0.56	0.63	0.64	0.37	0.59	0.54
1810	NA	NA	NA	NA	0.49	0.81	1.11	0.53	0.8	0.8
1811	NA	NA	NA	NA	0.6	0.77	1.07	0.53	0.93	1.16
1812	NA	NA	NA	NA	0.64	0.79	1.3	0.73	1.02	1.42
1813	NA	NA	NA	NA	0.58	0.92	1.41	0.83	1.11	1.29
1814	NA	NA	NA	NA	0.61	0.87	1.17	0.66	1.05	1.35
1815	NA	NA	NA	NA	0.59	0.86	1.18	0.75	1.04	1.57
1816	NA	NA	NA	NA	0.57	0.82	0.99	0.76	0.95	1.29
1817	NA	NA	NA	NA	0.6	0.68	0.97	0.69	1.01	1.63
1818	NA	NA	NA	NA	0.47	0.7	0.91	0.66	0.97	1.27
1819	NA	NA	NA	NA	0.61	0.86	1.03	0.7	1.13	1.25
1820	NA	NA	NA	NA	0.52	0.65	0.94	0.59	0.99	1.24
1821	NA	NA	NA	NA	0.6	0.76	1.26	0.45	1.11	1.32
1822	NA	NA	NA	NA	0.42	0.65	0.89	0.42	0.82	1.13
1823	NA	NA	NA	NA	0.43	0.79	0.89	0.53	0.94	1
1824	NA	NA	NA	NA	0.44	0.74	0.87	0.5	0.99	1.03
1825	NA	NA	NA	NA	0.48	0.61	0.92	0.46	1.04	1.2
1826	NA	NA	NA	NA	0.71	1.16	1.21	0.93	1.73	1.92
1827	NA	NA	NA	NA	0.6	0.92	0.79	0.7	1.02	1.22
1828	NA	NA	NA	NA	0.61	0.82	1.01	0.71	0.97	1.17
1829	NA	NA	NA	NA	0.68	0.86	0.9	0.77	1.07	1.8
1830	NA	NA	NA	NA	0.72	0.92	0.94	0.76	0.96	1.55
1831	NA	NA	NA	NA	0.5	0.76	0.9	0.66	0.82	1.69
1832	NA	NA	NA	NA	0.55	0.97	1.05	0.69	1.15	1.86
1833	NA	NA	NA	NA	0.47	0.7	0.66	0.59	0.89	1.23
1834	NA	NA	NA	NA	0.48	0.62	0.68	0.63	0.79	0.82
1835	NA	NA	NA	NA	0.55	0.74	0.62	0.58	0.85	1.06
1836	NA	NA	NA	NA	0.52	0.61	0.51	0.51	0.7	0.86
1837	NA	NA	NA	NA	0.45	0.6	0.42	0.56	0.52	1.12
1838	NA	NA	NA	NA	0.44	0.48	0.33	0.38	0.47	0.72
1839	NA	NA	NA	NA	0.43	0.48	0.24	0.32	0.72	1.15
1840	NA	NA	NA	NA	0.38	0.51	0.38	0.23	1.17	1.75
1841	NA	NA	NA	NA	0.53	0.61	0.19	0.29	1.39	2.27
1842	NA	NA	NA	NA	0.44	0.4	0.22	0.19	0.6	1.02
1843	NA	NA	NA	NA	0.5	0.52	0.2	0.26	0.68	0.98
1844	NA	NA	NA	NA	0.41	0.52	0.26	0.3	0.76	1.68
1845	NA	NA	NA	NA	0.4	0.56	0.31	0.11	0.85	1.3
1846	NA	NA	NA	NA	0.46	0.71	0.26	0.3	1.08	1.54
1847	NA	NA	NA	NA	0.4	0.63	0.26	0.26	0.86	1.1
1848	NA	NA	NA	NA	0.47	0.48	0.19	0.33	0.72	0.76
1849	NA	NA	NA	NA	0.42	0.65	0.32	0.44	1.07	1.31
1850	NA	NA	NA	NA	0.45	0.72	0.32	0.34	1.05	1.39
1851	NA	NA	NA	NA	0.59	0.88	0.46	0.62	1.21	1.69
1852	NA	NA	NA	NA	0.53	0.78	0.38	0.64	0.98	1.48
1853	NA	NA	NA	NA	0.77	0.92	0.55	0.74	1.31	1.72
1854	NA	NA	NA	NA	0.57	0.72	0.38	0.66	1.29	1.61
1855	NA	NA	NA	NA	0.41	0.63	0.29	0.51	0.46	0.53
1856	NA	NA	NA	NA	0.46	0.66	0.52	0.7	0.44	0.35
1857	NA	NA	NA	NA	0.47	0.7	0.43	0.62	0.27	0.3
1858	NA	NA	NA	NA	0.46	0.71	0.46	0.61	0.33	0.23
1859	NA	NA	NA	NA	0.51	0.56	0.46	0.55	0.29	0.28
1860	NA	NA	NA	NA	0.4	0.67	0.43	0.46	0.41	0.16
1861	NA	NA	NA	NA	0.56	0.53	0.47	0.5	0.38	0.44
1862	NA	NA	NA	NA	0.37	0.56	0.4	0.48	0.68	0.55
1863	NA	NA	NA	NA	0.43	0.63	0.42	0.54	0.72	0.61
1864	NA	NA	NA	NA	0.43	0.5	0.51	0.64	0.88	0.57
1865	NA	NA	NA	NA	0.34	0.45	0.31	0.46	0.55	0.3
1866	NA	NA	NA	NA	0.52	0.48	0.43	0.67	0.79	0.54
1867	NA	NA	NA	NA	0.51	0.69	0.33	0.49	0.62	0.65
1868	NA	NA	NA	NA	0.45	0.68	0.42	0.64	0.75	0.59
1869	NA	NA	NA	NA	0.54	0.83	0.55	0.62	0.88	0.69
1870	NA	NA	NA	NA	0.48	0.63	0.4	0.64	0.82	0.45
1871	NA	NA	NA	NA	0.43	0.69	0.27	0.53	0.89	0.55
1872	NA	NA	NA	NA	0.56	0.62	0.45	0.53	1.07	0.67
1873	NA	NA	NA	NA	0.63	0.71	0.49	0.5	1.19	0.6
1874	NA	NA	NA	NA	0.55	0.46	0.38	0.43	1.28	0.51
1875	NA	NA	NA	NA	0.47	0.57	0.58	0.62	1	0.52
1876	NA	NA	NA	NA	0.49	0.54	0.49	0.53	0.93	0.5
1877	NA	NA	NA	NA	0.48	0.46	0.42	0.47	0.67	0.43
1878	NA	NA	NA	NA	0.5	0.64	0.45	0.45	1.26	0.94
1879	NA	NA	NA	NA	0.42	0.72	0.65	0.53	1.14	0.84
1880	NA	NA	NA	NA	0.46	0.88	0.68	0.87	1.05	0.67
1881	NA	NA	NA	NA	0.45	0.74	0.92	0.97	0.82	0.42
1882	NA	NA	NA	NA	0.67	1.08	1.13	1.37	1.35	0.98
1883	NA	NA	NA	NA	0.37	0.81	0.66	0.7	1.02	0.55
1884	NA	NA	NA	NA	0.49	0.84	0.73	1	1.11	0.63
1885	NA	NA	NA	NA	0.64	0.98	0.77	0.85	1.04	0.71
1886	NA	NA	NA	NA	0.65	0.82	0.65	0.87	0.6	0.32
1887	NA	NA	NA	NA	0.59	0.9	0.97	1.07	1.51	1.2
1888	NA	NA	NA	NA	0.65	1.05	1.07	0.92	1.08	0.81
1889	NA	NA	NA	NA	0.57	0.98	0.92	0.8	0.97	0.68
1890	NA	NA	NA	NA	0.61	0.87	1.06	1.08	0.89	1.23
1891	NA	NA	NA	NA	0.51	0.79	0.87	0.87	0.93	1.24
1892	NA	NA	NA	NA	0.66	1.24	1.03	0.78	1.17	1.46
1893	NA	NA	NA	NA	0.53	0.91	0.85	0.7	1.03	1.36
1894	NA	NA	NA	NA	0.49	0.85	0.64	0.71	0.88	0.74
1895	NA	NA	NA	NA	0.5	0.92	0.89	0.66	0.91	0.68
1896	NA	NA	NA	NA	0.48	0.74	0.7	0.55	0.92	0.63
1897	NA	1.25	NA	NA	0.44	0.66	0.76	0.52	0.72	0.61
1898	NA	0.65	NA	NA	0.45	0.79	0.66	0.58	0.99	0.81
1899	NA	1.76	2.01	NA	0.38	0.66	0.63	0.51	1.08	0.75
1900	NA	1.31	1.19	NA	0.52	0.68	0.61	0.61	1.25	1.24
1901	NA	1.24	2.28	NA	0.46	0.79	0.51	0.65	1.75	1.53
1902	1.03	0.83	2.6	NA	0.47	0.85	0.55	0.55	1.92	1.81
1903	0.81	0.95	2.61	NA	0.5	0.83	0.61	0.56	1.9	1.76
1904	0.96	1.48	2.44	NA	0.53	0.83	0.59	0.54	1.99	1.88
1905	0.64	1.04	2.92	NA	0.44	0.84	0.52	0.68	2.4	2.1
1906	0.48	0.95	2.74	NA	0.35	0.44	0.52	0.51	1.84	1.61
1907	0.86	1.24	3.45	NA	0.42	0.72	0.75	0.62	2.79	2.45
1908	0.88	0.98	3.42	NA	0.43	0.67	0.66	0.56	2.27	2.79
1909	0.68	0.59	3.72	4.07	0.48	0.6	0.59	0.51	2.64	2.29
1910	0.58	0.34	2.79	2.46	0.46	0.74	0.46	0.5	1.47	1.84
1911	0.51	0.37	1.54	1.35	0.37	0.53	0.43	0.57	1.91	2.05
1912	0.85	0.58	3.18	3.3	0.45	0.66	0.69	0.58	2.58	2.61
1913	0.52	0.6	2.24	2.45	0.4	0.53	0.56	0.62	2.08	2.27
1914	0.36	0.39	2.18	1.63	0.61	0.51	0.47	0.67	1.32	1.61
1915	0.42	0.33	2.15	1.94	0.39	0.57	0.48	0.52	1.48	1.74
1916	0.61	0.83	2.05	2.99	0.47	0.86	0.56	0.69	2	2.09
1917	0.56	0.64	1.9	1.69	0.53	0.75	0.76	0.76	1.75	1.76
1918	0.54	0.75	1.86	0.85	0.56	0.76	0.76	0.74	1.7	1.69
1919	0.77	0.76	1.26	0.7	0.41	0.75	0.63	0.62	1.14	1.39
1920	0.5	0.66	1.51	1.53	0.43	0.78	0.76	0.72	1.09	1.2
1921	1.02	1.3	1.56	1.51	0.41	0.71	0.7	0.66	1.53	1.71
1922	1.04	1.23	2.3	2.27	0.43	0.67	0.59	0.79	2.76	2.6
1923	1.34	1.47	2.29	2.36	0.49	0.78	0.89	1.02	2.89	3.21
1924	1.22	1.42	2.31	2.89	0.44	0.69	1.11	1.1	2.08	2.12
1925	1.52	1.42	2.75	2.87	0.6	0.79	1.36	1.1	2.56	2.88
1926	0.9	0.87	2.87	2.99	0.52	0.75	1.07	0.87	2.22	1.66
1927	0.76	0.82	2.39	2.8	0.53	0.72	1.03	0.77	2.01	1.85
1928	0.9	0.96	2.29	2.66	0.45	0.52	0.47	0.39	1.71	1.59
1929	0.92	1.46	2.56	2.92	0.41	0.69	0.72	0.6	2.16	1.85
1930	0.87	0.93	1.87	2.11	0.4	0.69	0.61	0.56	2.09	2.01
1931	0.6	0.66	1.3	1.42	0.46	0.53	0.53	0.56	1.69	1.88
1932	0.94	1.05	3.53	3.41	0.56	0.66	0.78	0.63	2.58	2.93
1933	2.66	3.05	2.57	2.81	0.68	0.76	0.77	0.34	2.52	1.89
1934	4.38	4.28	1.64	1.73	0.45	0.54	0.49	0.49	2.35	2.77
1935	5.61	4.83	2.5	2.59	0.56	0.6	0.5	0.46	2.45	2.49
1936	3.54	2.61	1.02	1.06	0.41	0.38	0.35	0.45	1.7	1.84
1937	3.13	3.08	1.27	1.39	0.47	0.42	0.57	0.53	1.86	1.94
1938	1.85	2.44	0.98	0.96	0.43	0.45	0.49	0.44	1.59	1.55
1939	1.21	1.17	0.6	0.76	0.54	0.43	0.58	0.47	1.37	1.39
1940	1.11	1	0.66	0.6	0.39	0.48	0.39	0.29	1.1	1.22
