# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PP352L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP352L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP363L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP363L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP364L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP364L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP373L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP373L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PP352L_raw	PP363L_raw	PP364L_raw	PP373L_raw
1885	0.09	0.24	0.11	0.29
1886	0.07	0.28	0.2	0.33
1887	0.07	0.39	0.21	0.63
1888	0.07	0.32	0.15	0.4
1889	0.04	0.11	0.09	0.28
1890	0.06	0.2	0.15	0.65
1891	0.06	0.33	0.21	0.46
1892	0.07	0.58	0.11	0.71
1893	0.05	0.17	0.1	0.65
1894	0.04	0.1	0.09	0.4
1895	0.05	0.21	0.1	0.38
1896	0.04	0.1	0	0.17
1897	0.03	0.33	0.07	0.21
1898	0.05	0.17	0.15	0.29
1899	0.04	0.1	0.05	0.12
1900	0.05	0.07	0.07	0.13
1901	0.05	0.06	0.07	0.11
1902	0.06	0.06	0.04	0.13
1903	0.06	0.14	0.05	0.15
1904	0.05	0.05	0.05	0.06
1905	0.04	0.22	0.1	0.17
1906	0.05	0.42	0.11	0.54
1907	0.06	0.24	0.09	0.92
1908	0.04	0.3	0.13	1.21
1909	0.06	0.31	0.2	1.09
1910	0.04	0.08	0.12	0.44
1911	0.06	0.31	0.06	0.24
1912	0.07	0.25	0.1	0.18
1913	0	0.07	0	0.08
1914	0.07	0.17	0.07	0.21
1915	0.05	0.15	0.05	0.21
1916	0.08	0.13	0.06	0.22
1917	0.06	0.14	0.05	0.21
1918	0.06	0.11	0.05	0.35
1919	0.06	0.14	0.06	0.3
1920	0.04	0.1	0.06	0.23
1921	0.05	0.08	0.04	0.21
1922	0.06	0.1	0.04	0.27
1923	0.04	0.05	0.03	0.22
1924	0.06	0.06	0.03	0.18
1925	0.07	0.09	0.04	0.12
1926	0.04	0.06	0.05	0.23
1927	0.04	0.06	0.03	0.12
1928	0.05	0.07	0.06	0.23
1929	0.05	0.11	0	0.1
1930	0	0.1	0.03	0.21
1931	0	0.08	0	0.2
1932	0.05	0.05	0.04	0.1
1933	0.05	0.06	0.04	0.11
1934	0	0.04	0	0.07
1935	0.05	0.06	0.04	0.18
1936	0.04	0.04	0	0.18
1937	0	0.06	0.03	0.13
1938	0.04	0.07	0.05	0.21
1939	0.04	0.06	0	0.21
1940	0.04	0	0	0.23
1941	0.06	0.07	0.05	0.27
1942	0.06	0.09	0.05	0.22
1943	0.05	0.04	0	0.11
1944	0.03	0.06	0	0.16
1945	0.05	0.08	0.04	0.16
1946	0.05	0.1	0	0.07
1947	0.05	0.06	0.03	0.12
1948	0.04	0.06	0	0.07
1949	0.06	0.1	0	0.09
1950	0.06	0.06	0	0.08
1951	0.04	0.04	0	0.07
1952	0.08	0.07	0.04	0.13
1953	0.08	0.07	0	0.12
1954	0.07	0.05	0	0.11
1955	0.08	0.06	0	0.08
1956	0.06	0.05	0	0.05
1957	0.05	0.04	0.04	0.06
1958	0.06	0.04	0	0.07
1959	0.07	0	0	0.05
1960	0.08	0.05	0.04	0.2
1961	0.08	0.05	0.04	0.05
1962	0.07	0.05	0.04	0.08
1963	0.08	0.06	0	0.07
1964	0.09	0	0	0.05
1965	0.05	0.05	0	0.07
1966	0.07	0.08	0	0.07
1967	0.06	0.05	0	0.07
1968	0.07	0.04	0	0.07
1969	0.06	0	0	0.1
1970	0.06	0.06	0	0.18
1971	0.07	0	0	0.16
1972	0.05	0	0	0.13
1973	0.1	0.06	0	0.12
1974	0.08	0.04	0	0.08
1975	0.06	0.09	0.04	0.11
1976	0.06	0.05	0	0.13
1977	0.06	0.06	0	0.06
1978	0	0	0	0
