# Yamaguchi - Willapa Bay/Palix River snags - THPL - ITRDB WA132
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5383
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5383.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa132-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa132-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa132.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa132.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Willapa Bay/Palix River snags - THPL - ITRDB WA132
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Willapa Bay/Palix River snags
#   Location: Washington
#   Northernmost_Latitude: 46.63
#   Southernmost_Latitude: 46.63
#   Easternmost_Longitude: -123.95
#   Westernmost_Longitude: -123.95
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA132
#   First_Year: 1325
#   Last_Year: 1682
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PR7772_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7772; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7773_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7773; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7774_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7774; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7791_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7791; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7792_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7792; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7821_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7821; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7822_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7822; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7823_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7823; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR783_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR783; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PR7772_raw	PR7773_raw	PR7774_raw	PR7791_raw	PR7792_raw	PR7821_raw	PR7822_raw	PR7823_raw	PR783_raw
1403	NA	1.07	0.9	NA	1.24	NA	NA	NA	1.82
1404	NA	0.9	1.18	NA	1.36	NA	NA	NA	1.74
1405	NA	0.89	0.92	NA	1.58	NA	NA	NA	1.31
1406	NA	0.93	0.75	1.49	1.5	NA	NA	NA	1.37
1407	NA	1.14	1.08	1.42	1.61	NA	NA	NA	1.89
1408	NA	0.79	1	1.7	1.6	NA	NA	NA	1.63
1409	NA	0.71	1.07	1.23	1.34	NA	NA	NA	1.72
1410	NA	0.7	0.95	1.25	1.45	NA	NA	NA	1.65
1411	NA	0.6	0.73	1.51	1.31	NA	NA	NA	1.44
1412	NA	0.51	0.74	1.32	1.5	NA	NA	NA	1.22
1413	NA	0.54	0.7	1.2	1.22	NA	NA	NA	1.33
1414	NA	0.62	0.72	1.17	1.03	NA	NA	NA	1.93
1415	NA	0.62	0.67	1.12	1.01	NA	NA	NA	1.74
1416	NA	0.64	0.63	1.35	1.38	NA	NA	NA	2.08
1417	NA	0.6	0.63	1.27	1.31	NA	NA	NA	1.91
1418	NA	0.62	0.43	1.01	1.27	NA	NA	NA	1.11
1419	NA	0.57	0.46	1.21	1.05	NA	NA	NA	1.18
1420	NA	0.73	0.58	2.28	1.88	NA	NA	NA	1.43
1421	NA	0.88	0.43	1.84	2.09	NA	NA	NA	1.45
1422	NA	1.18	0.41	1.55	1.48	NA	NA	NA	1.86
1423	NA	1.15	0.46	1.79	1.42	NA	NA	NA	1.56
1424	NA	0.98	0.57	1.9	1.79	NA	NA	NA	1.39
1425	NA	0.68	0.36	1.75	1.7	NA	NA	NA	1
1426	NA	0.73	0.43	1.2	1.6	NA	NA	NA	0.78
1427	NA	0.6	0.34	1.32	1.93	NA	NA	NA	0.99
1428	NA	0.75	0.35	1.47	1.94	NA	NA	NA	1.04
1429	NA	0.58	0.44	1.17	1.84	NA	NA	NA	1.03
1430	NA	0.84	0.45	1.61	2.33	NA	NA	NA	1.16
1431	NA	0.68	0.48	1.35	1.79	NA	NA	NA	1.18
1432	NA	0.92	0.77	1.5	2.13	NA	NA	NA	1.07
1433	NA	0.91	0.69	1.38	1.6	NA	NA	NA	1.07
1434	NA	0.64	0.43	1.06	1.33	NA	NA	NA	0.84
1435	NA	0.68	0.37	1.26	1.2	NA	NA	NA	0.99
1436	NA	0.8	0.59	1.22	1.36	NA	NA	NA	1.22
1437	NA	0.82	0.51	1.16	1.28	NA	NA	NA	1.29
1438	NA	0.83	0.51	1.18	1.5	NA	NA	NA	1.4
1439	NA	0.84	0.62	1.29	1.57	NA	NA	NA	1.2
1440	NA	0.87	0.67	1.06	1.19	NA	NA	NA	1.5
1441	NA	1.06	0.9	1.38	1.8	NA	NA	2.05	1.97
1442	NA	1.46	1.03	1.62	1.97	NA	NA	2.44	1.68
1443	NA	1.28	1.04	1.31	1.47	NA	NA	2.12	1.04
1444	NA	1.12	0.69	1.08	1.11	NA	NA	1.73	0.7
1445	NA	1.34	0.75	1.04	1.13	NA	NA	2.16	0.69
1446	NA	1.09	0.38	0.95	0.96	NA	1.83	1.66	0.53
1447	NA	1.02	0.35	0.84	0.99	NA	1.72	1.12	0.47
1448	NA	0.86	0.33	0.9	0.86	NA	1.34	1.39	0.59
1449	NA	0.96	0.51	1.01	1.32	NA	1.3	1.55	0.77
1450	NA	1.04	0.52	1.01	1.29	NA	0.91	1.27	0.84
1451	NA	1.2	0.58	1.25	1.8	NA	1.31	1.73	0.88
1452	NA	1.1	0.58	1.34	1.84	NA	1.79	2.07	1
1453	NA	1	0.71	1.22	1.42	NA	1.65	1.92	0.99
1454	NA	0.98	0.65	1.14	1.28	NA	1.64	2.1	0.75
1455	NA	1.08	0.81	1.04	1.39	NA	1.75	2.81	0.82
1456	NA	1.32	0.97	1.18	1.49	NA	1.56	2.58	0.87
1457	NA	1.73	0.83	1.42	1.57	NA	1.59	2.33	0.85
1458	1.2	1.03	0.75	1	1.04	NA	1.3	1.33	0.92
1459	1.11	1.02	0.69	1.49	2.03	NA	1.96	1.69	0.76
1460	0.83	0.83	0.83	1.18	1.86	NA	1.49	1.68	0.56
1461	0.71	0.45	0.47	0.73	0.81	NA	0.78	0.91	0.37
1462	0.66	0.43	0.49	1.13	1.54	NA	1	1.08	0.36
1463	0.82	0.66	0.55	1.39	1.87	NA	1.29	1.34	0.57
1464	0.74	0.65	0.49	1.09	1.51	NA	1.47	1.23	0.68
1465	0.51	0.35	0.43	0.87	1.37	0.74	0.79	0.77	0.66
1466	0.4	0.36	0.3	0.86	1.17	0.64	0.67	0.59	0.61
1467	0.61	0.72	0.55	1.25	1.8	1.07	1.35	1.02	0.6
1468	0.47	0.56	0.46	1.12	1.51	0.93	1.31	0.68	0.76
1469	0.46	0.49	0.36	1	1.49	1.13	1.25	0.47	0.68
1470	0.57	0.54	0.36	1.55	2.46	1.58	1.53	0.66	0.62
1471	0.68	0.59	0.34	1.21	1.88	1.62	1.94	0.55	0.79
1472	0.87	0.65	0.28	1.49	2.27	1.32	1.33	0.67	0.82
1473	0.88	0.83	0.41	1.34	2.3	1.3	1.04	0.79	0.98
1474	1.17	1	0.51	1.87	2.47	1.47	1.77	1.13	0.71
1475	1.25	1.41	0.56	1.98	2.39	1.3	1.77	1.23	0.84
1476	1.7	1.68	0.45	1.61	1.9	1.04	1.5	1.14	0.98
1477	1.64	1.34	0.53	1.82	1.92	1.44	1.45	1.5	0.89
1478	1.34	1.34	0.68	1.51	1.35	0.92	1.47	1.48	0.91
1479	0.81	0.91	0.53	1.47	1.37	0.91	1.25	0.94	0.92
1480	1.02	0.92	0.69	1.42	1.59	0.83	1.45	1.42	1
1481	1.03	1.04	0.66	1.24	1.55	0.87	1.56	1.26	1.06
1482	1.04	1.16	0.82	1.63	2.03	1.17	1.62	1.53	1.07
1483	0.84	1.37	0.6	1.56	1.71	1.11	1.69	1.39	1.2
1484	0.83	1.15	0.52	1.25	1.4	1.19	1.74	1.57	1.07
1485	0.91	1.31	0.75	1.69	1.75	1.52	2.27	2.1	1.48
1486	0.69	0.88	0.42	1.53	1.14	0.63	1.17	1.24	0.82
1487	0.53	0.99	0.52	1.32	1.05	0.98	1.31	1.43	0.65
1488	0.45	0.82	0.44	1.51	1.04	0.96	1.39	1.27	0.52
1489	0.37	0.79	0.32	1.24	0.95	0.89	1.03	1.15	0.39
1490	0.38	0.75	0.34	1.42	1.04	0.94	1.36	1.44	0.37
1491	0.47	0.87	0.4	1.34	1.33	0.94	1.21	1.48	0.55
1492	0.46	0.85	0.46	1.69	1.37	1.13	1.33	1.76	0.63
1493	0.3	0.7	0.44	1.32	1.2	0.8	0.84	0.8	0.59
1494	0.51	0.81	0.4	1.94	1.65	1.1	1.41	1.4	0.56
1495	0.47	0.75	0.45	1.31	1.6	1.28	1.39	1.22	0.51
1496	0.52	0.73	0.34	1.63	1.53	1.14	1.77	1.27	0.63
1497	0.6	1.06	0.37	1.97	1.94	1.27	1.96	1.69	0.65
1498	0.8	1.04	0.53	1.76	1.57	1.48	1.82	1.8	0.75
1499	0.49	0.77	0.21	1.28	1.34	1.01	1.51	1.61	0.62
1500	0.84	0.89	0.59	1.65	1.38	1.75	2.47	2.22	1.04
1501	0.94	0.82	0.53	1.45	1.47	1.91	2.72	2.2	1.1
1502	0.8	0.7	0.93	1.63	1.58	1.4	1.79	1.53	1.02
1503	1.08	1.32	1.16	1.88	1.6	1.69	2.41	2.28	1.49
1504	1.4	1.36	1.34	1.43	1.42	1.92	2.8	2.05	1.31
1505	1.23	1.5	1.29	1.92	1.8	1.48	2.1	1.95	1.25
1506	1.12	1.59	1.01	1.78	1.69	1.18	2.17	2.4	1.7
1507	1.22	2.01	0.98	1.34	1.24	1.47	1.5	1.49	1.33
1508	1.27	1.56	1.05	2.08	1.65	1.55	1.85	1.62	1.37
1509	1	1.41	0.97	1.77	1.32	1.87	1.5	1.57	1.2
1510	1.4	1.76	1.21	1.44	1.29	1.42	2.31	2.71	1.44
1511	1.11	1.47	1.3	1.29	1.01	1.3	1.2	1.48	1.32
1512	0.92	1.58	1.11	1.7	1.32	1.16	1.43	1.78	1.04
1513	0.62	1.09	0.77	1.35	1.13	1.16	1.19	1.16	1.34
1514	0.75	1.32	1.01	1.16	1.16	1.4	1.4	1.34	1.26
1515	0.58	1.07	0.93	1.38	1.21	0.98	1.04	1.11	1.27
1516	0.51	0.92	0.94	1.23	1.19	0.64	0.71	0.81	0.84
1517	0.47	0.87	0.89	1.32	1.21	0.84	0.89	1.11	0.9
1518	0.52	0.7	0.93	1.09	1.18	1.09	1.09	1.38	1.04
1519	0.6	0.93	0.83	1.25	1	1.27	1.73	1.71	1.1
1520	0.61	1.06	0.99	1.31	1.01	1.45	1.73	1.69	1.09
1521	0.76	1.07	1	1.5	0.91	1.34	2.06	1.59	1.17
1522	0.76	1.1	1.16	1.22	0.71	1.12	1.82	1.41	1.05
1523	0.73	1.16	0.91	1.36	0.93	1.24	1.75	1.34	0.98
1524	0.87	1.02	0.92	1.19	1.07	1.24	1.62	1.6	0.99
1525	0.76	1.08	0.86	1.17	0.96	1.03	1.52	1.53	1.15
1526	0.91	1.17	0.97	1.49	1.17	1.52	1.68	1.86	1.1
1527	0.68	0.89	0.72	1.27	1.04	0.91	1.36	0.99	1.06
1528	0.65	0.87	0.72	1.33	1.1	1.35	1.54	1.59	1.15
1529	0.98	1.07	0.69	1.81	1.52	1.45	1.65	1.65	1
1530	0.75	0.82	0.54	1.51	1.39	1.4	1.42	1.64	0.77
1531	0.49	0.68	0.38	1.27	1.16	1.12	1.28	1.2	0.54
1532	0.43	0.48	0.42	1.06	1.11	0.84	0.88	1.17	0.39
1533	0.48	0.72	0.43	1.38	1.09	1.04	1.05	1.37	0.71
1534	0.4	0.74	0.41	1.06	0.85	0.99	0.7	0.94	0.58
1535	0.6	0.85	0.76	1.37	1.43	1.85	1.27	1.61	1.21
1536	0.66	1.07	0.71	1.3	1.43	1.38	1.59	1.47	1.34
1537	0.63	1.13	0.79	1.29	1.15	1.63	1.69	2.06	1.2
1538	0.6	1.03	0.69	1.26	1.07	1.73	1.3	1.65	1.17
1539	0.48	0.96	0.84	1.36	1.06	1.5	1.22	1.4	1.28
1540	0.5	0.82	0.68	1.37	1.18	1.83	1.21	1.5	0.89
1541	0.54	1.06	0.79	1.49	1.32	1.35	0.82	1.03	1.11
1542	0.54	0.9	0.72	1.49	1.12	1.46	1.26	1.55	1.09
1543	0.53	1.08	1	1.37	1.27	1.36	1.3	2.08	1.15
1544	0.56	1.04	1.04	1.55	1.52	1.38	1.27	1.9	1.25
1545	0.44	0.96	1.02	1.31	1.46	1.41	1.63	1.69	1.31
1546	0.36	0.66	0.65	0.97	0.87	0.97	0.84	0.77	0.96
1547	0.62	0.93	0.87	1.37	1.42	1.35	1.22	1.39	1.48
1548	0.67	0.84	1.01	1.13	1.2	1.36	1.44	1.31	1.44
1549	0.54	0.84	0.72	1.03	0.87	1.18	1.37	1.11	1.24
1550	0.68	1.29	1.13	1.22	1.21	1.58	1.65	1.42	1.67
1551	0.66	1.18	1.02	1.52	1.59	1.86	1.89	1.74	2.71
1552	0.63	1.29	1.18	1.38	1.46	1.61	1.55	1.22	1.83
1553	0.84	1.25	1.11	1.54	1.55	1.93	1.94	1.7	1.86
1554	0.66	1.07	1.08	1.16	1.08	1.37	1.53	1.47	1.49
1555	0.65	1.13	0.92	1.43	1.77	1.22	1.05	1.6	1.57
1556	0.56	1.08	0.97	1.46	1.51	1.19	1.09	1.34	1.58
1557	0.59	0.86	0.61	0.36	0.42	1.02	0.83	1	1.32
1558	0.75	1.15	0.92	0.19	0.33	1.36	1.24	1.2	2.25
1559	0.73	0.99	0.84	0.43	0.45	1.28	1.03	1.16	1.89
1560	0.76	1.34	1.02	0.61	0.63	1.12	1.37	1.36	1.84
1561	0.69	1.12	0.91	0.48	0.48	1.4	1.35	1.25	1.69
1562	0.63	0.87	0.57	0.55	0.54	1.13	1.31	1.23	1.82
1563	0.55	0.65	0.46	0.54	0.53	1.2	1.85	1.42	1.35
1564	0.52	0.88	0.47	0.64	0.47	1.41	1.94	1.55	1.61
1565	0.39	0.74	0.51	0.66	0.55	1.86	1.5	1.11	1.19
1566	0.46	0.77	0.41	0.69	0.65	1.83	1.86	1.18	1.37
1567	0.54	0.89	0.49	0.88	0.46	1.98	2	1.57	2.27
1568	0.54	0.82	0.5	0.71	0.58	1.18	1.27	1.18	2.58
1569	0.58	0.62	0.47	0.99	0.69	1.31	1.56	1.43	2.85
1570	0.51	0.76	0.49	0.79	0.74	1.2	1.28	1.1	1.78
1571	0.54	0.97	0.51	0.79	0.8	1.41	1.41	1.36	1.69
1572	0.39	0.84	0.52	0.67	0.66	1.18	1	1.4	1.38
