# O'Neill - South Canyon - PSME - ITRDB AZ624
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38246
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38246.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az624-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az624.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az624.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-19
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-19
#--------------------
# Title
#   Study_Name: O'Neill - South Canyon - PSME - ITRDB AZ624
#--------------------
# Investigators
#   Investigators: O'Neill, Leo; Fulé, Peter
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Němec, Martin; Marcel Riedl; Vilém Jarský; Roman Dudík
#   Published_Date_or_Year: 2023
#   Published_Title: Analysis of Consumer Attitudes as an Important Tool for the Segmentation and Development of the Game Market in the Czech Republic
#   Journal_Name: Forests
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3390/f14030450
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: South Canyon
#   Location: Arizona
#   Northernmost_Latitude: 36.352
#   Southernmost_Latitude: 36.352
#   Easternmost_Longitude: -112.101
#   Westernmost_Longitude: -112.101
#   Elevation_m: 2775
#--------------------
# Data_Collection
#   Collection_Name: AZ624
#   First_Year: 1850
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SC-002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-005_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-005; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SC-002_raw	SC-003_raw	SC-004_raw	SC-005_raw	SC-006_raw	SC-007_raw	SC-008_raw	SC-009_raw
1923	1.12	1.23	0.99	0.91	1.16	0.57	1.5	1.28
1924	1.29	0.93	0.81	0.76	0.98	0.58	0.95	1.17
1925	1.31	1.16	0.93	0.81	1.3	0.68	1.35	1.23
1926	1.29	1.29	0.99	0.42	1.16	0.62	1.72	1
1927	2.39	1.78	1.29	0.47	1.76	1.01	1.9	0.92
1928	2.35	1.61	1.44	0.42	1.37	1.03	1.85	0.86
1929	2.1	1.67	1.67	0.42	0.93	0.97	1.8	0.66
1930	2.2	1.76	1.57	0.49	0.8	0.78	1.55	0.66
1931	1.57	1.4	1.27	0.44	0.72	0.68	1.19	0.64
1932	1.19	1.27	1.52	0.49	0.75	0.77	1.1	0.63
1933	1.5	1.35	1.63	0.44	0.84	0.71	1.1	0.53
1934	1.25	0.95	1.36	0.57	0.75	0.64	0.92	0.62
1935	1.23	1.1	2.18	0.99	1.18	0.78	1.37	0.71
1936	0.97	0.61	1.61	0.61	1.08	0.71	1.22	0.47
1937	1.88	0.89	1.74	0.64	1.25	0.76	1.45	0.76
1938	1.9	0.68	1.46	0.57	0.92	0.61	1.12	0.62
1939	1.61	0.38	2.46	0.54	0.95	0.73	1.14	0.53
1940	1.82	0.44	2.35	0.74	0.91	0.72	1.14	0.6
1941	2.2	0.47	2.43	0.68	0.83	0.98	1.65	0.76
1942	1.95	0.44	1.9	0.44	0.59	0.99	1.23	0.64
1943	1.82	0.34	1.33	0.28	0.48	0.65	1.21	0.52
1944	1.82	0.42	1.71	0.34	0.46	0.55	1.19	0.46
1945	1.12	0.23	1.14	0.21	0.28	0.4	0.66	0.26
1946	1.25	0.25	0.89	0.27	0.35	0.4	0.76	0.3
1947	1.48	0.28	0.95	0.32	0.3	0.38	1.19	0.2
1948	1.44	0.3	1.38	0.38	0.45	0.42	1.46	0.39
1949	0.95	0.17	0.93	0.23	0.21	0.33	1.12	0.32
1950	0.91	0.13	0.74	0.36	0.4	0.59	1.04	0.27
1951	0.64	0.19	0.57	0.25	0.28	0.61	0.72	0.35
1952	0.76	0.28	0.63	0.17	0.29	0.46	0.91	0.37
1953	1.52	0.23	0.64	0.28	0.25	0.47	1.19	0.38
1954	1.69	0.28	0.68	0.3	0.23	0.49	1.19	0.5
1955	1.59	0.17	0.74	0.3	0.23	0.46	1.35	0.64
1956	1.23	0.19	0.55	0.3	0.28	0.38	1.12	0.48
1957	1.02	0.15	0.72	0.3	0.26	0.64	1.14	0.64
1958	0.74	0.17	0.78	0.32	0.25	0.54	1.21	0.64
1959	0.68	0.06	0.63	0.3	0.3	0.38	1.06	0.62
1960	0.68	0.11	0.53	0.36	0.2	0.38	1.04	0.46
1961	0.64	0.08	0.44	0.34	0.17	0.27	0.97	0.37
1962	1	0.11	0.7	0.42	0.28	0.27	0.97	0.5
1963	0.87	0.11	0.36	0.25	0.09	0.24	0.61	0.43
1964	1.25	0.08	0.4	0.32	0.25	0.24	0.68	0.48
1965	1.8	0.13	0.47	0.55	0.24	0.34	0.97	0.7
1966	1.55	0.13	0.55	0.47	0.24	0.31	0.91	0.89
1967	1.44	0.13	0.42	0.38	0.27	0.29	0.57	0.76
1968	0.7	0.23	0.66	0.68	0.35	0.34	0.85	0.76
1969	0.89	0.38	0.83	0.64	0.32	0.39	1.1	0.92
1970	1.04	0.51	0.66	0.47	0.26	0.3	0.83	0.71
1971	1	0.59	1.1	0.61	0.36	0.37	0.89	0.94
1972	1.1	0.78	1.01	0.51	0.3	0.39	0.97	0.96
1973	0.99	1	1.08	0.53	0.43	0.32	0.91	0.88
1974	0.51	0.87	1.16	0.32	0.33	0.3	0.89	0.8
1975	0.92	0.7	1.97	0.59	0.52	0.36	1.33	1.08
1976	0.73	0.81	1.4	0.53	0.45	0.41	1.08	0.96
1977	0.62	0.63	0.91	0.23	0.21	0.22	0.62	0.81
1978	0.43	0.72	1	0.28	0.27	0.18	0.55	0.73
1979	0.45	0.63	0.91	0.25	0.36	0.23	0.62	0.78
1980	0.41	0.51	0.87	0.23	0.32	0.26	0.42	0.58
1981	0.17	0.32	0.68	0.17	0.25	0.26	0.39	0.69
1982	0.36	0.42	0.8	0.09	0.29	0.3	0.51	0.64
1983	0.3	0.4	0.95	0.13	0.29	0.31	0.95	0.69
1984	0.15	0.17	1.04	0.1	0.2	0.26	0.95	0.75
1985	0.19	0.25	1.36	0.17	0.36	0.31	1.19	0.91
1986	0.28	0.17	1.65	0.15	0.31	0.29	1.21	0.8
1987	0.17	0.17	1.08	0.15	0.25	0.29	0.59	0.91
1988	0.28	0.15	3.41	0.28	0.31	0.28	1.44	1.24
1989	0.18	0.08	3.05	0.19	0.23	0.25	1.29	1.2
1990	0.26	0.13	1.54	0.25	0.28	0.32	1.08	1.04
1991	0.34	0.13	1.36	0.25	0.32	0.24	1.08	0.97
1992	0.66	0.19	1.65	0.36	0.43	0.3	1.23	1.14
1993	0.51	0.21	1.86	0.36	0.45	0.37	1.27	1.12
1994	0.28	0.13	1.08	0.3	0.39	0.36	0.83	0.71
1995	0.34	0.13	1.74	0.34	0.43	0.48	1.25	0.81
1996	0.34	0.13	1.63	0.32	0.5	0.55	1.1	0.67
1997	0.4	0.15	0.81	0.32	0.39	0.38	0.89	0.81
1998	0.49	0.15	1.16	0.19	0.53	0.44	0.85	0.82
1999	0.64	0.13	1.03	0.32	0.31	0.39	0.7	0.86
2000	0.52	0.17	0.71	0.25	0.38	0.47	0.87	0.82
2001	0.26	0.11	0.71	0.19	0.29	0.43	0.66	0.58
2002	0.17	0.08	0.47	0.08	0.33	0.22	0.44	0.54
2003	0.17	0.13	0.69	0.19	0.31	0.39	0.53	0.56
2004	0.28	0.11	0.79	0.19	0.49	0.49	0.4	0.64
2005	0.23	0.25	0.77	0.42	0.48	0.51	0.64	0.75
2006	0.17	0.13	0.62	0.3	0.44	0.47	0.49	0.67
2007	0.15	0.15	0.77	0.23	0.5	0.37	0.66	0.75
2008	0.21	0.19	0.79	0.25	0.4	0.61	0.61	0.45
2009	0.13	0.15	0.85	0.23	0.45	0.63	0.81	0.52
2010	0.13	0.19	0.7	0.28	0.33	0.55	1.06	0.54
2011	0.23	0.25	1.07	0.32	0.47	0.56	1.44	0.71
2012	0.15	0.28	0.81	0.21	0.43	0.53	1.35	0.47
2013	0.17	0.28	0.9	0.13	0.68	0.61	1.4	0.62
2014	0.23	0.36	0.73	0.13	0.65	0.59	1.08	0.88
2015	0.38	0.74	0.83	0.17	0.74	0.64	1.27	0.97
2016	0.3	0.7	0.73	0.17	0.76	0.55	0.99	0.95
2017	0.19	0.68	0.7	0.13	0.72	0.53	1.12	0.8
2018	0.23	0.51	0.49	0.08	0.45	0.42	0.55	0.51
