# Black - Burchard - PSME - ITRDB OR119
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38222
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38222.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or119-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or119.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or119.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Burchard - PSME - ITRDB OR119
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Burchard
#   Location: Oregon
#   Northernmost_Latitude: 43.668
#   Southernmost_Latitude: 43.668
#   Easternmost_Longitude: -123.765
#   Westernmost_Longitude: -123.765
#   Elevation_m: 55
#--------------------
# Data_Collection
#   Collection_Name: OR119
#   First_Year: 1711
#   Last_Year: 1889
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BUR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BUR02A_raw	BUR02B_raw	BUR01A_raw	BUR01B_raw	BUR03A_raw	BUR03B_raw
1804	0.55	0.47	1.73	1.29	1.95	1.98
1805	1.13	1.14	1.89	1.64	1.97	1.99
1806	1.09	1.27	1.9	1.54	2.1	2.35
1807	1.27	1.67	2.24	1.42	2.98	2.68
1808	1.53	1.53	1.72	1.43	2.72	2.67
1809	1.55	1.87	1.92	1.66	3.12	3.18
1810	2.16	2.17	2.24	2.08	3.41	3.06
1811	2.13	2.51	2.4	2.33	3.05	3.2
1812	2.28	2.34	2.24	1.67	3.03	3.23
1813	2.35	2.36	2.05	1.69	3.31	2.98
1814	2.24	2.24	1.61	1.84	2.84	2.48
1815	2.41	2.52	1.47	1.81	2.98	2.96
1816	2.02	2.12	1.44	1.78	1.96	3.05
1817	2.25	2.22	1.42	1.63	3.17	2.38
1818	2.05	2.23	1.51	1.67	2.47	2.71
1819	2.53	2.69	1.55	1.69	3.98	3.9
1820	2.03	1.73	1.74	1.66	2.4	3.12
1821	1.39	1.6	1.46	1.33	2.3	1.65
1822	1.62	1.69	1.41	1.2	2.49	2.05
1823	2.08	2.21	1.38	1.22	1.93	2.22
1824	2.41	2.34	1.16	1.29	1.98	2.2
1825	2.38	2.4	1.31	0.97	2.43	2.63
1826	2.27	2.25	1.23	0.96	3.04	2.95
1827	1.99	1.96	0.96	0.87	2.7	2.74
1828	0.96	1.09	0.75	1.13	2.15	1.8
1829	1.41	1.21	1.01	1.47	1.93	2.08
1830	1.7	1.76	1.19	1.41	2.6	2.72
1831	1.89	1.8	1.09	1.15	2.82	3.03
1832	2.04	2.11	1.32	1.54	2.81	1.93
1833	2.14	2.14	1.2	1.76	2.46	2.64
1834	1.33	1.37	0.89	1.43	1.44	1.59
1835	1.3	1.27	0.98	1.45	1.92	2.33
1836	1.34	1.31	0.81	1.14	1.5	1.68
1837	2	2	0.7	1.19	1.95	2.34
1838	2.14	2.2	0.82	1.22	2	2.16
1839	2.21	2.19	0.86	1.07	2.53	2.89
1840	1.93	1.77	0.73	0.93	2.6	2.53
1841	1.36	1.39	0.46	0.55	2.95	2.3
1842	1.44	1.47	0.38	0.62	1.82	1.8
1843	1.33	1.13	0.14	0.32	1.89	1.9
1844	1.49	1.43	0.27	0.37	1.9	1.91
1845	1.33	1.79	0.3	0.37	2.48	2.49
1846	1.48	1.82	0.34	0.44	2.35	2.35
1847	1	1.28	0.01	0.24	1.78	1.78
1848	1.4	1.47	0.3	0.4	2.11	2.11
1849	0.99	1.03	0.01	0.3	1.26	1.26
1850	1.26	1.24	0.25	0.22	1.56	1.55
1851	1.35	1.16	0.25	0.24	2.05	2.05
1852	1.38	1.1	0.29	0.32	1.84	1.86
1853	1.09	0.86	0.18	0.24	1.61	1.6
1854	1.05	0.82	0.19	0.33	1.4	1.38
1855	0.99	0.88	0.35	0.56	1.56	1.54
1856	1.01	0.96	0.35	0.5	1.22	1.45
1857	1.48	1.61	0.58	0.98	1.53	1.62
1858	1.45	1.48	0.59	1.22	1.75	1.87
1859	1.78	1.8	0.83	0.95	1.88	1.88
1860	1.74	1.75	1.22	1.17	2.15	1.95
1861	1.94	1.83	1.11	1.24	2.18	1.98
1862	1.47	1.58	0.92	1.14	1.78	1.8
1863	1.75	1.94	1.16	1.12	1.75	1.92
1864	1.53	1.4	1.04	0.98	1.34	1.73
1865	1.72	1.59	0.99	0.86	1.26	1.48
1866	1.36	1.42	1.21	1.09	1.44	1.76
1867	1.65	1.49	1.22	0.87	1.34	1.42
1868	1.4	1.25	1.09	0.81	1.39	1.36
1869	1.39	1.39	0.83	0.75	1.52	1.13
1870	1.39	1.37	0.85	0.84	1.51	1.16
1871	1.59	1.27	1.14	0.84	1.71	1.5
1872	1.5	1.12	1.1	0.71	1.42	1.4
1873	1.71	1.39	1.08	1.08	1.75	1.63
1874	1.63	1.42	1.21	1.09	1.58	1.55
1875	1.23	1.27	1.01	0.93	1.11	1.07
1876	1.46	1.43	0.75	0.88	0.83	0.72
1877	1.35	1.45	1.06	1.12	0.93	1
1878	1.69	1.96	1.37	1.47	1.1	1.15
1879	1.83	1.83	1.37	1.23	1.15	1.23
1880	1.86	1.65	0.93	1.09	1.71	1.56
1881	1.52	1.13	0.65	1.1	1.34	1.07
1882	1.75	1.6	0.94	1.31	2.42	1.66
1883	0.87	0.99	0.65	1.01	1.51	1.05
1884	1.15	1.12	NA	1.14	2	1.28
1885	1.39	1.24	NA	0.95	1.61	1.14
1886	1.38	1.31	NA	1.08	1.67	1.5
1887	1.01	1.15	NA	NA	1.41	1.2
1888	0.96	NA	NA	NA	1.41	0.8
1889	NA	NA	NA	NA	1.35	NA
