# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP473E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP511E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP513E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP571E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP601E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473E_raw	DP511E_raw	DP513E_raw	DP571E_raw	DP601E_raw
1771	NA	1.26	1.1	NA	NA
1772	NA	0.61	0.73	NA	NA
1773	NA	0.7	0.31	NA	NA
1774	NA	1.04	0.81	NA	NA
1775	NA	0.8	0.46	NA	NA
1776	NA	1.04	0.66	NA	NA
1777	NA	0.45	0.66	NA	NA
1778	NA	0.68	0.59	NA	NA
1779	NA	0.4	0.43	NA	NA
1780	NA	0.32	0.31	NA	NA
1781	NA	0.49	0.41	NA	NA
1782	NA	0.41	0.19	NA	NA
1783	NA	0.48	0.38	NA	NA
1784	NA	0.85	0.87	NA	NA
1785	NA	0.62	0.45	NA	NA
1786	NA	0.66	0.41	NA	NA
1787	NA	1.33	0.65	NA	NA
1788	NA	0.47	0.44	NA	NA
1789	NA	0.64	0.39	NA	NA
1790	NA	0.58	0.61	NA	NA
1791	NA	0.97	0.79	NA	NA
1792	NA	0.59	0.61	NA	NA
1793	NA	1.22	0.87	NA	NA
1794	NA	0.44	0.52	NA	NA
1795	NA	0.62	0.61	NA	NA
1796	NA	0.77	0.5	NA	NA
1797	NA	0.56	0.6	NA	NA
1798	NA	0.55	0.73	NA	NA
1799	NA	1.19	0.87	NA	NA
1800	NA	1.04	0.83	NA	NA
1801	NA	0.27	0.27	NA	NA
1802	NA	1.07	0.89	NA	NA
1803	NA	0.78	0.69	NA	NA
1804	NA	0.58	0.52	NA	NA
1805	NA	0.37	0.41	NA	NA
1806	NA	0.51	0.44	NA	NA
1807	NA	0.39	0.5	NA	NA
1808	NA	0.49	0.35	NA	NA
1809	NA	0.5	0.5	NA	NA
1810	NA	0.62	0.61	NA	NA
1811	NA	1	0.99	NA	NA
1812	NA	0.56	0.67	NA	NA
1813	NA	0.73	0.7	NA	NA
1814	NA	0.59	0.41	NA	NA
1815	NA	0.68	0.95	NA	NA
1816	NA	0.49	0.81	NA	NA
1817	NA	0.41	0.7	NA	NA
1818	NA	0.22	0.12	NA	NA
1819	NA	0.26	0.43	NA	NA
1820	NA	0.19	0.29	NA	1.06
1821	NA	0.4	0.43	NA	1.29
1822	NA	0.31	0.24	NA	0.63
1823	NA	0.31	0.5	NA	1.22
1824	NA	0.28	0.37	NA	0.66
1825	NA	0.47	0.58	NA	1.1
1826	NA	0.38	0.63	NA	1.12
1827	NA	0.19	0.27	NA	1.05
1828	NA	0.44	0.61	NA	1.35
1829	NA	0.27	0.51	NA	1.37
1830	NA	0.49	0.82	NA	1.97
1831	NA	0.58	0.77	NA	1.94
1832	NA	0.61	0.55	NA	2.53
1833	NA	0.43	0.61	NA	1.73
1834	NA	0.49	0.49	NA	2.02
1835	NA	0.76	0.88	NA	2.21
1836	NA	0.3	0.39	NA	1.38
1837	NA	0.37	0.34	NA	1.15
1838	NA	0.38	0.46	NA	0.99
1839	NA	0.36	0.64	NA	1.52
1840	NA	0.41	0.48	NA	0.84
1841	NA	0.3	0.47	NA	1.42
1842	NA	0.26	0.36	NA	0.63
1843	NA	0.22	0.33	NA	1.07
1844	NA	0.26	0.14	NA	0.77
1845	NA	0.41	0.69	NA	1.53
1846	NA	0.47	0.56	NA	1.36
1847	NA	0.28	0.13	NA	0.82
1848	NA	0.46	0.48	NA	1.35
1849	NA	0.44	0.35	NA	1.39
1850	NA	0.51	0.47	NA	1.28
1851	NA	0.2	0.19	NA	0.43
1852	NA	0.79	0.7	NA	1.45
1853	NA	0.67	0.54	NA	1.22
1854	NA	0.73	0.63	NA	1.67
1855	NA	0.57	0.67	NA	1.33
1856	NA	0.56	0.6	NA	0.81
1857	NA	0.8	0.57	NA	1.16
1858	NA	0.52	0.46	NA	1.07
1859	NA	0.68	0.58	NA	0.87
1860	NA	0.86	0.63	NA	1.27
1861	NA	0.14	0.07	NA	0.2
1862	NA	0.62	0.56	NA	1.02
1863	NA	0.51	0.51	NA	0.79
1864	NA	0.55	0.24	NA	1.07
1865	NA	0.77	0.4	NA	0.62
1866	NA	0.72	0.49	NA	0.65
1867	NA	0.54	0.76	NA	0.84
1868	NA	0.83	1.17	NA	1.66
1869	NA	0.65	0.79	NA	0.87
1870	NA	0.35	0.56	NA	0.62
1871	NA	0.2	0.32	NA	0.45
1872	NA	0.41	0.33	NA	0.56
1873	NA	0.34	0.24	NA	0.62
1874	NA	0.46	0.27	NA	0.72
1875	NA	0.36	0.31	NA	1.05
1876	NA	0.21	0.09	NA	0.32
1877	NA	0.53	0.46	NA	1.25
1878	NA	0.4	0.23	NA	1.17
1879	NA	0.2	0.25	NA	0.57
1880	1.28	0.41	0.38	0.16	0.53
1881	1.02	0.14	0.21	0.4	0.45
1882	1.02	0.48	0.42	1.14	0.64
1883	1.45	0.36	0.39	0.88	0.88
1884	1.51	0.57	0.51	2.27	1
1885	1.86	0.8	0.94	4.46	1.04
1886	1.64	0.25	0.73	3.57	0.81
1887	1.25	0.51	0.53	3.68	0.79
1888	2.05	0.55	0.91	3.19	1.04
1889	2.02	0.55	0.95	3.72	0.78
1890	1.48	0.49	1.14	2.81	1.06
1891	2	0.67	1.18	3.41	0.78
1892	1.89	0.51	0.75	2.35	0.95
1893	1.4	0.44	0.93	1.17	0.73
1894	1.13	0.25	0.6	0.83	0.48
1895	1.45	0.43	0.57	0.69	0.62
1896	0.99	0.06	0.37	0.35	0.3
1897	1.94	0.54	0.92	1.96	0.67
1898	1.69	0.49	0.97	2.21	0.87
1899	1.26	0.11	0.26	0.32	0.46
1900	0.64	0.24	0.37	0.46	0.31
1901	1.11	0.31	0.4	0.57	0.55
1902	0.12	0	0	0	0.13
1903	1.37	0.63	0.81	0.74	0.79
1904	0.24	0.17	0.13	0.08	0.18
1905	1.09	0.43	0.57	1.86	0.78
1906	1.25	0.57	0.56	2.01	0.8
1907	2.13	0.65	0.81	2.79	1.62
1908	1.15	0.78	1.01	2.43	1.06
1909	1.68	0.66	0.57	2.13	0.85
1910	1.15	0.59	0.86	2.07	1.11
1911	1.82	1.14	1.2	2.71	1.44
1912	1.13	0.6	1.03	2.5	0.56
1913	0.99	0.27	0.64	1.96	0.41
1914	2.01	0.88	1.63	3.22	1.03
1915	1.31	0.37	1.17	3.68	0.47
1916	1.59	0.42	0.99	4.29	0.66
1917	1.2	0.43	0.89	2.6	0.91
1918	1.23	0.39	0.74	1.86	0.78
1919	1.64	0.39	1.32	2.37	0.79
1920	1.61	0.34	1.33	3.08	0.55
1921	1.66	0.26	1.1	3.88	0.85
1922	0.77	0.3	0.66	2.19	0.57
1923	1.33	0.31	0.76	2.11	0.43
1924	0.87	0.29	0.97	2.41	0.5
1925	0.87	0.24	0.72	1.79	0.51
1926	1.11	0.36	0.67	2.3	0.51
1927	1.02	0.42	0.72	2.31	0.33
1928	0.93	0.4	0.55	2.52	0.44
1929	1.53	0.56	0.69	2.36	0.68
1930	0.89	0.5	0.63	2.14	0.54
1931	0.89	0.43	0.58	1.59	0.51
1932	1.53	0.65	0.79	3.27	0.89
1933	0.77	0.54	0.56	1.91	0.43
1934	0.59	0.36	0.48	1.15	0.37
1935	1.41	0.57	0.63	1.59	0.41
1936	0.62	0.42	0.48	1.09	0.33
1937	0.95	0.51	0.47	2.03	0.3
1938	1.12	0.36	0.4	2.37	0.62
1939	0.5	0.24	0.35	1.13	0.25
1940	0.62	0.34	0.31	1.53	0.41
1941	1.32	0.54	0.47	2.54	0.88
1942	1.16	0.28	0.38	1.96	0.57
1943	0.93	0.34	0.45	1.51	0.53
1944	1.47	0.39	0.39	1.99	0.87
1945	1.12	0.62	0.27	1.65	0.65
1946	0.29	0.13	0.16	0.32	0.21
1947	0.52	0.27	0.18	1	0.46
1948	0.87	0.45	0.38	1.14	0.71
1949	1.63	0.67	0.47	1.96	0.81
1950	0.7	0.35	0.35	1.06	0.48
1951	0.43	0.25	0.13	0.4	0.37
1952	1.14	0.15	0.45	1.46	0.51
1953	1.22	0	0.24	0.79	0.35
1954	1.38	0.19	0.36	1.11	0.4
1955	0.54	0.3	0.18	0.62	0.33
1956	0.69	0.23	0.26	0.62	0.27
1957	2.05	0.29	0.43	1.19	0.51
1958	1.26	0.21	0.28	1.25	0.35
1959	0.74	0.24	0.38	1.02	0.26
1960	1.37	0.4	0.55	1.53	0.56
1961	1.68	0.3	0.51	1.6	0.49
1962	1.27	0.41	0.45	1.56	0.41
1963	1.51	0.26	0.33	1.14	0.33
1964	0.82	0.26	0.24	0.34	0.22
1965	2.16	0.17	0.51	1.49	0.49
1966	1.44	0.19	0.47	1.79	0.43
1967	0.89	0.29	0.49	1.03	0.42
1968	1.83	0.19	0.47	1.51	0.58
1969	2.21	0.52	0.61	1.57	0.78
1970	1.49	0.24	0.54	1.12	0.67
1971	1.53	0.3	0.67	1.06	0.5
1972	1.38	0.35	0.66	0.68	0.72
1973	1.51	0.34	0.65	1.42	0.8
1974	1.54	0.24	0.62	0.91	0.69
1975	2.04	0.38	0.74	2.08	0.61
1976	0.97	0.28	0.76	1.22	0.58
1977	0.73	0.07	0.27	0.6	0.26
1978	2.03	0.39	0.6	1.53	0.52
