# Therrell - Vermilion River - QUSP - ITRDB IL024
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28197
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28197.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/il024-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; il024-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/il024.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/il024.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-10-29
#--------------------
# File_Last_Modified_Date
#   Date: 2019-10-29
#--------------------
# Title
#   Study_Name: Therrell - Vermilion River - QUSP - ITRDB IL024
#--------------------
# Investigators
#   Investigators: Therrell, M.D.; Meko, D.M.(https://orcid.org/0000-0002-5171-2724)
#--------------------
# Description_Notes_and_Keywords
#   Description: Kickapoo State Park, October 29th, 2014, Q. alba, Q. macrocarpa NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Vermilion River
#   Location: Illinois
#   Northernmost_Latitude: 40.142935
#   Southernmost_Latitude: 40.142935
#   Easternmost_Longitude: -87.742722
#   Westernmost_Longitude: -87.742722
#   Elevation_m: 164
#--------------------
# Data_Collection
#   Collection_Name: IL024
#   First_Year: 1839
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VER01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VER01A_raw	VER01B_raw	VER02A_raw	VER02B_raw	VER03B_raw	VER03A_raw	VER04A_raw	VER04B_raw	VER05A_raw	VER05B_raw	VER06A_raw	VER06B_raw	VER07A_raw	VER07B_raw	VER09B_raw	VER10A_raw	VER10B_raw	VER11A_raw	VER12A_raw	VER13A_raw	VER14_raw
1888	1.571	2.96	4.641	2.907	2.009	1.151	1.761	1.705	NA	NA	NA	1.43	1.311	NA	NA	0.294	NA	1.931	0.505	NA	0.337
1889	2.535	3.599	5.064	3.992	2.786	1.736	2.088	2.54	NA	NA	NA	1.523	1.603	1.028	NA	0.311	NA	1.854	0.736	NA	0.358
1890	1.718	1.644	3.125	2.563	1.618	1.254	1.44	1.869	NA	NA	NA	0.986	1.05	0.873	NA	0.162	NA	1.511	0.504	NA	0.383
1891	1.297	1.584	3.533	2.479	1.231	1.965	1.456	1.58	NA	NA	NA	0.835	1.117	0.643	NA	0.312	NA	1.57	0.544	NA	0.385
1892	1.926	2.401	3.584	3.317	2.312	3.121	1.903	2.506	NA	NA	NA	0.938	1.519	0.653	NA	0.21	NA	1.954	1.139	NA	0.574
1893	0.982	0.972	2.101	1.901	1.162	1.747	1.437	1.46	NA	NA	NA	0.486	0.386	0.575	NA	0.27	NA	1.362	0.852	NA	0.48
1894	1.514	1.546	2.824	2.745	1.974	2.058	1.646	1.281	NA	NA	NA	0.802	0.742	1.049	NA	0.207	NA	1.205	1.568	NA	0.548
1895	0.943	0.673	1.607	1.463	1.29	1.179	1.095	0.954	NA	NA	NA	0.914	0.576	0.662	NA	0.264	NA	1.143	1.558	NA	0.443
1896	1.503	2.625	2.969	2.811	1.235	1.157	2.001	1.321	NA	NA	NA	2.383	1.283	0.657	NA	0.302	NA	1.575	2.356	NA	0.658
1897	1.983	2.514	2.669	2.666	1.858	3.082	2.712	2.623	NA	NA	2.238	2.001	0.624	0.335	3.743	0.342	NA	2.182	2.805	NA	0.787
1898	1.182	1.948	2.623	2.25	1.431	2.435	1.771	2.552	NA	NA	2.398	0.86	0.481	0.586	2.618	0.445	NA	2.065	2.087	NA	0.71
1899	1.358	1.953	2.438	2.17	1.452	1.686	1.529	2.043	NA	NA	2.573	0.852	0.422	0.366	2.048	0.557	NA	1.977	1.902	NA	0.534
1900	1.796	1.963	3.071	2.303	2.012	1.623	3.06	2.681	NA	NA	3.787	0.758	0.512	0.572	2.199	0.998	NA	2.392	3.21	NA	0.414
1901	1.718	1.677	1.854	2.481	1.876	1.827	1.852	2.086	NA	NA	2.854	1.422	0.63	0.422	1.827	0.773	NA	2.45	1.623	NA	0.793
1902	2.631	2.074	2.105	2.915	1.252	2.111	1.668	1.383	NA	NA	3.077	3.421	0.721	0.476	1.732	0.706	NA	2.718	2.324	NA	1.619
1903	2.698	2.795	1.881	3.124	1.425	1.968	2.049	2.07	NA	NA	5.313	3.545	0.467	0.918	2.274	0.996	NA	3.01	2.001	NA	2.574
1904	1.916	1.963	1.658	2.39	0.984	1.414	2.086	2.237	NA	NA	5.539	4.236	0.25	0.523	2.36	0.637	NA	2.837	1.322	NA	2.523
1905	1.41	1.599	1.872	2.414	1.111	1.306	2.143	1.969	NA	NA	4.876	2.972	0.353	0.808	2.685	0.612	NA	2.503	0.842	NA	2.671
1906	1.133	1.631	1.471	2.27	1.275	1.487	1.78	1.959	NA	NA	5.723	3.478	0.304	0.438	1.921	0.52	NA	1.93	0.906	NA	3.153
1907	1.117	1.688	1.658	2.653	1.31	1.24	2.631	2.143	NA	NA	3.717	3.644	0.324	0.313	2.493	0.56	NA	2.608	1.219	NA	3.372
1908	0.952	1.442	1.349	1.984	1.377	1.508	2.015	1.947	NA	NA	3.598	2.786	0.26	0.285	2.156	0.373	NA	2.165	0.977	NA	2.294
1909	1.246	1.03	1.371	1.802	1.149	1.909	2.421	1.933	NA	NA	2.298	1.969	0.38	0.313	1.016	0.414	NA	1.955	0.664	NA	2.395
1910	0.728	0.772	1.225	1.918	0.824	0.983	1.791	1.591	NA	NA	2.379	1.899	0.238	0.331	0.891	0.497	NA	1.957	0.688	NA	2.348
1911	0.679	0.673	0.888	1.401	0.806	0.778	1.473	1.382	NA	NA	1.394	1.099	0.393	0.366	1.009	0.375	NA	1.472	0.36	NA	1.897
1912	1.502	1.56	1.499	2.051	1.003	1.528	2.411	1.572	NA	NA	5.103	4.8	0.233	0.376	2.088	0.637	NA	2.634	0.837	NA	4.148
1913	0.944	1.103	0.839	1.344	0.784	0.96	1.651	1.074	NA	NA	2.532	2.046	0.354	0.481	0.92	0.484	NA	1.565	0.426	NA	2.276
1914	0.666	0.899	0.7	1.052	0.714	0.794	1.223	0.931	NA	NA	1.704	1.452	0.309	0.252	0.822	0.678	NA	0.98	0.463	NA	3.055
1915	1.017	2.033	1.764	2.203	1.2	1.245	2.827	2.1	NA	NA	3.674	2.65	0.59	0.827	2.166	1.979	NA	1.824	0.899	NA	3.857
1916	0.888	1.484	1.378	2.466	1.359	1.448	2.803	2.195	4.756	7.551	2.865	2.765	0.887	0.944	2.003	1.654	NA	1.859	0.956	NA	4.316
1917	1.168	1.45	1.812	2.37	0.998	1.41	3.169	2.758	2.592	4.562	2.998	2.498	0.856	0.751	1.749	1.538	NA	1.764	0.533	NA	2.849
1918	0.909	1.076	1.15	1.972	0.996	1.191	2.139	2.012	2.376	3.097	1.775	1.72	0.589	0.624	1.596	1.652	1.745	1.212	0.583	NA	3.53
1919	0.836	0.952	0.88	1.376	0.81	0.984	1.848	1.729	1.928	2.017	1.673	1.668	0.552	0.523	1.153	1.503	2.58	1.156	0.362	NA	2.323
1920	0.915	1.066	1.062	1.239	1.273	1.467	1.433	1.807	2.149	1.775	1.768	1.469	0.703	1.721	1.855	2.645	3.246	1.549	0.667	NA	3.712
1921	1.482	1.964	1.566	1.68	1.931	1.592	1.726	1.67	5.752	4.011	2.253	1.898	1.427	2.465	2.329	2.369	3.059	1.557	0.981	NA	2.724
1922	3.741	2.404	1.572	2.252	2.001	1.843	2.9	2.343	5.732	5.903	2.675	3.001	1.056	2.125	3.528	4.313	5.582	2.043	1.062	NA	3.595
1923	4.177	3.08	1.821	2.194	1.884	2.244	3.298	3.184	4.416	5.907	2.709	2.999	1.881	2.42	2.7	4.497	4.602	2.328	1.936	NA	2.991
1924	4.956	5.867	3.133	3.047	2.603	3.027	3.214	3.292	5.176	7.425	3.377	3.33	1.358	2.419	2.86	3.354	5.481	2.641	2.166	NA	4.89
1925	2.779	3.131	1.347	2.498	1.75	1.829	2.512	2.382	3.81	4.403	1.75	2.582	1.082	1.78	1.697	2.361	3.317	1.94	1.495	NA	3.447
1926	3.668	3.01	2.086	2.354	1.919	2.364	2.262	1.975	3.743	4.662	3.251	3.179	2.147	2.854	2.143	3.634	6.118	2.3	1.925	NA	4.744
1927	3.805	4.123	2.077	2.414	2.415	2.636	3.145	3.435	3.778	5.277	2.789	2.738	2.24	1.411	2.518	3.221	5.229	2.417	2.162	NA	4.735
1928	3.298	3.931	2.213	2.012	2.073	2.103	2.45	3.216	3.343	5.002	3.263	1.996	2.692	2.467	2.702	3.012	4.68	1.64	2.293	NA	4.516
1929	3.097	2.956	1.932	2.396	1.479	1.453	2.553	3.656	2.932	3.519	2.796	2.004	2.674	1.768	2.11	1.982	3.446	1.738	1.267	NA	3.427
1930	1.984	2.272	1.285	1.703	1.081	0.939	1.666	1.926	1.248	1.71	1.592	1.012	1.643	1.333	1.442	1.461	2.338	1.236	0.955	NA	3.191
1931	3.801	3.032	1.677	1.481	1.548	1.082	1.684	1.97	1.385	2.143	1.916	1.63	1.415	1.45	1.56	1.093	1.598	1.152	0.922	NA	4.571
1932	3.962	3.681	1.706	2.131	1.903	1.514	1.977	2.953	0.909	1.798	3.623	3.719	2.27	1.839	2.172	1.962	2.927	1.61	1.218	NA	3.815
1933	3.078	2.876	1.602	1.785	1.189	1.138	1.993	2.784	0.713	1.312	2.349	2.338	1.794	1.117	1.766	1.507	2.247	1.171	0.971	NA	2.623
1934	3.614	2.107	0.909	1.37	1.238	0.871	1.541	1.719	0.949	1.047	1.819	2.279	1.298	1.15	1.365	1.293	1.925	0.806	1.062	NA	1.958
1935	5.745	4.069	3.868	3.364	2.491	2.043	3.84	3.75	1.2	1.715	5.433	3.583	2.472	2.697	3.772	2.979	4.179	1.845	1.841	NA	3.348
1936	2.322	1.823	1.538	1.313	1.111	0.899	1.573	2.009	0.823	1.087	1.624	1.505	1.515	1.057	1.826	1.173	1.66	0.95	0.809	NA	2.297
1937	4.241	2.989	2.543	2.691	2.384	1.881	3.581	3.185	1.88	3.073	3.59	2.873	3.236	2.45	2.788	2.627	3.828	1.911	1.897	NA	5.012
1938	4.913	3.774	2.205	3.061	2.532	1.657	3.263	2.531	1.801	2.719	4.947	4.51	3.596	2.186	3.706	3.686	5.302	1.599	2.097	NA	4.364
1939	4.15	2.794	2.384	2.806	1.911	1.383	3.931	3.108	1.774	3.167	4.241	4.162	2.489	2.838	2.533	3.095	3.876	1.997	1.616	NA	3.954
1940	2.994	1.859	1.949	2.058	1.49	1.162	2.336	2.212	1.429	2.207	2.412	1.907	2.051	1.386	1.918	1.994	3.121	1.693	1.125	NA	4.427
1941	2.829	2.243	1.835	2.916	1.503	1.659	3.323	3.53	1.881	3.1	3.189	3.122	2.143	1.639	1.65	1.606	2.784	2.938	1.416	NA	3.009
1942	2.688	2.314	1.833	2.569	1.712	1.376	3.033	3.55	2.256	3.594	3.319	3.039	2.579	2.475	2.472	2.062	4.243	2.297	2.001	NA	3.082
1943	1.907	1.115	1.356	1.634	1.429	1.139	2.654	2.41	1.156	2.5	2.07	1.637	2.454	1.485	1.441	1.615	3.14	1.357	1.102	NA	1.978
1944	1.539	1.571	1.58	1.858	1.147	1.12	2.619	2.323	0.885	1.546	1.497	0.884	1.781	1.214	1.458	1.274	2.112	1.641	0.79	NA	2.004
1945	2.122	2.695	2.141	1.858	1.928	1.475	3.324	2.175	1.137	2.893	2.731	2.068	1.755	1.723	2.125	2.214	2.662	1.733	1.265	0.633	2.11
1946	1.747	1.389	2.251	1.467	1.266	1.328	2.514	2.553	0.984	2.245	1.842	1.779	1.801	1.665	1.947	1.788	2.239	1.478	0.95	0.89	2.108
1947	1.913	1.763	2.666	1.867	1.247	1.671	2.855	2.919	1.134	1.986	1.639	1.88	1.741	1.286	1.277	1.077	1.855	1.827	1.536	0.901	2.363
1948	1.785	1.68	1.909	1.873	1.129	1.499	2.845	3.138	0.704	1.779	2.162	2.11	1.892	1.678	1.441	0.998	2.002	1.739	0.856	0.758	1.68
1949	2.36	1.591	1.985	1.784	1.398	1.635	3.449	2.752	1.081	1.506	2.222	2.291	1.866	1.447	1.772	1.523	2.051	1.563	0.958	0.953	2.183
1950	2.624	1.624	1.897	2.031	1.367	1.276	3.694	3.636	0.763	1.824	3.11	2.462	2.262	1.491	1.691	1.849	2.442	1.74	1.223	0.721	1.606
1951	2.178	2.002	1.914	1.59	1.375	1.406	4.128	3.59	0.814	1.856	3.746	2.151	2.358	1.978	1.535	1.881	2.553	2.363	1.091	0.949	1.747
1952	2.243	1.515	1.303	1.224	1.251	0.968	2.899	2.772	0.703	1.539	2.032	1.001	1.374	1.179	1.411	1.477	2.267	2.179	0.881	0.679	1.574
1953	1.862	1.466	1.303	1.383	1.451	1.183	2.49	2.497	0.531	0.962	2.055	1.52	1.063	1.235	1.505	1.486	1.552	1.578	0.744	0.382	1.419
1954	1.081	0.991	1.019	0.774	0.901	0.856	1.228	1.321	0.45	0.729	1.23	0.961	0.713	0.766	0.862	0.861	1.154	1.448	0.488	0.442	0.893
1955	2.526	1.479	1.576	1.172	1.271	0.864	1.633	1.529	0.475	1.006	1.976	1.558	1.02	1.031	1.368	1.792	1.987	1.525	0.635	0.559	1.311
1956	2.472	1.314	1.373	1.287	1.915	1.18	1.212	1.928	0.426	1.22	3.537	2.594	1.231	1.416	1.455	1.723	2.302	2.004	0.635	0.498	1.118
1957	2.283	2.038	1.665	1.704	1.781	1.406	2.147	2.561	1.014	1.58	3.347	2.479	1.462	1.48	2.017	1.888	2.697	2.078	0.838	1.19	1.618
1958	2.447	1.597	2.223	2.043	1.143	1.651	4.532	3.874	0.885	1.757	4.027	3.094	2.506	2.071	1.763	2.588	3.235	2.677	1.078	1.077	1.894
1959	1.333	1.351	1.504	1.194	1.445	0.996	2.023	2.52	0.901	1.261	2.094	1.274	1.269	1.531	0.942	1.593	1.949	1.749	0.917	0.762	1.181
1960	2.029	2.06	1.444	1.557	1.464	1.697	3.283	3.149	0.83	2.172	3.413	1.473	1.682	1.738	1.927	1.957	2.358	2.225	1.287	0.481	1.382
1961	2.064	1.554	1.566	1.29	1.608	1.354	3.2	2.433	0.838	1.445	3.006	1.246	1.52	1.613	1.147	2.145	2.385	1.832	1.176	0.776	1.365
1962	1.871	1.252	1.621	1.149	1.136	1.299	3.557	3.349	0.985	1.81	3.302	1.719	1.973	2.031	1.076	1.892	1.977	1.963	0.685	0.745	1.34
1963	1.631	1.304	1.519	0.96	1.015	1.093	1.977	1.834	1.091	1.365	1.591	1.172	1.917	1.608	0.897	1.555	1.508	1.443	0.795	0.728	1.352
1964	1.454	1.086	1.173	1.214	1.34	0.797	1.667	1.836	1.234	1.733	2.144	1.076	1.166	1.331	1.438	1.523	1.436	1.41	0.819	0.499	1.328
1965	1.23	1.31	1.338	1.093	1.374	1.243	2.35	2.266	1.079	1.423	2.218	1.475	1.461	1.458	1.003	1.819	1.77	1.339	0.547	0.576	1.025
1966	1.389	0.953	1.049	1.11	1.129	1.462	1.662	1.958	0.851	0.941	2.095	0.976	1.277	1.356	0.897	1.412	1.857	1.331	0.679	0.414	1.002
1967	1.56	0.902	0.97	1.171	1.852	1.022	1.634	2.009	0.699	0.86	1.96	1.071	1.468	1.349	0.879	1.576	2.304	1.437	0.428	0.48	1.022
1968	2.042	1.562	1.311	1.539	1.321	1.415	2.812	2.626	0.765	1.095	3.227	2.382	1.742	1.654	1.324	2.298	2.538	1.995	0.546	0.577	1.11
1969	2.316	1.322	1.732	1.646	0.905	1.547	2.423	2.119	0.533	1.076	2.544	2.371	1.516	1.984	0.84	1.848	2.198	1.971	0.662	0.562	1.386
1970	1.264	1.03	1.339	1.429	0.984	1.615	2.788	2.323	0.312	0.682	1.923	1.484	1.489	1.817	0.717	1.418	2.019	1.444	0.369	0.352	0.877
1971	1.726	1.341	1.578	1.556	1.029	1.332	3.206	2.404	0.554	0.639	2.732	1.748	2.285	1.768	0.886	2.248	2.481	1.307	0.696	0.362	0.948
1972	1.327	1.238	1.292	1.272	1.324	1.049	3.027	2.344	0.413	0.668	2.149	1.551	2.555	1.663	0.931	1.976	2.233	1.735	0.457	0.489	1.176
1973	2.153	1.336	1.814	2.245	1.391	1.47	4.67	3.133	0.428	0.797	2.083	1.787	2.727	2.176	0.96	2.13	2.147	1.962	0.655	0.364	1.599
1974	1.793	1.787	1.863	1.666	1.248	1.393	2.113	2.101	0.507	0.617	1.841	1.785	1.885	1.9	1.028	2.269	2.083	1.722	0.392	0.4	1.768
1975	1.586	1.098	1.333	1.511	1.343	1.164	2.592	2.139	0.456	0.504	2.071	1.819	2.056	1.656	1.005	1.756	2.337	1.512	0.496	0.356	1.114
1976	1.415	1.437	1.568	1.712	1.295	1.24	2.383	2.349	0.374	0.843	2.089	1.305	1.521	2.148	0.85	1.68	2.364	1.343	0.638	0.535	1.065
1977	1.206	1.04	1.179	1.097	0.827	1.022	1.898	1.31	0.347	0.572	1.611	0.847	1.174	1.404	0.66	1.383	1.503	1.273	0.427	0.529	0.796
1978	1.954	1.424	2.333	2.518	0.979	1.136	3.536	2.966	0.426	0.906	3.48	1.849	1.744	1.813	1.031	2.386	2.892	1.57	0.437	0.564	1.39
1979	1.664	1.163	2.009	1.971	0.887	0.921	3.577	2.621	0.372	0.901	2.335	1.39	1.902	1.912	0.791	1.846	2.278	1.521	0.421	0.514	1.238
1980	1.72	1.547	2.186	1.431	1	1.275	2.505	1.902	0.643	1.164	2.4	1.186	2.105	1.645	0.903	1.525	2.09	1.68	0.493	0.791	1.141
1981	1.292	1.227	1.732	1.696	1.004	0.96	3.167	2.684	0.555	1.225	2.657	1.833	1.953	1.293	0.801	1.556	1.949	1.758	0.51	1.211	1.194
1982	1.726	1.481	2.415	1.987	1.398	1.596	4.416	3.815	0.724	1.134	4.624	3.23	3.132	2.211	0.807	2.513	2.89	1.907	0.544	1.022	1.727
1983	1.271	1.537	2.336	1.988	1.085	1.121	2.804	2.038	0.535	0.74	3.135	2.361	1.758	1.847	0.747	2.011	2.328	1.631	0.46	0.833	1.156
1984	1.896	1.18	1.642	1.461	0.872	0.973	2.207	1.758	0.477	0.567	2.575	1.699	1.278	1.669	0.914	1.561	1.545	1.896	0.485	0.602	1.027
1985	2.241	1.76	1.864	1.794	0.898	0.77	2.221	2.717	1.219	1.44	3.8	3.028	2.282	1.993	0.882	1.974	2.354	1.703	0.79	1.383	1.301
1986	2.425	1.787	1.851	1.672	0.915	0.895	2.248	1.745	0.689	0.88	2.767	1.772	2.07	2.113	0.848	1.823	1.863	1.385	0.466	1.491	1.454
1987	1.861	1.418	1.92	1.798	0.754	0.69	1.41	1.082	0.458	0.727	1.968	1.623	2.043	1.397	0.873	1.381	2.11	1.459	0.66	0.778	1.125
1988	1.311	1.066	1.346	1.447	0.745	0.763	1.184	1.286	0.493	0.573	1.429	0.981	1.038	1.393	0.643	1.174	1.325	1.112	0.393	0.578	0.877
1989	1.709	1.76	1.63	1.146	0.882	0.865	1.809	1.629	0.402	0.669	2.551	1.194	1.938	1.702	0.685	0.887	0.789	1.158	0.616	0.627	0.86
1990	2.755	2.214	2.344	1.952	1.282	1.092	3.059	2.646	1.069	1.591	4.378	2.683	3.093	2.394	0.827	1.369	1.065	1.457	0.47	1.028	1.413
1991	1.602	1.461	1.672	1.344	0.951	0.887	1.957	1.613	0.864	1.15	2.688	1.569	2.504	1.734	0.945	1.31	1.509	1.067	0.805	0.894	1.508
1992	2.742	1.883	1.624	1.47	1.077	1.026	1.978	2.033	0.804	1.545	2.749	2.347	2.576	2.131	0.773	0.961	1.101	1.337	0.781	1.075	1.271
1993	2.409	1.921	1.693	1.801	0.918	0.968	3.988	3.342	0.873	1.63	3.876	2.618	3.328	2.336	0.851	1.427	2.216	1.315	0.838	1.035	1.335
1994	1.792	1.604	1.369	1.426	1.104	0.814	2.577	1.811	0.705	1.054	2.036	1.562	2.114	2.132	0.832	1.382	1.5	1.333	0.752	0.757	1.279
1995	2.375	1.579	2.045	1.746	0.988	0.95	2.503	2.397	0.644	0.934	2.523	1.676	2.352	2.698	0.926	1.513	2.098	1.441	0.414	0.656	1.433
1996	1.69	1.105	1.286	1.46	0.856	0.795	2.399	2.297	0.624	0.92	2.157	1.651	1.731	1.826	0.699	1.06	0.981	0.998	0.404	0.528	1.139
1997	1.649	1.328	1.352	0.95	0.89	0.818	2.156	1.957	0.689	1.004	2.062	1.271	1.838	1.611	0.823	1.085	1.261	1.078	0.617	0.562	1.01
1998	2.86	1.681	1.532	1.485	0.747	0.814	3.87	3.497	0.648	1.11	3.447	2.228	2.4	2.401	0.836	1.722	1.731	1.214	0.693	0.821	1.107
1999	1.253	0.829	2.01	1.41	0.823	0.895	4.278	3.041	1.258	1.711	2.398	2.111	2.392	2.329	0.961	1.233	1.295	1.395	0.979	1.126	0.994
2000	1.548	1.207	1.489	1.439	0.714	0.773	3.594	2.825	0.996	1.76	1.992	1.935	1.948	1.74	0.745	1.333	1.092	1.258	0.369	0.628	0.802
2001	1.7	1.031	1.817	1.177	0.58	0.774	2.642	2.194	1.282	2.243	1.787	1.029	2.035	1.919	0.627	1.203	1.04	1.105	0.498	0.813	0.953
2002	1.622	1.528	1.634	1.39	0.704	0.676	2.953	2.036	1.243	1.91	0.974	1.435	1.87	1.98	0.856	1.334	1.507	1.255	0.501	0.671	1.144
2003	2.152	1.705	1.893	1.455	0.636	0.691	3.268	2.2	1.114	1.576	0.778	1.867	2.246	2.487	0.954	1.137	1.595	1.517	0.695	1.027	1.126
2004	1.828	1.471	2.084	1.405	0.638	0.772	1.912	2.031	0.663	1.054	0.834	1.609	2.302	1.997	0.767	0.941	1.207	1.416	0.597	0.827	1.071
2005	1.773	1.134	1.414	1.254	0.715	0.784	0.521	0.768	0.938	1.002	0.916	1.77	1.919	1.594	0.98	1.01	1.449	1.145	0.816	0.843	0.953
2006	1.761	1.545	1.087	1.117	0.782	0.729	0.649	1.178	1.139	1.203	1.649	2.301	2.054	2.316	0.754	1.329	1.504	1.3	0.827	1.188	0.842
2007	1.725	1.457	1.086	1.407	0.748	0.708	1.021	1.352	1.118	1.316	1.38	1.361	1.467	1.791	0.957	1.067	1.394	1.756	0.656	0.842	1.058
