# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PP352E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP352E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP363E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP363E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP364E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP364E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP373E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP373E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PP352E_raw	PP363E_raw	PP364E_raw	PP373E_raw
1885	0.42	1.56	1.79	0.56
1886	0.45	1.83	1.73	0.63
1887	0.47	1.61	1.37	0.71
1888	0.83	2.14	2.08	1.04
1889	0.52	1.27	1.4	0.76
1890	0.3	1.12	1.56	0.72
1891	0.67	1.58	2.31	1.26
1892	0.45	1.17	1.4	0.87
1893	0.31	1.12	0.89	0.4
1894	0.43	0.9	0.73	0.51
1895	0.57	1.57	1.46	0.85
1896	0.17	0.09	0.39	0.29
1897	0.67	1.37	1.33	0.89
1898	0.8	1.02	1.14	0.79
1899	0.38	0.38	0.37	0.45
1900	0.51	0.67	0.59	0.49
1901	0.55	1.08	0.88	0.73
1902	0.29	0.36	0.34	0.27
1903	0.86	1.22	1.21	0.92
1904	0.25	0.24	0.28	0.38
1905	0.96	1.2	1.12	1.03
1906	0.74	1.58	1.18	1.66
1907	0.78	1.43	1.26	1.35
1908	0.75	1.03	1.02	0.78
1909	0.7	1.05	1.14	0.9
1910	0.59	1.12	0.9	0.62
1911	0.87	1.27	1.42	1.31
1912	0.72	1.11	1.23	1.03
1913	0.43	0.54	0.55	0.59
1914	0.79	1.58	1.26	1.12
1915	0.78	0.89	1.04	0.97
1916	0.91	1.21	1.07	1.2
1917	0.63	1.03	0.75	0.82
1918	0.54	0.67	0.42	0.78
1919	0.79	1.34	1.18	1.02
1920	0.84	1.7	1.2	1.08
1921	0.69	1.13	0.88	0.9
1922	0.37	0.87	0.66	0.84
1923	0.33	0.88	0.7	0.82
1924	0.38	0.91	0.8	0.87
1925	0.65	1.07	1.03	1.07
1926	0.51	1.15	1	1.1
1927	0.35	0.91	0.61	0.99
1928	0.51	0.88	0.77	0.83
1929	0.25	0.64	0.78	1.05
1930	0.34	0.8	0.77	0.7
1931	0.1	0.68	0.62	0.42
1932	0.32	0.66	0.53	0.52
1933	0.32	0.73	0.72	0.48
1934	0.35	0.53	0.53	0.29
1935	0.45	0.73	0.71	0.8
1936	0.43	0.54	0.66	0.67
1937	0.77	0.64	0.91	0.6
1938	0.62	0.55	0.82	0.58
1939	0.39	0.34	0.58	0.39
1940	0.42	0.49	0.6	0.6
1941	0.72	0.62	0.87	0.77
1942	0.66	0.79	0.88	0.74
1943	0.54	0.57	0.64	0.49
1944	0.64	0.53	0.57	0.57
1945	0.72	0.76	0.72	0.89
1946	0.45	0.64	0.4	0.4
1947	0.45	0.92	0.67	0.66
1948	0.56	0.74	0.67	0.63
1949	0.85	0.94	1.05	0.57
1950	0.56	0.42	0.43	0.4
1951	0.31	0.27	0.33	0.25
1952	0.73	0.74	0.79	0.59
1953	0.65	0.54	0.55	0.51
1954	0.76	0.38	0.45	0.5
1955	0.87	0.44	0.53	0.48
1956	0.61	0.26	0.33	0.36
1957	0.96	0.58	0.66	0.82
1958	0.71	0.58	0.64	0.6
1959	0.54	0.3	0.33	0.25
1960	1.02	0.34	0.5	0.37
1961	1.01	0.41	0.5	0.43
1962	0.92	0.36	0.46	0.43
1963	1.06	0.37	0.55	0.5
1964	0.86	0.25	0.45	0.37
1965	1.14	0.61	0.73	0.61
1966	0.9	0.43	0.51	0.58
1967	0.92	0.23	0.31	0.48
1968	0.88	0.35	0.48	0.81
1969	0.76	0.29	0.32	0.79
1970	0.92	0.19	0.3	0.68
1971	0.85	0.27	0.35	0.63
1972	0.95	0.23	0.32	0.67
1973	1.09	0.47	0.53	0.9
1974	0.99	0.29	0.37	0.77
1975	1.24	0.52	0.64	1.23
1976	1.01	0.14	0.22	0.75
1977	0.85	0.12	0.15	0.53
1978	0.9	0.45	0.48	1.05
