# Black - Carlton - PSME - ITRDB OR120
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38223
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38223.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or120-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or120.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or120.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Carlton - PSME - ITRDB OR120
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Carlton
#   Location: Oregon
#   Northernmost_Latitude: 45.321
#   Southernmost_Latitude: 45.321
#   Easternmost_Longitude: -123.442
#   Westernmost_Longitude: -123.442
#   Elevation_m: 540
#--------------------
# Data_Collection
#   Collection_Name: OR120
#   First_Year: 1563
#   Last_Year: 1844
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CRL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CRL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CRL17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CRL17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CRL05A_raw	CRL05B_raw	CRL17A_raw	CRL17B_raw
1688	1.46	1.32	1.2	1.27
1689	1.76	1.57	1.4	1.45
1690	1.87	1.73	1.52	1.47
1691	1.74	1.88	1.37	1.43
1692	1.97	2.05	2.14	2.13
1693	1.79	2.05	1.52	1.53
1694	1.91	2.24	1.28	1.28
1695	1.81	1.68	1.18	1.16
1696	1.59	1.53	1.03	1.1
1697	1.8	1.78	1.18	1.2
1698	1.49	1.44	0.91	0.94
1699	1.31	1.34	1.02	1.02
1700	1.54	1.25	1.23	1.08
1701	1.32	1.06	1.26	1.85
1702	1.6	1.27	1.05	1.22
1703	1.27	1.39	1.01	1.03
1704	1.32	1.41	1.06	1.22
1705	1.6	1.6	1.24	1.37
1706	1.13	1.27	0.96	1.17
1707	1.08	1	1.11	1.25
1708	0.98	0.98	1.35	1.38
1709	1	0.92	1.39	1.66
1710	1.07	1.07	1.36	1.3
1711	1.14	1.02	1.41	1.14
1712	0.94	0.91	1.73	1.54
1713	0.84	0.87	1.4	1.06
1714	0.95	1	1.85	1.71
1715	0.68	0.68	1.86	1.91
1716	1.01	1.02	1.88	1.6
1717	1.21	1.06	1.08	0.95
1718	1.01	1	0.96	0.94
1719	1.33	1.32	1.12	1.17
1720	1.39	1.33	1.53	1.36
1721	1.1	1.1	1.27	1.29
1722	0.94	0.87	1.13	1.08
1723	1.02	0.97	1.13	1.12
1724	1.66	1.6	1.19	1.1
1725	1.27	1.13	1.17	1.02
1726	1.17	1.13	1.3	1.15
1727	1.86	1.76	1.07	0.93
1728	1.61	1.59	0.68	0.64
1729	1.63	1.58	1.08	1.06
1730	0.98	0.99	0.96	0.9
1731	1.4	1.5	1.37	1.51
1732	1.44	1.5	1.35	1.36
1733	1.57	1.71	1.54	1.67
1734	1.2	1.25	1.24	1.58
1735	1.68	1.57	1.28	1.6
1736	1.57	1.46	1.2	1.43
1737	1.26	1.31	0.93	1.32
1738	2.27	2.39	2.5	2.47
1739	0.05	0.04	0.61	0.55
1740	0.49	0.57	0.8	0.79
1741	0.68	0.65	0.75	0.72
1742	0.89	0.86	0.99	0.97
1743	0.91	0.94	0.96	0.95
1744	0.77	0.79	0.75	0.78
1745	0.81	0.87	0.89	0.86
1746	0.94	0.98	0.9	0.91
1747	0.82	0.86	1.15	1.15
1748	0.67	0.65	1.06	1.04
1749	0.83	0.84	1.18	1.21
1750	0.44	0.39	1.39	1.46
1751	0.25	0.26	1.06	1.04
1752	0.28	0.26	1.35	1.39
1753	0.45	0.45	1.48	1.44
1754	0.53	0.39	1	1
1755	0.68	0.52	0.99	0.99
1756	0.64	0.49	0.9	0.92
1757	0.87	0.73	0.96	1.01
1758	0.93	0.73	0.82	0.81
1759	0.73	0.58	0.87	0.88
1760	0.72	0.6	1.01	1.03
1761	1	0.78	1.26	1.31
1762	0.73	0.61	0.98	0.97
1763	0.76	0.7	1.08	1.09
1764	0.77	0.75	0.79	0.78
1765	0.82	0.7	0.67	0.56
1766	0.82	0.8	0.69	0.72
1767	0.62	0.69	0.68	0.7
1768	0.36	0.47	0.41	0.43
1769	0.46	0.54	0.29	NA
1770	0.54	0.63	NA	NA
1771	1.02	0.92	NA	NA
1772	2.29	1.44	NA	NA
1773	2.46	1.87	NA	NA
1774	1.46	1.26	NA	NA
1775	1.31	1.04	NA	NA
1776	1.34	1.25	NA	NA
1777	1.22	1.26	NA	NA
1778	1.41	1.2	NA	NA
1779	0.91	0.99	NA	NA
1780	1.14	1.12	NA	NA
1781	1.21	1.16	NA	NA
1782	0.99	1.05	NA	NA
1783	1.68	1.65	NA	NA
1784	1.21	1.25	NA	NA
1785	2.09	2.02	NA	NA
1786	2.06	2.05	NA	NA
1787	1.6	1.41	NA	NA
1788	1.85	1.87	NA	NA
1789	1.35	1.29	NA	NA
1790	1.27	1.21	NA	NA
1791	1.18	1.29	NA	NA
1792	1.15	1.5	NA	NA
1793	1.4	1.78	NA	NA
1794	1.26	1.64	NA	NA
1795	1.07	1.27	NA	NA
1796	1.11	1.07	NA	NA
1797	0.67	0.84	NA	NA
1798	0.85	0.89	NA	NA
1799	0.65	0.65	NA	NA
1800	0.87	0.89	NA	NA
1801	0.91	0.9	NA	NA
1802	1.12	1.15	NA	NA
1803	1.3	1.28	NA	NA
1804	1.27	1.26	NA	NA
1805	1.05	1.07	NA	NA
1806	0.81	0.83	NA	NA
1807	0.8	0.82	NA	NA
1808	0.82	0.83	NA	NA
1809	1.22	1.19	NA	NA
1810	0.94	0.89	NA	NA
1811	0.98	0.83	NA	NA
1812	0.82	0.7	NA	NA
1813	0.89	0.69	NA	NA
1814	0.9	1.02	NA	NA
1815	0.86	0.92	NA	NA
1816	0.92	0.89	NA	NA
1817	0.58	0.84	NA	NA
1818	0.74	0.86	NA	NA
1819	0.9	1	NA	NA
1820	0.79	0.87	NA	NA
1821	0.63	0.68	NA	NA
1822	0.62	0.67	NA	NA
1823	0.52	0.55	NA	NA
1824	0.74	0.73	NA	NA
1825	0.81	0.74	NA	NA
1826	0.54	0.51	NA	NA
1827	0.56	0.57	NA	NA
1828	1	0.78	NA	NA
1829	1.55	1.17	NA	NA
1830	1.05	0.74	NA	NA
1831	1.42	1.22	NA	NA
1832	1.34	1.09	NA	NA
1833	1.24	1.01	NA	NA
1834	1.03	1.05	NA	NA
1835	1.62	1.44	NA	NA
1836	1.51	1.43	NA	NA
1837	1.79	1.79	NA	NA
1838	1.91	1.72	NA	NA
1839	1.64	1.44	NA	NA
1840	1.07	0.98	NA	NA
1841	1.11	1.03	NA	NA
1842	1.19	NA	NA	NA
1843	0.8	NA	NA	NA
1844	0.96	NA	NA	NA
