# Speer - LB Point - PILO - ITRDB CA690
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27075
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27075.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca690-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ca690-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca690.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ca690.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-06-09
#--------------------
# File_Last_Modified_Date
#   Date: 2019-06-09
#--------------------
# Title
#   Study_Name: Speer - LB Point - PILO - ITRDB CA690
#--------------------
# Investigators
#   Investigators: Speer, J.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collected during the 2010 North American Dendroecological Fieldweek (NADEF), ecology group. NOAA Template Raw Measurements file added 2019-08-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: LB Point
#   Location: California
#   Northernmost_Latitude: 37.2942
#   Southernmost_Latitude: 37.2942
#   Easternmost_Longitude: -118.1057
#   Westernmost_Longitude: -118.1057
#   Elevation_m: 3230
#--------------------
# Data_Collection
#   Collection_Name: CA690
#   First_Year: 1284
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva
#   Common_Name: Intermountain bristlecone pine
#   Tree_Species_Code: PILO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LB304A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB304A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB250A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB250A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB333A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB333A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB335A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB335A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB294A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB294A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB214A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB214A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB222B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB222B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB258A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB258A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB302A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB302A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LB304A_raw	LB250A_raw	LB333A_raw	LB335A_raw	LB294A_raw	LB214A_raw	LB222B_raw	LB258A_raw	LB302A_raw
1363	NA	NA	NA	NA	0.265	0.18	NA	NA	NA
1364	NA	NA	NA	NA	0.47	0.245	NA	NA	NA
1365	NA	NA	NA	NA	0.47	0.315	NA	NA	NA
1366	NA	NA	NA	NA	0.41	0.37	NA	NA	NA
1367	NA	NA	NA	NA	0.495	0.39	NA	NA	NA
1368	NA	NA	NA	NA	0.52	0.38	NA	NA	NA
1369	NA	NA	NA	NA	0.47	0.335	NA	NA	NA
1370	NA	NA	NA	NA	0.525	0.415	NA	NA	NA
1371	NA	NA	NA	NA	0.46	0.57	NA	NA	NA
1372	NA	NA	NA	NA	0.425	0.34	NA	NA	NA
1373	NA	NA	NA	NA	0.465	0.43	NA	NA	NA
1374	NA	NA	NA	NA	0.41	0.45	NA	NA	NA
1375	NA	NA	NA	NA	0.49	0.515	NA	NA	NA
1376	NA	NA	NA	NA	0.45	0.35	NA	NA	NA
1377	NA	NA	NA	NA	0.425	0.47	NA	NA	NA
1378	NA	NA	NA	NA	0.04	0.235	NA	NA	NA
1379	NA	NA	NA	NA	0.365	0.405	NA	NA	NA
1380	NA	NA	NA	NA	0.28	0.38	NA	NA	NA
1381	NA	NA	NA	NA	0.335	0.3	NA	NA	NA
1382	NA	NA	NA	NA	0.365	0.25	NA	NA	NA
1383	NA	NA	NA	NA	0.465	0.425	NA	NA	NA
1384	NA	NA	NA	NA	0.505	0.505	NA	NA	NA
1385	NA	NA	NA	NA	0.53	0.495	NA	NA	NA
1386	NA	NA	NA	NA	0.505	0.515	NA	NA	NA
1387	NA	NA	NA	NA	0.51	0.5	NA	NA	NA
1388	NA	NA	NA	NA	0.46	0.465	NA	NA	NA
1389	NA	NA	NA	NA	0.645	0.575	NA	NA	NA
1390	NA	NA	NA	NA	0.6	0.45	NA	NA	NA
1391	NA	NA	NA	NA	0.445	0.51	NA	NA	NA
1392	NA	NA	NA	NA	0.6	0.56	NA	NA	NA
1393	NA	NA	NA	NA	0.71	0.74	NA	NA	NA
1394	NA	NA	NA	NA	0.605	0.475	NA	NA	NA
1395	NA	NA	NA	NA	0.735	0.77	NA	NA	NA
1396	NA	NA	NA	NA	0.805	0.755	NA	NA	NA
1397	NA	NA	NA	NA	0.525	0.355	NA	NA	NA
1398	NA	NA	NA	NA	0.645	0.42	NA	NA	NA
1399	NA	NA	NA	NA	0.575	0.44	NA	NA	NA
1400	NA	NA	NA	NA	0.605	0.43	NA	NA	NA
1401	NA	NA	NA	NA	0.685	0.33	NA	NA	NA
1402	NA	NA	NA	NA	0.42	0.3	NA	NA	NA
1403	NA	NA	NA	NA	0.79	0.515	NA	NA	NA
1404	NA	NA	NA	NA	0.435	0.25	NA	NA	NA
1405	NA	NA	NA	NA	0.62	0.325	NA	NA	NA
1406	NA	NA	NA	NA	0.85	0.3	NA	NA	NA
1407	NA	NA	NA	NA	0.68	0.48	NA	NA	NA
1408	NA	NA	NA	NA	0.61	0.235	NA	NA	NA
1409	NA	NA	NA	NA	0.58	0.345	NA	NA	NA
1410	NA	NA	NA	NA	0.645	0.32	NA	NA	NA
1411	NA	NA	NA	NA	0.54	0.27	NA	NA	NA
1412	NA	NA	NA	NA	0.52	0.38	NA	NA	NA
1413	NA	NA	NA	NA	0.77	0.335	NA	NA	NA
1414	NA	NA	NA	NA	0.57	0.235	NA	NA	NA
1415	NA	NA	NA	NA	0.545	0.205	NA	NA	NA
1416	NA	NA	NA	NA	0.71	0.23	NA	NA	NA
1417	NA	NA	NA	NA	0.69	0.325	NA	NA	NA
1418	NA	NA	NA	NA	0.735	0.33	NA	NA	NA
1419	NA	NA	NA	NA	0.72	0.425	NA	NA	NA
1420	NA	NA	NA	NA	0.895	0.475	NA	NA	NA
1421	NA	NA	NA	NA	0.97	0.49	NA	NA	NA
1422	NA	NA	NA	NA	0.815	0.325	NA	NA	NA
1423	NA	NA	NA	NA	0.685	0.465	NA	NA	NA
1424	NA	NA	NA	NA	0.955	0.575	NA	NA	NA
1425	NA	NA	NA	NA	0.85	0.48	NA	NA	NA
1426	NA	NA	NA	NA	0.64	0.315	NA	NA	NA
1427	NA	NA	NA	NA	0.395	0.2	NA	NA	NA
1428	NA	NA	NA	NA	0.555	0.355	NA	NA	NA
1429	NA	NA	NA	NA	0.715	0.585	NA	NA	NA
1430	NA	NA	NA	NA	0.745	0.425	NA	NA	NA
1431	NA	NA	NA	NA	0.56	0.38	NA	NA	NA
1432	NA	NA	NA	NA	0.485	0.17	NA	NA	NA
1433	NA	NA	NA	NA	0.7	0.275	NA	NA	NA
1434	NA	NA	NA	NA	0.635	0.36	NA	NA	NA
1435	NA	NA	NA	NA	0.32	0.215	NA	NA	NA
1436	NA	NA	NA	NA	0.64	0.345	NA	NA	NA
1437	NA	NA	NA	NA	0.66	0.35	NA	NA	NA
1438	NA	NA	NA	NA	0.605	0.245	NA	NA	NA
1439	NA	NA	NA	NA	0.515	0.125	NA	NA	NA
1440	NA	NA	NA	NA	0.6	0.185	NA	NA	NA
1441	NA	NA	NA	NA	0.635	0.32	NA	NA	NA
1442	NA	NA	NA	NA	0.535	0.195	NA	NA	NA
1443	NA	NA	NA	NA	0.49	0.135	NA	NA	NA
1444	NA	NA	NA	NA	0.505	0.215	NA	NA	NA
1445	NA	NA	NA	NA	0.4	0.18	NA	NA	NA
1446	NA	NA	NA	NA	0.385	0.17	NA	NA	NA
1447	NA	NA	NA	NA	0.33	0.18	0.45	NA	NA
1448	NA	NA	NA	NA	0.29	0.17	0.6	NA	NA
1449	NA	NA	NA	NA	0.21	0.13	0.36	NA	NA
1450	NA	NA	NA	NA	0.26	0.17	0.43	NA	NA
1451	NA	NA	NA	NA	0.05	0.085	0.45	NA	NA
1452	NA	NA	NA	NA	0.185	0.235	0.85	NA	NA
1453	NA	NA	NA	NA	0.175	0.195	0.455	NA	NA
1454	NA	NA	NA	NA	0.205	0.27	0.655	NA	NA
1455	NA	NA	NA	NA	0.17	0.325	0.725	NA	NA
1456	NA	NA	NA	NA	0.225	0.185	0.54	NA	NA
1457	NA	NA	NA	NA	0.075	0.1	0.56	NA	NA
1458	NA	NA	NA	NA	0.055	0.425	0.27	NA	NA
1459	NA	NA	NA	NA	0.16	0.27	0.445	NA	NA
1460	NA	NA	NA	NA	0.145	0.16	0.685	NA	NA
1461	NA	NA	NA	NA	0.085	0.23	0.63	NA	NA
1462	NA	NA	NA	NA	0.155	0.38	0.71	NA	NA
1463	NA	NA	NA	NA	0.245	0.315	0.475	NA	NA
1464	NA	NA	NA	NA	0.23	0.325	0.725	NA	NA
1465	NA	NA	NA	NA	0.135	0.19	0.655	NA	NA
1466	NA	NA	NA	NA	0.13	0.215	0.575	NA	NA
1467	NA	NA	NA	NA	0.22	0.185	0.565	NA	NA
1468	NA	NA	NA	NA	0.245	0.31	0.465	NA	NA
1469	NA	NA	NA	NA	0.13	0.16	0.515	NA	NA
1470	NA	NA	NA	NA	0.23	0.355	0.7	NA	NA
1471	NA	NA	NA	NA	0.41	0.4	0.965	NA	NA
1472	NA	NA	NA	NA	0.175	0.32	0.83	NA	NA
1473	NA	NA	NA	NA	0.365	0.365	0.705	NA	NA
1474	NA	NA	NA	NA	0.14	0.315	0.835	NA	NA
1475	NA	NA	NA	NA	0.25	0.26	0.745	NA	NA
1476	NA	NA	NA	NA	0.22	0.24	0.365	NA	NA
1477	NA	NA	NA	NA	0.3	0.525	0.52	NA	NA
1478	NA	NA	NA	NA	0.285	0.34	0.65	NA	NA
1479	NA	NA	NA	NA	0.265	0.37	0.715	NA	NA
1480	NA	NA	NA	NA	0.085	0.25	0.52	NA	NA
1481	NA	NA	NA	NA	0.11	0.435	0.585	NA	NA
1482	NA	NA	NA	NA	0.26	0.305	0.84	NA	NA
1483	NA	NA	NA	NA	0.09	0.34	0.42	NA	NA
1484	NA	NA	NA	NA	0.23	0.31	0.555	NA	NA
1485	NA	NA	NA	NA	0.355	0.53	0.86	NA	NA
1486	NA	NA	NA	NA	0.315	0.43	0.595	NA	NA
1487	NA	NA	NA	NA	0.47	0.54	1.13	NA	NA
1488	NA	NA	NA	NA	0.465	0.55	0.78	NA	NA
1489	NA	NA	NA	NA	0.525	0.435	0.765	NA	NA
1490	NA	NA	NA	NA	0.61	0.43	0.68	NA	NA
1491	NA	NA	NA	NA	0.59	0.39	0.375	NA	NA
1492	NA	NA	NA	NA	0.38	0.34	0.68	NA	NA
1493	NA	NA	NA	NA	0.25	0.185	0.7	NA	NA
1494	NA	NA	NA	NA	0.395	0.265	0.59	NA	NA
1495	NA	NA	NA	NA	0.565	0.55	1.115	NA	NA
1496	NA	NA	NA	NA	0.385	0.24	0.59	NA	NA
1497	NA	NA	NA	NA	0.46	0.345	0.8	NA	NA
1498	NA	NA	NA	NA	0.055	0.27	0.465	NA	NA
1499	NA	NA	NA	NA	0.39	0.295	0.635	NA	NA
1500	NA	NA	NA	NA	0.37	0.32	0.585	NA	NA
1501	NA	NA	NA	NA	0.125	0.215	0.38	NA	NA
1502	NA	NA	NA	NA	0.355	0.315	0.725	NA	NA
1503	NA	NA	NA	NA	0.37	0.375	0.64	NA	NA
1504	NA	NA	NA	NA	0.45	0.445	0.68	NA	NA
1505	NA	NA	NA	NA	0.45	0.52	0.945	NA	NA
1506	NA	NA	NA	NA	0.32	0.27	0.435	NA	NA
1507	NA	NA	NA	NA	0.345	0.365	0.65	NA	NA
1508	NA	NA	NA	NA	0.37	0.315	0.54	NA	NA
1509	NA	NA	NA	NA	0.25	0.205	0.49	NA	NA
1510	NA	NA	NA	NA	0.535	0.4	0.745	NA	NA
1511	NA	NA	NA	NA	0.47	0.535	0.83	NA	NA
1512	NA	NA	NA	NA	0.475	0.4	0.65	NA	NA
1513	NA	NA	NA	NA	0.39	0.43	0.695	NA	NA
1514	NA	NA	NA	NA	0.455	0.415	0.805	NA	NA
1515	NA	NA	NA	NA	0.525	0.3	0.775	NA	NA
1516	NA	NA	NA	NA	0.22	0.28	0.43	NA	NA
1517	NA	NA	NA	NA	0.505	0.485	1.015	NA	NA
1518	NA	NA	NA	NA	0.59	0.415	0.86	NA	NA
1519	NA	NA	NA	NA	0.625	0.39	0.61	NA	NA
1520	NA	NA	NA	NA	0.425	0.475	0.955	NA	NA
1521	NA	NA	NA	NA	0.725	0.495	0.875	NA	NA
1522	NA	NA	NA	NA	0.675	0.415	0.59	NA	NA
1523	NA	NA	NA	NA	0.375	0.33	0.63	NA	NA
1524	NA	NA	NA	NA	0.2	0.185	0.35	NA	NA
1525	NA	NA	NA	NA	0.45	0.24	0.45	NA	NA
1526	NA	NA	NA	NA	0.465	0.395	0.45	NA	NA
1527	NA	NA	NA	NA	0.38	0.35	0.585	NA	NA
1528	NA	NA	NA	NA	0.48	0.425	0.87	NA	NA
1529	NA	NA	NA	NA	0.505	0.3	0.595	NA	NA
1530	NA	NA	NA	NA	0.565	0.455	0.825	NA	NA
1531	NA	NA	NA	NA	0.47	0.405	0.59	NA	NA
1532	NA	NA	NA	NA	0.665	0.28	0.725	NA	NA
1533	NA	NA	NA	NA	0.48	0.295	0.605	NA	NA
1534	NA	NA	NA	NA	0.525	0.25	0.505	NA	NA
1535	NA	NA	NA	NA	0.66	0.37	0.99	NA	NA
1536	NA	NA	NA	NA	0.66	0.29	0.94	NA	NA
1537	NA	NA	NA	NA	0.39	0.37	0.96	NA	NA
1538	NA	NA	NA	NA	0.655	0.305	0.68	NA	NA
1539	NA	NA	NA	NA	0.34	0.235	0.695	NA	NA
1540	NA	NA	NA	NA	0.85	0.42	1.275	NA	NA
1541	NA	NA	NA	NA	0.515	0.25	0.65	NA	NA
1542	NA	NA	NA	NA	0.3	0.235	0.65	NA	NA
1543	NA	NA	NA	NA	0.095	0.16	0.6	NA	NA
1544	NA	NA	NA	NA	0.365	0.31	0.72	NA	NA
1545	NA	NA	NA	NA	0.215	0.215	0.8	NA	NA
1546	NA	NA	NA	NA	0.115	0.295	0.74	NA	NA
1547	NA	NA	NA	NA	0.2	0.345	0.94	NA	NA
1548	NA	NA	NA	NA	0.14	0.19	0.75	NA	NA
1549	NA	NA	NA	NA	0.095	0.225	0.64	NA	NA
1550	NA	NA	NA	NA	0.17	0.33	0.915	NA	NA
1551	NA	NA	NA	NA	0.3	0.295	0.685	NA	NA
1552	NA	NA	NA	NA	0.3	0.25	0.735	NA	NA
1553	NA	NA	NA	NA	0.245	0.19	0.685	NA	NA
1554	NA	NA	NA	NA	0.285	0.295	0.735	NA	NA
1555	NA	NA	NA	NA	0.34	0.325	0.92	NA	NA
1556	NA	NA	NA	NA	0.31	0.32	0.9	NA	NA
1557	NA	NA	NA	NA	0.415	0.335	0.96	NA	NA
1558	NA	NA	NA	NA	0.345	0.375	0.97	NA	NA
