# Kaiser - Yakutat Outer Terminal Moraine - PCSI - ITRDB AK142
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16480
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16480.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak142-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak142-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak142.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak142.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Outer Terminal Moraine - PCSI - ITRDB AK142
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Outer Terminal Moraine
#   Location: Alaska
#   Northernmost_Latitude: 59.5525
#   Southernmost_Latitude: 59.5525
#   Easternmost_Longitude: -139.2894
#   Westernmost_Longitude: -139.2894
#   Elevation_m: 60
#--------------------
# Data_Collection
#   Collection_Name: AK142
#   First_Year: 1522
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OTMO0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0060_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0060; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMOC100_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMOC100; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OTMO0010_raw	OTMO0020_raw	OTMO0050_raw	OTMO0060_raw	OTMOC100_raw
1638	NA	NA	NA	NA	0.69
1639	NA	NA	NA	NA	0.51
1640	NA	NA	NA	NA	0.66
1641	NA	NA	NA	NA	0.63
1642	NA	NA	NA	NA	0.67
1643	NA	NA	NA	NA	0.48
1644	NA	NA	NA	NA	0.49
1645	NA	NA	NA	NA	0.49
1646	NA	NA	NA	NA	0.53
1647	NA	NA	NA	NA	0.52
1648	NA	NA	NA	NA	0.56
1649	NA	NA	NA	NA	0.57
1650	NA	NA	NA	NA	0.64
1651	NA	NA	NA	NA	0.65
1652	NA	NA	NA	NA	0.52
1653	NA	NA	NA	NA	0.49
1654	NA	NA	NA	NA	0.49
1655	NA	NA	NA	NA	0.65
1656	NA	NA	NA	NA	0.63
1657	NA	NA	NA	NA	0.6
1658	NA	NA	NA	NA	0.49
1659	NA	NA	NA	NA	0.43
1660	NA	NA	NA	NA	0.34
1661	NA	NA	NA	NA	0.36
1662	NA	NA	NA	NA	0.31
1663	NA	NA	NA	NA	0.33
1664	NA	NA	NA	NA	0.3
1665	NA	NA	NA	NA	0.28
1666	NA	NA	NA	NA	0.36
1667	NA	NA	NA	NA	0.39
1668	NA	NA	NA	NA	0.36
1669	NA	NA	NA	NA	0.38
1670	NA	NA	NA	NA	0.41
1671	NA	NA	NA	NA	0.44
1672	NA	NA	NA	NA	0.35
1673	NA	NA	NA	NA	0.4
1674	NA	NA	NA	NA	0.38
1675	NA	NA	NA	NA	0.5
1676	NA	NA	NA	NA	0.42
1677	NA	NA	NA	NA	0.46
1678	NA	NA	NA	NA	0.55
1679	NA	NA	NA	NA	0.23
1680	NA	NA	NA	NA	0.39
1681	NA	NA	NA	NA	0.53
1682	NA	NA	NA	NA	0.54
1683	NA	NA	NA	NA	0.62
1684	NA	NA	NA	NA	0.6
1685	NA	NA	NA	NA	0.63
1686	NA	NA	NA	NA	0.51
1687	NA	NA	NA	NA	0.46
1688	NA	NA	NA	NA	0.47
1689	NA	NA	NA	NA	0.49
1690	NA	NA	NA	NA	0.38
1691	NA	NA	NA	NA	0.44
1692	NA	NA	NA	NA	0.56
1693	NA	NA	NA	NA	0.64
1694	NA	NA	NA	NA	0.88
1695	NA	NA	NA	NA	0.76
1696	NA	NA	NA	NA	0.57
1697	NA	NA	NA	NA	0.4
1698	NA	NA	NA	NA	0.27
1699	NA	NA	NA	NA	0.41
1700	NA	NA	NA	NA	0.57
1701	NA	NA	NA	NA	0.81
1702	NA	NA	NA	NA	0.8
1703	NA	NA	NA	NA	0.7
1704	NA	NA	NA	NA	0.8
1705	NA	NA	NA	NA	0.83
1706	NA	NA	NA	NA	0.76
1707	NA	NA	NA	NA	0.96
1708	NA	NA	NA	NA	0.83
1709	NA	NA	NA	NA	0.83
1710	NA	NA	NA	NA	0.79
1711	NA	NA	NA	NA	0.63
1712	NA	NA	NA	NA	0.86
1713	1.55	NA	NA	NA	1.1
1714	1.43	NA	NA	NA	0.93
1715	1.66	NA	NA	NA	0.98
1716	1.69	NA	NA	NA	0.88
1717	1.86	NA	NA	NA	0.83
1718	1.99	NA	NA	NA	0.99
1719	2.53	NA	NA	NA	1.15
1720	2.44	NA	NA	NA	1.11
1721	2.61	NA	NA	NA	1.16
1722	2.41	NA	NA	NA	1.08
1723	2.61	NA	NA	NA	1.19
1724	2.46	NA	NA	NA	1.19
1725	2.26	NA	NA	NA	1.15
1726	1.61	NA	NA	NA	1.05
1727	1.75	NA	NA	NA	1.06
1728	1.31	NA	NA	NA	0.98
1729	1.72	NA	NA	NA	1
1730	1.9	NA	NA	NA	0.98
1731	2.09	NA	NA	NA	1.07
1732	2	NA	NA	NA	1.06
1733	2.14	NA	NA	NA	1.01
1734	1.9	NA	NA	NA	0.92
1735	1.93	NA	NA	NA	0.98
1736	1.85	NA	NA	NA	0.92
1737	2.04	NA	NA	NA	1.07
1738	1.52	NA	NA	NA	0.84
1739	2.59	NA	NA	NA	1.23
1740	1.87	NA	NA	0.45	0.88
1741	1.71	NA	NA	0.92	0.71
1742	1.68	NA	NA	0.45	0.75
1743	1.88	NA	NA	0.4	0.88
1744	1.41	NA	NA	0.19	0.75
1745	1.65	NA	NA	0.61	0.87
1746	1.81	NA	NA	0.84	0.96
1747	2.2	NA	NA	1.12	1.02
1748	2.31	NA	NA	1.99	1.29
1749	2.64	NA	NA	3.83	1.4
1750	2.84	NA	NA	2.07	1.7
1751	2.1	NA	NA	1.55	1.34
1752	1.99	NA	NA	1.42	1.09
1753	1.86	NA	NA	1.02	1.01
1754	1.36	NA	NA	1.75	0.69
1755	1.19	1.76	NA	2.53	0.74
1756	1.72	1.15	NA	1.53	0.87
1757	1.83	0.89	NA	1.83	0.98
1758	2.14	0.72	NA	1.6	1.28
1759	2.27	0.74	NA	1.55	1.37
1760	2.39	0.93	NA	1.42	1.26
1761	2.04	0.92	NA	1.59	1.22
1762	2.36	0.99	NA	1.7	1.48
1763	2.45	0.79	NA	1.76	1.56
1764	1.88	0.91	NA	1.54	1.19
1765	2.84	0.62	NA	2.51	1.5
1766	2.02	1.24	NA	1.82	1.18
1767	2.03	1.24	NA	1.42	1.22
1768	1.53	1.1	NA	1.4	0.91
1769	1.67	0.5	NA	1.34	1.04
1770	1.95	0.82	NA	1.31	1.16
1771	2.02	0.45	NA	2.38	1.26
1772	1.72	0.44	NA	2.26	1.17
1773	2.04	0.37	NA	2.18	1.1
1774	2.26	0.34	NA	2.29	1.06
1775	1.77	0.32	NA	1.75	1
1776	1.95	0.34	NA	2.19	0.96
1777	2.03	0.33	NA	2	1.09
1778	1.76	0.37	NA	1.61	1.06
1779	1.5	0.34	NA	1.19	1.01
1780	1.71	0.73	NA	1.18	1.22
1781	1.28	0.5	NA	1.03	1.07
1782	1.61	0.29	NA	1.46	1.13
1783	1.5	0.23	NA	1.91	1.2
1784	1.47	0.11	2.72	2.52	1.37
1785	1.49	0.12	1.89	2.26	1.13
1786	1.39	0.08	1.81	2.11	1.1
1787	1.13	0.14	1.77	1.79	0.97
1788	1.57	0.14	1.94	1.86	1.18
1789	1.38	0.16	1.74	1.61	1.14
1790	1.49	0.15	1.74	2	1.03
1791	1.26	0.14	1.83	1.82	1.04
1792	1.39	0.08	1.97	2.32	1.18
1793	1.1	0.08	1.43	2.21	1.05
1794	1.17	0.12	1.76	1.85	1.11
1795	1.53	0.2	1.92	2.38	1.25
1796	1.4	0.22	1.86	2.14	1.08
1797	1.46	0.2	1.59	2.41	0.99
1798	1.11	0.18	1.22	2.19	0.75
1799	0.91	0.11	1.4	2.47	0.74
1800	0.84	0.14	1.71	2.69	0.75
1801	1.17	0.1	1.83	2.53	0.87
1802	1.29	0.08	1.75	2.39	0.95
1803	1.3	0.12	1.93	2.55	1.01
1804	1.25	0.17	1.75	1.86	1.09
1805	1.34	0.21	2.19	1.75	1.16
1806	1.29	0.23	1.68	1.91	0.92
1807	1.23	0.25	1.85	1.75	1.06
1808	0.87	0.36	2.06	1.55	0.91
1809	0.77	0.36	2.06	1.26	0.87
1810	0.58	0.27	1.68	0.96	0.65
1811	0.56	0.2	1.15	0.68	0.52
1812	0.39	0.12	0.9	0.56	0.46
1813	0.43	0.05	0.96	0.53	0.5
1814	0.62	0.08	1.38	0.67	0.77
1815	0.97	0.15	1.99	1.02	0.98
1816	0.84	0.05	1.39	0.87	0.78
1817	0.89	0.04	1.39	0.8	0.75
1818	0.61	0.05	1.36	0.68	0.68
1819	0.95	0.06	1.6	0.92	0.83
1820	1.15	0.05	1.89	0.93	0.91
1821	1.11	0.08	1.59	1.04	0.83
1822	0.94	0.07	1.5	0.99	0.82
1823	1.1	0.07	1.5	1.26	0.78
1824	1.04	0.07	1.5	1.25	0.79
1825	0.92	0.08	1.07	1.09	0.8
1826	0.69	0.06	1.05	1.03	0.64
1827	0.66	0.14	1.18	0.99	0.69
1828	0.85	0.21	1.5	1	0.91
1829	0.9	0.17	1.55	1.03	0.89
1830	1.21	0.22	1.54	1.25	0.78
1831	0.86	0.26	1.4	0.98	0.64
1832	0.94	0.25	1.35	1.26	0.69
1833	0.82	0.24	1.27	0.92	0.78
1834	0.7	0.17	0.94	0.72	0.69
1835	0.63	0.23	0.86	0.82	0.63
1836	0.73	0.29	0.98	0.75	0.61
1837	0.65	0.18	0.82	0.67	0.57
1838	0.79	0.14	0.77	0.61	0.6
1839	0.65	0.08	0.62	0.47	0.52
1840	0.58	0.11	0.56	0.43	0.59
1841	0.74	0.19	0.74	0.47	0.7
1842	0.88	0.32	0.9	0.69	0.65
1843	1.1	0.36	1.09	0.66	0.8
1844	1.1	0.31	1.21	0.72	0.84
1845	0.91	0.22	1.02	0.53	0.77
1846	0.64	0.27	1.03	0.52	0.71
1847	0.73	0.27	0.84	0.45	0.69
1848	0.81	0.24	0.96	0.45	0.78
1849	0.72	0.23	0.77	0.35	0.63
1850	0.62	0.19	0.68	0.28	0.49
1851	0.73	0.17	0.84	0.34	0.55
1852	0.63	0.18	0.81	0.28	0.54
1853	0.73	0.27	0.9	0.29	0.55
1854	0.52	0.23	0.65	0.14	0.43
1855	0.68	0.23	0.68	0.29	0.48
1856	0.56	0.17	0.56	0.25	0.5
1857	0.5	0.28	0.5	0.36	0.54
1858	0.56	0.45	0.68	0.5	0.56
1859	0.66	0.86	0.7	0.37	0.51
1860	0.87	1.34	0.98	0.46	0.63
1861	1.03	1.09	1.01	0.55	0.73
1862	0.85	0.66	0.78	0.42	0.57
1863	0.81	0.9	0.96	0.59	0.58
1864	1.05	1.3	0.93	0.65	0.68
1865	1.04	1.37	1.1	0.57	0.67
1866	1.22	1.33	1.02	0.68	0.71
1867	0.94	1.35	0.61	0.57	0.6
1868	0.87	1.31	0.8	0.77	0.68
1869	0.93	1.12	0.71	0.71	0.62
1870	1	1.37	0.78	0.64	0.61
1871	0.93	1.22	1	0.75	0.61
1872	0.66	1.47	0.83	0.55	0.57
1873	0.65	1.36	0.97	0.65	0.61
1874	0.89	1.37	0.98	0.6	0.57
1875	0.62	1.19	0.57	0.38	0.44
1876	0.14	1.23	0.25	0.12	0.18
1877	0.37	1.6	0.36	0.25	0.22
1878	0.56	1.75	0.64	0.38	0.36
1879	0.58	1.89	0.6	0.38	0.46
1880	0.65	1.57	0.62	0.42	0.49
1881	0.78	1.95	0.87	0.55	0.62
1882	0.65	1.71	0.87	0.47	0.56
1883	0.71	2.09	1.16	0.8	0.62
1884	0.54	1.86	0.93	0.72	0.56
1885	0.52	2.2	0.58	0.84	0.46
1886	0.59	1.89	0.48	0.74	0.45
1887	0.36	1.58	0.4	0.53	0.33
1888	0.52	1.65	0.52	0.67	0.46
1889	0.36	1.7	0.38	0.66	0.42
1890	0.42	1.62	0.5	0.68	0.36
1891	0.3	1.67	0.76	0.94	0.38
1892	0.56	1.95	0.83	1.14	0.51
1893	0.52	1.86	0.78	1.09	0.55
1894	0.51	1.32	0.72	0.86	0.48
1895	0.52	1.54	0.63	0.88	0.47
1896	0.56	1.33	0.66	0.81	0.48
1897	0.73	1.65	0.81	0.82	0.53
1898	0.68	1.49	0.74	0.98	0.62
1899	0.49	1.42	0.54	0.85	0.51
1900	0.54	1.4	0.48	0.88	0.56
1901	0.39	1.11	0.5	0.84	0.45
1902	0.63	1.29	0.57	0.92	0.62
1903	0.54	1.37	0.63	1.15	0.56
1904	0.34	0.96	0.45	0.73	0.36
1905	0.41	1.4	0.56	0.93	0.6
1906	0.46	1.38	0.47	0.83	0.56
1907	0.63	1.67	0.71	1.1	0.51
1908	0.82	1.38	0.85	1.07	0.56
1909	0.86	1.69	0.92	0.85	0.59
1910	0.76	1.72	0.89	0.95	0.55
1911	0.74	1.63	0.83	0.83	0.47
1912	0.73	1.82	0.62	0.88	0.41
1913	0.74	2.19	0.74	1.13	0.45
1914	0.81	2.51	0.82	1.33	0.56
1915	0.76	2.55	0.89	1.76	0.68
1916	0.59	2.52	0.85	1.11	0.57
1917	0.65	1.94	0.98	1.53	0.55
1918	0.74	1.99	0.85	1.27	0.51
1919	0.67	1.7	0.89	1.15	0.52
1920	0.9	2.02	0.97	1.49	0.62
1921	1.04	2.44	1.22	1.46	0.63
1922	0.86	2.3	0.96	1.31	0.54
1923	0.8	2.33	1.06	1.48	0.63
1924	0.65	2.16	0.76	1.32	0.65
1925	0.6	1.99	1	1.2	0.66
1926	0.5	1.51	0.83	1.19	0.62
1927	0.67	1.94	0.83	1.21	0.56
1928	0.55	2.1	0.78	1.06	0.51
1929	0.6	2.06	0.93	0.84	0.54
1930	0.65	1.96	1.15	1.01	0.57
1931	0.66	1.93	0.93	1.02	0.57
1932	0.61	2.04	0.88	0.77	0.53
1933	0.6	1.9	0.74	0.79	0.49
1934	0.49	1.85	0.6	0.63	0.4
1935	0.45	1.9	0.66	0.74	0.39
1936	0.54	2.58	0.6	0.67	0.41
1937	0.47	2.48	0.53	0.77	0.43
1938	0.37	2.12	0.54	0.74	0.4
1939	0.45	2.11	0.53	0.78	0.41
1940	0.57	2.87	0.61	0.95	0.51
1941	0.49	2.63	0.52	0.79	0.51
1942	0.64	2.77	0.61	0.99	0.6
1943	0.66	2.17	0.58	0.91	0.57
1944	0.59	1.99	0.55	0.89	0.47
1945	0.65	2.52	0.74	0.99	0.51
1946	0.67	2.75	0.86	1.02	0.54
1947	0.62	2.26	0.8	0.88	0.5
1948	0.6	2.59	0.89	1.04	0.45
1949	0.36	1.97	0.78	1.2	0.45
1950	0.36	2	0.54	1.02	0.56
1951	0.41	1.48	0.55	0.89	0.46
1952	0.36	1.64	0.56	0.82	0.47
1953	0.39	1.79	0.76	0.85	0.65
1954	0.4	2.4	0.82	0.97	0.55
1955	0.36	2.1	0.83	0.85	0.51
1956	0.33	1.79	0.88	0.69	0.45
1957	0.44	2.25	0.8	0.86	0.49
1958	0.27	2.08	0.69	0.84	0.44
1959	0.3	2.18	0.82	0.85	0.46
1960	0.31	1.97	0.83	1.05	0.46
1961	0.27	1.89	0.75	0.93	0.48
1962	0.22	1.68	0.69	0.75	0.46
1963	0.23	1.78	0.77	0.8	0.52
1964	0.24	1.8	0.69	0.81	0.43
1965	0.23	1.53	0.75	0.68	0.44
1966	0.21	1.66	0.91	0.74	0.49
1967	0.27	1.6	0.93	0.78	0.44
1968	0.24	1.61	0.85	0.81	0.45
1969	0.19	1.52	0.71	0.73	0.46
1970	0.2	1.24	0.72	0.67	0.45
1971	0.24	1.24	0.71	0.66	0.48
1972	0.2	1.36	0.47	0.48	0.36
1973	0.18	1.39	0.56	0.47	0.41
1974	0.22	1.31	0.48	0.5	0.46
1975	0.24	1.3	0.47	0.49	0.44
1976	0.28	1.36	0.47	0.48	0.48
1977	0.25	1.11	0.54	0.59	0.53
1978	0.25	1.11	0.57	0.72	0.59
