# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545t-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545t-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545t.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545t.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PN352T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN352T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN363T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN363T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN364T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN364T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN373T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN373T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PN352T_raw	PN363T_raw	PN364T_raw	PN373T_raw
1884	0.56	0.65	0.63	0.64
1885	0.65	0.66	0.64	0.64
1886	0.61	0.63	0.65	0.67
1887	0.65	0.61	0.62	0.65
1888	0.61	0.63	0.64	0.63
1889	0.55	0.59	0.61	0.62
1890	0.6	0.64	0.64	0.65
1891	0.58	0.63	0.68	0.66
1892	0.63	0.61	0.69	0.67
1893	0.62	0.64	0.68	0.66
1894	0.56	0.63	0.63	0.67
1895	0.58	0.61	0.6	0.66
1896	0.59	0.62	0.59	0.6
1897	0.57	0.64	0.6	0.64
1898	0.6	0.64	0.62	0.64
1899	0.57	0.61	0.59	0.61
1900	0.57	0.61	0.58	0.64
1901	0.6	0.61	0.61	0.61
1902	0.62	0.59	0.6	0.61
1903	0.6	0.59	0.59	0.63
1904	0.56	0.58	0.56	0.57
1905	0.58	0.64	0.63	0.66
1906	0.6	0.64	0.65	0.65
1907	0.59	0.68	0.65	0.65
1908	0.57	0.65	0.67	0.66
1909	0.59	0.62	0.62	0.64
1910	0.6	0.61	0.62	0.64
1911	0.61	0.63	0.59	0.66
1912	0.6	0.64	0.65	0.63
1913	0.58	0.58	0.56	0.57
1914	0.61	0.64	0.62	0.66
1915	0.61	0.62	0.61	0.66
1916	0.62	0.63	0.62	0.66
1917	0.6	0.64	0.58	0.64
1918	0.58	0.63	0.6	0.63
1919	0.58	0.63	0.61	0.66
1920	0.57	0.62	0.59	0.63
1921	0.58	0.59	0.61	0.65
1922	0.57	0.62	0.56	0.66
1923	0.56	0.57	0.55	0.66
1924	0.58	0.61	0.57	0.63
1925	0.6	0.61	0.56	0.64
1926	0.57	0.61	0.56	0.64
1927	0.57	0.61	0.56	0.65
1928	0.57	0.62	0.58	0.62
1929	0.56	0.61	0.56	0.63
1930	0.58	0.62	0.55	0.63
1931	0.51	0.6	0.58	0.69
1932	0.56	0.58	0.57	0.61
1933	0.57	0.58	0.55	0.59
1934	0.6	0.58	0.57	0.61
1935	0.59	0.59	0.56	0.65
1936	0.55	0.55	0.57	0.65
1937	0.59	0.57	0.57	0.65
1938	0.6	0.6	0.57	0.67
1939	0.58	0.58	0.55	0.66
1940	0.59	0.58	0.56	0.66
1941	0.58	0.59	0.56	0.64
1942	0.61	0.6	0.6	0.66
1943	0.57	0.56	0.58	0.63
1944	0.57	0.61	0.59	0.65
1945	0.58	0.6	0.56	0.64
1946	0.56	0.6	0.54	0.59
1947	0.6	0.62	0.54	0.65
1948	0.56	0.59	0.52	0.61
1949	0.59	0.62	0.6	0.61
1950	0.61	0.61	0.59	0.61
1951	0.57	0.58	0.55	0.6
1952	0.59	0.6	0.54	0.65
1953	0.61	0.62	0.58	0.63
1954	0.59	0.57	0.54	0.63
1955	0.58	0.59	0.58	0.62
1956	0.56	0.57	0.59	0.56
1957	0.57	0.59	0.57	0.59
1958	0.58	0.57	0.58	0.62
1959	0.59	0.59	0.5	0.55
1960	0.59	0.6	0.54	0.62
1961	0.61	0.57	0.56	0.59
1962	0.61	0.58	0.57	0.6
1963	0.63	0.58	0.56	0.62
1964	0.62	0.56	0.51	0.6
1965	0.61	0.58	0.58	0.61
1966	0.62	0.61	0.56	0.62
1967	0.63	0.58	0.57	0.58
1968	0.62	0.55	0.57	0.59
1969	0.6	0.58	0.49	0.6
1970	0.61	0.59	0.55	0.61
1971	0.61	0.58	0.53	0.61
1972	0.58	0.56	0.55	0.64
1973	0.61	0.6	0.58	0.64
1974	0.61	0.56	0.54	0.61
1975	0.62	0.6	0.58	0.62
1976	0.61	0.57	0.53	0.64
1977	0.6	0.56	0.53	0.6
