# Birch - Bear Lake Summit - PSME - ITRDB UT551
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35074
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35074.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut551-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ut551-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut551.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut551.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-12-07
#--------------------
# File_Last_Modified_Date
#   Date: 2021-12-07
#--------------------
# Title
#   Study_Name: Birch - Bear Lake Summit - PSME - ITRDB UT551
#--------------------
# Investigators
#   Investigators: Birch, J.D.(https://orcid.org/0000-0001-8644-7345); DeRose, R.J.(https://orcid.org/0000-0002-4849-7744); Xu, C.(https://orcid.org/0000-0001-7747-0033); Jess, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-12-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bear Lake Summit
#   Location: Utah
#   Northernmost_Latitude: 41.899
#   Southernmost_Latitude: 41.899
#   Easternmost_Longitude: -111.476
#   Westernmost_Longitude: -111.476
#   Elevation_m: 2420
#--------------------
# Data_Collection
#   Collection_Name: UT551
#   First_Year: 1840
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BLS1B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS1B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS1A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS1A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS3A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS3A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS3B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS3B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS4A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS4A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS4B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS4B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS5A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS5A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS7A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS7A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BLS1B_raw	BLS1A_raw	BLS2_raw	BLS3A_raw	BLS3B_raw	BLS4A_raw	BLS4B_raw	BLS5A_raw	BLS5B_raw	BLS7A_raw
1916	NA	NA	0.65	2.7	2.64	1.56	1.76	NA	NA	2.15
1917	NA	NA	0.87	1.69	1.59	1.55	1.59	NA	0.19	1.4
1918	NA	NA	1.15	1.97	1.33	1.2	1.75	NA	0.22	2.13
1919	NA	NA	0.89	1.9	1.46	1.57	2.38	NA	0.33	1.84
1920	NA	NA	0.89	1.31	1.29	1.49	1.41	NA	0.41	1.23
1921	NA	1.06	0.68	1.75	1.61	1.58	1.34	NA	0.63	1.32
1922	NA	1.84	0.82	1.84	1.43	1.75	1.92	NA	0.21	1.34
1923	NA	1.69	1.08	2.61	1.65	1.97	2.74	NA	0.18	1.68
1924	NA	0.6	1.07	2.36	1.51	2.07	2.18	NA	0.31	1.6
1925	NA	1.51	1.61	1.61	1.04	1.97	1.97	NA	0.24	1.63
1926	NA	1.21	1.49	1.7	1.47	1.79	1.51	NA	0.13	1.37
1927	NA	1.77	1.35	1.61	1.25	1.97	1.8	NA	0.14	1.24
1928	NA	2.09	1.84	2.01	1.66	2.34	2.32	NA	0.33	1.42
1929	NA	2.51	1.45	1.57	1.23	1.84	1.6	NA	0.5	1.11
1930	NA	2.66	1.84	2.02	1.56	2.03	2.21	NA	0.5	1.17
1931	NA	2.44	2.18	1.95	1.59	2.16	2.19	NA	0.43	1.28
1932	1.97	2.52	2.1	1.72	1.35	2.14	2.07	NA	0.64	1.21
1933	1.73	2.85	1.86	1.43	1.17	1.97	2.14	NA	0.44	1.21
1934	1.61	1.62	2.19	1.3	0.89	1.5	1.66	NA	0.44	0.89
1935	1.66	1.64	1.83	1.39	1.06	1.34	1.4	NA	0.44	0.92
1936	1.94	2.46	1.46	1.27	1.81	1.89	2.1	NA	0.48	1.11
1937	1.69	2.63	2.21	2.2	2.19	2.68	3.12	NA	1.16	1.57
1938	2.07	2.01	2.06	1.92	1.58	1.71	2.34	NA	1.78	1.18
1939	2.81	2.38	2.42	2.72	2.36	2.39	2.93	NA	1.82	1.75
1940	2.48	1.93	2.06	2.06	2.05	2.18	2.24	1.09	1.48	1.59
1941	2.26	1.85	1.73	1.88	1.54	1.7	1.91	1.14	2.6	1.23
1942	2.51	2.03	2.08	2.3	1.38	1.71	1.32	1.08	3.51	1.34
1943	1.76	2.57	2.26	2.48	2.21	2.43	2.47	1.28	2.41	1.51
1944	1.74	2.21	1.94	2.89	2.12	2.27	2.05	1.24	2.52	1.67
1945	1.96	1.87	2.3	2.32	1.67	2.15	2.1	1.62	2.39	1.18
1946	2.34	2.24	2.8	2.22	1.95	2.15	2.09	1.78	2.82	1.82
1947	1.9	2.21	3.12	3.01	2.49	2.52	2.82	2.05	3.74	2.22
1948	3.42	2	2.61	2.41	1.88	2.25	2.34	1.71	3.75	1.74
1949	2.76	2.5	2.29	2.72	2.08	2.55	2.54	1.93	3.41	1.77
1950	2.43	1.07	2.77	2.58	1.89	2.25	2.5	1.65	2.85	1.58
1951	0.99	1.34	3.12	2.88	1.89	2.28	2.82	2.39	2.82	1.47
1952	4.05	2.03	3.12	3.19	2.11	2.4	3.01	2.1	2.47	1.82
1953	5.21	1.69	2.48	2.35	1.34	1.89	1.86	1.52	1.93	1.4
1954	4.34	2	2.72	2.78	1.6	2.84	2.6	1.91	2.21	1.61
1955	4.61	1.92	1.95	1.75	1.44	2	2.01	1.75	1.89	1.25
1956	4.33	1.86	2.3	1.48	1.22	2.48	1.68	2.04	2.38	1.52
1957	3.51	2.02	2.12	1.4	1.43	2.51	1.72	1.57	2.14	1.06
1958	2.95	2.77	1.72	1.26	1.21	1.92	1.44	1.5	2	0.98
1959	2.44	2.65	2.25	1.76	1.44	2.17	1.68	1.48	2.26	1.07
1960	2.47	2.55	2.45	1.91	1.42	2.72	1.64	1.54	2.45	1.43
1961	2.14	2.06	1.76	1.66	1.27	2.1	1.99	1.03	1.7	1.17
1962	1.87	2.19	2.21	1.61	1.3	2.46	2.4	1.63	2.31	1.32
1963	1.93	3.29	2.92	1.9	1.66	2.62	2.82	1.87	2.68	1.5
1964	2.6	2.72	2.55	1.7	1.54	2.09	2.17	1.59	2.22	1.31
1965	2.25	1.89	2.7	1.99	1.53	2.6	2.36	1.56	1.84	1.2
1966	1.96	2.73	3.24	2.41	1.93	2.28	2.63	1.37	2.04	1.45
1967	2.14	2.39	1.95	2.34	1.93	2.1	2.53	1.49	1.57	1.29
1968	1.87	2.44	2.26	1.79	2.19	2.27	3.05	1.85	1.87	1.51
1969	1.88	2.27	2.84	2.34	2.5	2.66	3.73	2.43	2.41	1.78
1970	1.56	1.44	1.95	1.9	1.74	1.5	2.05	2	1.62	1.36
1971	1.91	1.75	2.24	2.01	1.69	1.29	2.06	2.06	1.85	1.1
1972	2.29	1.97	2.57	2.2	2.23	1.93	2.58	2.07	1.91	1.31
1973	2.28	1.51	1.98	1.96	1.84	1.74	1.99	1.64	1.65	1.07
1974	2.07	1.67	1.94	1.92	1.59	1.52	1.51	1.81	2.04	1
1975	2.14	1.66	2.56	2.38	1.79	1.76	1.43	1.63	1.78	1.03
1976	2.22	1.92	2.9	2.89	2.08	2.57	1.9	1.63	1.73	1.25
1977	1.52	1.35	1.52	2.42	1.74	1.47	1.36	1.13	1.47	0.89
1978	1.74	1.43	2.35	2.7	1.94	1.55	2.54	1.62	2.04	1.16
1979	1.78	1.5	2.62	2.55	1.99	1.51	2.01	1.62	1.94	1.28
1980	2.01	1.61	2.71	2.15	1.71	1.59	1.8	1.95	1.68	0.94
1981	2.07	1.63	2.3	3.24	2.19	1.56	1.97	1.78	1.47	0.99
1982	1.49	1.21	1.84	2.37	1.57	1.49	1.59	1.32	1.36	0.67
1983	1.78	1.61	2.35	2.8	2.01	1.72	1.95	1.8	1.6	0.88
1984	2.11	2.21	2.82	2.79	2.11	1.52	1.93	1.73	2.21	1.51
1985	1.69	1.72	1.93	2.45	2.2	1.47	1.77	1.43	2.02	1.18
1986	1.21	1.02	1.21	2.13	1.83	0.91	1.22	1.14	1.54	0.52
1987	1.08	1.02	1.19	2.26	1.68	0.81	1.13	1.04	1.26	0.39
1988	1.29	0.96	0.85	1.54	1.26	0.68	1.05	1.08	1.3	0.44
1989	0.95	0.74	0.86	1.11	0.97	0.66	0.99	1.05	1.28	0.57
1990	1.22	0.91	1.11	1.48	1.23	0.88	1.12	1.14	1.14	0.57
1991	1.15	0.73	0.94	1.08	0.97	0.66	0.81	0.7	0.8	0.5
1992	1.27	0.85	1.27	1.86	1.14	1.09	1.92	1.02	1.02	0.64
1993	1.43	0.97	1.56	1.93	1.22	1.17	1.74	1.26	1.29	0.65
1994	1.43	1.32	1.56	1.82	1.32	1.23	1.67	1.18	1.13	0.66
1995	1.53	1.53	2.39	1.09	1.35	1.02	1.79	1.21	1.39	0.77
1996	1.97	1.79	2.6	0.9	1.68	1.21	1.67	1.31	1.59	0.68
1997	1.62	1.65	2.09	0.93	1.47	1.4	1.65	0.94	0.97	0.64
1998	2.29	2.07	3.29	1.31	2.04	1.92	2.24	1.26	1.38	0.9
1999	1.72	1.65	2.28	1.09	1.36	1.82	1.92	0.94	0.97	0.64
2000	1.27	1.17	2.11	1.51	1.62	1.75	2.32	0.93	0.86	0.65
2001	0.8	0.8	1.6	1.43	1.34	1.72	1.9	0.98	0.92	0.57
2002	1.06	1.06	2.09	2	1.19	1.37	1.55	0.98	0.77	0.36
2003	0.87	0.81	1.31	1.47	0.94	1.05	1.12	0.68	0.59	0.4
2004	0.75	0.87	1.91	1.58	0.97	1.06	1.5	0.72	0.73	0.58
2005	1.36	1.31	2.26	1.93	1.13	1.26	1.75	1.04	1.14	0.64
2006	0.76	0.72	1.68	1.88	1.05	1.21	1.25	0.64	0.83	0.41
2007	1.34	0.89	1.6	2.08	1.08	1.92	1.99	0.62	0.94	0.5
2008	1.2	1.06	1.48	2.09	0.84	1.85	1.68	3.45	2.09	0.59
2009	2.36	2.84	1.51	2.26	1.09	2.36	2.4	3.42	2.53	0.69
2010	3.08	6.13	1.76	2.43	1.44	2.09	2.32	4.26	3.36	0.58
2011	3.06	5.78	1.81	2.05	1.48	1.87	1.9	2.14	1.69	0.46
2012	3.23	5.05	2.53	2.58	1.72	2.53	3.06	5.53	2.09	0.57
2013	1.93	3.17	1.24	1.31	0.98	1.19	1.38	2.16	1.54	0.47
2014	2.97	3.4	1.86	1.58	1.35	1.8	2.4	2.75	2.07	0.63
2015	3.71	4.12	2.34	1.96	1.67	2.16	2.94	2.46	2.77	1.11
2016	4.03	4.13	1.9	2.05	1.56	2.35	2.84	1.69	1.85	1.01
2017	4.14	4.85	2.01	1.64	1.62	3.04	2.98	2.85	2.46	0.91
2018	3.37	2.91	1.3	1.36	1.28	2.14	2.08	1.71	1.87	0.66
2019	3.29	2.15	1.22	1.23	1.07	2.17	1.73	2.33	2.55	0.54
