# Woodhouse - Sheep Pen Canyon - PIED - ITRDB CO571
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5337
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5337.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co571-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co571-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co571.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co571.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-22
#--------------------
# Title
#   Study_Name: Woodhouse - Sheep Pen Canyon - PIED - ITRDB CO571
#--------------------
# Investigators
#   Investigators: Woodhouse, C.A.(https://orcid.org/0000-0003-0545-9753); Brown, P.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Sheep Pen Canyon
#   Location: Colorado
#   Northernmost_Latitude: 37.07
#   Southernmost_Latitude: 37.07
#   Easternmost_Longitude: -103.27
#   Westernmost_Longitude: -103.27
#   Elevation_m: 1580
#--------------------
# Data_Collection
#   Collection_Name: CO571
#   First_Year: 1837
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## spp011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	spp011_raw	spp021_raw	spp041_raw	spp051_raw	spp061_raw	spp071_raw	spp081_raw	spp091_raw
1973	1.884	0.978	0.704	1.34	0.585	1.372	1.144	0.501
1974	1.575	0.722	0.435	0.814	0.252	0.867	0.687	0.362
1975	1.43	0.555	1.024	0.998	0.334	0.901	0.883	0.333
1976	1.334	0.885	0.738	1.206	0.506	0.888	0.961	0.537
1977	1.583	1.095	0.768	1.296	0.454	1.167	0.858	0.683
1978	1.054	0.894	0.632	0.898	0.411	1.082	0.697	0.214
1979	1.525	1.572	1.12	1.015	0.632	1.254	0.851	0.803
1980	0.93	0.736	0.722	0.669	0.583	0.708	0.644	0.325
1981	1.162	0.676	0.199	0.805	0.179	0.557	0.271	0.359
1982	1.525	1.038	0.811	1.226	0.556	1.302	0.751	0.36
1983	1.777	0.861	0.626	1.229	0.675	0.757	1.048	0.536
1984	1.736	1.229	0.625	1.252	0.478	1.261	0.678	0.486
1985	1.397	1.234	0.869	1.607	0.45	1.421	1.161	0.351
1986	1.35	1	0.777	1.212	0.348	0.904	0.95	0.353
1987	1.945	1.207	0.829	1.085	0.489	0.972	1.369	0.574
1988	1.019	0.578	0.772	0.675	0.255	0.462	0.838	0.453
1989	1.308	0.529	0.422	0.305	0.015	0.611	0.263	0.329
1990	1.06	0.518	0.344	0.553	0.237	0.41	0.386	0.33
1991	0.765	0.527	0.625	0.561	0.228	0.623	0.603	0.32
1992	1.657	1.22	0.648	0.9	0.286	0.829	0.958	0.565
1993	1.542	0.897	0.502	0.526	0.375	0.614	0.751	0.396
1994	1.454	0.617	0.503	0.398	0.247	0.315	0.475	0.292
1995	1.101	0.719	0.606	0.492	0.177	0.568	0.731	0.439
1996	0.76	0.238	0.083	0.158	0	0.197	0.192	0
1997	2.717	0.991	0.54	0.451	0.371	1.089	0.897	0.25
1998	0.825	0.32	0.279	0.179	NA	0.304	0.42	0.112
