# Wickman - Drumhill Ridge - PIPO - ITRDB OR031
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5231
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5231.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or031-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; or031-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or031.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or031.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Wickman - Drumhill Ridge - PIPO - ITRDB OR031
#--------------------
# Investigators
#   Investigators: Wickman, B.E.; Swetnam, T.W.(https://orcid.org/0000-0001-7268-2184); Baisan, C.H.(https://orcid.org/0000-0002-7362-1591)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Drumhill Ridge
#   Location: Oregon
#   Northernmost_Latitude: 45.47
#   Southernmost_Latitude: 45.47
#   Easternmost_Longitude: -118.2
#   Westernmost_Longitude: -118.2
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: OR031
#   First_Year: 1672
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DHR16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DHR16A_raw	DHR16B_raw	DHR17A_raw	DHR17B_raw	DHR18A_raw	DHR18B_raw	DHR19A_raw	DHR19B_raw	DHR20A_raw	DHR20B_raw
1749	1.86	1.57	NA	1.56	0.87	1.06	NA	2.17	NA	NA
1750	2	2.06	NA	2.4	1.2	1.62	NA	2.8	NA	NA
1751	2.31	1.97	NA	2.2	1.01	1.07	NA	2.04	NA	NA
1752	1.44	1.74	NA	1.19	0.76	1.31	NA	0.46	NA	NA
1753	0.92	1.05	NA	1.79	0.39	1.04	NA	0.25	NA	NA
1754	0.9	1.11	NA	1.65	0.45	0.89	NA	0.44	NA	NA
1755	1.22	1.29	NA	2.13	0.84	1.31	NA	1.21	NA	NA
1756	1.17	0.77	NA	1.06	0.89	0.85	NA	1.29	NA	NA
1757	0.82	0.94	NA	0.51	0.48	0.77	NA	1.51	NA	NA
1758	0.85	0.95	NA	0.75	0.66	0.97	NA	1.86	NA	NA
1759	0.83	1.15	NA	0.6	0.72	0.9	NA	1.97	NA	NA
1760	1.13	1.48	NA	0.92	0.61	0.96	NA	2.46	NA	NA
1761	1.48	1.77	NA	1.11	1.18	1.52	NA	2.69	NA	NA
1762	1.31	2.32	NA	0.97	1.13	1.74	NA	2.32	NA	NA
1763	1.38	2.23	NA	0.89	1.56	2.02	NA	2.26	NA	NA
1764	1.65	2.13	NA	0.49	1.2	1.49	NA	2.66	NA	NA
1765	1.98	2.09	NA	0.89	1.41	1.68	1.99	2.83	NA	NA
1766	2.04	2.06	NA	1.37	1.29	1.72	1.6	2.71	NA	NA
1767	1.72	2.18	NA	1.51	1.27	1.57	1.93	2.19	NA	NA
1768	1.44	1.54	NA	1.26	1.03	1.37	1.66	1.46	NA	NA
1769	1.43	1.48	NA	1.3	1.1	1.38	1.55	1.82	NA	NA
1770	1.95	1.81	NA	1.99	1.69	2.03	1.75	2.7	NA	NA
1771	1.74	2.11	NA	1.73	1.99	1.76	1.93	1.85	NA	NA
1772	1.52	1.58	NA	1.14	1.36	1.66	1.23	1.84	NA	NA
1773	1.69	2.14	NA	1.12	1.19	2.13	1.66	1.96	NA	NA
1774	1.66	1.39	NA	0.9	1.07	1.48	0.96	1.61	NA	NA
1775	1.27	1.4	NA	0.82	1.05	1.49	1.54	1.36	NA	NA
1776	1.28	1.39	NA	0.7	1.2	1.52	1.44	1.92	NA	NA
1777	1.69	1.45	NA	0.97	1.33	1.46	1.24	1.93	NA	NA
1778	1.38	1.13	NA	1.16	1.28	1.57	1.39	1.41	NA	NA
1779	1.46	1.23	NA	1.43	1.27	1.63	1.59	1.49	NA	NA
1780	1.25	1.47	NA	1.3	1.28	1.61	1.55	1.54	NA	NA
1781	1.23	1.14	NA	0.92	1.04	1.35	1.89	1.54	NA	NA
1782	1.26	0.98	NA	0.52	1.36	1.6	1.37	1.56	NA	NA
1783	1.23	1.17	NA	0.77	1.52	2.15	1.51	1.29	NA	NA
1784	1.22	1.05	NA	0.13	1.52	1.5	1.2	1.42	NA	NA
1785	1.28	1.11	NA	0.55	1.51	1.68	1.29	1.7	NA	NA
1786	1.02	1.14	NA	0.67	1.66	1.88	1.31	1.76	NA	NA
1787	0.88	0.88	NA	0.85	1.11	1.44	0.76	0.68	NA	NA
1788	0.96	1	NA	0.96	1.65	1.82	0.9	1.33	NA	NA
1789	1.12	0.93	NA	1.34	1.75	1.97	1.12	1.42	NA	NA
1790	1.12	0.91	NA	1.25	1.24	1.37	1.25	1.4	NA	NA
1791	1.52	1.05	NA	1.38	1.65	2.74	1.49	2.03	NA	NA
1792	1.29	0.94	NA	1.46	1.59	2.66	1.11	1.33	NA	NA
1793	1.16	1.09	NA	1.59	1.26	2.84	1.32	1.76	NA	NA
1794	1.12	1.25	NA	1.22	1.28	2.59	1.4	1.61	NA	NA
1795	0.94	1.11	NA	1.21	1.03	2.49	0.85	1.36	NA	NA
1796	1.08	1.16	NA	1.07	1.49	2.4	1.23	1.61	NA	NA
1797	0.82	0.87	NA	1.28	1.12	1.26	0.9	0.9	NA	NA
1798	0.87	0.98	NA	1.82	1.09	1.81	1.26	1.13	NA	NA
1799	0.82	0.76	NA	1.24	1.26	2	1.02	1.48	NA	NA
1800	0.73	0.82	NA	1.4	1.51	2.03	1.32	1.63	NA	NA
1801	0.74	0.8	NA	1.37	1.41	1.48	1.26	1.61	NA	NA
1802	0.91	0.88	3.23	1.42	1.37	1.87	1.52	1.67	NA	NA
1803	0.72	0.83	4.73	1.86	1.2	1.95	1.6	2	NA	NA
1804	0.68	0.75	4.93	2.08	1.73	1.69	1.67	1.97	NA	NA
1805	0.81	0.82	4.39	1.84	1.53	1.44	1.64	1.62	NA	NA
1806	0.68	0.57	4.47	2.05	1.33	1.09	1.43	1.85	NA	NA
1807	0.61	0.6	3.45	1.55	0.83	1.01	1.01	1.23	NA	NA
1808	0.49	0.72	4.1	1.44	0.95	1.21	1.1	1.48	NA	NA
1809	0.41	0.54	3.26	1.44	1.31	1.27	1.35	2.09	NA	NA
1810	0.43	0.59	3.08	1.26	1.06	1.19	1.05	1.66	NA	NA
1811	0.57	0.65	3.81	1.69	1.08	1.11	0.83	1.43	NA	NA
1812	0.65	0.72	4.26	1.74	1.23	1.46	1.3	2.17	NA	NA
1813	0.56	0.76	3.79	1.7	1.13	1.59	1.36	2.54	NA	NA
1814	0.71	0.99	4.67	1.65	1.43	1.83	1.6	3.32	NA	NA
1815	0.62	0.76	3.44	1.35	1.17	1.76	1.28	2.04	NA	NA
1816	0.78	0.78	3.02	1.6	1.12	1.7	1.21	1.89	NA	NA
1817	0.66	0.76	3.15	1.18	1	1.18	1.29	1.56	NA	NA
1818	0.82	1.05	3.89	1.71	1.21	1.84	1.29	2.22	NA	1.26
1819	0.88	1.12	3.34	1.42	1.48	2	1.59	2.18	NA	1.27
1820	0.68	0.72	2.39	1.22	0.72	1.36	1.08	1.44	NA	0.65
1821	0.71	0.76	3.15	1.49	0.76	1.42	1.47	1.74	NA	1.13
1822	0.69	0.64	3.7	1.06	1.08	1.35	1.77	2.3	NA	0.6
1823	0.42	0.47	2.52	1.17	0.58	1.1	1.09	1.78	NA	1.03
1824	0.65	0.62	3.41	1.39	1.04	1.91	1.84	2.69	1.32	0.92
1825	0.69	0.78	4.4	1.73	0.99	2.2	1.81	2.19	1.3	1.09
1826	0.71	0.84	2.87	1.12	0.91	1.65	1.34	1.92	1.46	1.04
1827	0.59	0.73	2.41	0.99	0.8	1.46	1.28	1.6	1.18	1.11
1828	0.79	0.76	3.35	1.51	0.93	1.71	1.22	1.99	1.24	1.65
1829	0.88	0.95	3.05	1.56	1.24	1.88	1.6	1.98	1.79	1.64
1830	0.62	0.69	1.99	0.87	0.79	1.36	0.98	1.62	1.09	1.23
1831	0.64	0.58	1.3	0.61	0.7	1.18	0.67	1.32	0.71	0.72
1832	0.82	0.59	2.32	1.02	0.87	1.56	1.25	1.88	2.38	2.09
1833	0.62	0.74	2.5	0.85	1.12	1.48	1.13	1.88	1.44	1.77
1834	0.52	0.61	2.07	0.73	0.9	1.15	1.11	1.37	1.31	1.92
1835	0.55	0.36	1.25	0.35	0.77	0.67	0.54	1.29	1.56	1.34
1836	0.51	0.36	1.88	0.54	0.84	0.73	0.5	1.14	1.51	1.43
1837	0.8	0.57	3.73	0.79	1.08	1.17	0.61	1.25	1.67	2.19
1838	0.81	0.61	4.65	1.24	1.45	1.5	0.8	1.43	1.87	2.18
1839	0.98	0.51	4.06	1.54	1.49	1.09	0.63	1.26	1.78	2.44
1840	0.72	0.41	1.73	0.71	0.93	0.68	0.32	0.92	0.4	0.82
1841	0.88	0.65	2.47	0.94	1.11	1.07	0.46	0.87	1.44	1.67
1842	0.56	0.55	2.4	1.22	1.13	1.12	0.43	0.89	1.76	2.05
1843	0.68	0.76	2.23	1.21	1.63	1.61	0.53	0.93	1.98	2.3
1844	0.73	1.08	2.53	1.17	1.78	1.96	0.82	1.18	2.51	2.91
1845	0.62	1.29	2.66	1.73	1.69	2.27	0.77	1.42	2.71	2.95
1846	0.51	0.96	2.11	1.28	1.62	1.53	0.72	1.31	1.74	2.13
1847	0.43	0.83	1.61	1.23	1.1	1.45	0.48	0.82	2.25	2.07
1848	0.41	0.84	1.54	1.11	1.27	1.62	0.47	0.87	1.77	1.9
1849	0.22	0.69	1.01	0.88	0.91	1.13	0.15	0.5	1.39	1.63
1850	0.49	0.59	1.44	0.97	0.81	1.39	0.21	0.56	1.38	1.57
1851	0.55	0.56	2.04	1.31	0.97	1.07	0.46	0.74	2.14	1.86
1852	0.6	0.53	1.66	1.36	1.05	1.26	0.36	0.59	1.62	1.59
1853	0.78	0.63	1.63	0.99	1.16	1.36	0.43	0.76	1.96	1.36
1854	0.73	0.74	1.78	1.55	1.39	1.63	0.56	0.9	2.09	1.67
1855	0.73	1.35	2.73	2.21	1.73	2.36	1.13	1.43	3.15	2.7
1856	0.62	1.1	2.25	1.86	1.42	1.35	0.86	1.06	2.9	2.51
1857	0.53	0.97	2.94	1.94	1.48	1.71	1.23	1.03	2.91	3.03
1858	0.87	1.13	3.27	2.51	1.57	2.15	1.59	1.32	2.95	3.04
1859	0.67	0.89	2.05	1.63	1.23	1.41	1.22	1.11	2.02	2.21
1860	0.94	0.89	2.19	1.35	0.99	1.28	1.01	0.88	2.47	2.45
1861	1.04	1.29	2.09	1.61	1.17	1.48	1.37	1.22	2.89	2.56
1862	0.78	1.23	2.21	1.67	1.04	1.15	1.46	1.02	2.62	2.69
1863	0.77	0.99	2.26	1.49	1.3	1.52	1.37	1.26	2.31	2.29
1864	0.93	1.32	2.1	1.27	1.14	1.18	1.33	1.2	2.21	2.58
1865	0.93	1.07	2.14	1.45	1.31	1.37	1.23	1.11	2.01	2.37
1866	0.78	1.02	2.2	1.47	1.29	1.41	1.11	0.83	2.4	2.66
1867	0.49	0.74	1.72	0.86	0.88	1.03	0.87	0.86	2.05	2.26
1868	0.54	0.77	1.96	1.41	1.02	1.38	0.98	1.13	2.42	3.06
1869	0.68	0.71	2.24	1.6	1.2	1.14	1.02	1.08	2.02	2.28
1870	0.56	0.57	1.91	1.39	1.08	1.27	0.98	1.15	1.9	2.29
1871	0.58	0.61	1.39	0.95	1.1	1.38	0.91	1.04	2.05	1.99
1872	0.51	0.5	1.4	0.86	0.92	1.19	0.8	0.82	0.89	1.68
1873	0.6	0.73	1.97	1.2	1.13	1.23	0.8	0.9	1.14	1.78
1874	0.67	0.98	2.02	1.01	1.38	1.45	0.9	0.98	1.25	1.8
1875	0.64	1.02	1.76	1.12	1.25	1.23	0.86	1.04	1.38	1.48
1876	0.53	1.06	2.5	1.56	1.3	1.23	0.81	1.29	1.61	2
1877	0.83	1.11	2.98	2.37	1.94	1.82	1.46	2.11	2.97	2.86
1878	0.94	0.92	2.94	2.01	1.5	1.7	1.51	2.23	2.35	2.56
1879	0.74	0.92	1.76	1.24	0.94	1.08	0.93	1.58	1.94	2.7
1880	0.72	0.98	1.57	0.75	0.81	0.82	0.73	1.42	2.05	2.05
1881	1.03	1.22	2.52	1.25	0.81	1.01	1.12	1.29	2.53	3.07
1882	0.98	0.96	1.84	1.07	0.95	1.01	0.95	1.34	1.76	2.54
1883	0.71	0.64	1.17	0.68	0.63	0.59	0.78	1.14	1.2	1.44
1884	1.02	0.68	1.64	0.83	0.63	0.58	1.02	1.67	2.42	3.01
1885	1.21	1.13	2.23	0.78	0.98	1.22	1.29	1.96	2.57	3.37
1886	0.69	0.59	1.1	0.53	0.77	0.58	0.8	0.96	1.45	1.87
1887	0.84	0.68	1.13	0.4	0.58	0.65	0.79	1.05	1.74	2.41
1888	1.1	0.99	1.83	0.81	0.94	1.06	1.05	2.19	2.25	2.64
1889	0.82	1.02	1.6	0.98	0.95	0.93	1.16	1.94	1.44	1.87
1890	0.58	0.53	1.08	0.5	0.77	0.85	0.71	1.13	1.77	2.14
