# Stahle - Richland Creek Project Historical Buildings - QUST - ITRDB TX047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4933
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4933.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx047-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tx047-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx047.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tx047.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Richland Creek Project Historical Buildings - QUST - ITRDB TX047
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Jurney, D.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Richland Creek Project Historical Buildings
#   Location: Texas
#   Northernmost_Latitude: 31.97
#   Southernmost_Latitude: 31.97
#   Easternmost_Longitude: -96.07
#   Westernmost_Longitude: -96.07
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: TX047
#   First_Year: 1654
#   Last_Year: 1914
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus stellata Wangenh.
#   Common_Name: post oak
#   Tree_Species_Code: QUST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMU01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMU01A_raw	SMU02A_raw	SMU03A_raw	SMU04A_raw	SMU05A_raw	SMU07A_raw	SMU09A_raw	SMU10A_raw	SMU11A_raw	SMU12A_raw	SMU13A_raw
1771	1.14	1.43	1.23	1.11	1.06	0.62	0.53	0.96	1.13	0.75	0.6
1772	1.03	0.89	0.47	0.47	0.51	0.35	0.37	0.49	0.6	0.45	0.55
1773	0.95	1.26	0.76	0.73	0.71	0.6	0.49	0.71	1.13	0.55	0.87
1774	1.33	1.17	0.6	0.72	0.66	0.62	0.49	0.6	0.9	0.53	0.96
1775	1.03	1.08	0.86	0.75	0.8	0.56	0.39	0.66	1.05	0.37	0.67
1776	1.12	1.09	1.14	0.73	0.98	0.43	0.48	0.57	1.21	0.43	0.81
1777	0.81	1.09	1.04	0.74	0.95	0.51	0.54	0.53	0.88	0.6	0.59
1778	1.05	1.34	1.05	0.72	0.91	0.53	0.59	0.72	1.11	0.64	0.58
1779	0.75	1.3	1.41	0.59	1.13	0.52	0.41	0.36	1.08	0.47	0.39
1780	0.82	1.03	1.54	0.67	1.11	0.42	0.36	0.57	0.92	0.52	0.4
1781	1.26	2.04	2.27	1.06	1.89	0.47	0.5	0.67	1.12	0.55	0.46
1782	1.39	1.54	2.07	0.94	1.86	0.68	0.61	0.79	1.38	0.79	0.76
1783	1.28	1.81	1.55	0.96	1.49	0.55	0.57	0.52	1.03	0.72	0.62
1784	1.06	1.36	1.51	1.09	1.3	0.53	0.45	0.51	0.94	0.59	0.66
1785	1.02	1.07	1.08	0.75	1.16	0.52	0.53	0.44	0.65	0.6	0.73
1786	0.93	0.85	1.03	0.71	1.13	0.54	0.34	0.42	0.68	0.49	0.68
1787	1.26	1.02	1.02	0.8	1.37	0.6	0.61	0.48	1.05	0.54	1.05
1788	1.11	1.06	1.03	0.99	1.64	0.71	0.66	0.88	1.09	0.83	1
1789	0.81	0.63	0.65	0.46	0.51	0.33	0.37	0.5	0.44	0.53	0.85
1790	0.67	0.62	0.52	0.39	0.42	0.2	0.23	0.33	1.17	0.36	0.79
1791	0.91	0.9	0.99	0.69	1.58	0.54	0.51	0.57	1.25	0.64	1.11
1792	1.17	1.14	1.43	0.87	1.85	0.47	0.54	0.75	1.21	0.91	1.37
1793	0.99	1.08	2.15	0.92	3.28	0.84	0.46	0.81	1.29	0.86	1.61
1794	0.79	0.99	2.29	1.03	2.54	0.74	0.45	0.86	1.05	0.84	1.37
1795	0.79	0.98	1.71	0.68	2.6	0.65	0.45	0.49	1.08	0.71	1.32
1796	0.8	1.46	2.27	1.09	3.01	0.73	0.51	0.61	1.18	1.03	1.36
1797	0.79	1.37	1.8	1.11	2.28	0.75	0.43	0.6	1.06	0.95	1.38
1798	0.8	1.13	1.24	0.79	1.57	0.7	0.41	0.47	0.83	0.86	1.17
1799	0.93	1.3	1.37	1	1.9	0.86	0.5	0.57	1.16	1.14	1.13
1800	0.99	1.32	1.27	1.02	1.49	0.61	0.39	0.49	0.91	0.75	1.25
1801	0.72	1.09	0.89	0.79	0.95	0.55	0.29	0.46	0.57	0.77	0.82
1802	0.52	0.62	0.65	0.54	0.85	0.56	0.39	0.52	0.71	0.61	0.98
1803	0.76	0.8	1.04	0.58	1.75	0.67	0.42	0.48	0.54	0.74	0.94
1804	0.95	1.04	1.32	0.81	2.39	0.62	0.46	0.57	0.88	0.85	0.98
1805	0.77	0.7	0.81	0.54	0.79	0.4	0.3	0.5	0.41	0.57	0.76
1806	0.65	1.3	0.87	0.55	1.11	0.33	0.37	0.41	0.75	0.6	0.69
1807	0.89	1.1	1.23	0.93	1.78	0.7	0.43	0.53	0.95	0.8	0.99
1808	0.63	1.03	0.78	0.75	0.98	0.57	0.3	0.49	0.76	0.62	0.95
1809	0.87	1.16	0.86	0.7	1.06	0.5	0.34	0.52	0.55	0.57	0.9
1810	0.88	1.49	1.01	0.74	1.21	0.59	0.37	0.51	0.55	0.76	1.09
1811	0.88	1.38	0.93	1	1.61	0.71	0.38	0.61	0.92	0.7	1.29
1812	0.84	1	0.89	0.8	1.22	0.69	0.35	0.46	0.79	0.61	1.19
1813	0.87	0.92	0.78	0.72	1.25	0.66	0.31	0.59	0.79	0.64	1.06
1814	0.89	1.3	0.88	1.07	1.36	0.68	0.46	0.39	1.2	0.83	1.3
1815	1.05	1.65	0.9	1.01	1.82	0.77	0.35	0.43	1.06	0.84	1.41
1816	0.88	1.48	0.82	0.82	1.2	0.71	0.39	0.57	0.86	0.83	1.19
1817	1.07	1.22	0.63	0.76	1	0.63	0.36	0.66	0.68	0.57	0.82
1818	1.17	1.17	0.64	0.82	1.1	0.61	0.39	0.49	0.85	0.84	0.93
1819	0.99	1.08	0.76	0.8	0.96	0.76	0.51	0.58	0.94	0.7	1.21
1820	0.77	1.03	0.7	0.73	0.76	0.59	0.3	0.51	0.82	0.85	1.23
1821	0.85	1.11	0.93	0.87	1.01	0.54	0.37	0.52	0.56	0.64	1.07
1822	0.7	0.93	0.58	0.61	0.91	0.54	0.37	0.57	0.73	0.65	1.18
1823	0.5	1.4	0.74	0.84	0.96	0.52	0.35	0.62	0.63	0.85	0.9
1824	0.58	0.85	0.53	0.59	0.74	0.62	0.32	0.46	0.74	0.74	0.93
1825	0.53	1.11	0.85	0.89	1.13	0.63	0.25	0.7	0.58	0.82	1.06
1826	0.53	1.05	0.63	0.74	1	0.54	0.27	0.76	0.84	1.04	1.34
1827	0.57	1.07	0.72	0.74	1.12	0.75	0.34	0.75	0.62	0.83	1.31
1828	0.5	0.72	0.55	0.54	0.91	0.55	0.3	0.49	0.59	0.53	1.35
1829	0.6	0.87	0.69	0.64	0.86	0.54	0.4	0.46	0.5	0.73	1.29
1830	0.63	1.29	0.64	0.75	1.42	0.72	0.28	0.74	0.74	0.73	1.11
1831	0.72	1.76	0.52	0.69	0.8	0.73	0.36	0.6	0.55	0.9	1.27
1832	0.71	1.53	1.06	0.79	1.34	0.74	0.37	0.8	0.76	1.01	1.26
1833	1.08	1.86	1.02	0.92	1.21	1.08	0.55	0.85	0.93	1.62	1.85
1834	0.67	1.56	0.75	0.7	1.1	0.67	0.42	0.75	0.83	0.78	2.05
1835	0.47	0.79	0.4	0.44	0.53	0.46	0.31	0.52	0.36	0.57	0.78
1836	0.57	1.08	0.7	0.74	1.23	0.81	0.7	0.83	0.89	0.8	1.6
1837	0.57	0.7	0.54	0.53	0.84	0.67	0.26	0.61	0.56	0.63	0.9
1838	0.65	1.25	0.63	0.58	0.99	0.59	0.3	0.77	0.73	0.59	0.87
1839	0.5	1.01	0.46	0.51	0.63	0.62	0.29	0.51	0.57	0.64	0.93
1840	0.51	0.92	0.64	0.51	1.02	0.62	0.35	0.65	0.83	0.8	1.23
1841	0.6	1.15	0.73	0.55	0.87	0.51	0.33	0.59	0.92	0.59	1.05
1842	0.46	1.02	0.59	0.44	0.53	0.4	0.35	0.43	0.59	0.71	0.93
1843	0.72	1.22	1.13	0.66	1.31	0.83	0.54	0.7	1.15	1.23	1.21
