# Cherubini - Wengimoos - QUSP - ITRDB SWIT361
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16935
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16935.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit361-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit361-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit361.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit361.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Wengimoos - QUSP - ITRDB SWIT361
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X); Straub, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # past land-use changes
# # 
# # Notes: 
# # Formerly Wengimoos Wald NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Wengimoos
#   Location: Switzerland
#   Northernmost_Latitude: 47.1
#   Southernmost_Latitude: 47.1
#   Easternmost_Longitude: 7.4833
#   Westernmost_Longitude: 7.4833
#   Elevation_m: 482
#--------------------
# Data_Collection
#   Collection_Name: SWIT361
#   First_Year: 1855
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## R1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	R1_raw	R2_raw	R3_raw	R4_raw	R5_raw	R6_raw	R7_raw	R8_raw	R9_raw	R10_raw
1920	0.22	0.25	0.1	0.26	0.22	0.17	0.2	0.17	0.18	0.16
1921	0.1	0.1	0.06	0.14	0.22	0.1	0.1	0.07	0.13	0.09
1922	0.2	0.18	0.12	0.21	0.2	0.13	0.18	0.16	0.14	0.11
1923	0.24	0.2	0.1	0.23	0.2	0.19	0.23	0.18	0.24	0.18
1924	0.13	0.11	0.06	0.12	0.12	0.11	0.13	0.1	0.17	0.1
1925	0.23	0.2	0.11	0.16	0.18	0.16	0.23	0.18	0.16	0.16
1926	0.17	0.21	0.08	0.11	0.16	0.14	0.29	0.16	0.15	0.16
1927	0.22	0.27	0.06	0.11	0.15	0.14	0.29	0.17	0.14	0.14
1928	0.14	0.18	0.05	0.12	0.13	0.14	0.22	0.13	0.13	0.12
1929	0.15	0.26	0.07	0.14	0.12	0.14	0.23	0.15	0.13	0.13
1930	0.18	0.25	0.1	0.16	0.26	0.2	0.32	0.21	0.19	0.16
1931	0.29	0.32	0.15	0.22	0.32	0.21	0.35	0.23	0.21	0.18
1932	0.31	0.37	0.15	0.2	0.35	0.25	0.37	0.29	0.23	0.24
1933	0.23	0.26	0.15	0.17	0.18	0.17	0.36	0.24	0.17	0.18
1934	0.2	0.24	0.14	0.16	0.15	0.16	0.38	0.29	0.15	0.18
1935	0.18	0.21	0.13	0.2	0.18	0.18	0.24	0.21	0.16	0.17
1936	0.24	0.19	0.1	0.18	0.21	0.18	0.13	0.14	0.16	0.15
1937	0.23	0.26	0.13	0.22	0.19	0.19	0.23	0.18	0.21	0.17
1938	0.17	0.2	0.08	0.17	0.17	0.19	0.26	0.2	0.2	0.18
1939	0.17	0.23	0.09	0.13	0.23	0.18	0.24	0.19	0.11	0.11
1940	0.18	0.16	0.11	0.11	0.19	0.13	0.23	0.2	0.13	0.14
1941	0.12	0.12	0.09	0.08	0.2	0.13	0.17	0.16	0.15	0.13
1942	0.15	0.13	0.05	0.05	0.07	0.07	0.14	0.11	0.14	0.09
1943	0.32	0.27	0.14	0.14	0.11	0.15	0.32	0.24	0.16	0.16
1944	0.2	0.07	0.13	0.15	0.09	0.12	0.36	0.28	0.18	0.21
1945	0.09	0.05	0.07	0.08	0.07	0.09	0.23	0.21	0.15	0.16
1946	0.18	0.04	0.15	0.1	0.15	0.16	0.34	0.28	0.18	0.22
1947	0.16	0.03	0.13	0.11	0.14	0.15	0.34	0.24	0.15	0.16
1948	0.18	0.04	0.11	0.08	0.1	0.11	0.28	0.16	0.13	0.15
1949	0.24	0.06	0.18	0.13	0.18	0.19	0.43	0.3	0.18	0.18
1950	0.22	0.07	0.16	0.13	0.18	0.19	0.44	0.32	0.2	0.2
1951	0.2	0.08	0.18	0.17	0.19	0.2	0.32	0.27	0.13	0.2
1952	0.21	0.1	0.18	0.19	0.26	0.19	0.46	0.28	0.17	0.27
1953	0.28	0.12	0.18	0.19	0.23	0.21	0.5	0.31	0.15	0.21
1954	0.18	0.1	0.17	0.14	0.16	0.14	0.34	0.21	0.14	0.14
1955	0.21	0.14	0.16	0.17	0.18	0.2	0.35	0.21	0.2	0.2
1956	0.28	0.19	0.13	0.17	0.13	0.18	0.28	0.16	0.14	0.16
1957	0.16	0.11	0.13	0.15	0.14	0.13	0.34	0.17	0.2	0.18
1958	0.31	0.19	0.21	0.21	0.26	0.23	0.6	0.35	0.21	0.22
1959	0.19	0.1	0.22	0.18	0.16	0.13	0.27	0.19	0.16	0.21
1960	0.33	0.19	0.18	0.2	0.15	0.14	0.18	0.16	0.16	0.17
1961	0.36	0.26	0.23	0.25	0.15	0.2	0.27	0.18	0.22	0.19
1962	0.21	0.13	0.23	0.18	0.09	0.15	0.14	0.14	0.21	0.2
1963	0.22	0.19	0.16	0.12	0.1	0.09	0.09	0.1	0.15	0.18
1964	0.18	0.17	0.19	0.16	0.12	0.09	0.1	0.11	0.17	0.21
1965	0.28	0.22	0.22	0.19	0.14	0.14	0.11	0.13	0.2	0.24
1966	0.16	0.17	0.17	0.15	0.12	0.09	0.1	0.09	0.22	0.21
1967	0.24	0.27	0.21	0.28	0.16	0.12	0.13	0.17	0.26	0.28
1968	0.29	0.25	0.19	0.19	0.12	0.11	0.14	0.18	0.22	0.2
1969	0.36	0.35	0.28	0.27	0.2	0.14	0.22	0.37	0.25	0.25
1970	0.28	0.33	0.2	0.22	0.3	0.22	0.26	0.29	0.22	0.24
1971	0.33	0.33	0.2	0.26	0.19	0.17	0.26	0.39	0.22	0.25
1972	0.22	0.29	0.25	0.27	0.14	0.13	0.29	0.26	0.22	0.23
1973	0.23	0.3	0.29	0.31	0.12	0.13	0.36	0.31	0.17	0.2
1974	0.13	0.17	0.19	0.25	0.09	0.1	0.24	0.22	0.09	0.12
1975	0.23	0.22	0.17	0.31	0.26	0.18	0.35	0.29	0.15	0.17
1976	0.16	0.18	0.16	0.22	0.26	0.19	0.23	0.41	0.16	0.2
1977	0.18	0.26	0.17	0.18	0.17	0.17	0.2	0.23	0.18	0.2
1978	0.13	0.11	0.28	0.26	0.21	0.29	0.25	0.36	0.22	0.18
1979	0.17	0.14	0.29	0.26	0.25	0.3	0.36	0.44	0.21	0.22
1980	0.12	0.12	0.37	0.27	0.25	0.3	0.27	0.32	0.17	0.19
1981	0.11	0.13	0.36	0.24	0.16	0.38	0.26	0.35	0.21	0.19
1982	0.13	0.17	0.35	0.28	0.28	0.35	0.36	0.48	0.23	0.24
1983	0.12	0.16	0.31	0.3	0.28	0.34	0.26	0.33	0.18	0.16
1984	0.16	0.15	0.28	0.26	0.22	0.26	0.24	0.34	0.2	0.21
1985	0.21	0.22	0.3	0.41	0.27	0.43	0.27	0.38	0.2	0.31
1986	0.15	0.12	0.27	0.28	0.27	0.3	0.18	0.26	0.17	0.25
1987	0.17	0.29	0.14	0.22	0.4	0.44	0.24	0.44	0.16	0.24
1988	0.17	0.27	0.16	0.23	0.39	0.35	0.23	0.5	0.24	0.27
1989	0.17	0.28	0.28	0.32	0.3	0.28	0.31	0.45	0.23	0.22
1990	0.18	0.4	0.34	0.4	0.29	0.3	0.3	0.42	0.24	0.31
1991	0.22	0.38	0.46	0.53	0.27	0.28	0.25	0.38	0.24	0.37
1992	0.19	0.3	0.33	0.38	0.21	0.23	0.21	0.29	0.21	0.22
1993	0.18	0.29	0.44	0.5	0.26	0.29	0.25	0.25	0.18	0.23
1994	0.23	0.36	0.35	0.43	0.4	0.29	0.33	0.33	0.24	0.34
1995	0.15	0.29	0.13	0.24	0.37	0.22	0.26	0.34	0.18	0.32
1996	0.23	0.28	0.19	0.28	0.38	0.41	0.2	0.41	0.24	0.22
1997	0.29	0.34	0.3	0.39	0.59	0.44	0.18	0.4	0.26	0.28
1998	0.29	0.3	0.26	0.27	0.33	0.3	0.23	0.46	0.26	0.23
1999	0.2	0.33	0.31	0.48	0.62	0.52	0.38	0.45	0.25	0.2
2000	0.22	0.35	0.23	0.36	0.38	0.34	0.39	0.44	0.24	0.26
2001	0.16	0.33	0.25	0.42	0.39	0.38	0.3	0.37	0.36	0.33
2002	0.17	0.24	0.2	0.49	0.62	0.39	0.36	0.48	0.27	0.27
2003	0.13	0.21	0.22	0.43	0.41	0.3	0.29	0.37	0.28	0.28
2004	0.21	0.25	0.29	0.56	0.42	0.29	0.4	0.44	0.2	0.17
2005	0.17	0.22	0.26	0.34	0.38	0.3	0.35	0.42	0.21	0.22
2006	0.15	0.18	0.23	0.34	0.36	0.3	0.23	0.33	0.21	0.25
2007	0.11	0.12	0.3	0.39	0.46	0.45	0.24	0.3	0.22	0.24
2008	0.13	0.18	0.28	NA	0.36	0.29	NA	0.3	0.14	0.36
