# Richter - Urbion Vinuesa - PISY - ITRDB SPAI050
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4265
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4265.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai050-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai050-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai050.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai050.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Urbion Vinuesa - PISY - ITRDB SPAI050
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Urbion Vinuesa
#   Location: Spain
#   Northernmost_Latitude: 42.0
#   Southernmost_Latitude: 42.0
#   Easternmost_Longitude: -2.85
#   Westernmost_Longitude: -2.85
#   Elevation_m: 1750
#--------------------
# Data_Collection
#   Collection_Name: SPAI050
#   First_Year: 1681
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E420101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420101C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420102B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420102B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E420101A_raw	E420101B_raw	E420101C_raw	E420102A_raw	E420102B_raw	E420103A_raw	E420103B_raw	E420104A_raw
1759	1.85	2.06	2.32	0.82	1.04	NA	NA	NA
1760	1.18	1.58	1.73	0.91	1.1	NA	NA	NA
1761	1.73	1.92	2.39	1.05	1.13	NA	NA	NA
1762	2.28	2.27	2.8	0.99	1.37	NA	NA	NA
1763	1.81	1.87	2.13	0.82	1.1	NA	NA	NA
1764	1.93	1.7	2.2	0.81	1.25	NA	NA	NA
1765	1.32	1.53	1.65	1.03	0.98	NA	NA	NA
1766	1.58	1.66	1.9	1.11	0.91	NA	NA	NA
1767	1.62	1.7	1.99	0.93	0.84	NA	NA	NA
1768	1.85	1.85	2.17	0.99	0.99	NA	NA	NA
1769	1.44	1.7	2.05	1.09	1.02	NA	NA	NA
1770	1.32	1.92	2.13	0.82	1.09	NA	NA	NA
1771	1.1	1.54	1.48	0.82	1.27	NA	NA	NA
1772	0.89	1.33	1.47	0.8	1.01	NA	NA	NA
1773	1.38	1.89	2.11	0.83	1.03	NA	NA	NA
1774	1.58	1.71	1.77	0.72	0.96	NA	NA	NA
1775	1.93	1.44	1.52	0.6	1.1	NA	NA	NA
1776	1.44	1.4	1.54	0.74	0.77	NA	NA	NA
1777	2.04	1.9	2.21	0.7	0.9	NA	NA	NA
1778	2.25	1.86	2.36	0.64	0.98	NA	NA	NA
1779	1.57	1.49	1.48	0.81	1.31	NA	NA	NA
1780	2.26	1.88	2.15	0.78	1.14	NA	1.92	NA
1781	2.48	2.26	2.6	0.97	1.51	6.33	3.03	NA
1782	2.47	1.85	2.27	0.85	1.53	5.05	2.44	NA
1783	2.64	2.19	2.31	0.89	1.61	4.57	2.63	NA
1784	2.24	2.15	1.87	0.68	1.45	4.7	3.26	NA
1785	2.7	2.27	2.11	0.71	1.37	2.62	2.68	NA
1786	1.99	1.63	1.86	0.64	1.69	3.09	2.03	NA
1787	1.42	1.29	1.37	0.66	1.58	3.58	2.28	NA
1788	1.92	1.74	1.78	0.92	1.57	2.95	2.34	NA
1789	1.94	1.49	1.69	0.83	1.52	2.85	1.98	NA
1790	1.55	1.15	1.28	1.01	1.33	2.82	2.01	NA
1791	1.6	1.54	1.33	0.94	1.7	4.02	2.5	NA
1792	1.15	1.29	1.16	0.6	0.83	3.18	1.99	NA
1793	1.4	1.67	1.26	0.76	1.25	2.8	1.86	NA
1794	2.28	2.26	1.76	0.98	1.57	3.82	2.72	NA
1795	2.26	2.15	1.6	0.84	1.31	2.69	1.88	NA
1796	1.78	2.01	1.44	0.59	0.92	2.06	1.48	NA
1797	2.02	1.98	1.42	0.48	0.84	2.15	1.9	NA
1798	2.13	2.12	1.71	0.69	1.06	2.51	2.32	NA
1799	1.27	1.24	0.98	0.39	0.61	2.02	1.9	NA
1800	0.96	0.73	0.56	0.42	0.69	1.89	1.96	NA
1801	1.4	1.01	0.95	0.32	0.72	1.7	2.12	NA
1802	1.37	1.19	1.05	0.29	0.6	2.19	1.75	NA
1803	0.84	0.99	0.7	0.28	0.29	1.12	1.06	NA
1804	0.73	0.59	0.42	0.26	0.28	1.18	1.33	NA
1805	1.31	1.44	1.09	0.34	0.64	2.32	2.05	NA
1806	1.15	0.92	0.69	0.25	0.58	2.23	2.35	NA
1807	1.75	1.8	1.63	0.46	0.66	3.53	3.15	NA
1808	1.25	1.48	1.11	0.36	0.61	3.2	2.27	NA
1809	0.85	0.57	0.3	0.55	0.72	2.98	2.31	NA
1810	0.63	0.57	0.47	0.42	0.57	3.81	1.89	NA
1811	0.87	0.8	0.55	0.55	0.68	4.55	2.97	NA
1812	0.76	0.68	0.52	0.44	0.66	3.26	2.65	NA
1813	0.77	0.65	0.63	0.8	0.89	3.7	2.41	NA
1814	1.06	0.96	0.94	0.78	0.77	3.61	1.87	NA
1815	1.08	0.95	1.02	0.83	0.9	3.47	1.99	NA
1816	0.86	0.95	0.91	0.75	0.85	2.74	1.79	NA
1817	0.69	0.94	0.93	0.69	0.99	2.64	2.02	NA
1818	0.7	1.06	0.93	0.83	1.04	2.87	2.46	NA
1819	1.12	1.33	1.05	1.05	1.4	4.09	2.5	NA
1820	0.82	1.3	0.9	0.73	0.88	2.96	2.4	NA
1821	0.66	1.04	0.9	0.65	0.83	2.42	2.04	NA
1822	0.8	1.28	1.06	1.01	1.14	2.71	2.07	NA
1823	0.24	0.69	0.5	0.3	0.48	0.97	0.59	NA
1824	0.16	0.47	0.54	0.33	0.54	0.92	0.81	NA
1825	0.9	1.1	0.78	0.81	1.26	1.66	2.09	NA
1826	1.04	1.22	1.14	0.71	1.36	1.86	2.04	NA
1827	1.09	1.07	1.09	0.78	1.16	2.23	2.31	NA
1828	1.48	1.49	1.31	1.21	1.26	3.01	2.97	NA
1829	1.03	1.18	0.94	0.75	1.16	3.68	3.12	NA
1830	1.22	1.15	0.91	0.92	1.18	3.69	2.73	NA
1831	0.8	0.78	0.68	1.03	0.94	3.53	2.51	NA
1832	0.89	1.03	0.92	0.6	0.86	1.97	1.54	NA
1833	1.16	1.34	1.13	0.64	0.81	2.76	2.38	NA
1834	1.46	1.74	1.6	1	1.54	4.12	3.13	NA
1835	1.1	1.45	1.25	0.85	1.29	2.58	2.83	NA
1836	1.14	1.02	0.92	0.71	1.16	2.27	2.37	NA
1837	1.75	1.46	1.73	0.89	1.3	2.24	3.12	NA
1838	1.65	1.75	1.9	1	1.42	2.35	2.95	NA
1839	1.3	1.48	1.57	0.67	1.17	2.31	2.48	NA
1840	0.67	1.29	1.15	0.87	0.78	1.49	2.12	NA
1841	0.69	0.7	0.9	0.97	0.88	1.5	1.8	NA
1842	0.64	0.44	0.56	0.73	0.7	1.21	1.97	NA
1843	0.44	0.32	0.51	0.82	0.75	1.67	2.08	NA
1844	0.43	0.43	0.55	0.96	0.68	1.4	2.31	NA
1845	0.57	0.28	0.53	1.01	0.84	1.48	2.12	NA
1846	0.42	0.32	0.36	1.17	0.91	1.95	2.78	NA
1847	0.8	0.56	0.65	0.81	0.76	1.88	2.39	NA
1848	0.69	0.78	0.76	0.98	0.8	1.78	2.01	NA
1849	0.62	0.37	0.47	1.09	0.96	1.67	2.41	NA
1850	0.72	0.42	0.5	1.34	1.29	1.84	2.15	NA
1851	0.64	0.47	0.44	0.77	0.87	1.39	1.72	NA
1852	0.75	0.59	0.69	1.03	1.11	1.24	1.65	NA
1853	0.71	0.51	0.51	1.17	0.84	1.32	1.7	NA
1854	1.06	0.68	0.71	1.08	1.01	1.98	1.89	NA
1855	0.91	0.57	0.54	0.98	0.82	1.4	1.34	NA
1856	0.38	0.35	0.24	1.1	0.9	1.43	1.4	NA
1857	0.8	0.49	0.43	1	0.63	1.44	1.41	NA
1858	0.92	0.56	0.5	0.83	0.64	1.44	1.24	NA
1859	1.3	0.75	0.68	1.07	0.96	1.89	1.57	NA
1860	0.82	0.51	0.43	0.63	0.53	1.63	1.3	NA
1861	0.86	0.43	0.51	0.68	0.53	1.64	1.5	NA
1862	0.72	0.43	0.44	0.73	0.51	1.65	1.48	NA
1863	0.88	0.39	0.42	1.23	0.83	1.95	1.49	NA
1864	1.63	0.9	0.98	1.43	1.32	2.01	2.11	NA
1865	1.28	0.73	0.75	1	1.56	1.93	1.4	NA
1866	0.63	0.55	0.53	1.01	1.5	1.78	1.42	NA
1867	0.85	0.59	0.42	0.98	1.68	1.72	1.57	NA
1868	1.02	0.84	0.52	1.09	2.1	1.59	1.51	NA
1869	0.92	0.65	0.44	1.35	2.81	2.04	1.71	NA
1870	1.08	0.71	0.51	0.96	2.61	1.96	1.61	NA
1871	0.81	0.67	0.41	1.19	3.23	1.57	1.84	NA
1872	0.84	0.62	0.36	0.9	2.29	1.44	1.59	NA
1873	0.87	0.68	0.49	1.01	1.9	1.39	1.39	NA
1874	0.71	0.79	0.47	1.05	2.02	1.16	1.6	NA
1875	0.94	0.97	0.48	1.09	1.54	1.07	1.62	NA
1876	1	1.13	0.53	0.86	1.7	1.13	1.78	NA
1877	0.81	0.81	0.57	1.1	1.45	1.36	1.91	NA
1878	1.04	1.04	0.56	0.97	1.9	1.37	2.17	NA
1879	0.67	0.74	0.47	0.47	1.05	0.62	1.31	NA
1880	0.56	0.45	0.4	0.52	1.33	0.97	1.58	NA
1881	0.61	0.53	0.4	0.63	0.99	0.81	1.78	NA
1882	0.62	0.52	0.33	0.55	1.29	1.09	1.6	7.47
1883	0.52	0.7	0.35	0.6	1.22	0.9	1.2	5.27
1884	0.58	0.8	0.44	0.35	0.8	0.67	0.91	3.52
1885	0.58	0.77	0.35	0.32	0.84	0.87	1	3.63
1886	0.76	0.74	0.48	0.23	0.88	1.11	1.26	3.39
1887	0.92	0.86	0.49	0.39	1	1.41	1.57	4.66
1888	0.88	0.8	0.52	0.62	1.05	1.3	1.76	4.2
1889	0.49	0.64	0.34	0.64	1.07	1.06	1.61	4.17
1890	0.89	0.91	0.63	0.55	0.87	1.25	1.66	4.02
1891	1.04	1.01	0.66	0.46	0.84	1.49	1.81	4.21
1892	1.06	1.09	0.76	0.63	0.81	1.51	1.7	4.57
1893	1.36	1.18	0.88	0.71	1.06	1.66	2.38	4.55
1894	0.71	0.5	0.37	0.71	0.64	1.52	1.82	3.82
1895	0.9	0.72	0.59	0.7	0.91	1.55	1.65	3.46
1896	1.01	0.67	0.69	0.76	0.65	1.44	1.54	3.01
1897	1.13	0.54	0.68	0.61	0.88	1.41	1.68	3.5
1898	1.14	0.65	0.74	0.83	0.75	1.79	1.57	3.64
1899	1.39	0.78	0.57	0.65	0.78	2.17	1.69	3.22
1900	1.14	0.78	0.56	0.54	0.46	1.46	1.11	2.26
1901	1.49	1.05	0.82	0.78	0.64	1.93	1.45	2.73
1902	1.63	1.16	1.07	0.94	0.75	2.2	1.64	2.63
1903	1.49	1.04	0.94	0.78	0.65	1.84	1.86	3.23
1904	1.38	1.07	0.95	0.58	0.4	1.84	1.75	3.34
1905	1.03	0.58	0.68	0.7	0.55	1.79	1.47	4.07
1906	0.92	0.61	0.68	0.5	0.47	1.56	1.48	2.57
1907	1.01	0.69	0.7	0.58	0.57	1.37	1.18	2.92
1908	0.92	0.67	0.64	0.59	0.45	0.93	1.38	2.6
1909	1.04	0.85	0.77	0.47	0.46	1.21	1.44	3.32
1910	0.9	0.65	0.7	0.54	0.51	0.91	1.38	2.58
1911	1.36	0.85	1.07	0.63	0.66	1.22	1.87	4.22
1912	0.82	0.53	0.57	0.71	0.65	1.19	1.7	2.76
1913	1.1	0.62	0.54	0.83	0.61	1.28	1.58	2.02
1914	1.26	0.69	0.62	1.01	0.79	1.5	1.87	2.01
1915	0.99	0.63	0.55	0.96	0.62	0.89	1.38	2.12
1916	0.96	0.59	0.46	0.93	0.81	1.18	1.69	2.69
1917	1.48	1.03	0.85	1.03	0.74	1.04	1.45	2.82
1918	1.64	1.07	0.9	0.75	0.85	1.15	1.67	2.4
1919	0.94	0.6	0.49	0.75	0.78	0.88	1.15	2.72
1920	1.25	0.57	0.56	1.03	0.81	1.05	1.24	2.01
1921	1.03	0.62	0.45	1.09	0.83	0.89	0.97	1.85
1922	0.69	0.52	0.4	0.34	0.29	0.58	0.53	1.54
1923	0.99	0.71	0.55	0.66	0.57	1.16	1.15	2.21
1924	1.13	0.59	0.61	0.68	0.48	0.99	1.14	1.7
1925	1.27	0.58	0.61	0.83	0.56	1.29	1.23	3.05
1926	1.1	0.52	0.51	0.66	0.56	0.88	0.91	2.44
1927	1.27	0.59	0.6	1.02	0.31	0.8	0.87	2.57
1928	0.6	0.37	0.38	0.86	0.47	0.97	0.92	1.56
1929	1.21	0.58	0.57	0.71	0.43	1.01	1.1	1.5
1930	1.38	0.7	0.67	0.89	0.55	1.01	1.19	1.62
1931	1.54	0.62	0.62	0.77	0.43	1.14	1.3	1.65
1932	1.32	0.49	0.4	0.59	0.57	1	1.19	1.66
1933	1.31	0.77	0.56	0.43	0.56	1.27	1.4	1.81
1934	1.16	0.66	0.41	0.34	0.45	0.89	1.1	1.49
1935	0.79	0.42	0.3	0.62	0.65	0.84	0.84	1.43
1936	0.9	0.64	0.39	0.49	0.72	0.88	1.11	1.7
1937	1.31	0.81	0.53	0.52	0.82	1.07	1.28	2.58
1938	1.11	0.69	0.47	0.48	0.93	1.05	1.09	2.33
1939	1.16	0.69	0.44	0.52	0.4	0.7	0.72	1.5
1940	1.51	0.72	0.53	0.28	0.29	0.39	0.62	1.06
1941	0.97	0.49	0.35	0.31	0.29	0.63	0.68	1.18
1942	1.18	0.52	0.44	0.42	0.36	0.84	0.86	1.66
1943	1.37	0.78	0.71	0.47	0.47	0.98	1.17	1.8
1944	1.84	1.16	0.8	0.65	0.57	0.99	1.14	1.84
1945	1.41	0.71	0.73	0.65	0.6	1.05	1.1	1.77
1946	0.93	0.51	0.39	0.43	0.41	0.61	0.6	1.27
1947	0.95	0.55	0.45	0.5	0.25	0.6	0.61	1.58
1948	1.13	0.72	0.59	0.54	0.53	0.73	0.94	1.75
1949	1.19	0.81	0.88	0.37	0.4	0.69	0.71	1.92
1950	0.96	0.65	0.68	0.61	0.49	0.81	0.81	1.96
1951	1.43	0.84	0.74	0.68	0.36	0.92	1	1.91
1952	1.79	0.8	1.08	0.61	0.59	0.88	0.8	1.94
1953	1.73	0.93	1.14	0.66	0.57	0.77	0.84	1.83
1954	1.04	0.64	0.69	0.44	0.52	0.73	0.74	1.83
1955	1.16	0.81	0.88	0.42	0.48	0.71	0.87	1.74
