# Meijer - Lac Miroir - PICE - ITRDB FRAN035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3923
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3923.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-22
#--------------------
# Title
#   Study_Name: Meijer - Lac Miroir - PICE - ITRDB FRAN035
#--------------------
# Investigators
#   Investigators: Meijer, F.; Wils, T.H.G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lac Miroir
#   Location: France
#   Northernmost_Latitude: 44.63
#   Southernmost_Latitude: 44.63
#   Easternmost_Longitude: 6.78
#   Westernmost_Longitude: 6.78
#   Elevation_m: 2300
#--------------------
# Data_Collection
#   Collection_Name: FRAN035
#   First_Year: 1560
#   Last_Year: 2000
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus cembra L.
#   Common_Name: Swiss stone pine
#   Tree_Species_Code: PICE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RGM01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RGM01A_raw	RGM05A_raw	RGM08A_raw	RGM09A_raw	RGM10A_raw	RGM12A_raw	RGM13A_raw	RGM15A_raw	RGM16A_raw	RGM17A_raw	RGM19A_raw
1634	0.91	NA	1.32	0.91	NA	1.92	NA	NA	NA	1.56	NA
1635	0.95	NA	1.76	0.78	NA	2.4	NA	NA	NA	1.55	NA
1636	0.77	NA	1.69	0.46	NA	2.05	NA	NA	NA	1.61	NA
1637	1.05	NA	1.37	0.79	NA	1.58	NA	NA	NA	1.71	NA
1638	0.63	NA	1.72	0.46	NA	1.69	NA	NA	NA	1.76	NA
1639	1.01	NA	1.46	0.68	NA	1.23	NA	NA	NA	1.32	NA
1640	0.32	NA	1.04	0.76	NA	1.81	NA	NA	NA	0.98	NA
1641	0.6	NA	1.24	0.36	NA	1.85	NA	NA	NA	1.04	NA
1642	1.04	NA	0.86	0.44	NA	1.91	NA	NA	NA	0.92	NA
1643	0.76	NA	0.94	0.57	NA	1.45	NA	NA	NA	0.93	NA
1644	0.57	NA	1.04	0.8	NA	1.55	NA	NA	NA	0.86	NA
1645	0.3	NA	0.83	0.44	NA	1.67	NA	NA	NA	0.78	NA
1646	0.75	NA	0.7	0.86	NA	1.98	NA	NA	NA	0.77	NA
1647	1.96	NA	0.82	0.7	NA	1.47	NA	NA	NA	0.71	NA
1648	1.32	NA	0.94	0.52	NA	1.47	NA	NA	NA	0.76	NA
1649	1.61	NA	0.9	0.5	NA	1.32	NA	NA	NA	0.79	NA
1650	1.45	NA	0.48	0.44	NA	0.98	NA	NA	NA	0.81	NA
1651	0.73	NA	0.53	0.54	NA	1.12	NA	NA	NA	0.78	NA
1652	0.41	NA	0.68	0.52	NA	1.02	NA	NA	NA	0.77	NA
1653	0.61	NA	0.58	0.52	NA	1.01	NA	NA	NA	0.77	NA
1654	0.35	NA	0.79	0.68	NA	1.01	NA	NA	NA	0.68	NA
1655	0.82	NA	0.68	0.43	NA	0.94	NA	NA	NA	0.59	NA
1656	0.95	NA	0.9	0.54	NA	1.04	NA	NA	NA	0.57	NA
1657	1.03	NA	0.62	0.35	NA	0.83	NA	NA	NA	0.45	NA
1658	0.63	NA	0.74	0.36	NA	0.71	NA	NA	NA	0.53	NA
1659	0.35	NA	0.7	0.44	NA	0.62	NA	NA	NA	0.45	NA
1660	0.82	NA	0.56	0.47	NA	0.79	NA	NA	NA	0.42	NA
1661	0.66	NA	0.56	0.42	NA	0.86	NA	NA	NA	0.34	NA
1662	0.58	NA	0.82	0.4	NA	1.06	NA	NA	NA	0.36	NA
1663	0.68	NA	0.78	0.31	NA	1.11	NA	NA	NA	0.43	NA
1664	0.36	NA	0.97	0.56	NA	1.05	NA	NA	NA	0.43	NA
1665	0.67	NA	0.94	0.41	NA	1.24	NA	NA	NA	0.44	NA
1666	0.53	NA	0.69	0.45	NA	1.38	NA	NA	NA	0.52	NA
1667	0.81	NA	0.76	0.28	NA	1.83	NA	NA	NA	0.5	NA
1668	0.72	NA	1.05	0.26	NA	1.62	NA	NA	NA	0.65	NA
1669	0.72	NA	1.14	0.33	NA	1.58	NA	NA	NA	0.6	NA
1670	1.05	NA	1.69	0.2	NA	1.27	NA	NA	NA	0.63	NA
1671	0.78	NA	0.86	0.35	NA	1.01	NA	NA	NA	0.62	NA
1672	0.6	NA	0.83	0.6	NA	1.06	NA	NA	NA	0.56	NA
1673	0.92	NA	0.56	0.56	NA	0.98	NA	NA	NA	0.44	NA
1674	1	NA	0.8	0.6	NA	0.61	NA	NA	NA	0.56	NA
1675	0.99	NA	0.54	0.56	NA	0.59	NA	NA	NA	0.44	NA
1676	1.02	NA	0.55	0.43	NA	1	NA	NA	NA	0.38	NA
1677	1.35	NA	0.49	0.4	NA	1	NA	NA	NA	0.57	NA
1678	1.24	NA	0.44	0.48	NA	0.98	NA	NA	NA	0.66	NA
1679	0.89	NA	0.63	0.62	NA	1.07	NA	NA	NA	0.42	NA
1680	0.58	NA	0.62	0.49	NA	1.46	NA	NA	NA	0.58	NA
1681	1.26	NA	0.45	0.51	NA	1.63	NA	NA	NA	0.37	NA
1682	0.72	NA	0.63	0.79	NA	1.14	NA	NA	NA	0.58	NA
1683	0.9	NA	0.63	0.77	NA	1.16	NA	NA	NA	0.67	NA
1684	0.33	NA	0.5	0.92	NA	1.47	NA	NA	NA	0.59	NA
1685	0.31	NA	0.58	0.84	NA	1.32	NA	NA	NA	0.72	NA
1686	0.57	NA	0.61	0.63	NA	1.57	NA	NA	NA	0.52	NA
1687	0.44	NA	0.49	0.7	NA	1.63	NA	NA	NA	0.69	NA
1688	0.28	NA	0.39	0.77	NA	1.74	NA	NA	NA	0.76	NA
1689	0.29	NA	0.42	0.7	NA	1.42	NA	NA	NA	0.67	NA
1690	0.48	NA	0.48	0.52	NA	1.49	NA	NA	NA	0.45	NA
1691	0.54	NA	0.64	0.68	NA	1.43	NA	NA	NA	0.63	NA
1692	0.75	NA	0.93	0.63	NA	1.33	NA	1.23	NA	0.61	NA
1693	0.76	NA	0.74	0.82	NA	1.17	NA	1.21	NA	0.85	NA
1694	0.56	NA	0.63	0.5	NA	1.29	NA	1.07	NA	0.54	NA
1695	0.76	NA	0.53	0.61	NA	1.38	NA	0.97	NA	0.55	NA
1696	0.11	NA	0.52	0.76	NA	1.29	NA	0.96	NA	0.65	NA
1697	0.31	NA	0.54	0.46	NA	0.79	NA	0.71	NA	0.45	NA
1698	0.3	NA	0.67	0.44	NA	0.69	NA	0.7	NA	0.44	NA
1699	0.32	NA	0.81	0.56	NA	1.01	NA	0.62	NA	0.53	NA
1700	0.43	NA	0.77	0.37	NA	0.63	NA	0.58	NA	0.54	NA
1701	0.37	NA	0.59	0.4	NA	0.56	NA	0.53	NA	0.55	NA
1702	0.25	NA	1	0.48	NA	0.75	NA	0.55	NA	0.38	NA
1703	0.37	NA	0.93	0.32	NA	0.7	NA	0.46	NA	0.44	NA
1704	0.46	NA	1.03	0.54	NA	0.61	NA	0.45	NA	0.46	NA
1705	0.77	NA	0.77	0.45	NA	0.83	NA	0.57	NA	0.56	NA
1706	0.9	NA	0.9	0.58	NA	0.75	NA	0.58	NA	0.56	NA
1707	0.47	NA	0.8	0.44	NA	0.73	NA	0.53	NA	0.65	NA
1708	0.38	NA	0.8	0.43	NA	0.89	NA	0.51	NA	0.63	NA
1709	0.45	NA	0.87	0.42	NA	0.67	NA	0.45	NA	0.58	1.97
1710	0.52	NA	0.62	0.36	NA	0.51	NA	0.45	NA	0.51	1.88
1711	0.46	NA	1.69	0.42	NA	0.78	NA	0.65	NA	0.55	1.9
1712	0.32	NA	1.17	0.43	NA	0.84	NA	0.73	NA	0.71	2.21
1713	0.53	NA	0.79	0.48	NA	0.8	NA	0.76	NA	0.82	1.88
1714	0.52	NA	0.82	0.4	NA	0.75	NA	0.59	NA	0.84	2.96
1715	0.54	NA	0.83	0.39	NA	0.94	NA	0.64	NA	0.52	2.4
1716	0.42	NA	0.99	0.41	NA	0.87	NA	0.63	2.01	0.74	2.25
1717	0.55	NA	1.02	0.48	NA	0.8	NA	0.35	2.02	0.83	2.2
1718	0.4	NA	1.36	0.34	NA	0.93	NA	0.37	2.17	0.71	2.29
1719	0.49	NA	0.99	0.35	NA	1.32	NA	0.59	2.36	0.68	2.37
1720	0.26	NA	0.81	0.41	NA	1.32	NA	0.37	2.1	0.97	2.61
1721	0.47	NA	0.67	0.45	NA	0.86	NA	0.22	1.84	0.8	2.11
1722	0.5	NA	0.64	0.42	NA	0.68	NA	0.19	2.05	0.76	2
1723	0.66	NA	0.69	0.46	NA	0.63	NA	0.22	1.93	0.8	1.56
1724	0.62	NA	0.38	0.28	NA	0.67	NA	0.26	1.91	0.75	1.98
1725	0.57	NA	0.68	0.57	NA	0.73	NA	0.24	1.91	0.93	3
1726	0.87	NA	0.91	0.48	NA	0.95	NA	0.32	1.51	0.85	1.88
1727	0.86	NA	0.89	0.62	NA	0.57	NA	0.19	2.11	0.88	3.02
1728	0.91	NA	0.64	0.34	NA	0.56	NA	0.28	1.97	0.72	2.06
1729	0.75	NA	0.74	0.66	NA	0.67	NA	0.42	1.78	0.7	2.17
1730	1.07	1.8	0.4	0.53	NA	0.42	NA	0.47	1.57	0.69	1.74
1731	0.75	0.55	0.9	0.51	NA	0.5	NA	0.67	1.58	0.65	1.53
1732	0.36	0.88	1	0.42	NA	0.4	NA	0.46	1.52	0.69	1.42
1733	0.53	0.77	0.65	0.42	NA	0.39	NA	0.71	1.41	0.56	2.05
1734	0.32	0.23	0.89	0.48	NA	0.38	NA	0.8	1.49	0.64	1.94
1735	0.71	0.66	0.45	0.59	NA	0.47	NA	0.65	1.23	0.65	2.62
1736	0.64	0.8	0.5	0.49	NA	0.56	NA	0.9	1.26	0.75	2.32
1737	0.54	1.3	0.58	0.62	NA	0.36	NA	0.99	1.18	1.02	2.8
1738	0.4	1.73	0.72	0.63	NA	0.76	NA	1.1	1.19	0.89	2.6
1739	0.67	1.23	0.81	0.48	NA	0.62	NA	1.23	1.5	0.85	2.78
1740	0.51	1.5	0.8	0.61	NA	0.73	NA	0.93	1.01	0.81	1.92
1741	0.34	0.98	0.79	0.44	NA	0.66	NA	0.93	1.13	0.89	1.79
1742	0.42	0.93	1.05	0.5	NA	0.56	NA	0.94	1.09	0.78	1.57
1743	0.25	0.77	0.93	0.59	NA	0.32	NA	0.75	0.99	0.76	1.76
1744	0.37	1.02	0.89	0.38	NA	0.37	NA	0.73	1.15	0.51	1.42
1745	0.44	0.91	1.02	0.42	NA	0.57	NA	0.78	1.03	0.45	1.62
1746	0.54	0.93	0.61	0.38	NA	0.71	NA	1.1	1.07	0.61	2.17
1747	0.57	1.14	0.6	0.61	NA	0.59	NA	0.86	1.41	0.53	2.65
1748	0.79	1.26	0.55	0.42	NA	0.62	NA	0.97	1.29	0.49	1.87
1749	0.62	1.09	0.58	0.65	NA	0.43	NA	0.79	1.14	0.54	2.16
1750	0.81	1.04	0.75	0.45	NA	0.54	NA	0.78	1.23	0.64	1.84
1751	0.62	0.94	1.04	0.41	NA	0.55	NA	0.96	1.29	0.32	1.48
1752	0.6	0.81	0.98	0.48	NA	0.63	NA	0.8	0.96	0.61	1.74
1753	0.72	1	0.72	0.48	NA	0.44	NA	0.78	1.4	0.4	1.37
1754	0.45	1.05	0.51	0.43	NA	0.45	NA	0.88	1.13	0.55	1.54
1755	0.69	0.82	0.52	0.57	NA	0.37	NA	0.8	0.9	0.53	1.56
1756	0.44	0.98	0.63	0.49	NA	0.45	NA	0.81	1.06	0.51	1.74
1757	0.66	0.87	0.54	0.42	NA	0.67	NA	0.89	0.93	0.57	1.66
1758	0.42	0.59	0.61	0.43	NA	0.46	NA	0.56	0.86	0.65	2.23
1759	0.53	0.66	0.55	0.49	NA	0.34	NA	0.79	0.87	0.43	1.89
1760	0.35	0.79	0.66	0.4	NA	0.39	NA	0.61	0.9	0.59	2.42
1761	0.27	0.82	0.31	0.26	NA	0.43	NA	1.35	0.81	0.6	2.29
1762	0.4	1.06	0.53	0.39	NA	0.38	NA	1.32	0.83	0.5	1.71
1763	0.16	0.98	0.74	0.39	NA	0.49	NA	0.72	0.87	0.47	1.75
1764	0.11	1.16	0.78	0.15	NA	0.46	NA	0.6	1.09	0.49	1.42
1765	0.21	1.5	0.47	0.22	NA	0.39	NA	0.27	0.86	0.65	1.51
1766	0.24	1.06	0.45	0.25	NA	0.48	NA	0.33	0.94	0.49	1.26
1767	0.31	1.09	0.49	0.16	0.3	0.42	NA	0.44	0.76	0.54	1.78
1768	0.4	0.71	0.71	0.15	0.3	0.42	NA	0.47	0.93	0.49	1.9
1769	0.24	0.57	0.41	0.22	0.32	0.39	NA	0.5	0.86	0.46	1.98
