# Richter - Gudar Pradillo - PISY - ITRDB SPAI040
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4256
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4256.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai040-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai040-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai040.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai040.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Gudar Pradillo - PISY - ITRDB SPAI040
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gudar Pradillo
#   Location: Spain
#   Northernmost_Latitude: 40.3
#   Southernmost_Latitude: 40.3
#   Easternmost_Longitude: -0.68
#   Westernmost_Longitude: -0.68
#   Elevation_m: 1650
#--------------------
# Data_Collection
#   Collection_Name: SPAI040
#   First_Year: 1859
#   Last_Year: 1985
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E440301A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440301A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440301B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440301B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440302A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440302A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440302B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440302B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440303A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440303A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440303B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440303B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440304A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440304A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440304B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440304B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440305A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440305A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440305B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440305B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E440301A_raw	E440301B_raw	E440302A_raw	E440302B_raw	E440303A_raw	E440303B_raw	E440304A_raw	E440304B_raw	E440305A_raw	E440305B_raw
1939	1.38	1.36	2.63	1.46	1.75	1.28	1.58	1.28	1.01	1.18
1940	1.53	1.58	2.98	1.64	2.2	1.8	2.99	2.83	1.13	1.55
1941	1.26	1.17	1.46	1.39	1.67	1.27	1.56	1.81	1.45	1.43
1942	1.13	1.19	0.45	0.46	1.5	1.35	1.05	1.22	1.61	1.54
1943	1.17	1.25	0.35	0.46	1.77	1.68	1.67	1.94	1.21	1.27
1944	0.56	0.41	0	0	0.39	0.46	0.45	0.24	0.22	0.17
1945	0.82	1.23	0.15	0	0.98	1.14	0.85	0.61	0.5	0.5
1946	0.48	1.01	0.34	0.2	1.26	1.89	0.97	0.69	0.62	0.86
1947	0.48	0.84	0.3	0.13	0.91	1.54	1.01	0.87	0.56	0.82
1948	0.56	0.91	0.39	0.29	1.3	1.49	1.02	0.72	0.76	0.87
1949	0.76	0.97	0.56	0.32	1.43	1.28	0.77	0.85	0.97	1.03
1950	0.76	0.93	0.6	0.27	1.54	0.92	0.81	0.91	0.72	1.19
1951	1.16	1.43	0.93	0.35	2.17	1.79	1.47	1.73	0.97	1.61
1952	1.23	1.4	0.89	0.4	2.69	1.58	1.61	1.87	1.29	1.52
1953	1.15	1.42	0.74	0.34	2.27	1.25	1.45	1.21	1.98	1.42
1954	2.26	2.13	1	0.31	3.16	1.55	1.79	1.8	3.09	2.02
1955	2.08	2.41	1.9	0.47	3.11	1.49	1.99	1.91	4.86	2.67
1956	2.84	2.57	0.73	0.38	2.86	1.9	1.42	2.25	5.05	3.73
1957	2.32	4.77	1.29	0.53	2.3	1.72	1.74	2.19	4.65	3.81
1958	2.23	5.68	1.31	0.52	1.78	1.4	1.22	1.33	3.91	2.85
1959	2.09	5.18	1.14	0.63	2.08	2.04	1.83	2.07	3.2	2.35
1960	2.04	5.37	0.91	0.59	2.64	2.38	1.52	2.22	4.17	2.93
1961	1.03	2.37	1.21	0.76	1.57	1.39	1.33	1.22	4.66	2.77
1962	1.29	1.17	1.21	0.7	2.75	2.23	1.99	1.9	3.23	1.88
1963	1.31	1.01	1.1	0.37	2.03	1.49	1.41	1.76	2.67	1.62
1964	1.48	1.2	1.25	0.57	1.59	1.14	1.82	1.48	4	1.91
1965	1	1	0.94	0.4	1.2	1.15	1.29	1.04	1.73	1.57
1966	1.25	1.05	1.35	0.44	2.03	2.5	1.93	1.8	1.38	0.97
1967	0.88	0.86	1.39	0.23	1.34	1.52	0.84	0.83	1.37	1.11
1968	0.79	0.91	1.56	0.55	1.8	1.85	1.12	1.09	1.62	1.38
1969	0.94	1.09	0.9	0.77	2.13	2.2	1.35	1.41	2.12	1.19
1970	1.09	1.15	0.66	0.42	2.39	2.03	1.55	1.4	1.72	1.58
1971	1.12	1.19	0.64	0.26	2.21	1.77	1.62	1.35	1.65	1.64
1972	1.12	1.08	0.75	0.32	1.26	0.97	1.47	1.13	1.67	1.19
1973	1.3	1.05	0.86	0.48	1.93	1.07	1.82	1.55	2.41	2.29
1974	0.46	0.64	0.43	0.11	1.43	0.29	0.71	0.48	0.63	0.96
1975	0.79	1.31	0.38	0.14	1.34	0.32	0.68	0.75	0.47	0.73
1976	1.12	1.86	0.58	0.34	1.63	0.53	1.31	1.38	1.3	1.12
1977	2.46	1.65	0.48	0.27	1.4	0.7	1.3	1.39	1.53	1.47
1978	1.45	1.23	0.39	0.28	1.08	0.54	0.85	0.77	1.26	1.22
1979	1.56	1.7	0.45	0.31	1.06	0.8	1.13	1.06	1.24	1.03
1980	1.41	2.53	1.02	0.62	1.98	1.78	1.6	NA	1	1.42
1981	1.02	1.52	0.42	0.39	1.42	1.14	0.9	NA	0.78	0.64
1982	1.09	1.56	0.62	0.35	1.05	1.05	1.03	NA	0.62	0.74
1983	1.26	1.28	1.03	0.55	0.87	0.88	0.73	NA	0.84	0.98
1984	1.09	1.03	1.11	0.5	1.4	NA	0.93	NA	0.65	1.09
1985	NA	1.52	1.06	0.89	1.66	NA	1.01	NA	1.08	1.55
