# Morgan - Castle Howard - QUSP - ITRDB BRIT11
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4034
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4034.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit11-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit11-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit11.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit11.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Morgan - Castle Howard - QUSP - ITRDB BRIT11
#--------------------
# Investigators
#   Investigators: Morgan, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Castle Howard
#   Location: United Kingdom
#   Northernmost_Latitude: 54.12
#   Southernmost_Latitude: 54.12
#   Easternmost_Longitude: -0.92
#   Westernmost_Longitude: -0.92
#   Elevation_m: 213
#--------------------
# Data_Collection
#   Collection_Name: BRIT11
#   First_Year: 1708
#   Last_Year: 1973
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CHO011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HOWSHA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HOWSHA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CHO011_raw	CHO031_raw	CHO041_raw	CHO051_raw	CHO061_raw	CHO071_raw	CHO081_raw	CHO091_raw	HOWSHA_raw
1784	NA	NA	0.25	0.25	0.19	0.24	0.18	0.11	NA
1785	NA	NA	0.13	0.11	0.17	0.16	0.13	0.12	NA
1786	NA	NA	0.18	0.12	0.15	0.22	0.15	0.1	NA
1787	NA	NA	0.24	0.19	0.19	0.24	0.16	0.1	NA
1788	NA	NA	0.3	0.22	0.18	0.2	0.16	0.13	NA
1789	NA	NA	0.36	0.25	0.18	0.23	0.14	0.11	NA
1790	NA	NA	0.21	0.28	0.12	0.19	0.18	0.12	NA
1791	NA	NA	0.21	0.26	0.11	0.17	0.18	0.15	NA
1792	NA	NA	0.2	0.22	0.12	0.15	0.18	0.1	NA
1793	NA	NA	0.11	0.13	0.14	0.09	0.16	0.09	NA
1794	NA	NA	0.12	0.13	0.2	0.12	0.14	0.1	NA
1795	NA	NA	0.16	0.1	0.21	0.19	0.12	0.17	NA
1796	NA	0.53	0.13	0.16	0.2	0.14	0.13	0.06	NA
1797	NA	0.59	0.2	0.19	0.12	0.15	0.17	0.1	NA
1798	NA	0.6	0.15	0.2	0.13	0.13	0.14	0.06	NA
1799	NA	0.43	0.13	0.18	0.12	0.15	0.14	0.1	NA
1800	NA	0.45	0.19	0.23	0.14	0.19	0.15	0.12	NA
1801	NA	0.38	0.12	0.21	0.14	0.19	0.11	0.07	NA
1802	NA	0.49	0.1	0.17	0.13	0.16	0.15	0.1	NA
1803	NA	0.27	0.14	0.15	0.14	0.14	0.14	0.09	NA
1804	NA	0.39	0.13	0.12	0.14	0.15	0.13	0.12	NA
1805	NA	0.43	0.19	0.21	0.14	0.16	0.13	0.13	NA
1806	NA	0.49	0.16	0.18	0.12	0.17	0.11	0.09	NA
1807	NA	0.43	0.17	0.18	0.22	0.16	0.11	0.08	NA
1808	NA	0.33	0.12	0.17	0.22	0.17	0.12	0.12	NA
1809	NA	0.27	0.14	0.12	0.13	0.2	0.13	0.1	NA
1810	NA	0.24	0.17	0.16	0.14	0.15	0.17	0.11	NA
1811	NA	0.22	0.15	0.22	0.12	0.19	0.13	0.14	NA
1812	NA	0.47	0.17	0.22	0.18	0.18	0.13	0.12	NA
1813	NA	0.42	0.2	0.2	0.16	0.17	0.15	0.14	NA
1814	NA	0.24	0.14	0.16	0.21	0.17	0.18	0.13	NA
1815	NA	0.29	0.16	0.17	0.16	0.12	0.16	0.09	NA
1816	NA	0.24	0.13	0.1	0.19	0.07	0.17	0.06	NA
1817	NA	0.38	0.13	0.14	0.13	0.08	0.14	0.07	NA
1818	NA	0.4	0.15	0.16	0.17	0.1	0.12	0.07	NA
1819	NA	0.47	0.15	0.12	0.2	0.11	0.1	0.1	NA
1820	NA	0.38	0.12	0.11	0.14	0.12	0.08	0.1	NA
1821	NA	0.23	0.1	0.11	0.15	0.1	0.08	0.09	NA
1822	NA	0.27	0.14	0.18	0.12	0.18	0.09	0.12	NA
1823	NA	0.35	0.16	0.18	0.15	0.21	0.08	0.12	NA
1824	NA	0.32	0.13	0.2	0.21	0.19	0.1	0.12	NA
1825	NA	0.25	0.15	0.17	0.25	0.16	0.12	0.06	NA
1826	NA	0.24	0.12	0.13	0.14	0.11	0.14	0.08	NA
1827	NA	0.18	0.2	0.15	0.12	0.13	0.09	0.1	NA
1828	NA	0.2	0.19	0.17	0.14	0.24	0.1	0.1	NA
1829	0.38	0.21	0.17	0.17	0.12	0.26	0.11	0.12	NA
1830	0.32	0.24	0.18	0.14	0.2	0.21	0.1	0.11	NA
1831	0.4	0.26	0.16	0.18	0.18	0.22	0.13	0.11	NA
1832	0.19	0.2	0.14	0.09	0.22	0.15	0.09	0.07	NA
1833	0.27	0.3	0.13	0.08	0.26	0.12	0.11	0.1	NA
1834	0.3	0.31	0.2	0.16	0.19	0.17	0.11	0.12	NA
1835	0.28	0.27	0.16	0.2	0.16	0.17	0.14	0.13	NA
1836	0.25	0.22	0.16	0.19	0.15	0.16	0.13	0.11	NA
1837	0.28	0.2	0.16	0.17	0.12	0.2	0.12	0.1	NA
1838	0.25	0.15	0.14	0.17	0.1	0.2	0.11	0.09	NA
1839	0.2	0.13	0.12	0.17	0.12	0.25	0.09	0.11	NA
1840	0.2	0.11	0.11	0.12	0.12	0.18	0.11	0.08	NA
1841	0.25	0.18	0.16	0.2	0.11	0.21	0.09	0.12	NA
1842	0.38	0.39	0.21	0.25	0.14	0.2	0.06	0.1	NA
1843	0.32	0.25	0.11	0.12	0.15	0.21	0.07	0.09	NA
1844	0.23	0.21	0.1	0.12	0.12	0.16	0.08	0.09	NA
1845	0.33	0.31	0.16	0.17	0.15	0.22	0.08	0.12	NA
1846	0.45	0.54	0.25	0.24	0.21	0.27	0.08	0.14	NA
1847	0.35	0.42	0.17	0.17	0.35	0.25	0.1	0.15	NA
1848	0.38	0.36	0.18	0.18	0.3	0.3	0.11	0.13	NA
1849	0.35	0.36	0.24	0.2	0.24	0.25	0.12	0.09	NA
1850	0.35	0.39	0.19	0.19	0.2	0.27	0.12	0.12	NA
1851	0.33	0.44	0.24	0.2	0.23	0.29	0.12	0.11	NA
1852	0.29	0.22	0.16	0.16	0.25	0.23	0.1	0.11	NA
1853	0.32	0.23	0.18	0.21	0.14	0.24	0.11	0.14	NA
1854	0.24	0.2	0.19	0.17	0.25	0.2	0.08	0.08	NA
1855	0.27	0.3	0.17	0.26	0.15	0.28	0.1	0.15	NA
1856	0.28	0.26	0.18	0.2	0.12	0.28	0.07	0.14	NA
1857	0.33	0.32	0.22	0.19	0.07	0.3	0.1	0.13	NA
1858	0.36	0.34	0.22	0.12	0.12	0.19	0.09	0.13	NA
1859	0.39	0.4	0.25	0.17	0.2	0.22	0.1	0.17	NA
1860	0.21	0.19	0.12	0.1	0.14	0.14	0.13	0.1	NA
1861	0.14	0.18	0.15	0.13	0.18	0.19	0.14	0.1	NA
1862	0.14	0.22	0.19	0.12	0.16	0.17	0.1	0.08	NA
1863	0.16	0.32	0.2	0.17	0.13	0.19	0.09	0.1	NA
1864	0.2	0.3	0.21	0.19	0.2	0.19	0.11	0.14	NA
1865	0.26	0.41	0.25	0.24	0.21	0.31	0.13	0.15	0.45
1866	0.29	0.35	0.19	0.18	0.16	0.23	0.12	0.17	0.5
1867	0.21	0.22	0.16	0.18	0.16	0.19	0.13	0.12	0.39
1868	0.3	0.28	0.19	0.14	0.16	0.14	0.12	0.12	0.35
1869	0.26	0.2	0.13	0.13	0.16	0.12	0.13	0.12	0.39
1870	0.33	0.25	0.15	0.14	0.16	0.17	0.13	0.16	0.42
1871	0.25	0.18	0.17	0.15	0.11	0.18	0.09	0.14	0.51
1872	0.26	0.17	0.22	0.17	0.08	0.18	0.12	0.16	0.36
1873	0.25	0.17	0.17	0.18	0.06	0.15	0.09	0.14	0.27
1874	0.18	0.16	0.13	0.11	0.06	0.09	0.1	0.15	0.24
1875	0.26	0.18	0.18	0.13	0.06	0.16	0.11	0.14	0.32
1876	0.23	0.16	0.17	0.13	0.06	0.15	0.08	0.15	0.34
1877	0.23	0.18	0.17	0.11	0.06	0.15	0.1	0.12	0.26
1878	0.27	0.18	0.19	0.14	0.09	0.22	0.1	0.12	0.34
1879	0.18	0.13	0.16	0.12	0.09	0.1	0.09	0.11	0.24
1880	0.13	0.09	0.17	0.1	0.09	0.08	0.1	0.1	0.2
1881	0.15	0.13	0.15	0.13	0.12	0.1	0.1	0.1	0.23
1882	0.17	0.18	0.16	0.15	0.15	0.12	0.07	0.13	0.28
1883	0.19	0.16	0.19	0.12	0.15	0.12	0.09	0.12	0.28
1884	0.24	0.21	0.16	0.12	0.13	0.15	0.12	0.14	0.32
1885	0.23	0.11	0.16	0.1	0.13	0.13	0.1	0.14	0.23
1886	0.27	0.09	0.25	0.13	0.14	0.21	0.1	0.14	0.33
1887	0.24	0.07	0.12	0.11	0.1	0.1	0.1	0.11	0.2
1888	0.14	0.06	0.12	0.07	0.08	0.09	0.09	0.1	0.18
1889	0.19	0.07	0.13	0.1	0.09	0.11	0.09	0.15	0.24
1890	0.23	0.14	0.2	0.12	0.12	0.17	0.07	0.15	0.25
1891	0.27	0.16	0.13	0.12	0.13	0.14	0.08	0.15	0.26
1892	0.25	0.2	0.19	0.12	0.12	0.11	0.12	0.12	0.29
1893	0.26	0.21	0.16	0.11	0.12	0.14	0.08	0.15	0.35
1894	0.15	0.15	0.11	0.08	0.08	0.08	0.1	0.09	0.16
1895	0.19	0.22	0.12	0.08	0.13	0.11	0.05	0.12	0.3
1896	0.2	0.36	0.18	0.09	0.1	0.1	0.04	0.13	0.36
1897	0.23	0.34	0.19	0.13	0.08	0.11	0.05	0.13	0.25
1898	0.2	0.23	0.18	0.1	0.08	0.07	0.05	0.14	0.18
1899	0.34	0.24	0.17	0.11	0.12	0.11	0.05	0.17	0.3
1900	0.3	0.16	0.22	0.18	0.1	0.14	0.06	0.15	0.35
1901	0.23	0.11	0.17	0.13	0.1	0.13	0.05	0.12	0.21
1902	0.23	0.12	0.13	0.13	0.14	0.07	0.06	0.1	0.19
1903	0.28	0.2	0.17	0.18	0.19	0.17	0.07	0.13	0.31
1904	0.26	0.28	0.17	0.17	0.13	0.12	0.08	0.11	0.22
1905	0.25	0.18	0.14	0.16	0.1	0.11	0.08	0.13	0.2
1906	0.2	0.07	0.13	0.13	0.11	0.1	0.08	0.12	0.22
1907	0.17	0.05	0.07	0.07	0.11	0.09	0.07	0.05	0.15
1908	0.2	0.05	0.11	0.11	0.11	0.09	0.08	0.04	0.29
1909	0.2	0.06	0.09	0.09	0.07	0.08	0.08	0.14	0.24
1910	0.25	0.05	0.13	0.11	0.09	0.08	0.1	0.09	0.23
1911	0.24	0.05	0.15	0.15	0.1	0.14	0.14	0.13	0.34
1912	0.18	0.05	0.15	0.13	0.09	0.11	0.1	0.15	0.25
1913	0.19	0.05	0.17	0.1	0.1	0.11	0.07	0.05	0.22
1914	0.2	0.05	0.15	0.1	0.12	0.1	0.08	0.04	0.3
1915	0.2	0.05	0.15	0.09	0.1	0.11	0.09	0.04	0.18
1916	0.22	0.04	0.11	0.07	0.12	0.13	0.07	0.05	0.16
1917	0.23	0.05	0.13	0.13	0.13	0.11	0.1	0.1	0.21
1918	0.2	0.05	0.12	0.08	0.11	0.11	0.07	0.05	0.2
1919	0.22	0.05	0.13	0.09	0.11	0.11	0.08	0.04	0.22
1920	0.2	0.05	0.13	0.1	0.11	0.11	0.06	0.04	0.21
1921	0.4	0.06	0.13	0.13	0.16	0.16	0.08	0.1	0.26
1922	0.29	0.07	0.15	0.12	0.22	0.1	0.09	0.08	0.22
1923	0.19	0.05	0.11	0.11	0.11	0.12	0.08	0.06	0.16
1924	0.26	0.05	0.11	0.07	0.14	0.12	0.08	0.07	0.15
1925	0.19	0.05	0.09	0.07	0.1	0.12	0.07	0.08	0.18
1926	0.21	0.06	0.12	0.1	0.2	0.15	0.08	0.08	0.16
1927	0.22	0.07	0.1	0.11	0.15	0.13	0.08	0.07	0.18
1928	0.22	0.07	0.14	0.13	0.15	0.12	0.07	0.07	0.12
1929	0.22	0.05	0.12	0.1	0.15	0.12	0.08	0.08	0.15
1930	0.16	0.05	0.1	0.09	0.12	0.1	0.1	0.08	0.2
1931	0.2	0.05	0.1	0.07	0.14	0.11	0.09	0.09	0.16
1932	0.17	0.05	0.1	0.06	0.18	0.1	0.07	0.09	0.15
1933	0.16	0.05	0.08	0.06	0.12	0.11	0.08	0.09	0.13
1934	0.16	0.06	0.09	0.05	0.13	0.1	0.08	0.09	0.16
1935	0.14	0.06	0.09	0.06	0.11	0.11	0.06	0.08	0.18
1936	0.22	0.05	0.13	0.11	0.17	0.12	0.07	0.1	0.12
1937	0.28	0.07	0.1	0.1	0.16	0.11	0.09	0.08	0.11
1938	0.22	0.06	0.08	0.07	0.17	0.12	0.08	0.09	0.11
1939	0.35	0.07	0.1	0.14	0.28	0.17	0.09	0.12	0.19
1940	0.29	0.08	0.08	0.11	0.23	0.11	0.08	0.12	0.13
1941	0.2	0.08	0.11	0.11	0.2	0.11	0.07	0.12	0.1
1942	0.17	0.09	0.1	0.08	0.2	0.09	0.07	0.11	0.1
1943	0.17	0.07	0.07	0.05	0.15	0.09	0.08	0.11	0.1
1944	0.16	0.07	0.08	0.07	0.2	0.11	0.1	0.15	0.16
1945	0.17	0.09	0.09	0.1	0.2	0.14	0.1	0.14	0.17
1946	0.16	0.07	0.08	0.05	0.12	0.08	0.06	0.1	0.14
1947	0.25	0.12	0.13	0.1	0.19	0.14	0.09	0.15	0.23
1948	0.14	0.09	0.09	0.07	0.07	0.07	0.06	0.09	0.22
1949	0.21	0.1	0.07	0.08	0.09	0.08	0.1	0.14	0.2
1950	0.28	0.14	0.11	0.09	0.14	0.12	0.1	0.14	0.22
1951	0.21	0.12	0.12	0.07	0.16	0.12	0.06	0.06	0.13
1952	0.19	0.08	0.11	0.07	0.19	0.11	0.08	0.09	0.12
1953	0.26	0.09	0.12	0.07	0.25	0.14	0.09	0.14	0.16
1954	0.17	0.09	0.1	0.05	0.2	0.08	0.08	0.13	0.12
