# Baillie - Caledon Demesne - QUSP - ITRDB BRIT043
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2670
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2670.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit043-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit043-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit043.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit043.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Baillie - Caledon Demesne - QUSP - ITRDB BRIT043
#--------------------
# Investigators
#   Investigators: Baillie, M.G.L.; Brown, D.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Caledon Demesne
#   Location: United Kingdom
#   Northernmost_Latitude: 54.35
#   Southernmost_Latitude: 54.35
#   Easternmost_Longitude: -6.85
#   Westernmost_Longitude: -6.85
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT043
#   First_Year: 1864
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q8967M_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q8967M; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8968_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8968; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8969_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8969; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8970_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8970; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8971_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8971; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8972_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8972; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8973_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8973; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8974_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8974; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8977_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8977; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8979_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8979; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8980_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8980; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q8967M_raw	Q 8968_raw	Q 8969_raw	Q 8970_raw	Q 8971_raw	Q 8972_raw	Q 8973_raw	Q 8974_raw	Q 8977_raw	Q 8979_raw	Q 8980_raw
1927	2.03	0.9	1.13	0.55	1.31	1.5	0.4	0.73	0.57	0.56	0.97
1928	1.59	0.75	1.03	0.38	1.3	1.49	0.52	0.59	0.52	0.48	0.81
1929	1.89	0.89	1.18	0.66	1.46	1.31	0.59	0.72	0.64	0.55	1.32
1930	1.71	1.08	1.2	0.57	1.28	1.34	0.45	0.61	0.53	0.52	1.52
1931	1.74	1.23	1.26	0.64	1.48	1.46	0.59	0.85	0.56	0.64	1.26
1932	1.39	1.38	0.77	0.74	1.57	1.28	0.59	0.63	0.71	0.7	1.38
1933	1.67	1.23	1.16	0.59	1.41	1.46	0.73	0.53	0.8	0.96	1.62
1934	1.59	0.98	0.58	0.54	1.16	1.07	0.79	0.38	0.52	0.56	1.56
1935	2.05	1.57	1.33	0.85	1.37	1.66	1.18	0.7	0.87	1.14	2.11
1936	2.45	1.77	1.26	0.73	1.94	2.47	1.33	0.88	0.63	2.17	2.29
1937	1.83	1.05	0.98	0.59	1.69	1.99	0.95	0.68	0.4	1.19	1.33
1938	1.73	1.06	1.18	0.66	1.49	1.65	0.91	0.59	0.68	1.06	1.52
1939	2.11	1.49	1.38	0.83	1.44	2.48	1.57	0.77	0.68	1.32	2.05
1940	1.73	1.44	0.81	0.71	1.41	2.03	1.22	0.7	0.63	0.79	1.91
1941	2	1.2	0.73	0.75	2.04	2.2	1.68	0.74	0.71	0.63	2.16
1942	1.89	1.16	1.1	0.69	1.43	2.09	1.61	0.69	0.78	1	2.52
1943	1.61	0.88	0.82	0.62	0.86	1.41	1.26	0.61	0.64	0.93	2.33
1944	1.45	0.77	0.41	0.58	0.67	1.28	1.07	0.56	0.56	0.83	1.48
1945	1.76	1.2	1.07	0.71	0.82	1.58	1.52	0.77	0.63	1	2.06
1946	1.39	1.31	0.85	0.52	0.96	1.48	1.26	1.03	0.71	0.87	1.04
1947	1.92	1.2	1.13	0.79	1.24	1.41	1.4	1.23	0.7	1.25	1.16
1948	1.35	1	0.74	0.47	0.92	1.17	1.51	0.91	0.44	0.94	1.06
1949	1.24	0.77	0.85	0.73	0.77	1.15	1.24	1.01	0.47	0.74	1.01
1950	1.93	1.22	0.8	0.63	1.02	1.29	1.29	1.2	0.77	0.77	1.18
1951	1.61	1.27	0.92	0.56	0.79	1.27	1.67	1.23	0.96	0.7	0.9
1952	1.62	1.32	0.83	0.62	0.93	1.29	1.3	1.01	0.72	0.59	0.84
1953	1.53	1.28	0.84	0.61	0.88	1.2	1.31	0.98	0.86	0.58	0.88
1954	1.54	1.14	0.74	0.47	0.87	1.26	1.45	0.78	0.65	0.66	1.08
1955	1.64	1.39	0.95	0.61	1.09	1.69	1.24	1.1	0.55	0.96	1.51
1956	1.32	1.02	0.93	0.42	0.85	1.04	0.82	0.65	0.48	0.55	1.02
1957	1.48	0.85	0.73	0.4	0.81	0.99	0.88	0.62	0.45	0.56	1.37
1958	1.42	1.22	1.13	0.53	1.14	1.28	0.94	0.79	0.5	0.77	1.26
1959	1.27	1.14	1.1	0.47	1.16	1.04	0.73	0.81	0.47	0.69	1.72
1960	1.49	1.17	0.81	0.51	1.2	0.95	1.08	0.72	0.75	0.88	1.92
1961	1.03	0.98	0.86	0.47	1.23	0.96	1.05	0.5	0.6	0.64	1.67
1962	1.34	1.13	1.11	0.75	1.46	1.3	1.64	0.69	0.52	0.92	1.9
1963	1.2	1.28	0.79	0.69	1.25	1.34	1.48	0.55	0.55	0.73	2.06
1964	1.1	1.18	0.89	0.62	1.39	0.88	1.08	0.55	0.62	0.85	1.64
1965	1.04	1.04	0.98	0.54	1.25	0.78	0.85	0.6	0.61	0.72	1.26
1966	0.85	0.88	0.86	0.52	1.6	1.02	1.09	0.67	0.58	1.1	1.57
1967	1.06	0.85	1.14	0.52	1.34	0.92	1.12	0.57	0.54	1.13	1.34
1968	0.94	0.93	1.05	0.47	1.16	0.8	1.36	0.6	0.65	0.92	0.79
1969	0.94	1.21	0.91	0.47	1.37	0.93	1.38	0.7	0.5	0.69	0.77
1970	0.89	0.93	0.74	0.45	1.15	0.87	1.34	0.77	0.5	0.75	0.75
1971	0.76	1.08	0.42	0.35	1.09	1.04	1.55	0.77	0.61	0.82	0.75
1972	0.84	1.28	0.76	0.43	0.92	1.1	1.43	0.61	0.53	0.71	0.56
1973	1	1.39	0.38	0.37	0.81	1.15	2.05	0.68	0.39	0.59	0.42
1974	0.9	1.14	0.55	0.32	0.87	1.76	2.6	0.73	0.53	0.83	0.4
1975	0.75	0.91	0.68	0.43	0.64	1.32	1.99	0.34	0.63	0.59	0.57
1976	0.79	1.03	0.79	0.35	0.67	1.06	2.22	0.37	0.53	0.68	0.98
1977	0.72	0.94	0.59	0.34	0.69	0.88	1.6	0.44	0.58	0.48	0.59
1978	0.79	1.2	0.69	0.41	0.71	1.22	1.78	0.59	0.53	0.62	0.51
1979	1.03	1.3	0.66	0.49	1.1	1.22	1.91	0.55	0.58	0.67	0.53
1980	0.88	1.08	0.59	0.31	0.97	1.33	1.41	0.44	0.59	0.59	0.51
1981	1	1.22	0.64	0.31	1.01	1.54	1.28	0.47	0.55	0.52	0.9
1982	1.19	1.36	0.61	0.35	0.79	1.6	1.01	0.31	0.55	0.69	0.79
1983	1.31	1.22	0.65	0.31	0.89	1.3	0.97	0.38	0.48	0.74	0.76
1984	0.96	0.97	0.53	0.28	0.71	1.52	1.25	0.37	0.42	0.46	0.59
1985	0.87	1.3	0.56	0.33	0.67	1.33	1.14	0.41	0.44	0.64	0.56
1986	0.66	0.72	0.41	0.23	0.66	1.14	0.78	0.39	0.34	0.48	0.35
1987	1.09	1.35	0.79	0.36	0.72	1.3	1.41	0.39	0.6	0.59	0.75
1988	1.07	1.27	0.92	0.26	0.8	1.31	1.04	0.52	0.4	0.51	0.81
1989	1.15	1.21	0.77	0.33	0.66	1.18	1.17	0.55	0.47	0.57	1.59
1990	1.27	1.26	0.63	0.26	0.82	1.34	1.27	0.57	0.67	0.6	1.7
1991	0.91	1.02	0.61	0.28	0.6	1.08	0.93	0.59	0.54	0.37	0.96
1992	1.2	1.25	0.54	0.19	0.66	1.49	0.95	0.74	0.49	0.44	1.51
1993	1.08	1.24	0.67	0.38	0.75	1.71	1.42	0.81	0.48	0.3	1.5
1994	0.71	1.14	0.64	0.45	0.75	1.56	1.07	0.88	0.51	0.26	1.17
