# Vanoni - Val Sumvitg - ABAL - ITRDB SWIT399
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33047
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33047.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit399-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit399-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit399.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit399.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-03-05
#--------------------
# Title
#   Study_Name: Vanoni - Val Sumvitg - ABAL - ITRDB SWIT399
#--------------------
# Investigators
#   Investigators: Vanoni, M.; Frey, H.-U.; Bigler, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: Reference: 
# # Vanoni M. 2012. Klimatische Einflusse auf die Wachstumsvariabilitat von Weisstanne und Fichte entlang des Weisstannen-Ausbreitungsgradienten. Master thesis. ETH Zurich, Zurich. NOAA Template Raw Measurements file added 2021-05-03.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Val Sumvitg
#   Location: Switzerland
#   Northernmost_Latitude: 46.653633
#   Southernmost_Latitude: 46.653633
#   Easternmost_Longitude: 8.985493
#   Westernmost_Longitude: 8.985493
#   Elevation_m: 1450
#--------------------
# Data_Collection
#   Collection_Name: SWIT399
#   First_Year: 1845
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VAT01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VAT01_raw	VAT02_raw	VAT03_raw	VAT04_raw	VAT05A_raw	VAT06_raw	VAT07_raw	VAT08_raw	VAT09_raw	VAT11_raw
1923	2.64	NA	5.84	NA	NA	NA	3.63	NA	0.92	2.48
1924	1.56	NA	5.34	NA	NA	NA	2.87	NA	0.74	1.82
1925	2.05	NA	7.44	5.16	NA	2.17	3.01	1.54	0.88	2.01
1926	2.42	NA	6.02	6.64	NA	2.3	2.97	1.9	1.14	2.95
1927	2.44	NA	5.44	6.97	NA	1.93	2.89	2.08	1.04	3.12
1928	2.88	NA	6.07	6.02	NA	1.99	3.08	1.68	1.69	3.54
1929	2.01	NA	4.98	6.92	NA	1.81	2.72	1.76	1.21	2.87
1930	2.06	NA	4.76	4.98	NA	1.82	2.89	1.47	1.34	3.11
1931	2	NA	5.19	4.89	NA	1.75	2.42	1.82	1.38	3.33
1932	2.35	NA	5.37	5.61	1.85	1.64	3.64	2.1	1.88	3.63
1933	2.33	NA	6.1	5.48	1.96	1.58	3.8	2.41	1.28	4.2
1934	2	NA	5.91	3.96	1.82	1.65	2.87	2.16	0.86	3.02
1935	2.26	NA	5.75	3.73	1.5	1.7	2.86	1.96	0.79	3.43
1936	1.98	NA	4.98	3.75	1.78	1.92	2.48	1.93	0.86	3.41
1937	1.87	NA	5.33	3.63	1.87	1.42	2.48	2.11	1.38	2.99
1938	1.9	NA	4.87	3.2	1.93	2.06	2.56	2.04	1.58	2.52
1939	1.67	NA	4.8	3.1	1.97	2.25	2.64	1.8	1.55	2.83
1940	2.06	NA	5.08	2.74	2.3	2.83	2.64	2.25	1.87	2.91
1941	1.8	NA	5.38	2.71	1.88	2.54	2.32	2.14	1.64	2.42
1942	1.72	NA	6.25	2.48	2.17	2.59	2.34	2	1.51	2.69
1943	1.65	NA	7.11	2.79	3.54	3.23	2.74	2.25	2.82	3.15
1944	1.55	NA	6.5	2.59	3.45	3.08	2.91	2.41	1.82	2.65
1945	1.63	NA	6.45	2.5	2.42	3.76	2.41	2.21	1.79	3.34
1946	1.6	NA	6.2	2.56	2.62	4.18	3.06	2.5	1.6	2.77
1947	1.56	NA	6.13	2.94	3.38	4.38	3.02	3.01	2.33	2.57
1948	1.43	NA	4.82	2.31	2.68	3.67	2.6	2.6	1.42	2
1949	2.16	NA	5.74	2.58	2.76	4.02	3.05	3.38	2.05	2.39
1950	1.52	NA	4.68	2.22	1.87	3.46	2.36	2.32	1.2	1.94
1951	1.65	NA	5.2	1.91	2.58	4	2.34	2.38	1.99	2.21
1952	2.1	NA	6.19	2.7	3.09	4.76	2.9	2.72	2.87	2.99
1953	1.92	NA	5.3	2.3	2.81	3.7	2.32	2.4	2.14	2.45
1954	2.35	NA	4.28	1.68	2.34	2.77	2.19	1.94	1.61	2.26
1955	2.88	NA	4.32	2.04	2.04	2.99	2.58	2.09	1.86	2.58
1956	2.35	NA	3.62	1.32	1.69	3.09	2.3	1.62	1.27	2
1957	2.41	NA	3.37	1.34	1.43	1.89	2.25	1.65	1.11	1.5
1958	2.54	NA	3.65	1.47	1.46	2.13	2.37	1.77	1.55	1.89
1959	2.53	NA	3.64	1.37	1.43	2.05	2.27	1.74	1.03	2.05
1960	1.92	NA	3.05	1.24	1.33	2.31	1.93	1.59	0.67	2.11
1961	2.64	NA	3.12	1.47	1.93	2.61	2.37	1.31	1.2	2.79
1962	1.91	NA	2.66	1.28	1.74	2.01	1.96	1.3	0.89	2.57
1963	1.92	NA	2.58	1.15	1.2	1.71	1.77	1.2	0.75	2.47
1964	2.49	NA	3.28	1.47	1.28	2.02	2	1.56	0.61	3.15
1965	2.21	NA	2.96	1.43	1.27	2.37	1.46	1.71	0.63	2.54
1966	2.11	NA	2.89	1.35	1.44	2.62	1.5	2.01	0.64	2.29
1967	2.04	NA	2.98	1.57	1.58	2.25	1.58	2.15	0.68	2.08
1968	1	NA	2.48	1.25	1.02	1.8	1.34	1.95	0.68	1.73
1969	0.8	NA	3.41	1.74	1.25	2.09	1.67	2.62	0.97	2
1970	0.56	NA	2.77	1.28	0.79	1.82	1.18	1.83	0.5	1.52
1971	0.89	NA	3.56	1.37	0.91	2.44	1.63	2.8	0.23	1.88
1972	0.68	NA	3.04	1.34	1.08	2.17	1.49	2.6	0.21	2.11
1973	0.85	NA	2.89	1.53	1.22	2.13	1.74	2.9	0.22	1.85
1974	0.86	NA	2.62	1.31	0.89	1.93	1.47	2.39	0.21	1.92
1975	0.83	NA	2.49	1.73	0.97	1.96	1.55	2.46	0.3	1.67
1976	0.52	NA	2.04	1.62	0.65	1.43	1.65	1.9	0.28	1.28
1977	0.68	NA	2.25	1.63	1.1	1.67	1.44	1.76	0.28	1.05
1978	0.59	NA	2.46	1.69	1.4	2.03	1.74	2.06	0.28	1.05
1979	0.63	NA	2.25	1.64	1.66	2.99	1.53	1.46	0.32	1.25
1980	0.46	NA	1.71	1.31	1.77	3.38	1.84	1.27	0.18	0.84
1981	0.44	NA	1.97	1.45	1.14	3.18	1.83	1.02	0.14	0.78
1982	0.59	NA	2.77	2.01	1.05	2.33	2.07	0.99	0.24	0.98
1983	0.69	NA	2.94	2.5	0.87	2.03	2.18	0.95	0.18	0.88
1984	0.69	NA	2.54	2.45	0.8	1.76	1.79	0.97	0.18	0.85
1985	1.08	NA	2.72	2.59	1.2	1.62	2.74	1.09	0.34	1.17
1986	0.81	NA	2.13	2.87	0.76	1.09	2.91	0.85	0.32	0.92
1987	0.68	3.93	1.92	2.67	0.65	0.95	2.59	0.71	0.36	0.7
1988	0.79	4.97	2.37	3.96	0.84	1.66	3.28	0.84	0.35	0.86
1989	0.93	4.94	2.38	4.88	0.74	1.86	3.76	0.97	0.26	1.26
1990	0.97	5.05	2.11	4.54	0.64	1.57	3.5	0.84	0.2	1.45
1991	0.78	4.92	1.75	3.69	0.5	1.06	3.16	0.71	0.27	2.05
1992	0.6	5.22	1.85	3.48	0.5	0.91	3.39	0.63	0.26	2.56
1993	0.89	4.63	2.04	3.83	0.55	2.11	3.21	0.58	0.25	2.37
1994	1.41	4	2.16	3.83	0.59	3.68	3.86	0.87	0.33	1.89
1995	1.78	3.65	1.76	3.06	0.58	3.64	3.01	0.53	0.29	1.66
1996	1.88	2.84	1.62	2.9	0.51	2.87	2.24	0.69	0.22	1.86
1997	1.76	3.08	1.88	3.31	0.65	3.05	2.95	0.92	0.32	2.37
1998	1.77	3.01	1.65	2.5	0.65	2.53	2.97	0.87	0.32	2.41
1999	1.44	4.35	1.29	2.7	0.51	1.52	3.14	0.88	0.31	3.09
2000	1.42	4.07	1.36	2.23	0.54	1.07	2.82	0.83	0.36	3.48
2001	1.46	4.28	1.45	2.76	NA	1.41	2.93	0.88	0.39	3.38
2002	1.4	4.49	1.65	2.47	NA	1.71	2.7	0.81	0.45	3.06
2003	1.74	4.42	1.83	3.22	NA	2.44	2.53	1.03	0.53	3.43
2004	1.59	4.66	2.15	3.07	NA	1.99	1.14	1.18	0.39	2.43
2005	1.53	3.88	2.14	3.36	NA	2.18	0.76	1.39	0.4	3.12
2006	1.82	3.58	2	3.37	NA	1.76	0.94	1.28	0.43	NA
2007	1.64	4.18	2.46	2.48	NA	2.48	0.8	0.95	0.31	NA
2008	1.4	3.6	2.16	1.84	NA	1.74	0.52	0.63	0.28	NA
2009	1.48	3.75	1.82	1.79	NA	2.69	0.55	0.73	0.3	NA
2010	1.17	3.12	1.66	1.6	NA	1.4	0.61	0.5	0.26	NA
2011	1.56	3.23	1.96	2.27	NA	1.15	0.75	0.5	0.26	NA
