# Bräker - Rabins - LADE - ITRDB SWIT338
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16912
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16912.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit338-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit338-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit338.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit338.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Rabins - LADE - ITRDB SWIT338
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rabins
#   Location: Switzerland
#   Northernmost_Latitude: 46.4408
#   Southernmost_Latitude: 46.4408
#   Easternmost_Longitude: 9.7878
#   Westernmost_Longitude: 9.7878
#   Elevation_m: 1800
#--------------------
# Data_Collection
#   Collection_Name: SWIT338
#   First_Year: 1714
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMA0403G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0403G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA0403P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0403P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA0453G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0453G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA0453P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0453P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2210G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2210G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2210P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2210P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2270X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2270X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2270Y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2270Y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMA0403G_raw	SMA0403P_raw	SMA0453G_raw	SMA0453P_raw	SMA2210G_raw	SMA2210P_raw	SMA2270X_raw	SMA2270Y_raw
1789	1.53	1.67	1.32	0.98	2.44	3.01	2.77	2.85
1790	1.64	1.64	1.34	0.89	2.15	2.81	2.3	2.32
1791	1.74	1.86	1.08	0.92	2.1	2.31	2.38	1.58
1792	1.12	1.39	0.81	0.77	1.14	1.57	1.83	1.59
1793	1.42	1.63	1.08	0.87	1.19	1.61	2.33	1.69
1794	0.56	0.87	0.77	0.68	0.92	1.5	2.34	1.79
1795	0.55	1.14	0.71	0.65	1.04	1.6	1.98	1.49
1796	1.02	2.24	1.01	0.73	1.27	2.41	2.67	1.81
1797	0.96	1.61	0.92	0.87	1.05	1.99	2.2	1.57
1798	0.72	1.67	0.73	0.66	1.2	1.95	1.67	1.32
1799	0.85	1.75	0.89	0.72	2.02	2.36	2.54	1.88
1800	1.08	1.63	1.07	1.18	2.01	2.03	2.03	1.58
1801	1.04	1.56	1.07	1.2	2.05	1.94	1.73	1.68
1802	0.59	0.9	0.56	0.62	1.24	1.42	1.35	1.41
1803	0.73	1	0.69	0.69	1.19	1.27	1.28	1.23
1804	1.02	1.61	0.78	0.92	1.14	1.03	1.5	1.13
1805	0.67	1.21	0.6	0.66	1.05	1.07	1.52	1.09
1806	0.98	1.52	0.6	0.76	1.32	1.08	1.49	1.38
1807	1.09	1.7	0.79	0.87	1.09	1.38	1.29	1.06
1808	1.26	1.92	0.89	1.04	1.47	1.97	1.47	1.18
1809	0.96	1.51	1.01	1.11	1.55	2.15	1.61	1.57
1810	0.87	1.18	0.57	0.71	1.01	1.65	1.19	1.16
1811	0.88	0.93	0.56	0.75	1.69	2	1.54	1.5
1812	1.12	1.11	0.8	0.74	1.19	1.49	1.67	1.54
1813	1.26	1.27	0.97	0.69	1.32	1.58	1.64	1.88
1814	0.77	0.82	0.79	0.77	0.82	1.17	1.18	1.17
1815	0.98	0.85	0.51	0.48	1.16	1.06	1.04	1.21
1816	0.34	0.57	0.36	0.43	1.12	1.15	0.86	1.39
1817	0.45	0.36	0.23	0.42	0.46	0.69	0.6	0.72
1818	0.18	0.32	0.19	0.39	0.21	0.41	0.43	0.51
1819	0.72	0.94	0.53	0.5	0.77	0.98	0.79	0.91
1820	0.79	1.19	0.77	0.63	0.63	0.88	0.95	0.91
1821	0.84	0.94	0.53	0.64	0.75	0.8	0.93	0.81
1822	0.8	0.84	0.47	0.63	0.76	1.04	0.86	0.9
1823	0.73	0.65	0.45	0.46	0.97	0.79	0.8	0.81
1824	0.39	0.59	0.22	0.1	0.61	0.49	0.59	0.51
1825	0.82	1.16	0.51	0.58	0.72	0.72	0.84	0.77
1826	0.65	0.83	0.56	0.36	0.54	0.49	0.56	0.51
1827	1.31	1.75	0.99	0.83	0.89	1.06	0.92	1.01
1828	0.72	0.94	0.42	0.38	0.71	0.79	0.86	0.78
1829	0.44	0.69	0.5	0.53	0.59	0.51	0.54	0.74
1830	0.89	0.76	0.78	0.62	0.73	0.95	0.83	1.25
1831	0.89	0.99	0.77	0.58	0.86	0.99	1.14	1.22
1832	0.64	0.64	0.41	0.44	0.83	0.93	0.86	0.91
1833	0.84	0.88	0.7	0.64	1.02	1.05	1.48	0.75
1834	1.24	0.84	0.65	0.7	1.2	1.11	1.14	1.14
1835	0.95	0.92	0.66	0.58	0.64	0.86	0.66	0.53
1836	1	0.96	0.85	0.64	1.09	1.03	0.98	0.9
1837	0.43	0.56	0.34	0.22	0.5	0.63	0.51	0.33
1838	0.5	0.58	0.33	0.32	0.54	0.56	0.56	0.5
1839	0.69	1.12	0.57	0.76	0.92	0.94	0.95	0.9
1840	0.7	1.07	0.54	0.58	0.91	1.19	1.35	1.12
1841	0.4	0.76	0.34	0.4	0.66	0.83	0.75	0.72
1842	0.41	0.68	0.27	0.31	0.84	0.85	0.83	0.76
1843	0.52	0.79	0.43	0.38	0.72	0.72	0.78	0.61
1844	0.61	1	0.47	0.43	0.98	1.21	1.05	0.62
1845	0.64	1.04	0.53	0.48	1.12	0.98	1	0.88
1846	0.44	0.82	0.55	0.49	0.9	0.89	1.07	0.75
1847	1.43	1.43	1.13	0.95	1.55	1.2	1.1	0.97
1848	0.65	0.92	0.52	0.49	0.83	0.84	0.82	0.69
1849	0.77	0.97	0.89	0.74	1.47	1.55	1.08	0.93
1850	0.54	0.72	0.65	0.38	1.06	1.32	0.99	0.78
1851	0.68	1.07	0.76	0.58	1.09	1.37	0.94	0.73
1852	0.64	1.12	0.76	0.65	0.89	1.03	0.7	0.67
1853	0.68	1.03	0.72	0.64	1.04	1.23	0.66	0.69
1854	0.61	1	0.61	0.6	1.06	1.15	0.58	0.66
1855	0.48	0.78	0.46	0.49	0.73	0.78	0.46	0.6
1856	0.35	0.71	0.32	0.37	0.55	0.47	0.45	0.49
1857	0.31	0.79	0.42	0.46	0.56	0.49	0.32	0.39
1858	0.29	0.83	0.37	0.32	0.41	0.45	0.36	0.44
1859	0.19	0.56	0.26	0.28	0.28	0.2	0.21	0.21
1860	0.4	1.16	0.46	0.55	0.4	0.36	0.41	0.44
1861	0.34	0.92	0.54	0.53	0.57	0.54	0.43	0.53
1862	0.47	1.03	0.6	0.52	0.63	0.69	0.56	0.6
1863	0.78	1.36	1.01	0.88	1.29	0.93	1.01	0.87
1864	0.6	1.14	0.81	0.69	1.02	0.75	0.78	0.7
1865	0.45	0.85	0.48	0.49	0.81	0.6	0.81	0.58
1866	0.41	1.06	0.71	0.59	0.96	0.82	1.14	0.62
1867	0.51	1.17	0.71	0.86	1.15	0.8	1.14	0.53
1868	0.51	1.33	0.61	0.67	0.74	0.61	1.08	0.59
1869	0.26	0.54	0.18	0.33	0.25	0.19	0.39	0.44
1870	0.18	0.56	0.27	0.29	0.26	0.25	0.47	0.27
1871	0.35	0.5	0.38	0.43	0.48	0.24	0.37	0.24
1872	0.24	0.49	0.32	0.37	0.46	0.28	0.58	0.43
1873	0.3	0.79	0.39	0.41	0.71	0.38	0.6	0.44
1874	0.31	0.65	0.42	0.41	0.82	0.74	0.77	0.58
1875	0.28	0.65	0.31	0.23	0.5	0.66	0.7	0.5
1876	0.35	0.77	0.34	0.42	0.8	0.46	0.73	0.57
1877	0.44	0.95	0.45	0.43	0.62	0.6	0.83	0.61
1878	0.59	1.12	0.5	0.63	0.94	0.98	1.19	0.74
1879	0.73	1.02	0.59	0.69	0.86	0.83	1.12	0.84
1880	0.78	1.04	0.54	0.55	0.91	0.91	1.18	0.72
1881	0.48	0.56	0.29	0.24	0.8	0.68	0.98	0.63
1882	0.38	0.62	0.37	0.33	0.53	0.49	0.64	0.33
1883	0.24	0.21	0.25	0.1	0.34	0.43	0.31	0.12
1884	0.15	0.14	0.21	0.12	0.25	0.29	0.25	0.2
1885	0.2	0.42	0.16	0.19	0.36	0.43	0.35	0.32
1886	0.16	0.22	0.12	0.09	0.37	0.36	0.39	0.41
1887	0.22	0.5	0.23	0.29	0.42	0.71	0.43	0.38
1888	0.26	0.35	0.23	0.23	0.15	0.51	0.64	0.44
1889	0.3	0.62	0.22	0.2	0.25	0.37	0.56	0.37
1890	0.17	0.32	0.14	0.09	0.1	0.22	0.43	0.28
1891	0.24	0.66	0.19	0.28	0.33	0.36	0.35	0.2
1892	0.48	0.63	0.21	0.2	0.36	0.47	0.68	0.33
1893	0.31	0.69	0.26	0.3	0.46	0.52	0.55	0.44
1894	0.39	0.66	0.34	0.21	0.47	0.38	0.56	0.43
1895	0.4	0.55	0.19	0.09	0.48	0.21	0.58	0.45
1896	0.33	0.5	0.27	0.18	0.48	0.33	0.41	0.37
1897	0.59	0.9	0.4	0.39	0.47	0.42	0.43	0.21
1898	0.5	1.05	0.42	0.43	0.61	0.54	0.58	0.29
1899	0.31	1	0.28	0.36	0.57	0.51	0.62	0.42
1900	0.54	1.07	0.39	0.35	0.35	0.44	0.47	0.48
1901	0.66	0.85	0.63	0.56	0.63	0.45	0.58	0.34
1902	0.61	0.69	0.69	0.59	0.59	0.67	0.57	0.42
1903	0.23	0.22	0.2	0.17	0.22	0.5	0.72	0.51
1904	0.34	0.5	0.41	0.22	0.31	0.4	0.28	0.37
1905	0.53	0.75	0.5	0.36	0.28	0.49	0.32	0.35
1906	0.75	1.27	0.86	0.73	0.58	0.84	0.5	0.4
1907	0.68	0.97	0.8	0.56	0.67	0.61	0.59	0.41
1908	0.71	0.76	0.8	0.63	0.46	0.43	0.69	0.49
1909	0.81	0.97	0.93	0.8	0.72	0.52	0.61	0.47
1910	0.66	0.89	0.93	0.76	0.95	0.68	0.67	0.5
1911	0.52	0.81	0.5	0.34	0.46	0.46	0.64	0.6
1912	0.49	1.23	0.77	0.65	0.59	0.68	0.35	0.38
1913	0.56	1.15	0.81	0.63	0.8	0.69	0.46	0.5
1914	0.73	1.28	0.76	0.57	0.57	0.59	0.57	0.47
1915	0.29	0.51	0.4	0.29	0.45	0.37	0.56	0.4
1916	0.52	0.78	0.57	0.48	0.7	0.57	0.4	0.29
1917	0.53	0.77	0.5	0.4	0.72	0.58	0.47	0.45
1918	0.51	0.98	0.46	0.25	0.56	0.47	0.54	0.54
1919	0.56	1.31	0.54	0.38	0.68	0.67	0.49	0.35
1920	0.22	0.8	0.33	0.22	0.29	0.28	0.51	0.37
1921	0.33	0.71	0.36	0.21	0.38	0.36	0.37	0.36
1922	0.11	0.3	0.2	0.11	0.36	0.24	0.29	0.39
1923	0.49	0.88	0.46	0.33	0.55	0.33	0.25	0.33
1924	0.72	1.02	0.64	0.47	0.51	0.59	0.4	0.5
1925	0.59	0.86	0.6	0.45	0.63	0.56	0.54	0.56
1926	0.76	1	0.6	0.73	0.45	0.52	0.51	0.67
1927	0.9	1.48	0.79	0.71	0.64	0.73	0.51	0.64
1928	0.6	0.89	0.59	0.48	0.59	0.53	0.73	0.87
1929	0.15	0.13	0.5	0.3	0.59	0.53	0.55	0.79
1930	0.36	0.47	0.44	0.33	0.42	0.32	0.18	0.25
1931	0.4	0.51	0.71	0.58	0.47	0.44	0.43	0.44
1932	0.45	0.77	0.57	0.69	0.56	0.41	0.38	0.63
1933	0.51	1.3	0.36	0.48	0.41	0.31	0.43	0.71
1934	0.29	0.87	0.59	0.6	0.37	0.29	0.44	0.85
1935	0.52	1.34	0.59	0.51	0.48	0.36	0.4	0.57
1936	0.47	1.18	0.53	0.44	0.68	0.36	0.31	0.55
1937	0.52	1.07	0.2	0.11	0.22	0.26	0.38	0.75
1938	0.15	0.59	0.13	0.09	0.09	0.15	0.45	0.78
1939	0.15	0.4	0.16	0.21	0.3	0.27	0.23	0.39
1940	0.28	0.59	0.4	0.41	0.3	0.36	0.24	0.27
1941	0.43	0.79	0.37	0.38	0.29	0.29	0.22	0.39
1942	0.33	1	0.37	0.4	0.56	0.35	0.27	0.54
1943	0.4	1.17	0.32	0.35	0.47	0.31	0.37	0.55
1944	0.26	0.76	0.65	0.5	0.87	0.47	0.47	0.74
1945	0.76	1.58	0.67	0.73	0.93	0.52	0.41	0.61
1946	0.91	1.35	0.49	0.61	0.74	0.42	0.44	0.77
1947	0.63	1.08	0.33	0.45	0.42	0.28	0.62	0.72
1948	0.68	0.32	0.37	0.42	0.39	0.29	0.48	0.64
1949	0.8	0.63	0.49	0.6	0.72	0.56	0.24	0.44
1950	0.71	0.81	0.49	0.47	0.6	0.57	0.34	0.41
1951	0.56	0.91	0.44	0.52	0.7	0.81	0.56	0.52
1952	0.61	1.19	0.53	0.75	0.68	0.73	0.67	0.64
1953	0.69	1.13	0.36	0.43	0.8	0.74	0.65	0.69
1954	0.45	1.44	0.17	0.28	0.35	0.43	0.6	0.68
1955	0.3	0.65	0.2	0.21	0.36	0.16	0.43	0.83
1956	0.21	0.29	0.18	0.17	0.11	0.12	0.24	0.35
1957	0.18	0.32	0.11	0.33	0.11	0.11	0.24	0.37
1958	0.43	0.33	0.33	0.37	0.11	0.11	0.1	0.08
1959	0.51	0.41	0.32	0.26	0.32	0.13	0.17	0.12
1960	0.29	0.77	0.39	0.35	0.32	0.18	0.14	0.18
1961	0.27	0.72	0.33	0.17	0.31	0.12	0.14	0.18
1962	0.24	0.55	0.23	0.25	0.35	0.2	0.36	0.16
1963	0.37	0.87	0.34	0.25	0.32	0.29	0.25	0.3
1964	0.28	0.08	0.29	0.34	0.37	0.33	0.32	0.32
1965	0.36	0.46	0.39	0.24	0.26	0.28	0.23	0.26
1966	0.39	0.63	0.34	0.3	0.29	0.32	0.31	0.34
1967	0.4	0.54	0.44	0.35	0.24	0.32	0.3	0.36
1968	0.44	0.71	0.46	0.27	0.35	0.38	0.3	0.3
1969	0.39	0.7	0.38	0.17	0.3	0.2	0.28	0.35
1970	0.23	1.02	0.27	0.16	0.44	0.36	0.33	0.31
1971	0.22	0.9	0.19	0.13	0.51	0.29	0.3	0.3
1972	0.24	0.81	0.2	0.2	0.47	0.28	0.23	0.31
1973	0.31	0.59	0.23	0.33	0.58	0.45	0.35	0.52
1974	0.45	0.32	0.45	0.22	0.45	0.6	0.51	0.4
1975	0.44	0.23	0.34	0.23	0.44	0.5	0.36	0.41
1976	0.5	0.33	0.51	0.42	0.46	0.56	0.31	0.49
1977	0.55	0.47	0.55	0.14	0.33	0.33	0.28	0.3
1978	0.24	0.45	0.26	0.27	0.44	0.54	0.29	0.38
