# Richter - Cuenca Las Torcas - PINI - ITRDB SPAI031
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4243
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4243.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai031-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai031-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai031.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai031.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Cuenca Las Torcas - PINI - ITRDB SPAI031
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cuenca Las Torcas
#   Location: Spain
#   Northernmost_Latitude: 40.0
#   Southernmost_Latitude: 40.0
#   Easternmost_Longitude: -1.98
#   Westernmost_Longitude: -1.98
#   Elevation_m: 1225
#--------------------
# Data_Collection
#   Collection_Name: SPAI031
#   First_Year: 1728
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E160101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160102B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160102B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E160101A_raw	E160101B_raw	E160102A_raw	E160102B_raw	E160103A_raw	E160103B_raw
1824	NA	NA	1.13	1.98	1.6	1.33
1825	NA	NA	1.13	1.74	1.66	1.82
1826	NA	NA	1.28	2.45	0.63	0.59
1827	NA	NA	0.97	2.11	1.26	1.41
1828	NA	NA	1.51	2.59	1.34	1.39
1829	NA	NA	1.54	2.19	1.28	1.76
1830	NA	NA	1.37	1.68	0.42	0.59
1831	NA	NA	1.55	1.61	0.65	0.69
1832	NA	NA	1.39	1.67	0.86	0.87
1833	NA	NA	1.64	1.66	1.47	1.29
1834	NA	NA	2.27	1.99	1.87	1.27
1835	NA	NA	0.86	0.59	0.51	0.69
1836	NA	NA	0.83	0.35	0.24	0.37
1837	NA	NA	1.17	0.68	0.69	0.5
1838	NA	NA	1.21	1.03	1.12	0.89
1839	NA	NA	1.36	1.02	1.18	1.09
1840	NA	NA	1.33	1.12	1.58	0.86
1841	NA	NA	1.38	0.81	1.34	0.82
1842	NA	NA	1.07	0.57	0.88	1.04
1843	NA	NA	1.39	1.05	0.49	0.82
1844	NA	NA	1.42	1.27	1.12	0.85
1845	NA	NA	1.63	1.28	1.2	1
1846	NA	NA	1.81	2.15	1.73	2.11
1847	NA	NA	1.16	1.21	2.31	2.85
1848	NA	NA	0.83	0.88	0.49	0.61
1849	NA	NA	1.06	1.05	0.16	0.66
1850	NA	NA	1.33	1.9	0.35	0.77
1851	NA	NA	1.15	1.93	1.27	1.54
1852	NA	NA	0.66	1.2	1.55	1.45
1853	NA	NA	0.62	0.45	0.05	0.05
1854	NA	NA	0.94	1.14	0.87	1.01
1855	NA	NA	1.12	1.56	1.2	1.02
1856	NA	NA	1.45	2.08	1.45	1.46
1857	NA	NA	1.23	1.81	1.72	1.39
1858	NA	NA	1.13	1.61	1.75	1.31
1859	NA	NA	1.04	1.42	1.01	0.38
1860	NA	NA	0.98	1.09	0.59	0.42
1861	NA	NA	1.42	1.39	0.8	0.59
1862	NA	NA	1.34	1.4	1.14	1
1863	NA	NA	1.4	1.78	0.53	0.39
1864	NA	NA	1.49	1.73	1.18	0.68
1865	NA	NA	1.21	1.58	1.22	0.87
1866	NA	NA	1.11	1.36	1.53	0.77
1867	NA	NA	1.24	1.48	1.55	1.3
1868	NA	NA	0.95	0.94	0.74	0.68
1869	NA	NA	1.7	1.25	0.86	1.04
1870	NA	NA	1.16	1.04	0.26	0.27
1871	NA	NA	1.2	0.7	1.01	0.5
1872	NA	NA	1.59	0.96	0.93	0.83
1873	NA	NA	1.39	1.17	0.82	0.92
1874	NA	NA	1.62	1.09	1	0.95
1875	NA	NA	1.63	1.34	1.01	1
1876	NA	NA	1.34	0.8	0.29	0
1877	NA	NA	1.61	0.96	0.99	0.74
1878	NA	NA	1.75	1.28	1.34	1.16
1879	NA	NA	1.08	0.94	1	0.75
1880	NA	NA	1.56	1.46	1.75	1.28
1881	NA	NA	1.54	1.01	1.02	0.96
1882	NA	NA	1.17	0.88	0.91	0.78
1883	NA	NA	1.55	1.77	1.24	0.86
1884	NA	NA	1.44	1.84	1.89	1.12
1885	NA	NA	1.6	2.18	2.43	1.33
1886	NA	NA	1.63	2.17	1.43	1.43
1887	NA	NA	1.2	1.4	1.15	1.41
1888	NA	NA	1.19	1.48	1.51	1.3
1889	NA	NA	1.31	1.49	0.69	1.45
1890	NA	NA	1.26	1.4	0.85	0.75
1891	NA	NA	0.97	1.14	1.31	1.08
1892	NA	NA	1.12	1.52	1.4	1.53
1893	NA	NA	0.58	1.09	1.18	1.64
1894	NA	NA	0.66	1.03	0.8	1.24
1895	NA	NA	0.88	0.83	0.25	0.36
1896	NA	NA	0.88	0.97	0.37	0.61
1897	NA	NA	0.84	0.96	0.86	1.14
1898	NA	NA	0.85	0.74	0.41	0.88
1899	NA	NA	0.55	0.14	0.39	0.49
1900	0.71	1.78	0.67	0.34	0.66	1.02
1901	0.8	1.82	0.68	0.58	0.83	0.85
1902	0.86	2.47	0.89	0.92	1.24	1.18
1903	1.69	2.63	1.1	1.11	0.55	1.07
1904	1.85	2.36	0.72	0.75	0.74	0.65
1905	1.94	2.65	0.8	0.84	1.03	1.28
1906	2.39	2.91	1.01	1.19	1.14	0.52
1907	1.77	2.23	0.83	1.11	1.14	1.03
1908	2.69	2.92	1.07	1.31	0.6	0.85
1909	2.53	2.27	0.68	0.96	0.64	1
1910	2.42	2.31	0.73	0.75	0.66	0.88
1911	1.98	2.55	0.78	1.02	0.72	0.86
1912	2.55	3.35	0.83	0.8	1.44	1.34
1913	1.48	2.49	0.61	0.88	1.4	0.75
1914	1.97	2.7	0.75	1.03	0.6	0.67
1915	1.22	1.33	0.6	0.57	0.39	0.6
1916	1.32	1.79	0.45	0.56	0.87	0.98
1917	1.3	1.85	0.73	0.81	1.47	1.26
1918	1.09	2.14	0.62	0.69	1.6	1.28
1919	1.19	2.63	0.66	0.86	1.7	1.62
1920	1.46	2.62	0.78	0.9	1.9	2.04
1921	0.93	2.05	0.71	1.07	1.87	1.5
1922	0.9	1.6	0.65	1.03	1.94	1.46
1923	1.39	2.44	0.83	1.18	0.66	0.25
1924	0.91	2.36	0.41	0.52	0.56	0.25
1925	1.1	1.91	0.45	0.47	0.96	0.79
1926	1.53	3.35	0.6	0.94	1.51	1.38
1927	1.27	3.12	0.4	0.77	1.71	1.23
1928	1.36	2.39	0.18	0.97	3.31	1.66
1929	1.5	3.29	0.42	0.68	2.2	1.22
1930	1.49	3.05	0.52	0.83	1.73	1.66
1931	1.38	2.38	0.59	0.72	1.66	1.57
1932	1.33	2.16	0.56	0.67	1.54	1.55
1933	1.47	2.87	0.61	0.62	2.13	1.38
1934	1.68	2.68	0.49	0.49	2.09	1.17
1935	2.12	2.82	0.52	0.48	1.81	1.26
1936	3.12	3.89	0.55	0.91	2.63	1.51
1937	2.97	3.34	0.84	0.86	2.19	0.64
1938	2.5	3.6	0.76	0.71	2.56	1.48
1939	2.4	2.81	0.7	0.55	2.2	2.23
1940	2.49	4.74	1.02	0.97	2.42	3.04
1941	1.52	3.2	0.59	0.78	1.87	2.57
1942	1.71	3.14	0.65	0.68	1.27	1.48
1943	1.67	2.59	0.48	0.6	1.21	0.95
1944	1.61	2.02	0.5	0.45	1.27	0.88
1945	1.4	2.42	0.49	0.8	1.16	0.81
1946	1.18	2.36	0.68	0.87	0.85	0.4
1947	0.69	2.23	0.66	1.09	1.13	0.45
1948	1.73	3.12	0.89	1.32	1.63	0.98
1949	0.8	1.18	0.46	0.74	0.87	0.81
1950	1.12	2.23	0.7	0.93	1.65	1.38
1951	0.92	1.97	0.85	0.98	1.54	1.74
1952	1.86	2.61	0.89	1.24	1.61	1.68
1953	1.2	1.51	0.49	0.53	1.62	1.46
1954	1.15	2.13	0.41	0.4	1.31	1.46
1955	1.12	1.79	0.5	0.48	1.25	1.01
1956	0.82	1.85	0.77	0.84	1.29	1.29
1957	1.14	2.65	0.73	0.9	1.14	1.09
1958	1.1	2.11	0.68	0.85	1.39	1.36
1959	1.36	2.79	1.08	0.9	2.72	2.73
1960	1.34	2.62	1.27	1.26	2.1	2.36
1961	0.8	1.6	0.68	1.01	1.53	1.39
1962	0.6	1.15	0.58	0.63	0.93	0.62
1963	0.46	1.05	0.26	0.54	0.45	0.38
1964	1	1.65	0.69	0.88	1.01	0.69
1965	0.76	1.28	0.56	0.68	0.75	0.25
1966	1.04	2.02	0.73	0.78	1.69	1.27
1967	0.75	1.56	0.54	0.61	1.16	0.88
1968	0.63	1.32	0.25	0.42	0.76	0.53
1969	0.85	2.02	0.57	0.68	1.01	0.87
1970	0.85	1.97	0.63	0.84	0.77	0.49
1971	0.61	1.31	0.76	0.71	1.08	0.86
1972	0.64	1.61	0.74	0.86	0.96	0.54
1973	0.97	1.95	0.93	0.99	1.1	0.58
1974	0.77	1.25	0.64	1.01	0.71	0.47
1975	0.81	1.28	1.09	1.38	0.71	0.7
1976	0.82	1.53	0.83	1.29	0.49	0.5
1977	1.2	1.62	1.14	1.71	0.62	0.92
1978	1.25	1.38	0.91	1.13	0.69	0.81
1979	1.42	1.2	0.72	1.3	0.63	0.73
1980	1.61	1.25	1.12	1.67	0.77	0.9
1981	1.09	0.93	0.73	0.96	0.7	0.82
1982	1.11	1.15	1.05	1.39	1.01	1.39
1983	0.63	1.07	0.79	1.03	1.06	0.93
1984	0.37	0.66	0.66	NA	NA	NA
