# Hillam - Porter Brook - QUSP - ITRDB BRIT033
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3495
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3495.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit033-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit033-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit033.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit033.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Porter Brook - QUSP - ITRDB BRIT033
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Porter Brook
#   Location: United Kingdom
#   Northernmost_Latitude: 53.5
#   Southernmost_Latitude: 53.5
#   Easternmost_Longitude: -1.5
#   Westernmost_Longitude: -1.5
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT033
#   First_Year: 1818
#   Last_Year: 1987
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PB04.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB04.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB07.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB07.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB08.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB08.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB09.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB09.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB3A.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB3A.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB5A.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB5A.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PB04.D_raw	PB07.D_raw	PB08.D_raw	PB09.D_raw	PB3A.D_raw	PB5A.D_raw
1907	0.54	0.6	0.7	0.76	0.34	1.28
1908	0.82	0.7	0.64	0.72	NA	1.26
1909	0.44	0.76	0.78	0.78	NA	1.4
1910	0.54	0.74	0.6	0.64	NA	1.28
1911	0.72	0.4	0.68	0.58	NA	0.5
1912	0.48	0.4	0.62	0.74	NA	0.36
1913	0.24	0.5	0.68	0.6	NA	0.38
1914	0.52	0.5	0.82	0.74	NA	0.5
1915	0.34	0.66	0.8	0.62	NA	0.6
1916	0.62	0.66	2.1	0.86	NA	0.64
1917	0.58	0.84	1.96	0.98	NA	0.7
1918	0.52	0.98	2.38	0.96	NA	1.04
1919	0.48	1	1.5	0.86	NA	0.42
1920	0.44	0.98	1.84	0.86	NA	0.58
1921	0.96	0.44	1.3	0.84	NA	0.36
1922	0.7	0.44	1.36	1.1	NA	0.42
1923	0.5	0.64	0.94	0.64	NA	0.56
1924	0.94	0.5	0.96	1	NA	NA
1925	0.82	0.54	1.16	0.82	NA	NA
1926	0.38	0.68	1.52	0.96	NA	NA
1927	0.38	0.46	0.94	0.58	NA	NA
1928	0.5	0.4	0.82	0.52	NA	NA
1929	0.58	0.36	1.04	0.74	NA	NA
1930	0.66	0.56	1.02	0.92	NA	NA
1931	0.56	0.44	1.26	1.16	NA	NA
1932	0.46	NA	0.64	1.08	NA	NA
1933	0.38	NA	0.6	0.88	NA	NA
1934	0.54	NA	0.66	0.88	NA	NA
1935	0.68	NA	0.82	0.76	NA	NA
1936	0.48	NA	0.74	0.88	NA	NA
1937	0.58	NA	0.7	1.36	NA	NA
1938	0.42	NA	0.88	0.76	NA	NA
1939	0.36	NA	0.8	1.02	NA	NA
1940	0.44	NA	0.74	0.86	NA	NA
1941	0.34	NA	0.5	1.22	NA	NA
1942	0.36	NA	0.7	1.68	NA	NA
1943	0.48	NA	0.7	1.46	NA	NA
1944	0.58	NA	0.54	1.84	NA	NA
1945	0.6	NA	0.54	1.7	NA	NA
1946	0.44	NA	0.44	1.18	NA	NA
1947	0.84	NA	0.48	2.52	NA	NA
1948	0.48	NA	0.5	1.94	NA	NA
1949	0.36	NA	0.58	1.44	NA	NA
1950	0.36	NA	0.66	1.76	NA	NA
1951	0.54	NA	0.5	1.96	NA	NA
1952	0.6	NA	0.66	2.66	NA	NA
1953	0.42	NA	0.58	2.1	NA	NA
1954	0.78	NA	0.68	1.92	NA	NA
1955	0.62	NA	0.52	0.96	NA	NA
1956	0.34	NA	0.56	0.86	NA	NA
1957	0.26	NA	0.36	0.82	NA	NA
1958	0.36	NA	0.46	1.4	NA	NA
1959	0.38	NA	0.42	1.32	NA	NA
1960	0.32	NA	0.48	1.28	NA	NA
1961	0.48	NA	0.4	1.64	NA	NA
1962	0.4	NA	0.32	1.24	NA	NA
1963	0.42	NA	0.4	1.08	NA	NA
1964	0.64	NA	0.36	2.18	NA	NA
1965	0.44	NA	0.52	1.64	NA	NA
1966	0.44	NA	0.32	1.1	NA	NA
1967	0.38	NA	0.32	1.3	NA	NA
1968	0.32	NA	0.46	1.32	NA	NA
1969	0.36	NA	0.46	2.2	NA	NA
1970	0.26	NA	0.34	1.4	NA	NA
1971	0.42	NA	0.32	2.32	NA	NA
1972	0.3	NA	0.24	1.72	NA	NA
1973	0.34	NA	0.3	2.36	NA	NA
1974	0.3	NA	0.28	2.88	NA	NA
1975	0.62	NA	0.24	1.46	NA	NA
1976	0.5	NA	0.26	1.44	NA	NA
1977	0.42	NA	0.42	1.8	NA	NA
1978	0.52	NA	0.44	3.04	NA	NA
1979	0.7	NA	0.62	2.36	NA	NA
1980	0.38	NA	0.54	2.14	NA	NA
1981	0.5	NA	0.78	1.96	NA	NA
1982	0.42	NA	0.54	1.72	NA	NA
1983	0.52	NA	0.66	1.86	NA	NA
1984	0.44	NA	0.58	1.64	NA	NA
1985	0.54	NA	0.62	1.3	NA	NA
1986	0.64	NA	0.58	1.3	NA	NA
1987	0.74	NA	0.7	1.24	NA	NA
