# Becker - Oberer Bannwald A - PISY - ITRDB GERM017
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2704
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2704.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ017-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ017-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ017.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ017.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Becker - Oberer Bannwald A - PISY - ITRDB GERM017
#--------------------
# Investigators
#   Investigators: Becker, B.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Oberer Bannwald A
#   Location: Germany
#   Northernmost_Latitude: 48.57
#   Southernmost_Latitude: 48.57
#   Easternmost_Longitude: 9.08
#   Westernmost_Longitude: 9.08
#   Elevation_m: 740
#--------------------
# Data_Collection
#   Collection_Name: GERM017
#   First_Year: 1778
#   Last_Year: 1971
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 880020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 880040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 880050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 880070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	880020_raw	880040_raw	880050_raw	880070_raw
1885	0.31	0.18	0.27	0.19
1886	0.2	0.17	0.22	0.11
1887	0.12	0.16	0.16	0.1
1888	0.09	0.16	0.12	0.09
1889	0.06	0.13	0.09	0.04
1890	0.16	0.17	0.17	0.12
1891	0.09	0.13	0.13	0.07
1892	0.09	0.13	0.17	0.11
1893	0.13	0.16	0.2	0.12
1894	0.12	0.17	0.21	0.15
1895	0.08	0.19	0.29	0.18
1896	0.09	0.22	0.33	0.14
1897	0.11	0.27	0.38	0.23
1898	0.08	0.22	0.28	0.21
1899	0.17	0.18	0.22	0.18
1900	0.2	0.19	0.19	0.14
1901	0.19	0.11	0.23	0.16
1902	0.2	0.19	0.21	0.19
1903	0.16	0.2	0.23	0.18
1904	0.17	0.27	0.19	0.19
1905	0.24	0.23	0.22	0.19
1906	0.15	0.16	0.19	0.16
1907	0.16	0.17	0.22	0.15
1908	0.12	0.19	0.23	0.13
1909	0.06	0.14	0.23	0.15
1910	0.07	0.14	0.21	0.1
1911	0.06	0.12	0.16	0.14
1912	0.09	0.15	0.25	0.22
1913	0.09	0.13	0.28	0.19
1914	0.12	0.12	0.27	0.16
1915	0.1	0.15	0.28	0.12
1916	0.16	0.14	0.24	0.15
1917	0.08	0.1	0.16	0.12
1918	0.09	0.13	0.15	0.09
1919	0.07	0.13	0.22	0.11
1920	0.09	0.15	0.27	0.15
1921	0.07	0.14	0.16	0.21
1922	0.08	0.16	0.21	0.19
1923	0.05	0.13	0.22	0.22
1924	0.09	0.16	0.3	0.21
1925	0.12	0.22	0.41	0.27
1926	0.11	0.13	0.23	0.13
1927	0.12	0.19	0.36	0.27
1928	0.14	0.2	0.36	0.34
1929	0.14	0.17	0.26	0.28
1930	0.09	0.16	0.31	0.25
1931	0.05	0.16	0.29	0.2
1932	0.07	0.16	0.22	0.2
1933	0.07	0.13	0.16	0.16
1934	0.04	0.16	0.14	0.13
1935	0.04	0.1	0.14	0.14
1936	0.06	0.13	0.22	0.19
1937	0.1	0.16	0.21	0.17
1938	0.15	0.15	0.27	0.19
1939	0.12	0.17	0.36	0.21
1940	0.14	0.12	0.24	0.13
1941	0.05	0.14	0.18	0.17
1942	0.04	0.17	0.26	0.24
1943	0.14	0.18	0.37	0.32
1944	0.09	0.18	0.36	0.32
1945	0.06	0.2	0.26	0.35
1946	0.07	0.23	0.25	0.43
1947	0.13	0.28	0.33	0.33
1948	0.11	0.24	0.38	0.3
1949	0.09	0.29	0.44	0.27
1950	0.1	0.33	0.4	0.28
1951	0.1	0.27	0.33	0.25
1952	0.07	0.29	0.16	0.38
1953	0.1	0.31	0.27	0.35
1954	0.09	0.32	0.22	0.22
1955	0.09	0.27	0.23	0.28
1956	0.08	0.24	0.2	0.24
1957	0.1	0.2	0.23	0.24
1958	0.05	0.23	0.29	0.38
1959	0.1	0.24	0.39	0.31
1960	0.06	0.25	0.27	0.28
1961	0.06	0.25	0.3	0.37
1962	0.05	0.25	0.25	0.33
1963	0.04	0.24	0.21	0.23
1964	0.07	0.21	0.18	0.24
1965	0.13	0.27	0.36	0.42
1966	0.06	0.28	0.32	0.33
1967	0.12	0.26	0.34	0.41
1968	0.09	0.31	0.3	0.39
1969	0.08	0.29	0.3	0.28
1970	0.11	0.29	0.32	0.29
1971	0.15	0.47	0.41	0.5
