# Pilcher - Foret d'Halatte (Both) - QURO - ITRDB FRAN005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4216
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4216.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran005-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran005-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran005.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran005.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Pilcher - Foret d'Halatte (Both) - QURO - ITRDB FRAN005
#--------------------
# Investigators
#   Investigators: Pilcher, J.R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Foret d'Halatte (Both)
#   Location: Oise
#   Northernmost_Latitude: 49.23
#   Southernmost_Latitude: 49.23
#   Easternmost_Longitude: 2.57
#   Westernmost_Longitude: 2.57
#   Elevation_m: 140
#--------------------
# Data_Collection
#   Collection_Name: FRAN005
#   First_Year: 1719
#   Last_Year: 1979
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus robur L. = Quercus pendunculata Ehrl.
#   Common_Name: English oak
#   Tree_Species_Code: QURO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 3894_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3894; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3895_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3895; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3896_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3896; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3897_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3897; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3898_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3898; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3899_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3899; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3900_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3900; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 3894_raw	Q 3895_raw	Q 3896_raw	Q 3897_raw	Q 3898_raw	Q 3899_raw	Q 3900_raw
1906	0.28	0.42	0.27	0.3	0.35	0.31	0.34
1907	0.34	0.56	0.25	0.46	0.51	0.4	0.37
1908	0.32	0.68	0.34	0.46	0.46	0.54	0.46
1909	0.37	0.54	0.34	0.46	0.53	0.48	0.54
1910	0.31	0.6	0.27	0.65	0.82	0.42	0.82
1911	0.38	0.64	0.4	0.67	0.55	0.45	0.77
1912	0.23	0.74	0.32	0.45	0.73	0.59	0.54
1913	0.27	0.6	0.27	0.64	0.57	0.8	0.71
1914	0.27	0.72	0.42	0.71	0.8	1.07	0.71
1915	0.29	0.62	0.25	0.61	0.7	0.84	0.64
1916	0.34	0.7	0.39	0.64	0.7	1.08	0.66
1917	0.35	0.77	0.39	0.51	0.84	0.97	0.77
1918	0.24	0.6	0.21	0.54	0.53	0.72	0.48
1919	0.26	0.52	0.2	0.45	0.43	0.72	0.44
1920	0.23	0.6	0.29	0.49	0.56	0.89	0.48
1921	0.18	0.37	0.12	0.31	0.32	0.4	0.22
1922	0.2	0.6	0.21	0.36	0.46	0.6	0.3
1923	0.18	0.63	0.36	0.34	0.38	0.93	0.37
1924	0.23	0.83	0.31	0.37	0.57	1.17	0.5
1925	0.26	0.77	0.24	0.6	0.59	0.99	0.48
1926	0.47	0.67	0.4	0.56	0.56	1.05	0.81
1927	0.45	0.92	1	0.73	0.87	1.62	1.27
1928	0.33	0.88	0.62	0.53	0.74	1.29	0.82
1929	0.34	0.65	0.44	0.51	0.46	0.76	0.43
1930	0.34	0.81	0.47	0.47	0.39	1.04	0.62
1931	0.32	0.99	0.49	0.72	0.73	1.03	1.17
1932	0.27	0.95	0.39	0.73	0.73	1.04	0.76
1933	0.3	0.84	0.45	0.56	0.52	0.84	0.69
1934	0.23	0.53	0.29	0.39	0.27	0.36	0.3
1935	0.36	0.88	0.43	0.52	0.42	0.75	0.67
1936	0.33	1.15	0.41	0.62	0.44	0.91	1.05
1937	0.31	0.85	0.39	0.43	0.38	0.75	0.66
1938	0.2	0.64	0.26	0.41	0.25	0.65	0.54
1939	0.29	0.62	0.32	0.34	0.3	0.62	0.41
1940	0.28	0.52	0.25	0.35	0.29	0.4	0.33
1941	0.21	0.41	0.16	0.32	0.31	0.36	0.29
1942	0.47	0.5	0.32	0.34	0.39	0.65	0.72
1943	0.32	0.8	0.29	0.46	0.36	0.64	0.7
1944	0.2	0.56	0.24	0.44	0.35	0.36	0.36
1945	0.25	0.61	0.18	0.44	0.23	0.54	0.4
1946	0.34	0.72	0.35	0.58	0.35	0.56	0.49
1947	0.27	0.61	0.37	0.44	0.33	0.39	0.39
1948	0.24	0.65	0.24	0.5	0.21	0.55	0.41
1949	0.15	0.53	0.24	0.36	0.31	0.33	0.29
1950	0.24	0.56	0.24	0.46	0.28	0.42	0.34
1951	0.35	0.55	0.4	0.5	0.28	0.63	0.41
1952	0.21	0.62	0.38	0.36	0.33	0.65	0.38
1953	0.25	0.6	0.28	0.38	0.25	0.65	0.52
1954	0.22	0.59	0.18	0.35	0.33	0.44	0.28
1955	0.2	0.57	0.28	0.39	0.25	0.55	0.3
1956	0.26	0.42	0.26	0.19	0.23	0.4	0.25
1957	0.12	0.34	0.17	0.25	0.16	0.2	0.15
1958	0.14	0.42	0.24	0.34	0.27	0.33	0.2
1959	0.18	0.36	0.26	0.26	0.24	0.23	0.15
1960	0.14	0.27	0.18	0.19	0.19	0.28	0.18
1961	0.17	0.52	0.34	0.42	0.23	0.52	0.26
1962	0.26	0.66	0.33	0.55	0.17	0.59	0.25
1963	0.3	0.62	0.36	0.46	0.28	0.96	0.34
1964	0.27	0.42	0.31	0.29	0.23	0.63	0.27
1965	0.15	0.38	0.2	0.21	0.26	0.44	0.12
1966	0.23	0.46	0.19	0.28	0.18	0.45	0.25
1967	0.3	0.41	0.36	0.36	0.33	0.59	0.18
1968	0.31	0.5	0.34	0.35	0.27	0.82	0.26
1969	0.44	0.77	0.46	0.41	0.3	1.11	0.29
1970	0.24	0.68	0.38	0.45	0.23	0.96	0.2
1971	0.3	0.4	0.23	0.31	0.31	0.32	0.2
1972	0.15	0.38	0.12	0.32	0.21	0.4	0.22
1973	0.21	0.28	0.14	0.16	0.29	0.47	0.18
1974	0.16	0.24	0.16	0.26	0.18	0.33	0.2
1975	0.22	0.3	0.28	0.36	0.16	0.58	0.42
1976	0.27	0.35	0.22	0.32	0.18	0.51	0.18
1977	0.19	0.48	0.18	0.35	0.23	0.55	0.27
1978	0.27	0.76	0.31	0.47	0.23	0.95	0.37
1979	0.24	0.6	0.22	0.27	0.3	0.57	0.25
