# Vanoni - Spluegen - ABAL - ITRDB SWIT403
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33051
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33051.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit403-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit403-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit403.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit403.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-03-05
#--------------------
# Title
#   Study_Name: Vanoni - Spluegen - ABAL - ITRDB SWIT403
#--------------------
# Investigators
#   Investigators: Vanoni, M.; Frey, H.-U.; Bigler, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: Reference: 
# # Vanoni M. 2012. Klimatische Einflusse auf die Wachstumsvariabilitat von Weisstanne und Fichte entlang des Weisstannen-Ausbreitungsgradienten. Master thesis. ETH Zurich, Zurich. NOAA Template Raw Measurements file added 2021-05-03.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Spluegen
#   Location: Switzerland
#   Northernmost_Latitude: 46.559829
#   Southernmost_Latitude: 46.559829
#   Easternmost_Longitude: 9.35523
#   Westernmost_Longitude: 9.35523
#   Elevation_m: 1480
#--------------------
# Data_Collection
#   Collection_Name: SWIT403
#   First_Year: 1779
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SGT01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SGT01_raw	SGT02_raw	SGT03_raw	SGT04_raw	SGT05A_raw	SGT06_raw
1880	NA	2	1.8	1.75	NA	0.45
1881	NA	2.24	2.3	2.86	NA	0.47
1882	NA	2.25	2.69	2.1	NA	0.32
1883	NA	1.93	2.43	2.12	NA	0.46
1884	NA	2.21	2.14	2.02	NA	0.31
1885	NA	2.45	2.08	1.91	NA	0.35
1886	NA	2.51	2.29	1.68	NA	0.43
1887	NA	2.5	2.27	1.93	NA	0.43
1888	NA	1.65	1.55	1.21	NA	0.39
1889	NA	2.39	1.57	1.85	NA	0.6
1890	NA	2.29	1.85	1.45	NA	0.48
1891	NA	1.63	1.63	1.36	NA	0.39
1892	NA	1.96	1.73	1.69	NA	0.44
1893	NA	2.26	1.79	1.91	NA	0.44
1894	NA	2.37	2.09	2.01	NA	0.49
1895	NA	2.71	2.26	2.01	NA	0.55
1896	NA	2.66	2.35	2.02	NA	0.35
1897	NA	2.63	2.23	1.55	NA	0.42
1898	NA	3.3	2.62	2.01	NA	0.39
1899	NA	2.89	2.29	1.82	NA	0.26
1900	2.83	2.7	2.21	2.02	NA	0.29
1901	2.61	2.54	1.79	2	NA	0.31
1902	2.3	2.3	1.69	1.65	NA	0.26
1903	2.23	2.32	1.64	1.93	NA	0.39
1904	1.94	2.32	1.45	1.68	NA	0.37
1905	1.94	2.46	1.34	1.69	NA	0.38
1906	1.58	1.91	1.22	1.76	NA	0.31
1907	1.42	2.14	1.11	1.95	NA	0.24
1908	1.29	1.87	1.18	1.59	NA	0.37
1909	1.36	1.74	0.95	1.56	NA	0.25
1910	1.43	1.61	0.97	1.54	NA	0.34
1911	1.61	1.95	0.99	1.79	NA	0.42
1912	1.54	1.69	0.71	1.92	NA	0.31
1913	1.27	1.95	0.71	1.13	NA	0.34
1914	1.51	2.57	0.93	1.98	NA	0.41
1915	1.4	2.74	0.8	1.44	NA	0.34
1916	1.62	2.96	0.9	1.4	NA	0.38
1917	1.61	2.35	0.79	1.15	NA	0.33
1918	2.22	2.76	1.03	1.27	NA	0.34
1919	2.21	2.73	1.09	1.46	NA	0.38
1920	1.96	2.61	0.78	1.37	NA	0.37
1921	2.6	3.55	0.94	1.41	NA	0.44
1922	1.93	2.8	0.74	1.14	NA	0.32
1923	2.52	3.4	1.05	1.12	NA	0.48
1924	1.9	2.86	0.86	1.21	NA	0.42
1925	2.33	2.96	1.03	1.2	0.45	0.54
1926	2.28	2.69	1.17	1.36	0.53	0.48
1927	2.27	2.67	0.92	1.18	0.39	0.37
1928	2.95	2.92	1.28	1.43	0.53	0.58
1929	3.4	2.37	1.01	1.29	0.34	0.6
1930	3.53	2.29	0.98	1.2	0.29	0.54
1931	3.56	2.45	1.19	1.45	0.52	0.63
1932	3.23	2.85	1.33	1.49	0.43	0.51
1933	3.04	2.77	1.2	1.33	0.29	0.43
1934	2.42	2.2	0.92	1.17	0.19	0.31
1935	2.37	2.37	1.2	1.37	0.4	0.47
1936	2.38	2.17	1.23	1.38	0.31	0.38
1937	2.13	2.17	1.18	1.3	0.28	0.41
1938	2.24	2.41	1.48	1.68	0.33	0.51
1939	2.15	2.5	1.69	1.31	0.21	0.42
1940	2.24	2.54	1.88	1.41	0.22	0.68
1941	2.04	2.43	1.86	1.37	0.21	0.88
1942	1.71	2.6	1.56	1.18	0.16	0.61
1943	1.5	2.8	1.71	1.08	0.11	0.52
1944	1.54	2.86	1.69	1.19	0.2	0.43
1945	1.36	2.83	1.75	1.14	0.28	0.44
1946	0.9	3.01	1.86	1.63	0.41	0.47
1947	0.97	2.43	1.58	1.8	0.26	0.45
1948	1.51	2.3	1.14	1.91	0.25	0.27
1949	2.01	2.51	1.3	2.17	0.31	0.45
1950	1.88	2.38	1	2.25	0.25	0.49
1951	2.66	2.2	0.92	2.37	0.29	0.38
1952	2.92	1.98	1.13	2.57	0.3	0.48
1953	2.55	2.07	0.98	2.18	0.23	0.33
1954	2.33	2.49	0.99	2.17	0.27	0.35
1955	2.26	2.38	1	1.75	0.27	0.43
1956	1.46	2.12	0.63	1.21	0.28	0.5
1957	1.54	1.97	0.62	1.2	0.21	0.42
1958	1.77	2.23	0.76	1.45	0.21	0.37
1959	1.81	2.34	0.86	1.64	0.14	0.29
1960	1.61	2.11	0.89	1.47	0.2	0.34
1961	2.35	2.08	1.08	1.38	0.32	0.42
1962	2.1	2.15	0.96	1.57	0.23	0.42
1963	1.51	1.97	0.8	1.28	0.19	0.5
1964	1.91	2.38	0.84	1.47	0.18	0.53
1965	1.58	2.03	0.78	1.41	0.11	0.4
1966	1.44	1.99	0.8	1.24	0.15	0.3
1967	1.81	2.19	0.86	1.12	0.17	0.46
1968	1.46	1.8	0.85	0.82	0.18	0.26
1969	1.93	2.01	0.97	0.71	0.18	0.37
1970	1.59	1.74	0.83	0.83	0.11	0.27
1971	1.9	1.89	0.78	0.83	0.09	0.27
1972	1.98	1.97	0.97	0.73	0.16	0.28
1973	1.76	1.62	0.9	0.88	0.18	0.3
1974	2.15	1.66	0.91	0.75	0.12	0.18
1975	1.8	1.52	0.63	0.71	0.12	0.19
1976	2.16	1.82	0.85	0.98	0.13	0.3
1977	2.23	1.86	0.7	0.79	0.18	0.24
1978	3.29	1.54	0.82	0.72	0.17	0.22
1979	3.53	1.53	0.83	0.72	0.18	0.37
1980	4.22	1.69	1.19	0.55	0.16	0.28
1981	4.31	1.54	0.93	0.55	0.1	0.35
1982	4.84	1.91	1.19	0.92	0.2	0.63
1983	5.65	2	1.11	0.71	0.54	0.58
1984	5.18	2.41	1.63	0.81	0.27	0.51
1985	4.99	2.5	2.06	1.49	0.53	0.86
1986	3.82	2.34	1.95	1.35	0.62	0.64
1987	3.52	2.24	1.97	1.79	1.41	0.78
1988	3.93	3.12	2.9	2.71	3.45	0.81
1989	3.61	3.2	3.33	3.4	3.18	0.91
1990	3.85	2.98	3.58	4.16	3.75	0.78
1991	3.46	2.66	3.16	3.21	3.3	0.86
1992	3.32	2.85	2.67	3.65	3.64	0.64
1993	4.26	3.2	2.77	4.29	3.29	0.8
1994	4.48	3.15	2.48	4.52	3.45	0.91
1995	5.19	3.13	2.28	5.4	4.04	1
1996	4.92	2.72	1.55	5.48	3.72	0.67
1997	5.2	2.95	2.26	5.86	3.59	0.64
1998	4.11	3.06	1.89	5.16	4.79	0.9
1999	3.75	2.66	1.47	4.27	4.53	0.71
2000	4.05	2.67	1.59	3.58	4.1	0.71
2001	4.76	3.14	1.66	NA	3.82	0.78
2002	3.77	3.16	1.76	NA	3.12	0.82
2003	3.85	3.61	1.97	NA	4.09	0.79
2004	3.23	3.49	1.64	NA	3.28	0.65
2005	3.3	3.3	1.78	NA	3.21	0.54
2006	3.79	3.33	2.08	NA	2.84	0.59
2007	5.02	3.71	2.58	NA	3.9	0.66
2008	5.09	3.31	2.24	NA	3.26	0.68
2009	7.63	3.28	2.29	NA	3.16	0.53
2010	6.69	3.14	1.96	NA	3.17	0.58
2011	5.95	2.83	2.16	NA	3.85	0.85
