# Bigler - Andeer GR Caschlera - LADE - ITRDB SWIT183
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5499
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5499.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit183-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit183-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit183.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit183.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2007-08-02
#--------------------
# Title
#   Study_Name: Bigler - Andeer GR Caschlera - LADE - ITRDB SWIT183
#--------------------
# Investigators
#   Investigators: Bigler, C.; Tiri, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Andeer GR Caschlera
#   Location: Switzerland
#   Northernmost_Latitude: 46.58
#   Southernmost_Latitude: 46.58
#   Easternmost_Longitude: 9.4
#   Westernmost_Longitude: 9.4
#   Elevation_m: 2000
#--------------------
# Data_Collection
#   Collection_Name: SWIT183
#   First_Year: 1807
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AN31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN33B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN33B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN34B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN34B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN35B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN35B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN36A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN36A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN37A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN37A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN39A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN39A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AN31A_raw	AN32A_raw	AN33B_raw	AN34B_raw	AN35B_raw	AN36A_raw	AN37A_raw	AN39A_raw
1886	0.06	2.39	NA	0.48	0.6	0.57	0.4	NA
1887	0.06	3.88	NA	1.41	1.42	1.83	0.94	NA
1888	0.05	2.96	NA	0.57	0.73	0.85	0.6	NA
1889	0.04	4.21	NA	0.86	0.92	1.75	0.67	NA
1890	0.06	2.46	NA	0.38	0.42	0.62	0.36	NA
1891	0.06	2.83	NA	0.43	0.72	0.88	0.55	NA
1892	0.14	3.25	NA	0.94	1.35	1.04	0.97	NA
1893	0.19	3.04	NA	1.09	1.52	1.49	1.49	NA
1894	0.3	3.17	NA	1.43	1.39	1.21	1.96	NA
1895	0.24	3.27	NA	1.05	1.31	1.1	1.9	NA
1896	0.39	3.53	NA	1.1	1.66	1.3	1.39	NA
1897	0.52	3.2	NA	0.76	1.42	0.72	0.84	NA
1898	0.45	3.19	NA	0.57	1.19	0.69	0.57	NA
1899	1.16	3.26	NA	0.81	1.66	0.74	0.6	NA
1900	0.97	3.36	0.48	0.95	1	0.89	0.76	NA
1901	1.49	3.75	0.44	1.06	1.05	0.88	0.79	NA
1902	0.95	3.38	0.32	0.9	0.76	1.03	0.53	NA
1903	0.81	2.58	0.17	0.67	1.12	0.9	0.54	NA
1904	1.51	4.39	0.15	1.38	2.1	2.56	1.01	NA
1905	1.26	4.05	0.31	1.49	1.98	1.93	1.04	NA
1906	0.57	2.88	0.33	0.76	1.66	0.7	0.7	NA
1907	0.73	3.04	0.31	0.44	1.37	0.51	0.75	NA
1908	0.81	3.98	0.45	1.17	1.9	0.96	1.06	NA
1909	0.32	1.86	0.14	0.35	1.31	0.28	0.54	NA
1910	0.6	2.33	0.17	0.59	1.99	0.61	0.82	NA
1911	0.7	3.25	0.31	0.6	2.64	0.83	0.73	NA
1912	1.05	3.38	0.44	0.59	1.9	0.96	0.74	NA
1913	0.44	1.75	0.27	0.2	1.14	0.22	0.24	NA
1914	0.55	1.9	0.36	0.39	1.51	0.45	0.44	NA
1915	0.77	1.94	0.55	0.56	2.15	0.74	0.72	NA
1916	0.73	2.01	0.36	0.3	1.45	0.63	0.49	NA
1917	1.01	3.6	0.78	0.74	1.78	0.96	1.2	NA
1918	0.29	2.2	0.53	0.39	0.92	0.34	0.51	NA
1919	0.5	2.26	0.7	0.43	1.16	0.59	0.63	NA
1920	0.41	1.81	0.65	0.42	0.58	0.58	0.56	NA
1921	0.42	3.49	0.88	0.88	0.98	1.01	0.96	NA
1922	0.5	3.68	1.1	0.74	1.23	1.11	1.22	NA
1923	0.78	3.59	0.51	0.43	1.54	0.7	0.82	NA
1924	1.73	3.31	0.68	0.55	1.76	0.64	1.06	NA
1925	1.74	2.98	0.74	0.59	1.99	0.7	1.14	NA
1926	1	1.21	0.34	0.35	1.02	0.17	0.5	NA
1927	1.19	2.93	0.84	0.71	1.31	0.64	1.04	NA
1928	1.03	2.89	0.7	0.82	1.73	0.84	0.91	NA
1929	1.17	2.2	0.82	0.76	1.26	0.73	1.36	NA
1930	1.29	2.78	1.17	0.83	1.28	1.21	1.79	2.61
1931	1.53	3.13	1.18	0.83	1.46	1.63	2.08	3.81
1932	1.15	2.22	0.68	0.45	1.01	0.41	0.58	3.17
1933	0.72	2.48	0.5	0.65	0.76	0.27	0.8	2.37
1934	1.12	2.49	0.75	0.65	1.05	0.43	0.65	3.29
1935	1.1	3.67	0.93	1.03	0.98	0.84	0.9	3.95
1936	1.05	3.96	0.63	0.7	0.82	0.7	1.19	3.19
1937	1.04	2.97	0.74	0.78	0.9	0.74	1.15	2.77
1938	0.98	2.54	0.77	0.71	0.7	0.39	1.55	3.24
1939	0.93	2.56	0.91	0.73	0.81	0.64	1.48	3.1
1940	0.64	2.03	0.72	0.67	0.64	0.46	1.48	2.83
1941	0.88	2.58	1	0.84	1.12	0.96	1.95	3.38
1942	0.78	2.26	0.82	0.56	0.83	0.82	1.79	2.89
1943	0.78	2.77	0.67	0.84	0.99	1.42	2.27	3.32
1944	1.2	2.77	0.98	0.95	1.48	1.73	2.6	4.32
1945	1.52	2.67	1.03	1.02	1.69	1.35	2.64	5.01
1946	0.62	2.18	0.87	0.8	0.92	0.85	2.03	3.21
1947	1.04	2.66	0.91	0.89	1.25	1	2.23	4.02
1948	0.43	1.84	0.59	0.44	0.68	0.69	1.14	2.36
1949	1.02	3.13	0.98	1.05	1.59	1.09	1.57	2.76
1950	0.98	3.1	1.26	0.96	1.58	1.53	1.49	2.96
1951	1.28	3.04	1.1	0.74	1.62	1.46	1.63	2.24
1952	1.11	3.25	1.95	1.22	2.39	1.6	1.69	2.99
1953	0.78	1.98	0.92	0.32	1.3	0.5	0.96	1.65
1954	0.65	1.56	0.62	0.39	1.38	0.47	0.87	1.87
1955	0.89	1.87	0.17	0.43	2.26	0.48	0.82	1.94
1956	0.52	1.7	0.17	0.43	1.59	0.37	0.42	2.09
1957	0.57	1.82	0.19	0.26	1.02	0.39	0.52	1.43
1958	0.78	2.23	0.29	0.44	1.37	0.46	0.88	2.44
1959	0.58	2.61	0.21	0.46	1.67	0.69	1.2	2.77
1960	0.72	2.36	0.16	0.46	1.52	0.46	1.17	3.18
1961	0.42	2.05	0.14	0.32	1.34	0.32	1.02	2.47
1962	0.52	2.06	0.27	0.52	1.49	0.52	0.97	2.96
1963	0.4	1.76	0.24	0.44	1.03	0.48	1.07	2.4
1964	0.69	2.28	0.2	0.67	1.49	0.43	1.02	2.36
1965	0.43	1.63	0.23	0.65	1.71	0.48	0.83	1.81
1966	0.4	1.99	0.23	0.6	1.35	0.48	0.78	2.01
1967	0.55	2.23	0.25	0.66	1.6	0.54	0.9	2.16
1968	0.43	1.84	0.14	0.09	0.82	0.28	0.76	1.49
1969	0.54	2.4	0.24	0.36	1.44	0.38	0.81	1.62
1970	0.63	2.02	0.35	0.53	1.53	0.52	0.81	1.88
1971	0.41	2.15	0.38	0.39	1.68	0.38	0.71	1.8
1972	0.56	2.26	0.33	0.45	1.07	0.54	0.67	1.57
1973	0.57	1.86	0.43	0.52	1.32	0.57	0.79	2.03
1974	0.37	1.79	0.48	0.42	1.32	0.56	0.81	2.16
1975	0.11	1.06	0.45	0.21	0.93	0.34	0.43	1.82
1976	0.33	1.6	0.71	0.61	1.05	0.8	0.86	2.17
1977	0.21	0.96	0.49	0.31	1	0.55	1	1.72
1978	0.22	1.05	0.46	0.4	0.84	0.54	0.93	2.03
1979	0.55	1.74	0.77	0.58	1.18	0.92	0.99	2.56
1980	0.48	1.24	0.67	0.46	0.79	1.05	0.68	1.86
1981	0.51	1.32	0.96	0.51	0.75	1.04	0.78	3.09
1982	0.96	2.06	1.17	0.74	1.38	1.77	1.28	5.74
1983	0.85	2.04	0.96	0.55	1.27	1.41	1.41	4.7
1984	0.57	1.66	0.88	0.65	1.45	1.45	1.74	3.05
1985	0.5	1.73	0.45	0.68	1.49	0.9	1.63	2.23
1986	0.8	2.48	0.44	0.93	1.46	1.12	1.53	2.71
1987	0.58	2.06	0.55	0.66	1.1	0.76	1.26	1.6
1988	0.72	2.44	0.61	0.8	1.57	1.79	1.97	2.56
1989	0.73	2.41	0.68	0.9	2.11	2.17	1.99	2.36
1990	0.44	1.81	0.59	0.77	1.84	1.74	1.76	2.13
1991	0.58	1.63	0.48	0.7	1.96	1.49	1.71	1.83
1992	0.64	1.63	0.57	0.88	1.23	1.51	1.74	2.6
1993	0.81	2.23	0.72	0.72	1.77	2.98	1.97	3.51
1994	0.86	2.63	0.76	0.57	2.22	4.04	2.7	4.37
1995	0.99	3.13	0.89	0.3	2.03	2.52	1.86	2.54
1996	0.74	2.25	0.55	0.2	1.62	1.7	1.3	2.7
1997	0.58	1.86	0.58	0.27	1.64	1.25	1.41	2.94
1998	1.3	2.64	0.78	0.41	2.56	4.08	3.13	5.28
1999	0.89	2.16	0.7	0.34	2.22	3.55	3.19	5.93
2000	1.35	2.65	1.03	0.44	1.9	3.41	2.56	6.15
2001	1.2	2.81	1.29	0.59	2.27	3.84	3.35	6.7
2002	1.32	2.14	0.59	0.63	1.53	3.78	2.46	3.87
2003	1.28	2.7	0.69	0.59	1.64	2.29	2.84	2.24
2004	0.7	1.89	0.51	0.27	0.86	1.44	2.02	1.27
2005	0.99	2.37	0.55	0.45	1.25	2.13	2.58	2
2006	0.96	2.97	0.36	0.37	1.11	2.01	3.11	2.01
