# Richter - Gudar Fuentenarices - PINI - ITRDB SPAI039
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4254
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4254.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai039-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai039-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai039.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai039.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Gudar Fuentenarices - PINI - ITRDB SPAI039
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gudar Fuentenarices
#   Location: Spain
#   Northernmost_Latitude: 40.3
#   Southernmost_Latitude: 40.3
#   Easternmost_Longitude: -0.73
#   Westernmost_Longitude: -0.73
#   Elevation_m: 1450
#--------------------
# Data_Collection
#   Collection_Name: SPAI039
#   First_Year: 1681
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E440201A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440201A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440201B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440201B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440202A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440202A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440202B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440202B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440202C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440202C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E440201A_raw	E440201B_raw	E440202A_raw	E440202B_raw	E440202C_raw
1781	0.93	1.11	0.71	0.6	0.65
1782	0.44	0.69	0.53	0.55	0.49
1783	0.93	1.27	0.66	0.62	0.74
1784	0.77	1.03	0.55	0.91	0.6
1785	0.93	0.94	0.44	0.98	0.73
1786	0.58	0.73	0.38	0.5	0.52
1787	0.94	1.04	0.59	0.84	0.75
1788	0.81	1.49	0.64	1.2	0.95
1789	0.98	1.19	0.58	0.82	0.61
1790	0.78	0.82	0.62	0.93	0.63
1791	1.25	1.32	0.66	0.96	0.89
1792	0.91	0.78	0.63	0.52	0.45
1793	1.22	1.19	0.65	0.97	0.65
1794	0.96	1.17	0.63	0.74	0.54
1795	1.04	1.46	0.71	0.92	0.53
1796	0.43	1.05	0.51	0.61	0.59
1797	0.32	0.8	0.41	0.54	0.37
1798	0.5	0.66	0.36	0.63	0.37
1799	0.46	0.83	0.36	0.47	0.34
1800	0.62	1.16	0.45	0.53	0.29
1801	0.79	1.35	0.51	0.48	0.34
1802	0.84	0.84	0.39	0.45	0.39
1803	0.64	0.84	0.4	0.37	0.31
1804	0.72	0.67	0.42	0.54	0.44
1805	0.6	0.5	0.36	0.29	0.3
1806	0.47	0.46	0.38	0.3	0.2
1807	0.33	0.54	0.18	0.27	0.2
1808	0.27	0.2	0.19	0.18	0.24
1809	0.6	0.32	0.25	0.36	0.44
1810	0.54	0.38	0.26	0.3	0.41
1811	0.69	0.68	0.33	0.36	0.45
1812	0.48	0.61	0.28	0.24	0.3
1813	0.48	0.57	0.51	0.38	0.44
1814	0.63	0.77	0.73	0.55	0.67
1815	0.53	0.79	0.47	0.48	0.55
1816	0.85	1.01	0.3	0.3	0.49
1817	1.14	0.75	0.35	0.47	0.56
1818	0.9	0.59	0.54	0.64	0.89
1819	0.97	0.53	0.63	0.43	0.75
1820	0.83	0.4	0.31	0.46	0.66
1821	0.53	0.25	0.35	0.31	0.41
1822	0.65	0.32	0.2	0.08	0.18
1823	0.27	0.11	0.34	0.23	0.36
1824	0	0	0.16	0.17	0.21
1825	0.65	0.3	0.38	0.28	0.46
1826	0.67	0.38	0.23	0.19	0.61
1827	0.77	0.5	0.26	0.21	0.33
1828	0.2	0.25	0.2	0.17	0.23
1829	0.58	0.57	0.26	0.29	0.26
1830	0.56	0.38	0.24	0.28	0.33
1831	0.33	0.28	0.31	0.26	0.34
1832	0.7	0.64	0.23	0.32	0.26
1833	0.53	0.44	0.3	0.3	0.31
1834	0.85	0.73	0.46	0.48	0.53
1835	0.78	0.87	0.54	0.34	0.57
1836	0.49	0.48	0.28	0.2	0.25
1837	0.15	0.24	0.13	0.11	0.15
1838	0.39	0.4	0.25	0.23	0.42
1839	0.34	0.34	0.25	0.16	0.26
1840	0.56	0.41	0.39	0.19	0.33
1841	0.66	0.57	0.27	0.26	0.37
1842	0.51	0.52	0.18	0.19	0.3
1843	0.6	0.63	0.25	0.23	0.46
1844	0.65	0.74	0.24	0.25	0.55
1845	0.61	0.8	0.31	0.24	0.59
1846	0.72	0.82	0.42	0.31	0.64
1847	0.54	0.52	0.38	0.21	0.47
1848	0.58	0.58	0.27	0.16	0.42
1849	0.17	0.17	0.15	0.09	0.11
1850	0.33	0.34	0.3	0.25	0.3
1851	0.42	0.35	0.3	0.21	0.28
1852	0.4	0.53	0.25	0.11	0.18
1853	0.59	0.55	0.38	0.17	0.27
1854	0.74	0.69	0.48	0.23	0.37
1855	0.52	0.51	0.64	0.31	0.38
1856	0.76	0.88	0.65	0.46	0.56
1857	0.4	0.35	0.61	0.35	0.44
1858	0.47	0.6	0.7	0.4	0.76
1859	0.3	0.37	0.47	0.36	0.52
1860	0.37	0.6	0.43	0.22	0.33
1861	0.49	0.66	0.5	0.27	0.42
1862	0.75	0.66	0.28	0.21	0.32
1863	0.69	0.77	0.22	0.21	0.19
1864	0.8	0.69	0.31	0.17	0.32
1865	0.65	0.76	0.2	0.17	0.21
1866	0.63	0.77	0.25	0.2	0.28
1867	0.48	0.78	0.12	0.13	0.19
1868	0.75	1.5	0.2	0.22	0.28
1869	0.37	0.66	0.14	0.17	0.15
1870	0.71	0.64	0.15	0.2	0.09
1871	0.75	0.92	0.18	0.17	0.13
1872	1.15	1.15	0.26	0.17	0.17
1873	1.33	1.01	0.23	0.09	0.17
1874	1.46	0.93	0.21	0.13	0.15
1875	1.08	0.61	0.23	0.08	0.14
1876	1.06	0.71	0.21	0.09	0.11
1877	1.05	0.7	0.24	0.18	0.13
1878	0.76	0.68	0.3	0.2	0.25
1879	0.77	0.48	0.22	0.1	0.17
1880	0.95	0.74	0.25	0.25	0.2
1881	1.07	0.61	0.25	0.16	0.09
1882	0.55	0.51	0.26	0.2	0.12
1883	0.68	0.52	0.24	0.14	0.14
1884	1.05	0.81	0.55	0.4	0.35
1885	1.25	1.03	0.57	0.31	0.43
1886	1.5	1.22	0.41	0.23	0.23
1887	1.37	1.34	0.35	0.15	0.23
1888	1.7	1.73	0.41	0.31	0.4
1889	1.74	1.92	0.31	0.2	0.41
1890	1.31	1.96	0.26	0.18	0.32
1891	1.54	1.9	0.24	0.2	0.21
1892	1.82	3.36	0.31	0.37	0.32
1893	1.51	1.67	0.18	0.22	0.21
1894	1.85	1.31	0.29	0.3	0.28
1895	2.78	1.85	0.27	0.31	0.32
1896	1.98	1.53	0.44	0.3	0.35
1897	2.92	1.49	0.32	0.28	0.23
1898	2.25	1.48	0.26	0.36	0.24
1899	2.77	1.67	0.45	0.37	0.3
1900	2.82	2.03	0.4	0.47	0.32
1901	2.74	2.23	0.4	0.48	0.39
1902	2.26	2.01	0.46	0.46	0.37
1903	3.86	2.84	0.46	0.79	0.66
1904	3.33	2.56	0.43	0.62	0.34
1905	2.9	2.38	0.52	0.6	0.35
1906	2.37	2.12	0.57	0.75	0.43
1907	1.35	1.27	0.35	0.22	0.19
1908	0.22	0.36	0.17	0.16	0.11
1909	0	0	0.34	0.19	0.18
1910	0.43	0.07	0.35	0.43	0.21
1911	0.47	0.07	0.29	0.34	0.36
1912	0.37	0.09	0.31	0.42	0.3
1913	0.31	0.24	0.25	0.26	0.25
1914	0.48	0.24	0.29	0.59	0.33
1915	0.6	0.27	0.37	0.69	0.26
1916	0.6	0.12	0.39	0.77	0.35
1917	0.47	0.4	0.74	0.78	0.35
1918	0.62	0.41	0.83	0.64	0.3
1919	0.69	0.39	0.73	0.61	0.43
1920	0.74	0.45	0.6	0.8	0.39
1921	0.71	0.23	0.74	0.4	0.43
1922	0.47	0.32	0.61	0.37	0.66
1923	0.69	0.53	0.7	0.32	0.57
1924	0.59	0.62	0.64	0.4	0.44
1925	0.28	0.43	0.51	0.43	0.41
1926	0.43	0.64	0.63	0.48	0.57
1927	0.41	0.87	0.42	0.4	0.59
1928	0.45	0.47	0.48	0.24	0.4
1929	0.62	0.44	0.5	0.41	0.49
1930	0.64	0.57	0.31	0.4	0.54
1931	0.28	0.32	0.44	0.4	0.48
1932	0.74	0.7	0.52	0.52	0.63
1933	0.77	0.64	0.33	0.58	0.61
1934	0.63	0.54	0.34	0.41	0.59
1935	0.77	0.61	0.37	0.48	0.53
1936	1.05	0.63	0.35	0.39	0.38
1937	1.16	0.7	0.38	0.45	0.44
1938	0.85	0.6	0.54	0.41	0.6
1939	1.03	0.32	NA	0.48	0.7
1940	1.74	0.72	NA	0.67	0.77
1941	0.64	0.82	NA	0.45	0.77
1942	0.48	0.42	NA	0.36	0.66
1943	0.72	0.71	NA	0.33	0.64
1944	0.78	0.48	NA	0.3	0.54
1945	0.71	0.67	NA	0.42	0.73
1946	0.52	0.5	NA	0.3	0.43
1947	0.52	0.42	NA	0.24	0.39
1948	0.67	0.89	NA	0.39	0.48
1949	0.71	0.89	NA	0.42	0.45
1950	0.28	0.5	NA	0.3	0.51
1951	0.71	1.2	NA	0.34	0.6
1952	0.77	1.19	NA	0.51	0.66
1953	0.58	0.5	NA	0.37	0.38
1954	0.71	1.11	NA	0.42	0.43
1955	0.73	0.98	NA	0.6	0.58
1956	0.86	1.16	NA	0.41	0.53
1957	0.54	0.53	NA	0.4	0.47
1958	0.31	0.51	NA	0.35	0.29
1959	0.63	0.88	NA	0.51	0.47
1960	0.91	1.07	NA	0.49	0.52
1961	0.48	0.88	NA	0.35	0.3
1962	0.68	0.96	NA	0.4	0.34
1963	0.46	0.8	NA	0.38	0.3
1964	0.66	0.81	NA	0.39	0.37
1965	0.44	0.51	NA	0.27	0.24
1966	0.73	0.7	NA	0.36	0.28
1967	0.19	0.28	NA	0.2	0.15
1968	0.4	0.65	NA	0.21	0.22
1969	0.53	0.6	NA	0.29	0.28
1970	0.7	0.64	NA	0.34	0.22
1971	0.61	0.69	NA	0.23	0.26
1972	0.71	0.48	NA	0.22	0.26
1973	0.7	0.46	NA	0.39	0.39
1974	0.29	0.11	NA	0.11	0.14
1975	0.32	0.14	NA	0.15	0.21
1976	0.44	0.27	NA	0.2	0.29
1977	0.67	0.35	NA	0.35	0.37
1978	0.7	0.31	NA	0.3	0.3
1979	0.62	0.35	NA	0.23	0.35
1980	0.59	0.49	NA	0.29	0.41
1981	0.24	0.27	NA	0.12	0.33
1982	0.62	0.52	NA	0.3	0.44
1983	0.83	0.88	NA	0.21	0.45
1984	0.87	1.38	NA	0.28	0.47
