# Brown - Bakehouse Lane - QUSP - ITRDB BRIT047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2870
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2870.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit047-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit047-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit047.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit047.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Brown - Bakehouse Lane - QUSP - ITRDB BRIT047
#--------------------
# Investigators
#   Investigators: Brown, D.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bakehouse Lane
#   Location: Waterford
#   Northernmost_Latitude: 52.27
#   Southernmost_Latitude: 52.27
#   Easternmost_Longitude: -7.12
#   Westernmost_Longitude: -7.12
#   Elevation_m: 30
#--------------------
# Data_Collection
#   Collection_Name: BRIT047
#   First_Year: 900
#   Last_Year: 1127
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 7483_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7483; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7631_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7631; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7632_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7632; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7634_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7634; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7635_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7635; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8269_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8269; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q8270M_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q8270M; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 7483_raw	Q 7631_raw	Q 7632_raw	Q 7634_raw	Q 7635_raw	Q 8269_raw	Q8270M_raw
1013	0.44	1.5	0.18	0.67	1.52	0.63	0.69
1014	0.28	0.86	0.16	0.55	1.01	0.58	0.56
1015	0.39	1.14	0.18	0.49	0.98	0.62	0.58
1016	0.2	0.64	0.14	0.51	0.58	0.34	0.38
1017	0.23	0.8	0.27	0.43	1.1	0.42	0.42
1018	0.25	1.44	0.4	0.69	1.22	0.56	0.56
1019	0.21	0.69	0.23	0.41	0.97	0.58	0.43
1020	0.21	0.67	0.25	0.75	1.11	0.45	0.42
1021	0.5	0.68	0.43	0.54	1.21	0.56	0.43
1022	0.33	0.63	0.31	0.46	1.32	0.66	0.49
1023	0.35	0.78	0.28	0.48	1.23	0.68	0.56
1024	0.24	0.52	0.27	0.27	1.03	0.41	0.34
1025	0.39	0.84	0.36	0.57	1.16	0.77	0.5
1026	0.42	1.27	0.35	0.65	1.54	0.99	0.57
1027	0.36	0.86	0.29	0.37	1.26	0.79	0.57
1028	0.39	0.67	0.41	0.5	1.17	0.81	0.57
1029	0.21	0.42	0.24	0.45	0.77	0.52	0.57
1030	0.54	1.02	0.37	0.4	1.15	0.61	0.71
1031	0.39	0.67	0.36	0.41	1.23	0.51	0.71
1032	0.42	0.69	0.2	0.23	0.75	0.43	0.44
1033	0.36	0.81	0.35	0.18	0.78	0.39	0.36
1034	0.45	1	0.52	0.31	0.74	0.77	0.68
1035	0.44	1.08	0.29	0.2	1.02	0.59	0.78
1036	0.31	0.86	0.29	0.22	0.97	0.41	0.6
1037	0.28	0.71	0.35	0.22	0.85	0.45	0.51
1038	0.45	1.06	0.31	0.22	0.77	0.65	0.64
1039	0.21	0.62	0.12	0.13	0.69	0.35	0.45
1040	0.34	0.8	0.13	0.29	0.88	0.46	0.63
1041	0.26	0.62	0.16	0.36	0.65	0.44	0.64
1042	0.47	0.98	0.32	0.55	0.94	1.04	0.71
1043	0.34	0.71	0.29	0.42	0.73	0.79	0.64
1044	0.23	0.49	0.25	0.26	0.58	0.54	0.37
1045	0.31	0.93	0.3	0.47	1.02	0.77	0.83
1046	0.32	0.8	0.22	0.36	1.08	0.69	0.72
1047	0.37	0.88	0.33	0.55	0.99	0.8	1
1048	0.33	0.74	0.32	0.31	0.67	0.69	0.69
1049	0.4	1.06	0.37	0.22	0.45	0.55	0.49
1050	0.26	0.68	0.25	0.15	0.41	0.53	0.49
1051	0.24	0.56	0.19	0.17	0.3	0.64	0.45
1052	0.41	0.63	0.21	0.2	0.41	0.69	0.34
1053	0.48	0.82	0.22	0.19	0.36	0.68	0.2
1054	0.25	0.29	0.19	0.28	0.33	0.32	NA
1055	0.56	0.3	0.19	0.3	0.41	0.64	NA
1056	0.58	0.41	0.22	0.28	0.6	NA	NA
1057	0.28	0.27	0.17	0.25	0.3	NA	NA
1058	0.49	0.65	0.2	0.33	0.45	NA	NA
1059	0.42	0.52	0.24	0.32	0.33	NA	NA
1060	0.29	0.45	0.25	0.41	0.4	NA	NA
1061	0.48	0.93	0.33	0.49	0.63	NA	NA
1062	0.4	0.49	0.25	0.33	0.28	NA	NA
1063	0.35	0.37	0.21	0.37	0.34	NA	NA
1064	0.4	0.52	0.29	0.41	0.31	NA	NA
1065	0.4	0.24	0.17	0.3	0.34	NA	NA
1066	0.31	0.48	0.26	0.24	0.34	NA	NA
1067	0.47	0.52	0.23	0.22	0.34	NA	NA
1068	0.62	0.43	0.22	0.18	NA	NA	NA
1069	0.39	0.72	0.29	0.22	NA	NA	NA
1070	0.46	0.83	0.31	0.31	NA	NA	NA
1071	0.46	0.72	0.17	0.34	NA	NA	NA
1072	0.5	0.52	0.29	0.38	NA	NA	NA
1073	0.6	0.73	0.28	0.15	NA	NA	NA
1074	0.49	0.74	0.27	NA	NA	NA	NA
1075	0.79	0.62	0.26	NA	NA	NA	NA
1076	NA	0.58	0.32	NA	NA	NA	NA
1077	NA	0.51	0.31	NA	NA	NA	NA
1078	NA	0.8	0.23	NA	NA	NA	NA
1079	NA	0.74	0.26	NA	NA	NA	NA
1080	NA	0.54	0.26	NA	NA	NA	NA
1081	NA	0.62	0.16	NA	NA	NA	NA
1082	NA	0.52	0.2	NA	NA	NA	NA
1083	NA	0.56	0.26	NA	NA	NA	NA
1084	NA	0.46	0.23	NA	NA	NA	NA
1085	NA	0.62	0.28	NA	NA	NA	NA
1086	NA	0.46	0.27	NA	NA	NA	NA
1087	NA	0.51	0.31	NA	NA	NA	NA
1088	NA	0.4	0.34	NA	NA	NA	NA
1089	NA	0.27	0.24	NA	NA	NA	NA
1090	NA	0.25	0.17	NA	NA	NA	NA
1091	NA	0.17	0.16	NA	NA	NA	NA
1092	NA	0.19	0.22	NA	NA	NA	NA
1093	NA	0.26	0.45	NA	NA	NA	NA
1094	NA	0.32	0.35	NA	NA	NA	NA
1095	NA	0.32	0.39	NA	NA	NA	NA
1096	NA	0.3	0.25	NA	NA	NA	NA
1097	NA	0.43	0.46	NA	NA	NA	NA
1098	NA	0.48	0.27	NA	NA	NA	NA
1099	NA	0.46	0.34	NA	NA	NA	NA
1100	NA	0.53	0.25	NA	NA	NA	NA
1101	NA	0.27	NA	NA	NA	NA	NA
1102	NA	0.34	NA	NA	NA	NA	NA
1103	NA	0.31	NA	NA	NA	NA	NA
1104	NA	0.22	NA	NA	NA	NA	NA
1105	NA	0.36	NA	NA	NA	NA	NA
1106	NA	0.39	NA	NA	NA	NA	NA
1107	NA	0.44	NA	NA	NA	NA	NA
1108	NA	0.34	NA	NA	NA	NA	NA
1109	NA	0.4	NA	NA	NA	NA	NA
1110	NA	0.31	NA	NA	NA	NA	NA
1111	NA	0.42	NA	NA	NA	NA	NA
1112	NA	0.48	NA	NA	NA	NA	NA
1113	NA	0.19	NA	NA	NA	NA	NA
1114	NA	0.25	NA	NA	NA	NA	NA
1115	NA	0.57	NA	NA	NA	NA	NA
1116	NA	0.43	NA	NA	NA	NA	NA
1117	NA	0.46	NA	NA	NA	NA	NA
1118	NA	0.62	NA	NA	NA	NA	NA
1119	NA	0.39	NA	NA	NA	NA	NA
1120	NA	0.34	NA	NA	NA	NA	NA
1121	NA	0.37	NA	NA	NA	NA	NA
1122	NA	0.52	NA	NA	NA	NA	NA
1123	NA	0.3	NA	NA	NA	NA	NA
1124	NA	0.4	NA	NA	NA	NA	NA
1125	NA	0.43	NA	NA	NA	NA	NA
1126	NA	0.37	NA	NA	NA	NA	NA
1127	NA	0.38	NA	NA	NA	NA	NA
