# Bräker - La Grandsonne Dessous Les Pr - PCAB - ITRDB SWIT291
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16857
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16857.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit291-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit291-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit291.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit291.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - La Grandsonne Dessous Les Pr - PCAB - ITRDB SWIT291
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Formerly La_Grandsonne_Fichte_Bestand_n11_1995.fh NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: La Grandsonne Dessous - Les Pr
#   Location: Switzerland
#   Northernmost_Latitude: 46.8661
#   Southernmost_Latitude: 46.8661
#   Easternmost_Longitude: 6.5567
#   Westernmost_Longitude: 6.5567
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: SWIT291
#   First_Year: 1750
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GRAF0511_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0511; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0521_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0521; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0531_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0531; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0541_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0541; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0551_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0551; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0562_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0562; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0571_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0571; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0581_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0581; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0591_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0591; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0601_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0601; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0611_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0611; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GRAF0511_raw	GRAF0521_raw	GRAF0531_raw	GRAF0541_raw	GRAF0551_raw	GRAF0562_raw	GRAF0571_raw	GRAF0581_raw	GRAF0591_raw	GRAF0601_raw	GRAF0611_raw
1826	NA	NA	NA	NA	0.63	NA	NA	NA	NA	NA	0.4
1827	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	0.46
1828	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA	0.49
1829	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	0.56
1830	NA	NA	NA	NA	0.47	NA	NA	NA	NA	NA	0.32
1831	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	0.54
1832	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA	0.42
1833	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA	0.72
1834	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	0.73
1835	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA	0.5
1836	NA	NA	NA	NA	1.33	0.94	NA	NA	NA	NA	0.76
1837	NA	NA	NA	NA	1.44	1.66	NA	NA	NA	NA	2.35
1838	NA	NA	NA	NA	1.55	4.17	NA	NA	NA	NA	2.92
1839	NA	NA	NA	NA	1.77	4.03	NA	NA	NA	NA	2.43
1840	NA	NA	NA	NA	2.47	3.86	NA	NA	NA	NA	2.17
1841	NA	NA	NA	NA	2.29	2.93	NA	NA	NA	NA	2.83
1842	NA	NA	NA	NA	2.69	3.41	NA	NA	NA	NA	1.67
1843	NA	NA	NA	NA	2.12	2.91	NA	NA	NA	NA	2.06
1844	NA	NA	NA	NA	2.62	2.6	NA	NA	NA	NA	2.11
1845	NA	NA	NA	NA	2.64	2.85	NA	NA	NA	NA	3.4
1846	NA	NA	NA	NA	2.96	3.47	NA	NA	NA	NA	1.79
1847	NA	NA	NA	NA	2.74	2.14	NA	NA	NA	NA	1.66
1848	NA	NA	NA	NA	2.4	2.19	NA	NA	NA	NA	1.96
1849	NA	NA	NA	NA	2.52	2.38	NA	NA	NA	NA	2.12
1850	NA	NA	NA	NA	2.14	2.38	NA	NA	NA	NA	2.07
1851	NA	NA	NA	NA	2.46	2.32	NA	NA	NA	NA	2.39
1852	NA	NA	NA	NA	2.2	2.08	NA	NA	NA	NA	2.41
1853	NA	NA	NA	NA	2.05	2.18	NA	NA	NA	NA	1.57
1854	NA	NA	NA	NA	1.82	1.78	NA	NA	NA	NA	1.48
1855	NA	NA	NA	NA	1.64	1.63	NA	NA	NA	NA	1.43
1856	NA	NA	NA	NA	1.53	1.36	NA	NA	NA	NA	1.63
1857	NA	NA	NA	NA	1.51	1.53	NA	NA	NA	NA	0.94
1858	NA	NA	NA	NA	1.23	1.21	NA	NA	NA	NA	0.8
1859	NA	NA	NA	NA	1	0.88	NA	NA	NA	NA	0.75
1860	NA	NA	NA	NA	0.92	0.76	NA	NA	NA	NA	0.91
1861	NA	NA	NA	NA	0.84	0.77	NA	NA	NA	NA	0.75
1862	NA	NA	NA	NA	0.61	0.82	NA	NA	NA	NA	1.05
1863	NA	NA	NA	NA	0.67	1.07	NA	NA	NA	NA	0.87
1864	NA	NA	NA	NA	0.73	0.77	NA	NA	NA	NA	0.58
1865	NA	NA	NA	NA	0.81	0.62	NA	NA	NA	NA	0.85
1866	NA	NA	NA	NA	1.15	0.78	NA	NA	NA	NA	0.84
1867	NA	NA	NA	NA	1.4	0.66	NA	NA	NA	NA	0.85
1868	NA	NA	NA	NA	1.13	0.47	NA	NA	NA	NA	0.72
1869	NA	NA	NA	NA	1.69	1.24	NA	NA	NA	NA	0.9
1870	NA	NA	NA	NA	1.19	0.77	NA	NA	NA	NA	0.66
1871	NA	NA	NA	1.74	1.75	0.92	NA	NA	NA	NA	0.84
1872	NA	NA	NA	1.01	1.59	0.93	NA	NA	NA	NA	0.84
1873	NA	NA	NA	1.59	1.57	1.15	NA	NA	NA	NA	1.32
1874	NA	NA	NA	1.43	1.59	0.91	NA	NA	NA	NA	0.98
1875	NA	NA	NA	2.13	1.87	1.08	NA	NA	NA	NA	1.44
1876	NA	NA	NA	1.23	1.34	0.84	NA	NA	NA	NA	1.22
1877	NA	NA	NA	1.85	1.9	1.5	NA	NA	NA	NA	1.63
1878	NA	NA	NA	1.25	2.1	1.29	NA	NA	NA	NA	1.53
1879	NA	NA	NA	1.31	1.83	1.53	NA	NA	NA	NA	1.81
1880	NA	NA	NA	1.29	1.77	1.78	NA	NA	NA	NA	1.91
1881	NA	NA	NA	1.25	1.9	1.91	NA	NA	NA	NA	2.19
1882	NA	NA	NA	1.23	1.98	1.94	NA	NA	NA	NA	1.74
1883	NA	NA	NA	0.94	2.03	1.52	NA	NA	NA	NA	1.5
1884	NA	NA	NA	1.2	1.53	1.09	NA	NA	NA	NA	1.1
1885	NA	NA	NA	1.17	1.89	1.51	NA	NA	NA	NA	1.37
1886	NA	NA	NA	1.53	2.09	1.52	NA	NA	NA	NA	1.21
1887	NA	NA	NA	1.68	2.21	1.66	NA	NA	NA	NA	1.03
1888	NA	NA	NA	2.03	1.91	1.6	NA	NA	NA	NA	1.23
1889	NA	NA	NA	2.29	2.46	1.83	NA	NA	NA	NA	1.59
1890	NA	NA	NA	2.4	2.72	1.49	NA	NA	NA	NA	1.65
1891	NA	NA	NA	1.87	2.26	1.24	NA	NA	NA	NA	1.46
1892	NA	NA	NA	2.28	2.74	1.33	NA	NA	NA	NA	1.52
1893	NA	NA	NA	2.06	2.23	0.94	NA	NA	NA	NA	1.04
1894	NA	NA	NA	2.37	2.04	1.23	NA	NA	NA	NA	0.97
1895	NA	NA	5.04	2.93	2.09	1.34	NA	NA	NA	NA	1
1896	NA	4.12	3.72	2.75	1.52	1.15	NA	NA	NA	NA	0.96
1897	NA	1.55	3.07	3.79	1.64	1.39	NA	NA	NA	NA	1.18
1898	NA	0.94	3.01	4.2	1.87	1.11	NA	NA	6.58	NA	0.98
1899	NA	1.44	2.7	3.9	2.01	1.26	NA	NA	2.99	4.14	1.44
1900	1.88	1.76	3.01	3.75	2.01	1.23	NA	NA	2.96	3.56	0.97
1901	3.43	2.08	3.64	3.66	2.38	1.21	NA	NA	4.83	5.16	0.85
1902	3.48	1.82	2.74	2.63	2.02	1	NA	NA	4.38	4.7	0.53
1903	4.28	1.89	3.39	2.31	2.12	0.93	NA	NA	4.79	4.61	0.71
1904	3.08	1.79	3.52	2.82	2.35	1.1	NA	NA	5.48	3.92	1.03
1905	2.58	1.67	2.97	2.37	1.85	0.82	NA	NA	5.25	2.93	0.77
1906	4	1.89	3.07	2.44	1.64	0.72	NA	NA	4.11	3.11	0.75
1907	2.78	1.69	2.67	2.11	1.21	0.66	NA	NA	3.41	3	0.69
1908	3.07	1.79	2.73	2.49	1.73	1.07	NA	NA	3.62	3.45	1.14
1909	3.8	1.55	2.41	2.55	1.34	0.61	NA	NA	3.02	2.45	0.69
1910	4.89	1.84	2.5	2.74	1.47	0.82	NA	NA	3.27	2.88	0.87
1911	4.53	2.15	2.21	2.41	1.22	0.84	NA	NA	4.18	3.12	1.02
1912	4.16	2.44	2.38	2.41	1.3	1.03	NA	0.38	2.66	2.89	0.82
1913	5.07	2.2	2.3	2.41	1.08	0.98	NA	1.4	2.23	2.98	0.79
1914	4.02	2.3	2.56	2.68	1.05	1	NA	2.95	2.56	2.99	0.92
1915	4.19	2.78	2.63	2.87	1.49	1.24	NA	4.24	2.64	3.56	1.11
1916	4.88	2.4	2.65	2.66	1.72	1.27	NA	4	2.52	3.84	1.07
1917	5.1	2.49	2.1	2.06	1.98	1.88	NA	3.8	2.4	5.03	1.36
1918	4.92	1.87	1.65	2.24	1.62	1.44	NA	2.82	1.77	4.8	NA
1919	4.44	1.75	1.66	2.34	1.51	1.65	3.72	2.93	1.39	4.34	NA
1920	4.78	1.71	1.31	2.25	1.47	1.38	3.75	3.06	1.6	3.96	NA
1921	4.6	1.63	1.5	1.75	1.75	1.61	3.56	2.95	2.06	4.23	NA
1922	4.35	1.6	1.4	1.86	1.51	1.17	3.18	3.05	2.07	4.38	NA
1923	3.73	1.17	1.38	1.5	1.42	0.91	2.72	2.72	2.09	3.15	NA
1924	3.23	1.22	1.55	1.96	1.93	1.09	3.08	3.19	2.05	3.03	NA
1925	3.93	1.68	2.08	2.08	1.54	1.09	3.6	3.38	2.27	4.4	NA
1926	3.03	1.14	1.69	2.16	1.41	0.93	2.88	2.41	1.69	3.5	NA
1927	3.4	1.69	1.55	2.06	1.28	1.15	3.19	2.43	2.53	3.46	NA
1928	3.79	1.62	1.4	2.22	1.34	1.31	3.1	2.48	2.93	3.01	NA
1929	3.36	1.44	1.28	1.9	1.6	1.31	2.66	2.92	2.24	3.54	NA
1930	2.95	0.96	0.93	1.77	1.26	1.14	2.69	2.24	1.35	3.24	NA
1931	3.13	1.45	1.61	2.72	1.64	1.26	3.26	3.06	1.74	3.99	NA
1932	2.95	1.38	2.76	3.1	1.62	1.7	3.65	3.35	1.66	3.97	NA
1933	2.3	1.48	2.06	3.17	1.47	1.3	2.28	2.77	1.58	3.78	NA
1934	2.84	1.39	2.02	2.93	1.51	1.67	2.34	2.99	2.02	3.6	NA
1935	2.76	1.36	2.14	2.68	1.57	1.91	2.54	2.9	2.2	3.66	NA
1936	2.03	1.36	2.03	2.37	1.08	1.42	2.16	2.78	1.67	2.59	NA
1937	1.76	1.26	1.97	2.42	0.92	1.52	1.84	3.16	1.51	2.6	NA
1938	1.89	1.2	2	2.65	0.91	1.37	1.93	3.37	1.8	2.6	NA
1939	2.28	1.22	2.06	2.83	1.01	1.38	2.72	3.43	1.74	3.43	NA
1940	1.9	1.21	1.88	2.61	1.12	1.63	2.33	2.78	1.9	2.7	NA
1941	1.75	1.2	1.89	2.52	1.32	1.86	2.36	3.27	1.62	2.33	NA
1942	2.08	1.12	2.11	2.17	1.46	1.76	2.3	3.28	1.57	2.61	NA
1943	2.27	1.33	1.94	2.66	1.89	1.76	2.34	3.74	1.88	2.9	NA
1944	2.2	1.28	1.52	2.07	1.67	1.35	2.22	3.31	1.39	1.93	NA
1945	2.24	0.91	1.1	1.49	1.36	1.26	2.59	2.48	1.35	1.58	NA
1946	1.9	0.89	1.04	1.6	1.46	1.2	2.04	2.84	1.25	1.67	NA
1947	1.81	1.07	1.26	1.69	1.49	1.09	2.55	3.18	1.22	2.19	NA
1948	1.29	0.83	0.87	1.2	0.63	0.58	1.81	1.8	0.86	1.37	NA
1949	1.33	0.52	0.77	0.84	0.56	0.49	1.94	1.45	0.7	1.51	NA
1950	0.99	1.11	0.93	1.22	1.1	0.55	2.49	1.86	1.1	1.55	NA
1951	0.94	1.2	1.06	1.62	1.04	0.79	2.6	2.69	1.02	1.95	NA
1952	0.77	0.87	0.85	1.14	0.74	0.66	2.6	1.92	0.66	1.89	NA
1953	0.78	1.19	0.96	1.01	0.84	0.57	2.41	2.09	0.86	2.02	NA
1954	0.67	0.73	0.74	0.9	0.62	0.5	2.41	1.93	0.68	1.6	NA
1955	1.3	0.87	1.3	1.48	0.98	0.81	2.42	3.22	0.88	2.28	NA
1956	0.79	0.68	0.94	1.06	0.76	0.47	1.81	1.97	0.49	1.72	NA
