# Meijer - Lac Sainte Anne - LADE - ITRDB FRAN037
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3924
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3924.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran037-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran037-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran037.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran037.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Meijer - Lac Sainte Anne - LADE - ITRDB FRAN037
#--------------------
# Investigators
#   Investigators: Meijer, F.; Wils, T.H.G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lac Sainte Anne
#   Location: France
#   Northernmost_Latitude: 44.63
#   Southernmost_Latitude: 44.63
#   Easternmost_Longitude: 6.8
#   Westernmost_Longitude: 6.8
#   Elevation_m: 2300
#--------------------
# Data_Collection
#   Collection_Name: FRAN037
#   First_Year: 1754
#   Last_Year: 2000
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LSA01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LSA01A_raw	LSA01B_raw	LSA01C_raw	LSA04A_raw	LSA04B_raw
1858	0.94	0.92	0.67	1.21	0.47
1859	0.94	1.07	0.8	0.62	0.68
1860	0.8	0.77	0.76	1.31	0.76
1861	0.98	0.77	0.77	0.98	0.85
1862	1.24	1	0.72	0.67	0.9
1863	1.51	0.85	0.67	1.49	0.76
1864	0.96	0.99	0.98	1.63	1
1865	1.06	0.97	1.41	1.33	0.61
1866	1.05	1.24	1.48	1.3	0.82
1867	1.27	1.46	1.31	1.01	0.79
1868	0.76	1.02	0.9	1.3	0.42
1869	1.39	1.29	1.59	1.25	0.66
1870	2.26	1.13	1.38	1.03	0.62
1871	2.86	2.47	2.38	1.23	1.11
1872	1.45	0.88	1.08	0.49	0.69
1873	1.83	1.07	0.99	1.09	0.72
1874	1.89	1.49	1.16	1.02	1
1875	2.04	1.68	1.01	1.4	0.91
1876	1.81	1.59	1.03	0.87	0.95
1877	1.85	1.38	1.12	1.01	0.89
1878	1.53	1.11	0.94	1.17	0.66
1879	1.17	1.07	0.7	0.99	0.83
1880	1.27	1.32	0.91	0.94	0.8
1881	1.24	1.2	0.81	1.28	0.68
1882	1.56	1.35	1.16	0.88	0.99
1883	1.35	1.44	1.41	0.78	0.71
1884	0.99	1.03	0.98	0.82	0.69
1885	1.09	0.89	1.1	0.56	0.67
1886	0.82	0.83	0.6	0.99	0.74
1887	0.66	0.6	0.76	0.59	0.51
1888	1.13	0.77	0.85	0.69	1.04
1889	0.67	0.57	1.02	0.7	0.63
1890	1.34	1.05	0.82	0.85	0.97
1891	1.55	1.28	1.13	0.52	0.76
1892	1.73	1.45	1.24	1.26	0.58
1893	2.15	1.58	1.6	0.55	0.92
1894	1.84	1.61	1.62	0.96	0.86
1895	2.12	1.89	1.81	0.98	1.03
1896	1.84	1.95	1.72	0.89	0.78
1897	1.66	2.2	2.06	1.37	0.72
1898	2.04	2.24	1.93	1.12	0.72
1899	3.02	2.7	2.41	1.33	0.91
1900	2.79	2.88	2.75	1.03	0.78
1901	3.35	3.08	3.63	1.02	0.87
1902	2.85	2.85	2.88	0.97	0.71
1903	2.05	2.38	2.12	0.98	0.5
1904	1.23	2.67	2.12	0.93	0.59
1905	1.91	2.7	2.78	0.89	1.1
1906	1.21	2.73	2.71	0.58	0.99
1907	1.36	2.18	2.01	0.73	0.96
1908	1.51	2	1.69	0.69	0.9
1909	1.61	2.22	1.8	1.01	1.34
1910	0.94	1.17	0.91	0.81	0.44
1911	0.6	1.21	0.93	0.82	0.24
1912	1.26	1.44	1.41	0.85	0.62
1913	0.99	1.24	1.25	1.06	0.78
1914	0.99	1.14	1.02	1.03	0.82
1915	1.17	1.13	1.06	0.68	0.64
1916	1.46	1.28	1.24	0.51	0.76
1917	1.5	1.28	1.18	0.59	0.52
1918	1.46	1.08	1.07	0.59	0.33
1919	1.14	1.01	0.7	0.63	0.22
1920	0.83	0.67	0.8	0.64	0.28
1921	1.2	0.9	0.91	0.21	0.67
1922	1.85	1.61	1.31	0.57	0.65
1923	1.72	1.45	1.28	0.62	0.53
1924	1.22	1.13	0.93	0.88	0.62
1925	1.37	1.27	1.04	0.79	0.51
1926	1.22	1.21	0.93	0.69	0.58
1927	0.89	0.9	0.66	0.84	0.75
1928	1.65	1.41	1.29	1.09	0.76
1929	2.15	1.91	1.84	0.8	0.91
1930	1.91	1.58	1.54	0.73	0.62
1931	1.71	1.19	1.32	0.93	0.8
1932	2.17	1.63	1.57	0.77	0.95
1933	1.55	1.43	1.29	1.09	0.83
1934	1.76	1.42	1.2	1.56	0.78
1935	1.66	1.56	1.48	0.88	0.76
1936	1.81	1.71	1.45	0.77	0.89
1937	1.05	0.99	0.91	1.17	0.64
1938	0.6	0.99	0.93	1.21	0.21
1939	0.75	1.21	1.19	0.72	0.39
1940	0.74	1.33	1.11	0.52	0.67
1941	0.63	1.09	1.01	0.5	0.49
1942	1.06	1.45	1.22	0.45	0.77
1943	1.16	1.47	1.32	1.03	0.68
1944	1.63	2.05	1.58	0.83	0.69
1945	1.42	1.63	1.57	0.96	0.59
1946	1.61	1.57	1.03	0.92	0.58
1947	1.82	1.58	1.38	0.96	0.75
1948	2.1	1.93	1.8	0.83	0.91
1949	1.64	1.25	1.3	0.8	0.73
1950	2.33	2.18	2.32	0.81	1.03
1951	1.61	1.51	1.49	1.16	1
1952	1.14	1.53	1.48	1	1.06
1953	1.44	1.71	1.63	1.1	0.83
1954	1.2	1.38	1.49	1.01	0.65
1955	0.96	1.29	1.28	0.67	0.72
1956	1.17	1.61	1.41	0.67	0.93
1957	1.05	1.67	1.92	0.69	0.67
1958	1.04	1.66	1.72	0.67	0.83
1959	0.81	1.63	1.27	0.75	0.79
1960	1.22	1.69	1.62	0.62	1.14
1961	1.04	1.51	1.46	0.94	0.96
1962	0.95	1.62	1.17	1.08	1.09
1963	1.02	1.69	1.65	0.82	0.88
1964	0.84	1.48	1.22	0.88	0.41
1965	1.05	1.91	1.77	0.57	0.59
1966	1.11	1.5	1.34	0.72	0.71
1967	0.9	1.44	0.94	0.97	1.03
1968	1.32	1.66	1.59	0.83	1.29
1969	1.9	1.61	1.56	0.98	1.1
1970	2.14	1.41	1.64	0.87	1.15
1971	2.01	1.61	1.2	0.69	1.18
1972	2.27	1.34	1.59	0.84	0.73
1973	1.31	1.01	1.02	0.79	0.65
1974	1.46	0.94	0.99	0.6	0.78
1975	1.36	0.99	1.04	0.66	0.71
1976	0.61	0.75	0.92	0.88	0.42
1977	1.2	1.05	1.08	0.48	0.77
1978	0.89	0.9	0.79	0.87	0.76
1979	1.02	1	0.98	0.66	0.84
1980	0.74	1.05	0.83	0.98	0.53
1981	0.57	0.97	0.93	0.67	0.2
1982	0.57	1.33	1.25	0.25	0.42
1983	1	1.55	1.46	0.6	0.61
1984	0.96	1.36	1.25	0.92	0.87
1985	1.01	1.59	1.24	0.89	0.76
1986	0.86	1.3	1.12	0.94	0.56
1987	1.86	2.3	2.15	0.79	0.83
1988	1.69	2.45	2.22	1.13	0.68
1989	1.39	1.96	2.02	1.07	0.77
1990	1.44	1.87	1.55	1.43	0.88
1991	1.45	1.63	1.68	1.52	0.9
1992	1.47	1.78	1.78	1.76	0.86
1993	1.39	1.68	1.5	1.98	0.49
1994	1.22	1.7	1.59	2.04	0.85
1995	1.64	1.57	1.08	2.22	0.56
1996	1.31	1.78	1.49	3.13	0.65
1997	0.97	1.63	1.59	3.46	0.35
1998	0.53	0.95	0.92	1.83	0.29
1999	1.19	1.65	1.84	0.5	0.48
2000	1.16	1.48	1.41	1.41	0.35
