# Bräker - Lauperswil Dürsrüti LZ - ABAL - ITRDB SWIT301
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16867
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16867.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit301-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit301-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit301.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit301.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Lauperswil Dürsrüti LZ - ABAL - ITRDB SWIT301
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Plentering, trunk analysis
# # 
# # 
# # Cores are stored at: 
# # disposed
# # 
# # 
# # Notes: 
# # Formerly Les_Breuleux_Fichte_Bestand_n10_1995.fh
# # 
# # References:
# # Zingg, A.; Erni, V.; Mohr, C., (1997): 
# # Selection Forests - A Concept for Sustainable Use: 
# # 90 Years of Experience of Growth and Yield Research Selection Forestry in Switzerland. 
# # In: Emmingham, W.H. (comp.) Proceedings of The IUFRO Interdisciplinary Uneven- NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lauperswil Dürsrüti LZ
#   Location: Switzerland
#   Northernmost_Latitude: 46.9608
#   Southernmost_Latitude: 46.9608
#   Easternmost_Longitude: 7.7744
#   Westernmost_Longitude: 7.7744
#   Elevation_m: 910
#--------------------
# Data_Collection
#   Collection_Name: SWIT301
#   First_Year: 1764
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DURU2451_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU2451; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU2452_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU2452; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU8701_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU8701; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU8702_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU8702; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU8703_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU8703; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DURU2451_raw	DURU2452_raw	DURU8701_raw	DURU8702_raw	DURU8703_raw
1886	2.7	NA	3.35	NA	NA
1887	2.29	NA	3.25	NA	NA
1888	1.94	NA	3	NA	NA
1889	1.96	NA	3.8	NA	NA
1890	1.91	NA	4.73	NA	NA
1891	2	NA	3.8	NA	NA
1892	1.5	NA	2.46	NA	NA
1893	1.93	NA	2.41	NA	NA
1894	2.17	NA	2.89	NA	NA
1895	2.19	NA	2.56	NA	NA
1896	1.88	NA	2.44	NA	NA
1897	1.96	NA	2.87	NA	NA
1898	1.73	NA	2.88	NA	NA
1899	1.5	NA	2.29	NA	NA
1900	1.45	NA	2.38	NA	NA
1901	1.82	NA	2.62	NA	NA
1902	2.73	NA	2.48	NA	NA
1903	2.88	NA	2.68	NA	NA
1904	2.64	NA	2.7	NA	NA
1905	2.56	NA	2.87	NA	NA
1906	2.6	NA	2.71	NA	NA
1907	2.03	NA	2.4	NA	NA
1908	2.49	NA	2.39	NA	NA
1909	1.73	NA	1.92	NA	NA
1910	2.5	NA	2.01	NA	NA
1911	2.56	NA	2.22	NA	NA
1912	2.4	NA	1.68	NA	NA
1913	2.66	NA	2.1	NA	NA
1914	2.35	NA	2.4	NA	NA
1915	2.25	NA	1.76	NA	NA
1916	2.3	NA	1.93	NA	NA
1917	1.7	NA	1.52	NA	NA
1918	1.96	NA	1.71	NA	NA
1919	2.89	NA	1.57	NA	NA
1920	2.7	NA	1.3	NA	NA
1921	2.6	NA	1.59	NA	NA
1922	1.58	NA	1.18	NA	NA
1923	2.43	NA	2.08	NA	NA
1924	2.33	NA	2.07	NA	NA
1925	2.44	NA	2.01	NA	NA
1926	2.35	NA	2.11	NA	NA
1927	2.61	NA	1.94	NA	NA
1928	3.33	NA	2.11	NA	NA
1929	2.62	NA	1.25	NA	NA
1930	2.08	NA	1.44	NA	NA
1931	1.68	NA	1.61	NA	NA
1932	1.86	NA	1.84	NA	NA
1933	2.38	NA	1.3	NA	NA
1934	2.33	NA	1.01	NA	NA
1935	2.58	NA	1.62	NA	NA
1936	2.36	NA	1.6	NA	NA
1937	2.47	NA	1.8	NA	NA
1938	2.14	NA	1.8	NA	NA
1939	2.1	NA	1.75	NA	NA
1940	1.87	NA	1.78	NA	NA
1941	1.8	NA	1.92	NA	NA
1942	1.96	2.03	1.43	NA	NA
1943	2.48	2.6	1.48	NA	NA
1944	2	1.94	1.27	1.24	NA
1945	1.93	2.22	1.18	1.09	NA
1946	1.5	1.31	1.23	1.15	NA
1947	1.75	1.76	1.35	1.35	NA
1948	0.81	0.88	0.64	0.5	NA
1949	1.33	1.51	1.1	1.24	NA
1950	1.35	1.45	0.78	0.88	NA
1951	2.08	2.13	0.99	1.06	NA
1952	2.44	2.66	1.28	1.4	NA
1953	2.13	2.31	0.72	0.69	NA
1954	1.41	1.58	0.61	0.8	0.93
1955	1.89	2.07	0.81	0.99	0.99
1956	1.14	1.32	0.55	0.63	0.66
1957	1.1	1.23	0.61	0.63	0.75
1958	1.24	1.44	0.63	0.67	0.72
1959	1.82	1.98	0.7	0.75	0.83
1960	1.52	1.52	0.62	0.64	0.74
1961	1.47	1.58	0.74	0.69	0.77
1962	1.65	1.55	0.59	0.53	0.68
1963	1.58	1.65	0.62	0.56	0.63
1964	0.77	0.83	0.22	0.25	0.35
1965	1.59	1.57	0.47	0.36	0.52
1966	1.88	2.08	0.47	0.62	0.52
1967	2.22	2.35	0.55	0.61	0.59
1968	1.46	1.62	0.56	0.65	0.55
1969	1.75	1.94	0.58	0.74	0.54
1970	1.83	2.09	0.57	0.72	0.48
1971	1.53	1.7	0.42	0.51	0.4
1972	1.47	1.83	0.47	0.69	0.5
1973	1.08	1.46	0.59	0.69	0.48
1974	0.66	1.05	0.33	0.47	0.35
1975	1.12	1.81	0.44	0.77	0.41
1976	0.95	1.48	0.44	0.6	0.39
1977	1.66	2	0.28	0.46	0.22
1978	1.81	2.28	0.42	0.52	0.3
1979	1.82	2.15	0.42	0.56	0.34
1980	1.69	1.58	0.26	0.4	0.2
1981	1.15	1.12	0.29	0.42	0.26
1982	0.84	1	0.3	0.38	0.23
1983	1.35	1.34	0.34	0.42	0.29
1984	0.98	1.13	0.27	0.43	0.26
1985	0.97	0.71	0.1	0.23	0.11
1986	0.79	0.87	0.23	0.24	0.18
1987	1	0.71	0.24	NA	0.28
1988	0.84	0.74	0.15	NA	0.13
1989	0.74	0.81	0.12	NA	NA
1990	0.53	0.34	NA	NA	NA
