# Briffa - Muddas South - PISY - ITRDB SWED306
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2840
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2840.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed306-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed306-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed306.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swed306.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-10
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-10
#--------------------
# Title
#   Study_Name: Briffa - Muddas South - PISY - ITRDB SWED306
#--------------------
# Investigators
#   Investigators: Briffa, K.R.(https://orcid.org/0000-0003-3323-3639)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Muddas South
#   Location: Sweden
#   Northernmost_Latitude: 66.78
#   Southernmost_Latitude: 66.78
#   Easternmost_Longitude: 20.13
#   Westernmost_Longitude: 20.13
#   Elevation_m: 270
#--------------------
# Data_Collection
#   Collection_Name: SWED306
#   First_Year: 1667
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SB01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SB01A_raw	SB01B_raw	SB02A_raw	SB02B_raw	SB03B_raw	SB03A_raw	SB04B_raw	SB04A_raw	SB10A_raw	SB09A_raw	SB08A_raw	SB05A_raw
1730	1.03	0.83	0.85	0.46	NA	1.07	NA	2.19	NA	NA	NA	NA
1731	0.77	0.56	0.88	0.6	NA	0.83	NA	2.29	NA	NA	NA	NA
1732	0.95	0.69	0.74	0.64	NA	0.79	NA	1.15	NA	NA	NA	NA
1733	0.91	0.56	0.76	0.62	NA	0.99	NA	1.05	NA	NA	NA	NA
1734	0.78	0.6	0.64	0.48	NA	0.94	NA	0.93	NA	NA	NA	NA
1735	0.87	0.55	0.6	0.5	NA	0.86	NA	0.69	NA	NA	NA	NA
1736	0.99	0.66	0.71	0.6	NA	0.77	NA	0.57	NA	NA	NA	NA
1737	0.83	0.55	0.68	0.65	NA	0.74	NA	0.94	NA	NA	NA	NA
1738	1.14	0.86	0.83	0.8	NA	0.91	NA	1.03	NA	NA	NA	NA
1739	1.04	0.93	0.93	0.75	NA	0.93	NA	1.28	NA	NA	NA	NA
1740	0.85	0.73	0.81	0.58	NA	0.71	NA	1.24	NA	NA	NA	NA
1741	0.79	0.69	0.89	0.44	0.31	0.54	NA	1.11	NA	NA	NA	NA
1742	0.72	0.52	0.85	0.53	0.49	0.83	NA	0.6	NA	NA	NA	NA
1743	0.8	0.56	0.81	0.61	0.49	0.84	NA	0.95	NA	NA	NA	NA
1744	0.8	0.62	0.86	0.47	0.59	0.78	NA	0.75	NA	NA	NA	NA
1745	0.48	0.5	0.71	0.39	0.49	0.43	NA	0.9	NA	NA	NA	NA
1746	0.5	0.52	0.5	0.39	0.4	0.48	NA	0.56	NA	NA	NA	NA
1747	0.52	0.47	0.52	0.45	0.48	0.38	NA	0.4	NA	NA	NA	NA
1748	0.86	0.64	0.63	0.61	0.49	0.6	NA	0.42	NA	NA	NA	NA
1749	0.65	0.67	0.74	0.54	0.45	0.45	NA	0.49	NA	NA	NA	NA
1750	0.85	0.73	0.68	0.54	0.42	0.55	NA	0.44	NA	0.75	NA	NA
1751	0.84	0.94	0.93	0.85	0.59	0.62	NA	0.5	NA	1.07	NA	NA
1752	0.89	0.77	1.01	0.73	0.62	0.75	NA	0.71	NA	1.07	NA	NA
1753	0.67	0.72	0.89	0.68	0.53	0.73	NA	0.92	NA	0.99	NA	NA
1754	0.9	0.74	0.88	0.65	0.53	0.86	NA	0.91	NA	1.12	NA	NA
1755	0.86	0.94	0.84	0.75	0.56	0.72	NA	1.09	NA	1.12	NA	NA
1756	0.75	0.7	0.85	0.74	0.53	0.68	1.06	0.96	NA	0.84	NA	NA
1757	0.67	0.55	0.77	0.6	0.57	0.7	1.02	1.11	NA	0.84	NA	NA
1758	0.58	0.44	0.66	0.47	0.63	0.62	1.08	1.14	NA	0.68	NA	NA
1759	0.86	0.72	0.73	0.55	0.63	0.66	1.14	0.94	NA	0.84	NA	NA
1760	0.94	0.88	0.78	0.77	0.53	0.8	1.14	0.82	NA	0.81	NA	NA
1761	0.9	0.92	0.69	0.59	0.45	0.63	1.01	0.77	NA	0.59	NA	NA
1762	1.17	1.02	1.02	0.75	0.59	0.67	0.65	0.56	NA	1.05	NA	NA
1763	1.12	0.97	0.87	0.72	0.54	0.82	1.32	0.78	NA	0.9	NA	NA
1764	0.89	0.89	1.03	0.73	0.5	0.64	1.27	0.83	NA	0.82	NA	NA
1765	0.95	0.71	0.74	0.47	0.29	0.58	1.15	0.57	NA	0.59	NA	NA
1766	1.06	0.87	0.76	0.66	0.31	0.72	1.13	0.59	NA	0.75	NA	NA
1767	0.99	0.71	0.47	0.43	0.28	0.65	0.71	0.64	NA	0.6	NA	NA
1768	0.87	0.64	0.41	0.44	0.21	0.63	0.72	0.42	NA	0.67	0.79	NA
1769	0.98	0.7	0.37	0.35	0.19	0.63	0.57	0.34	NA	0.63	0.74	NA
1770	0.93	0.63	0.42	0.3	0.22	0.85	0.62	0.3	NA	0.61	0.93	NA
1771	0.89	0.63	0.49	0.36	0.24	0.5	0.67	0.29	NA	0.55	0.76	NA
1772	1.05	0.7	0.55	0.35	0.25	0.54	0.43	0.24	NA	0.78	0.74	NA
1773	1.09	0.7	0.45	0.47	0.24	0.45	0.64	0.27	NA	0.53	0.82	NA
1774	0.77	0.7	0.52	0.53	0.3	0.48	0.63	0.28	NA	0.53	0.63	NA
1775	1.11	0.78	0.62	0.54	0.3	0.46	0.65	0.23	NA	0.57	1.03	NA
1776	1.08	0.71	0.53	0.65	0.43	0.51	0.76	0.36	NA	0.62	1.08	NA
1777	0.88	0.67	0.5	0.54	0.4	0.56	0.92	0.35	NA	0.59	1.05	NA
1778	1.07	0.71	0.56	0.55	0.38	0.63	0.85	0.44	NA	0.64	1.15	NA
1779	0.97	0.82	0.48	0.53	0.34	0.5	0.83	0.46	NA	0.53	0.86	NA
1780	0.86	0.58	0.45	0.5	0.31	0.45	0.53	0.45	NA	0.55	0.84	NA
1781	0.81	0.73	0.51	0.51	0.34	0.51	0.81	0.51	NA	0.52	0.81	NA
1782	0.7	0.74	0.47	0.43	0.32	0.53	0.83	0.52	NA	0.65	0.86	NA
1783	0.52	0.46	0.36	0.47	0.21	0.54	0.96	0.75	NA	0.55	0.71	NA
1784	0.54	0.57	0.31	0.43	0.25	0.64	0.64	0.76	NA	0.54	0.86	NA
1785	0.76	0.53	0.43	0.51	0.25	0.69	0.82	0.97	NA	0.59	1.06	NA
1786	0.44	0.42	0.36	0.35	0.2	0.53	0.72	0.96	NA	0.37	0.69	NA
1787	0.47	0.33	0.31	0.38	0.22	0.4	0.32	0.39	NA	0.37	0.94	NA
1788	0.63	0.59	0.5	0.43	0.28	0.63	0.48	0.43	NA	0.63	1.04	NA
1789	0.58	0.57	0.49	0.39	0.33	0.62	0.55	0.6	NA	0.47	1.19	NA
1790	0.61	0.33	0.33	0.35	0.18	0.47	0.68	0.45	NA	0.49	0.9	NA
1791	0.62	0.58	0.45	0.36	0.25	0.5	0.45	0.17	NA	0.52	1.17	NA
1792	0.47	0.39	0.3	0.27	0.24	0.38	0.42	0.29	NA	0.48	0.82	NA
1793	0.37	0.37	0.29	0.34	0.15	0.34	0.35	0.24	NA	0.39	0.82	NA
1794	0.58	0.54	0.43	0.4	0.1	0.23	0.31	0.23	NA	0.36	0.78	NA
1795	0.55	0.65	0.47	0.56	0.16	0.33	0.34	0.27	NA	0.4	0.72	NA
1796	0.55	0.7	0.37	0.54	0.23	0.35	0.38	0.26	NA	0.38	0.64	NA
1797	1.02	0.54	0.28	0.61	0.36	0.32	0.28	0.28	NA	0.41	0.66	NA
1798	1	0.7	0.33	0.43	0.32	0.31	0.43	0.34	NA	0.47	0.73	NA
1799	1.04	0.43	0.29	0.68	0.25	0.35	0.49	0.29	NA	0.52	0.89	NA
1800	0.7	0.35	0.21	0.29	0.18	0.23	0.39	0.38	NA	0.23	0.51	NA
1801	0.91	0.71	0.28	0.32	0.18	0.21	0.33	0.25	NA	0.36	0.79	NA
1802	0.96	0.56	0.4	0.41	0.21	0.34	0.36	0.26	NA	0.37	0.87	NA
1803	1.05	0.61	0.3	0.27	0.16	0.35	0.4	0.37	NA	0.47	1.07	NA
1804	1.44	0.8	0.38	0.37	0.28	0.31	0.47	0.32	NA	0.56	1.02	NA
1805	1.42	0.72	0.55	0.42	0.25	0.39	0.49	0.38	NA	0.63	1	NA
1806	0.67	0.37	0.3	0.29	0.15	0.11	0.47	0.36	NA	0.44	0.57	NA
1807	1.27	0.53	0.44	0.34	0.13	0.4	0.31	0.18	NA	0.6	0.92	NA
1808	1.17	0.54	0.31	0.4	0.22	0.35	0.4	0.25	NA	0.43	0.8	NA
1809	0.95	0.4	0.38	0.34	0.21	0.37	0.43	0.32	NA	0.41	0.93	NA
1810	0.92	0.56	0.26	0.36	0.31	0.3	0.5	0.34	NA	0.38	0.73	NA
1811	1.19	0.71	0.34	0.5	0.29	0.33	0.47	0.35	NA	0.54	0.92	NA
1812	0.84	0.45	0.24	0.23	0.18	0.34	0.36	0.37	NA	0.35	0.57	NA
1813	1.17	0.8	0.27	0.49	0.12	0.22	0.29	0.23	NA	0.35	0.44	NA
1814	1.04	0.66	0.33	0.38	0.2	0.36	0.24	0.18	NA	0.45	0.68	NA
1815	0.92	0.68	0.31	0.38	0.25	0.36	0.36	0.35	NA	0.39	0.79	NA
1816	1.15	0.78	0.33	0.64	0.34	0.39	0.49	0.32	NA	0.5	0.83	NA
1817	1.26	0.88	0.42	0.54	0.27	0.56	0.43	0.39	NA	0.52	0.89	NA
1818	1.6	1.23	0.52	0.52	0.35	0.44	0.57	0.52	NA	0.51	0.89	NA
1819	1.17	1.11	0.53	0.47	0.3	0.52	0.67	0.59	NA	0.4	0.89	NA
1820	1.09	1.01	0.63	0.4	0.24	0.33	0.66	0.5	NA	0.37	0.6	NA
1821	0.54	0.15	0.3	0.31	0.24	0.29	0.01	0.01	NA	0.22	0.5	NA
1822	0.85	0.71	0.36	0.22	0.3	0.54	0.1	0.1	NA	0.24	0.45	NA
1823	0.79	1.13	0.31	0.31	0.29	0.57	0.18	0.17	NA	0.27	0.63	NA
1824	0.69	0.71	0.22	0.22	0.29	0.53	0.12	0.18	NA	0.27	0.59	NA
1825	1.09	0.76	0.28	0.12	0.29	0.41	0.05	0.16	NA	0.39	0.59	NA
1826	1.32	1.09	0.46	0.31	0.49	0.62	0.4	0.32	NA	0.64	0.94	NA
1827	1.16	0.91	0.45	0.49	0.53	0.64	0.3	0.36	NA	0.53	0.93	NA
1828	1.13	1.29	0.38	0.32	0.46	0.56	0.22	0.31	NA	0.55	0.7	NA
1829	1.32	1.36	0.32	0.2	0.43	0.55	0.29	0.36	NA	0.39	0.84	NA
1830	1.38	0.97	0.24	0.14	0.42	0.4	0.22	0.24	NA	0.3	0.79	NA
1831	1.81	1.14	0.24	0.13	0.43	0.43	0.33	0.27	NA	0.5	0.9	NA
1832	1.38	0.91	0.18	0.16	0.36	0.41	0.37	0.29	NA	0.33	0.84	NA
1833	1.47	0.8	0.23	0.16	0.34	0.47	0.31	0.21	NA	0.4	0.79	NA
1834	1.42	1.04	0.2	0.18	0.34	0.47	0.36	0.3	NA	0.4	0.95	NA
1835	1.16	0.71	0.21	0.19	0.35	0.35	0.39	0.33	NA	0.39	0.7	NA
1836	1.16	0.92	0.2	0.14	0.3	0.37	0.53	0.4	NA	0.47	0.88	NA
1837	0.77	0.72	0.14	0.06	0.2	0.26	0.25	0.17	NA	0.23	0.55	NA
1838	0.99	1.23	0.21	0.11	0.33	0.4	0.33	0.38	NA	0.44	0.77	NA
1839	0.86	1.42	0.21	0.13	0.3	0.42	0.45	0.37	NA	0.34	0.66	NA
1840	0.93	1.13	0.19	0.13	0.35	0.43	0.32	0.27	NA	0.29	0.56	NA
1841	0.79	1.08	0.2	0.16	0.32	0.41	0.44	0.3	NA	0.37	0.6	NA
1842	0.88	1.18	0.21	0.22	0.4	0.43	0.54	0.51	NA	0.49	0.88	NA
1843	1.07	1.28	0.29	0.32	0.32	0.46	0.79	0.73	NA	0.49	1.05	NA
1844	0.81	1.04	0.22	0.22	0.27	0.43	0.71	0.7	NA	0.51	0.97	NA
1845	1.27	1.37	0.26	0.27	0.44	0.52	0.84	0.84	NA	0.54	1	NA
1846	1.08	1.2	0.32	0.33	0.38	0.6	0.83	0.77	NA	0.42	1.05	NA
1847	1.01	1.16	0.21	0.25	0.47	0.69	0.68	0.73	NA	0.39	0.83	NA
