# Maessen - Oisterwijkse Vennen - PISY - ITRDB NETH033
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3917
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3917.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth033-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth033-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth033.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth033.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Maessen - Oisterwijkse Vennen - PISY - ITRDB NETH033
#--------------------
# Investigators
#   Investigators: Maessen, P.P.Th.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Oisterwijkse Vennen
#   Location: Netherlands
#   Northernmost_Latitude: 51.58
#   Southernmost_Latitude: 51.58
#   Easternmost_Longitude: 5.25
#   Westernmost_Longitude: 5.25
#   Elevation_m: 8
#--------------------
# Data_Collection
#   Collection_Name: NETH033
#   First_Year: 1804
#   Last_Year: 1989
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 3ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 3ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 4ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 4ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 5ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 5ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 6ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 6ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 7ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 7ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 8ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 8ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 9ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 9ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 10STERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10STERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1ISTERWK_raw	2ISTERWK_raw	3ISTERWK_raw	4ISTERWK_raw	5ISTERWK_raw	6ISTERWK_raw	7ISTERWK_raw	8ISTERWK_raw	9ISTERWK_raw	10STERWK_raw
1933	1.5	0.71	2.12	1.05	2.23	0.91	1.72	1.3	1.68	3.59
1934	1.17	1.21	1.91	1.1	1.63	0.92	0.83	0.88	1.63	2.72
1935	0.97	0.54	1.99	0.7	2.31	1.29	1.32	0.56	1.56	2.94
1936	1.1	0.85	1.56	1.54	1.62	0.81	1.51	0.68	0.96	2.19
1937	0.97	1.88	1.06	1.53	0.87	2.29	1.43	0.78	1.62	2.43
1938	0.85	0.99	1.07	1.96	1.17	1.87	1.35	0.82	2.67	2.46
1939	0.66	1.25	0.54	2.5	0.56	1.04	1.13	0.98	1.41	1.61
1940	0.46	1.37	0.87	1.46	1.44	1.12	1.37	1.08	0.87	1.75
1941	1.12	2.08	1.45	1.81	1.68	0.87	1.29	1.84	1.86	1.66
1942	1.73	1.38	1.55	1.1	2.07	1.32	1.31	2.29	1.8	1.72
1943	3.48	2.67	1.86	1.47	2.31	1.55	0.87	3.13	2.06	1.49
1944	2.94	2.53	1.75	1.41	2.31	1.93	1.07	1.92	1.56	1.3
1945	1.93	2.77	1.77	1.87	1.83	1.89	1.88	1.62	0.83	1.19
1946	1.8	2.49	1.12	1.37	1.43	1.78	1.73	1.67	0.95	0.85
1947	1.8	2.07	1.16	1.43	1.61	1.55	1.5	2.14	1.13	0.87
1948	2.41	1.93	0.93	1.25	1.24	1.13	1.13	2.55	1.44	0.98
1949	2.91	1.78	1.91	0.54	1.59	1.21	1.62	3.42	1.32	0.95
1950	3.79	1.44	1.68	1.01	2.06	1.12	1.93	3.7	1.08	1.15
1951	2.77	1.88	1.57	1.36	1.85	1.05	1.37	2.59	0.91	0.74
1952	1.96	1.33	2.04	1.39	1.75	1.36	1.97	2.41	0.6	1.11
1953	1.8	1.2	1.09	1.93	1.39	1.61	1.35	1.92	1.07	0.61
1954	0.79	1.33	0.61	2.02	0.84	1.81	0.69	1.12	1	0.96
1955	1.08	1.54	0.43	1.29	0.64	2.35	0.71	0.9	1.16	0.65
1956	0.52	1.14	0.6	1.51	1.05	2.93	1.45	0.71	1.54	0.78
1957	0.77	0.51	0.98	1.84	1.38	2.31	1.7	0.78	1.29	0.91
1958	0.34	0.37	0.49	2.17	0.73	1.04	1.17	0.24	1.2	0.87
1959	0.37	0.25	0.56	1.1	0.61	0.54	1.02	0.36	1.07	0.42
1960	0.34	0.93	0.93	0.85	0.92	0.31	1.21	0.32	1.14	0.18
1961	0.46	1.35	1.38	0.57	1.57	0.84	2.22	0.42	0.7	0.61
1962	0.42	1.04	1.8	2.04	1.78	0.97	1.98	0.4	0.83	0.68
1963	0.35	0.81	2.27	1.52	2.15	1.18	1.36	0.55	0.83	0.55
1964	0.84	1.26	2.73	1.42	3.63	1.86	1.55	1	1.05	0.63
1965	1.11	1.39	2.8	2.43	3.01	2.52	1.45	1.82	1.9	0.93
1966	1.86	1.52	1.87	2.22	1.87	1.93	1.39	1.83	1.4	1.74
1967	1.58	1.3	1.39	1.35	1.23	1.56	0.7	1.26	1.45	1.52
1968	1.09	1.42	0.79	0.89	0.92	1.03	1.34	0.99	1.37	0.82
1969	0.96	1.58	0.43	0.88	0.92	0.8	1.88	0.64	1.81	0.73
1970	0.54	1.34	0.59	0.71	0.83	0.66	2.09	0.41	1.69	0.62
1971	0.62	1.64	0.79	1.15	0.88	0.72	3.02	0.39	2.19	0.46
1972	0.51	1.89	0.84	1.46	1.34	0.82	3.25	0.5	1.16	0.85
1973	0.63	1.17	1	2.33	1.36	0.78	2.6	0.52	0.76	1
1974	0.55	0.91	1.06	2.81	1.25	1.24	1.3	0.34	0.48	1.04
1975	0.28	1.18	0.73	2	0.67	0.98	0.64	0.25	1.17	0.62
1976	0.43	1.29	0.52	0.81	0.74	0.72	0.34	0.3	0.95	0.49
1977	0.33	0.79	0.71	0.61	0.71	1.22	0.61	0.55	0.97	0.22
1978	0.61	0.99	1.05	0.52	1.26	1.37	0.9	1.1	0.77	0.4
1979	0.74	0.58	1.51	0.61	1.88	1.86	0.86	0.84	0.41	0.65
1980	0.54	1.08	1.59	0.69	1.56	2.31	0.77	0.85	0.23	0.33
1981	0.66	1.89	1.67	0.94	2	3.77	1.47	1.42	0.25	0.59
1982	2.66	1.99	0.98	0.86	1.11	2.59	0.7	1.86	0.23	0.36
1983	1.45	1.38	0.42	0.44	0.76	1.51	0.34	1.57	0.2	0.33
1984	1.89	1.08	0.28	0.3	0.76	0.79	0.34	1.47	0.14	0.29
1985	1.45	1.53	0.34	0.36	0.65	1.22	0.31	1.31	0.25	0.25
1986	1.72	0.72	0.82	0.44	0.95	0.55	0.37	1.77	0.29	0.57
1987	1.34	0.81	1.3	0.45	0.97	0.8	0.42	1.54	0.28	0.69
1988	1.24	0.52	1.93	0.67	2.48	0.45	1.18	1.05	0.27	0.69
1989	0.96	1.02	1.53	1.58	1.93	0.88	0.45	0.85	0.89	1.32
