# Groves - 107 Jermyn Street - QUSP - ITRDB BRIT084
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28321
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28321.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit084-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit084-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit084.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit084.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Groves - 107 Jermyn Street - QUSP - ITRDB BRIT084
#--------------------
# Investigators
#   Investigators: Groves, C.; Locatelli, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: 107 Jermyn Street
#   Location: United Kingdom
#   Northernmost_Latitude: 51.508606
#   Southernmost_Latitude: 51.508606
#   Easternmost_Longitude: -0.135802
#   Westernmost_Longitude: -0.135802
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT084
#   First_Year: 1368
#   Last_Year: 1670
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## JM11627_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JM11627; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	JM11627_raw
1622	0.33
1623	0.42
1624	0.36
1625	0.35
1626	0.42
1627	0.18
1628	0.41
1629	0.31
1630	0.3
1631	0.26
1632	0.2
1633	0.28
1634	0.32
1635	0.23
1636	0.22
1637	0.21
1638	0.24
1639	0.24
1640	0.23
1641	0.27
1642	0.24
1643	0.23
1644	0.22
1645	0.22
1646	0.18
1647	0.19
1648	0.19
1649	0.17
1650	0.17
1651	0.18
1652	0.14
1653	0.15
1654	0.16
1655	0.15
1656	0.16
1657	0.16
1658	0.18
1659	0.14
1660	0.16
1661	0.16
1662	0.18
1663	0.18
1664	0.19
1665	0.18
1666	0.19
1667	0.13
1668	0.16
1669	0.16
1670	0.15
