# Bräker - Le Communal de la Sagne - PCAB - ITRDB SWIT278
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/15359
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-15359.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit278-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit278-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit278.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit278.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Le Communal de la Sagne - PCAB - ITRDB SWIT278
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Le Communal de la Sagne
#   Location: Switzerland
#   Northernmost_Latitude: 47.05
#   Southernmost_Latitude: 47.05
#   Easternmost_Longitude: 6.8
#   Westernmost_Longitude: 6.8
#   Elevation_m: 1180
#--------------------
# Data_Collection
#   Collection_Name: SWIT278
#   First_Year: 1853
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LASF1011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LASF1011_raw	LASF1021_raw	LASF1031_raw	LASF1041_raw	LASF1051_raw	LASF1061_raw	LASF1071_raw	LASF1081_raw	LASF1091_raw	LASF1101_raw
1919	2.04	3.48	2.57	1.4	2.11	1.87	1.44	1.39	1.6	1.55
1920	1.82	4.19	2.27	1.17	1.95	1.82	1.08	1.37	1.57	1.06
1921	1.31	2.84	1.48	0.94	1.53	1.9	0.89	1.35	1.35	1.22
1922	1.12	1.92	1.29	0.55	0.57	1.33	0.54	0.77	1.43	1.02
1923	1.3	2.7	1.45	1.11	1.09	1.5	0.5	0.81	1.06	1
1924	1.51	3.05	1.85	1.23	0.79	1.82	0.57	1.01	1.39	1.38
1925	2.12	3.26	2.78	1.8	1.13	3.24	0.66	1.79	2.05	1.57
1926	2.08	2.64	2.52	1.7	1.32	3.56	0.66	2.45	1.67	1.68
1927	2.38	3.83	2.76	1.78	1.36	4.53	0.94	3.53	2.37	2.05
1928	1.95	2.96	2.22	1.72	1.52	3.96	1.13	3.08	1.87	1.84
1929	1.79	3.24	2.05	1.12	1.1	3.01	1.03	2.41	1.77	1.58
1930	1.44	3.52	2.02	1.4	1.93	3.46	1.09	2.64	1.72	1.83
1931	1.65	4.13	1.95	1.72	1.73	4.4	1.4	2.74	2.11	2.33
1932	1.62	3.02	2.54	1.82	1.42	3.7	1.88	2.62	2.22	2.55
1933	1.44	3.02	1.47	1.06	1.29	3.58	1.2	2.19	1.79	1.98
1934	1.28	3.08	0.91	0.87	1.15	2.48	1.44	1.74	1.87	1.38
1935	1.43	2.89	0.83	1.11	1.04	2.31	1.08	1.95	1.64	1.23
1936	1.23	2.38	1.14	0.84	0.77	1.93	0.63	1.25	1.1	0.9
1937	1.79	2.55	1.07	1.03	0.82	2.82	0.64	1.84	1.24	1.55
1938	1.96	2.88	1.25	1.05	1.27	2.62	0.64	1.95	1.51	1.48
1939	1.93	2.69	1.63	1.42	1.31	2.52	0.92	3.05	1.4	1.7
1940	2.35	3.42	1.91	1.58	1.63	2.54	1.73	4.46	1.72	2.12
1941	1.67	2.91	1.31	1.01	0.94	1.74	1.54	4.02	1.23	1.63
1942	1.44	2.51	1.71	1.06	1.17	1.67	1.91	4.47	1.38	1.63
1943	1	3.53	1.62	1.37	1.21	1.63	1.82	5.07	1.51	1.3
1944	1.32	3.11	1.35	0.93	0.85	1.75	1.58	3.52	1.28	1.26
1945	1.53	2.8	1.15	0.7	0.81	1.81	0.91	2.8	1.27	0.94
1946	1.38	3.2	1.41	1.09	0.74	1.2	0.59	1.8	1.18	0.87
1947	1.54	2.86	1.12	1.25	0.89	1.42	0.94	1.85	1.5	0.96
1948	1.27	2.64	1.31	1.03	0.83	1.02	0.52	0.98	0.9	0.76
1949	0.9	2.3	1.44	0.91	0.54	1.09	0.5	0.96	0.74	0.78
1950	1.25	2.7	1.8	1.12	0.47	1.76	1.07	1.76	1.36	0.99
1951	1.87	3.08	2.33	1.85	0.69	2.1	1.2	1.89	1.63	1.32
1952	1.62	2.91	1.99	1.44	0.67	1.87	1.07	1.48	1.47	1.51
1953	1.92	2.95	2.15	1.54	0.76	1.99	1.34	1.83	1.76	1.46
1954	1.64	2.71	1.94	1.66	0.8	2	1.04	1.6	1.4	1.33
1955	2.64	3.22	2.6	1.95	1.13	3.22	1.32	2.26	1.9	2.38
1956	1.59	2.03	2.12	1.4	0.64	2.19	1.32	1.66	1.27	2.52
1957	1.38	1.47	2.55	1.72	0.77	3.21	1.34	1.74	1.42	2.07
1958	2.01	2.2	3.13	1.61	0.66	3.38	1.03	1.9	1.4	1.94
1959	2.43	3.45	2.83	1.65	1.07	3.77	0.77	1.37	1.39	1.99
1960	2.68	2.88	2.39	1.34	0.84	2.84	0.62	0.96	1.43	1.88
1961	2.66	2.49	2.88	1.49	0.89	2.1	0.59	0.83	1.18	1.64
1962	2.22	1.87	2.03	0.99	0.61	1.65	0.55	0.78	1.09	1.48
1963	3.41	2.42	3	1.47	0.69	1.76	0.66	0.94	1.42	1.74
1964	2.74	2.31	2.35	1.2	0.73	1.78	0.61	1.05	1.07	1.58
1965	2.71	2.56	2.08	1.35	0.41	1.42	0.7	1	1.25	1.78
1966	3	2.8	3.28	1.36	0.58	1.59	0.91	1.38	1.29	2.59
1967	2.56	2.65	3.09	1.28	0.65	2.47	0.79	1.35	1.41	3.05
1968	2.77	2.43	3.5	1.44	0.81	3.02	0.87	1.6	1.58	2.64
1969	2.81	2.34	3.8	1.36	0.74	3.93	0.88	2.12	2.02	3.19
1970	2.56	2.36	3.18	1.35	0.72	4.01	1.05	1.67	1.91	2.7
1971	2.3	2.27	2.45	0.98	0.59	3.32	0.78	1.24	1.86	2.57
1972	2.11	1.97	2.53	1.14	0.69	3.19	1.05	1.48	2	2.48
1973	2.05	1.78	2.6	1.04	0.58	3.24	0.84	1.67	1.74	2.32
1974	0.93	1.47	1.53	0.93	0.46	1.75	0.47	1.09	1.76	1.86
1975	1.36	1.6	1.81	0.86	0.46	2.31	0.59	1.7	1.75	1.96
1976	0.94	1.38	1.37	0.54	0.37	1.25	0.46	0.79	1.64	1.46
1977	1.03	1.68	2.18	0.92	0.27	1.58	0.61	1.06	1.49	2.16
1978	1.21	1.77	2.74	1.03	0.36	1.62	0.58	1.89	1.95	2.38
1979	1.37	1.31	1.87	0.73	0.36	1.36	0.58	1.23	1.8	1.86
1980	1.34	1.22	1.69	0.86	0.36	1.24	0.57	1.24	1.52	1.72
1981	1.72	1.58	2.66	0.89	0.68	1.22	0.74	1.99	1.72	2.11
1982	2.05	2.06	3.11	1.12	0.74	1.24	1.05	2.05	2.28	2.73
1983	2.02	1.79	3.01	1.03	0.79	1.06	0.84	1.51	1.84	3
1984	1.32	1.51	2.11	0.64	0.66	1.03	0.48	1.09	1.51	1.58
1985	1.82	1.6	2.17	0.85	1.19	1	0.56	1.52	1.54	2.72
1986	1.53	1.15	1.07	0.46	0.63	0.79	0.45	1.04	1.1	1.55
1987	1.84	1.34	1.98	0.66	0.63	0.96	0.64	1.47	1.15	3.08
1988	1.52	1.52	2.51	0.68	0.54	0.97	0.38	1.5	1.12	2.14
1989	1.29	1.5	2.07	0.53	0.38	0.85	0.43	0.8	0.95	1.53
1990	1.44	1.41	2.04	0.69	0.45	0.82	0.51	0.84	0.86	1.41
1991	1.09	1.3	1.5	0.59	0.39	0.68	0.41	0.39	0.97	2.12
1992	1.45	1.07	1.2	0.35	0.29	0.37	0.31	0.14	0.74	1.63
1993	1.32	1.44	1.05	0.75	0.36	0.42	0.47	0.44	0.92	1.95
1994	1.36	1.42	1.27	0.72	0.47	0.62	0.6	0.56	1.14	1.89
1995	1.63	1.53	1.49	0.73	0.44	0.48	0.48	0.79	0.88	1.22
