# Holmes - Rio Kilca - ARAR - ITRDB ARGE014
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3548
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3548.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge014-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge014.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge014.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-01-01
#--------------------
# File_Last_Modified_Date
#   Date: 1996-01-01
#--------------------
# Title
#   Study_Name: Holmes - Rio Kilca - ARAR - ITRDB ARGE014
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rio Kilca
#   Location: Neuquen
#   Northernmost_Latitude: -38.92
#   Southernmost_Latitude: -38.92
#   Easternmost_Longitude: -70.77
#   Westernmost_Longitude: -70.77
#   Elevation_m: 1540
#--------------------
# Data_Collection
#   Collection_Name: ARGE014
#   First_Year: 1700
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KL1912_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1912; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KL1931_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1931; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KL1932_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1932; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KL1972_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1972; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KL1912_raw	KL1931_raw	KL1932_raw	KL1972_raw
1816	0.57	0.97	1.34	0.49
1817	0.57	1	1.3	0.89
1818	0.5	1.15	1.34	0.81
1819	0.4	0.93	0.97	0.66
1820	0.42	1.29	1.52	0.46
1821	0.5	1.57	2.83	0.41
1822	0.44	1.12	2.7	0.51
1823	0.48	1.01	1.82	0.52
1824	0.46	0.72	0.99	0.42
1825	0.27	0.7	1.11	0.3
1826	0.43	0.93	1.14	0.42
1827	0.33	0.5	0.88	0.27
1828	0.45	0.55	1.06	0.36
1829	0.36	0.43	0.93	0.28
1830	0.39	1.1	1.34	0.32
1831	0.52	1.24	1.48	0.37
1832	0.63	1.02	1.26	0.5
1833	0.61	1	1.17	0.47
1834	0.5	1.31	1.66	0.43
1835	0.43	0.97	1.28	0.4
1836	0.29	0.61	1.34	0.17
1837	0.47	0.96	1.63	0.26
1838	0.57	0.69	1.38	0.48
1839	0.32	0.61	1.29	0.28
1840	0.37	0.67	1.4	0.36
1841	0.35	0.93	1.4	0.29
1842	0.36	0.84	1.05	0.25
1843	0.4	1.03	1.42	0.34
1844	0.31	0.86	1.58	0.41
1845	0.33	0.83	1.68	0.38
1846	0.36	1.02	1.35	0.39
1847	0.4	0.81	1.21	0.47
1848	0.41	0.92	1.49	0.44
1849	0.48	1.19	1.68	0.68
1850	0.41	0.9	1.39	0.47
1851	0.46	0.9	1.3	0.5
1852	0.57	0.89	1.28	0.61
1853	0.38	0.51	0.84	0.39
1854	0.36	0.72	1.55	0.28
1855	0.57	0.84	1.64	0.4
1856	0.56	0.8	1.28	0.53
1857	0.66	1.5	1.9	0.63
1858	0.45	1.88	1.84	0.6
1859	0.47	1.87	1.67	0.37
1860	0.5	2.1	1.68	0.42
1861	0.49	1.95	1.78	0.37
1862	0.5	1.97	1.56	0.37
1863	0.5	1.75	1.76	0.41
1864	0.55	1.51	1.43	0.47
1865	0.6	1.31	1.34	0.41
1866	0.6	1.17	1.44	0.36
1867	0.44	0.54	0.71	0.26
1868	0.71	0.82	1.24	0.4
1869	0.53	1.05	1.4	0.47
1870	0.59	1.12	1.39	0.68
1871	0.42	0.87	0.93	0.34
1872	0.71	1.28	1.37	0.39
1873	0.54	0.93	0.91	0.51
1874	0.57	0.82	0.86	0.31
1875	0.29	0.42	0.53	0.09
1876	0.85	0.79	0.97	0.28
1877	0.74	0.44	0.82	0.3
1878	0.67	0.47	1.03	0.28
1879	0.41	0.92	1.55	0.2
1880	0.61	2.38	3.64	0.24
1881	0.43	1.75	2.88	0.26
1882	0.6	1.44	2.22	0.22
1883	0.72	0.91	1.67	0.3
1884	0.67	0.95	1.85	0.39
1885	0.49	0.53	1.35	0.36
1886	0.71	0.42	1.16	0.33
1887	0.6	0.45	0.75	0.31
1888	0.56	0.44	0.85	0.34
1889	0.42	0.34	0.61	0.18
1890	0.46	0.45	0.85	0.27
1891	0.6	0.33	0.39	0.35
1892	0.66	0	0.23	0.32
1893	0.39	0	0	0.15
1894	0.74	0	0.3	0.19
1895	0.8	0.2	0.35	0.3
1896	0.72	0.35	0.62	0.18
1897	0.31	0	0.32	0.2
1898	0.74	0.32	0.68	0.35
1899	0.58	0.31	0.51	0.33
1900	0.7	0.57	0.87	0.41
1901	0.8	0.66	0.98	0.45
1902	0.57	0.44	0.79	0.32
1903	0.69	0.39	0.71	0.36
1904	0.75	0.42	0.82	0.34
1905	0.66	0.17	0.43	0.31
1906	0.47	0.29	0.61	0.22
1907	0.61	0.38	0.69	0.36
1908	0.55	0.14	0.47	0.18
1909	0.45	0.38	0.47	0
1910	0.73	0.52	0.81	0.32
1911	0.69	0.35	0.69	0.37
1912	0.57	0.53	0.81	0.3
1913	0.55	0.55	0.88	0.24
1914	0.71	0.7	1.11	0.35
1915	0.59	0.69	0.94	0.28
1916	0.73	0.38	1.15	0.37
1917	0.54	0.83	1.04	0.25
1918	0.74	0.93	1.12	0.24
1919	0.69	0.71	0.99	0.25
1920	0.69	0.88	1.13	0.18
1921	0.67	1.1	1.62	0.27
1922	0.67	1.05	1.79	0.33
1923	0.91	1.35	2.01	0.36
1924	0.82	1.2	1.95	0.29
1925	0.92	1.06	1.64	0.34
1926	0.98	1.32	1.83	0.36
1927	0.75	0.93	1.46	0.3
1928	0.66	1.12	1.55	0.29
1929	0.99	1.21	1.59	0.41
1930	0.67	0.97	1.07	0.3
1931	0.75	1.18	1.05	0.34
1932	0.69	1.38	1.06	0.27
1933	0.91	1.82	1.24	0.4
1934	0.81	1.3	0.88	0.45
1935	0.65	1.25	1.01	0.16
1936	0.66	1.12	1	0.19
1937	0.52	0.92	0.75	0.19
1938	0.74	1.17	0.92	0.3
1939	0.84	1.15	1.17	0.33
1940	0.94	0.83	1.13	0.39
1941	0.95	0.97	1.18	0.34
1942	0.66	0.64	0.78	0.29
1943	0.85	0.82	0.96	0.23
1944	0.83	0.95	1.19	0.27
1945	0.72	0.62	1.01	0.2
1946	0.99	0.96	1.5	0.31
1947	0.83	0.64	1.27	0.09
1948	0.6	0.94	1.65	0.21
1949	0.6	1.06	1.83	0.15
1950	0.66	0.82	1.4	0.23
1951	0.66	0.84	1.45	0.33
1952	0.59	0.75	1.74	0.34
1953	0.74	0.94	1.81	0.28
1954	0.62	0.54	1.23	0.35
1955	0.45	0.93	1.33	0.36
1956	0.79	0.93	1.26	0.39
1957	0.5	1.07	1.32	0.23
1958	0.69	1.02	1.26	0.3
1959	0.79	1.03	1.09	0.43
1960	0.56	1.02	1.14	0.26
1961	0.81	1.26	1.36	0.4
1962	0.37	0.67	0.86	0.19
1963	0.73	1.22	1.36	0.28
1964	1.16	1.39	1.52	0.46
1965	0.88	1.17	1.41	0.34
1966	0.84	1.11	1.3	0.31
1967	0.73	0.78	1.13	0.26
1968	0.85	0.79	1.1	0.11
1969	0.77	1.08	1.32	0.31
1970	0.55	0.92	0.99	0
1971	0.97	1.59	1.46	0.51
1972	0.63	1.16	1.08	0.17
1973	0.72	1.39	1.41	0.13
1974	0.88	1.41	1.35	0.29
