# Holmes - Copahue - ARAR - ITRDB ARGE002
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3515
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3515.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge002-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge002.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge002.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Holmes - Copahue - ARAR - ITRDB ARGE002
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.; Boninsegna, J.A.; Cobos, D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Copahue
#   Location: Neuquen
#   Northernmost_Latitude: -37.8
#   Southernmost_Latitude: -37.8
#   Easternmost_Longitude: -71.07
#   Westernmost_Longitude: -71.07
#   Elevation_m: 1720
#--------------------
# Data_Collection
#   Collection_Name: ARGE002
#   First_Year: 1640
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CP0192_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0192; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0194_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0194; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0203_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0203; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0204_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0204; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0212_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0212; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0214_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0214; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0224_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0224; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0252_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0252; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0254_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0254; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CP0192_raw	CP0194_raw	CP0203_raw	CP0204_raw	CP0212_raw	CP0214_raw	CP0222_raw	CP0224_raw	CP0252_raw	CP0254_raw
1714	NA	NA	0.17	0.2	NA	NA	NA	1.4	1.08	0.95
1715	NA	NA	0.12	0.12	NA	NA	NA	2.67	1.15	1.06
1716	NA	NA	0.12	0.09	NA	NA	NA	2.07	0.77	0.86
1717	NA	NA	0.16	0.1	NA	NA	NA	2.2	0.82	1.06
1718	NA	NA	0.16	0.12	NA	NA	2.34	1.86	0.62	0.79
1719	NA	NA	0.07	0.09	NA	NA	2.37	1.62	0.43	0.58
1720	NA	NA	0.2	0.26	NA	NA	2.47	1.7	0.86	1.05
1721	NA	NA	0.23	0.22	NA	NA	3	2.1	0.81	1.05
1722	NA	NA	0.21	0.25	NA	NA	3.09	2.15	0.56	0.74
1723	NA	NA	0.24	0.24	NA	NA	3.33	2.08	0.69	0.92
1724	NA	NA	0.34	0.39	NA	NA	2.43	1.63	1.04	1.02
1725	NA	NA	0.43	0.42	NA	NA	1.73	1.27	1.05	1.14
1726	NA	NA	0.35	0.36	NA	NA	1.07	0.98	0.72	0.93
1727	NA	NA	0.28	0.29	NA	NA	0.92	1.04	0.55	0.92
1728	NA	NA	0.43	0.5	NA	NA	1.2	1.01	0.45	0.82
1729	NA	NA	0.42	0.59	NA	NA	1.44	1.02	0.43	0.57
1730	NA	NA	0.41	0.6	NA	NA	1.28	1.07	0.59	0.78
1731	NA	NA	0.36	0.71	NA	NA	1.24	0.93	0.53	0.94
1732	NA	NA	0.45	0.73	NA	NA	1.31	0.93	0.74	1.17
1733	NA	NA	0.41	0.78	NA	NA	1.55	0.97	0.64	1.17
1734	NA	NA	0.46	0.67	NA	NA	1.67	0.93	0.53	1.08
1735	NA	NA	0.39	0.62	NA	NA	2.48	0.94	0.71	1.08
1736	NA	NA	0.54	0.93	NA	NA	2.52	1.01	0.96	1.18
1737	NA	NA	0.41	0.66	NA	NA	2.42	0.77	0.35	0.63
1738	NA	0.82	0.53	0.9	NA	NA	2.68	1.31	0.67	1.1
1739	NA	0.89	0.57	0.87	NA	NA	1.8	1.23	0.77	1.26
1740	NA	0.76	0.64	0.78	NA	NA	1.46	1.11	0.8	1.34
1741	NA	0.57	0.61	0.81	NA	NA	1.2	0.96	0.82	1.49
1742	NA	0.57	0.59	0.85	NA	NA	1.09	1.07	0.81	1.52
1743	NA	0.49	0.45	0.57	NA	NA	0.8	0.87	0.59	0.9
1744	NA	0.67	0.58	0.72	NA	NA	0.99	0.85	0.78	1.25
1745	NA	0.66	0.55	0.78	NA	NA	1.24	1.21	0.67	1.43
1746	NA	0.59	0.65	0.88	NA	NA	1.1	1.15	0.88	1.5
1747	NA	0.49	0.42	0.68	NA	NA	1.39	1.21	0.35	0.83
1748	NA	0.69	0.59	1.07	NA	NA	2.63	1.37	0.41	0.99
1749	NA	0.69	0.76	1.23	NA	NA	3.79	2.21	0.7	1.29
1750	NA	0.64	0.56	0.9	NA	NA	3.07	2.04	0.66	1.35
1751	NA	0.59	0.52	0.69	NA	NA	2.17	1.32	0.65	1.34
1752	NA	0.56	0.48	0.66	NA	NA	1.5	1.06	0.6	1.35
1753	NA	0.55	0.55	0.78	NA	NA	1.01	1.04	0.67	1.38
1754	NA	0.76	0.54	0.81	NA	NA	0.96	0.95	0.82	1.57
1755	NA	0.88	0.5	1.01	NA	NA	0.86	1.05	0.52	1.07
1756	NA	0.83	0.62	1.04	NA	NA	1.09	1.14	0.68	1.58
1757	NA	0.78	0.42	0.77	NA	NA	1.35	1.32	0.88	1.64
1758	NA	1.04	0.57	0.77	NA	NA	1.52	1.49	0.86	1.36
1759	NA	1.14	0.59	0.65	NA	NA	1.41	1.31	0.67	1.13
1760	NA	1.13	0.71	1.1	NA	NA	1.3	0.91	0.81	1.34
1761	NA	1.32	0.79	1.23	NA	NA	0.96	0.68	0.99	1.73
1762	NA	1.16	0.69	0.94	NA	NA	0.81	0.79	0.83	1.46
1763	NA	1.13	0.63	0.93	NA	NA	0.98	0.8	0.83	1.35
1764	NA	1.01	0.49	0.94	NA	NA	1.4	1.1	0.56	1.07
1765	NA	1.06	0.42	0.93	NA	NA	1.32	1.11	0.66	1.26
1766	NA	1.05	0.5	0.99	NA	NA	1.15	0.88	0.93	1.74
1767	NA	0.96	0.42	0.97	NA	NA	0.96	0.78	0.81	1.43
1768	NA	1.05	0.49	1.08	NA	NA	1.02	0.87	0.81	1.28
1769	NA	1.13	0.54	1.07	NA	NA	1.46	1.2	0.94	1.57
1770	NA	1.29	0.55	0.94	NA	NA	1.57	1.1	0.77	1.59
1771	NA	1.2	0.6	0.9	NA	NA	1.23	0.96	0.63	1.46
1772	NA	1.23	0.48	0.69	NA	NA	1.06	0.71	0.46	1.09
1773	NA	1.25	0.7	0.84	NA	NA	0.95	0.77	0.55	1.23
1774	NA	1.19	0.71	0.84	NA	NA	1.11	0.71	0.55	1.33
1775	NA	1.21	0.59	0.8	NA	NA	1.24	0.74	0.53	1.25
1776	NA	1.15	0.65	0.88	NA	NA	1.24	0.82	0.6	1.4
1777	NA	1.22	0.59	0.71	NA	NA	1.09	0.74	0.59	1.34
1778	NA	1.08	0.76	0.89	NA	NA	1.2	0.95	0.51	1.39
1779	NA	1.08	0.68	0.69	NA	NA	1.14	0.71	0.51	0.88
1780	NA	1.15	0.64	0.56	NA	NA	0.94	0.68	0.53	1.13
1781	NA	1.3	0.91	0.87	NA	NA	1.03	0.8	0.61	1.45
1782	NA	1.07	0.63	0.87	NA	NA	0.96	0.72	0.4	1.3
1783	NA	0.87	0.5	0.83	NA	NA	0.63	0.53	0.42	1.16
1784	NA	1.05	0.67	1.04	NA	NA	0.76	0.65	0.53	1.19
1785	NA	0.87	0.57	0.75	0.75	NA	0.95	0.66	0.36	0.88
1786	NA	1.03	0.5	0.71	0.65	NA	0.95	0.57	0.46	1.04
1787	NA	1.01	0.45	0.76	0.91	NA	0.86	0.57	0.37	1.08
1788	NA	1.06	0.79	0.97	0.92	NA	1.41	0.83	0.54	1.28
1789	NA	0.85	0.57	0.82	0.66	NA	1.23	0.67	0.53	1.17
1790	NA	1.15	0.85	1.14	0.86	NA	1.21	0.91	0.67	1.36
1791	NA	1.44	0.75	1.06	0.83	NA	1.19	0.84	0.83	1.52
1792	NA	1.4	0.57	0.81	0.64	NA	0.94	0.75	0.56	0.99
1793	NA	1.94	0.72	1.13	0.88	NA	0.77	0.7	0.69	1.22
1794	NA	1.73	0.75	1.23	0.9	NA	0.85	0.75	0.7	1.59
1795	NA	1.78	1.04	1.35	1.13	NA	0.95	0.9	0.79	1.31
1796	NA	1.76	1.27	1.31	1.04	NA	1.15	0.99	0.75	1.79
1797	NA	1.6	0.96	1.3	1	NA	1.49	1.22	0.7	1.65
1798	NA	1.45	0.6	1.19	0.98	NA	1.63	1.29	0.58	1.45
1799	NA	1.45	0.67	1.15	0.96	NA	1.61	1.16	0.47	1.09
1800	1.97	1.8	1.11	1.57	1.03	NA	1.63	1.28	0.61	1.43
1801	2.14	1.4	0.96	1.24	1.08	NA	1.33	0.86	0.42	1.12
1802	1.93	1.38	0.68	1.11	0.65	NA	1.24	0.98	0.47	1.22
1803	2.51	1.31	0.81	0.87	0.99	NA	1.34	1.29	0.56	1.28
1804	2.01	1.55	0.97	1.01	1.22	NA	1.51	1.32	0.51	1.34
1805	1.81	1.43	0.78	0.87	0.86	NA	1.57	1.12	0.29	1.08
1806	1.96	1.44	0.64	0.68	0.78	NA	1.37	1.05	0.27	1.08
1807	1.72	1.32	0.47	0.76	0.76	NA	1.02	0.68	0.24	0.87
1808	1.95	1.47	0.74	1.15	1.52	NA	1.08	0.7	0.41	1.18
1809	2.36	1.75	0.91	1.44	1.66	1.51	1.5	0.74	0.42	1.37
1810	2.17	1.81	0.97	1.68	1.67	1.35	1.39	0.72	0.43	1.44
1811	2.41	1.72	0.74	1.36	1.56	1.45	1.15	0.5	0.38	1.16
1812	2.37	1.86	0.85	1.28	1.49	1.29	1.35	0.8	0.58	1.19
1813	1.85	1.55	0.82	1.12	1.24	1.31	1.07	0.59	0.35	1.13
1814	2.26	1.76	0.89	1.54	1.17	1.37	0.97	0.57	0.58	1.78
1815	2.49	1.75	0.88	1.4	1.29	1.51	1.07	0.72	0.63	1.6
1816	2.28	1.76	0.94	1.63	1.14	1.33	1.26	0.94	0.44	1.46
1817	2.3	1.87	0.8	1.46	1.11	1.12	1.43	0.87	0.37	1.4
1818	2.05	1.85	0.62	1.02	0.99	1.06	1.09	0.66	0.37	1.43
1819	1.6	1.51	0.61	1.03	0.54	0.59	1.13	0.77	0.28	0.87
1820	2.15	1.66	1.02	1.32	0.7	1.17	1.16	0.88	0.34	1.13
1821	1.93	1.57	0.61	1.09	0.85	1.2	1.04	0.73	0.32	1.41
1822	2.08	1.86	0.84	1.25	0.86	1.34	1.27	0.76	0.51	1.52
1823	1.89	2.02	0.95	1.21	1.09	1.35	1.41	0.8	0.52	1.46
1824	1.89	1.39	1.18	1.37	0.75	1.23	1.21	0.56	0.44	1.24
1825	1.25	1.3	1.43	1.59	0.71	1.38	0.9	0.57	0.29	1.16
1826	1.23	1.45	1.21	1.45	1.29	1.49	0.88	0.54	0.46	1.42
1827	1.11	1.77	1.05	1.08	1.3	1.36	0.75	0.39	0.45	1.18
1828	1.41	1.68	1.22	1.37	1.28	1.4	0.81	0.47	0.55	1.32
1829	1.59	1.67	1.44	1.64	1.96	1.56	0.73	0.51	0.56	1.25
1830	1.28	1.3	1.07	1.72	1.83	1.58	1.04	0.48	0.46	1.16
1831	1.38	1.59	1.28	1.6	2.11	2.07	1.12	0.85	0.51	1.24
1832	1.45	1.56	1.16	1.41	1.88	1.79	1.24	0.87	0.44	1.16
1833	1.56	1.66	1.22	1.23	1.58	1.75	1.16	0.76	0.34	1.02
1834	1.73	1.71	1.26	1.77	1.59	1.96	0.99	0.68	0.49	0.99
1835	1.49	1.81	1.04	1.56	1.46	1.38	1.31	0.92	0.32	0.92
1836	1.22	1.54	0.73	1.24	1.11	1.27	1.21	0.91	0.28	0.91
1837	2.01	1.87	1.24	1.65	1.7	1.7	1.3	0.75	0.56	1.18
1838	1.72	1.64	1.26	1.47	1.42	1.34	1.36	0.77	0.52	1.15
1839	1.28	1.19	0.82	1	1.15	0.97	1.08	0.64	0.28	0.83
1840	1.46	1.5	0.86	1.18	1.07	1.02	0.99	0.73	0.28	0.75
1841	1.28	1.47	0.58	0.96	1.04	1.03	0.85	0.7	0.19	0.7
1842	1.31	1.48	0.97	1.22	1.5	1.65	1.06	0.63	0.28	1
1843	1.4	1.52	1.04	1.45	1.6	2.17	1.3	0.6	0.35	1.08
1844	1.61	1.6	1.33	1.43	2.11	2.36	1.95	0.76	0.38	1.47
1845	1.34	1.5	1.02	1.17	2.3	1.86	1.65	0.71	0.29	1.47
1846	1.12	1.3	1.15	1.38	1.14	1.09	1.93	0.65	0.32	1.32
1847	1.19	1.46	0.85	1.23	1.57	1.57	2.12	0.74	0.24	1.08
1848	1.47	1.63	0.84	1.26	2.08	2.18	2.65	0.72	0.24	1.48
1849	1.72	1.89	1.38	1.64	2.33	2.59	2.84	1.24	0.31	1.91
1850	1.46	1.57	1.2	1.72	2.55	1.97	2.8	1.16	0.32	1.53
1851	1.2	1.3	0.8	1.57	2.01	1.86	2.21	0.87	0.25	1.19
1852	1.04	1.21	1.02	1.64	2.01	2.16	2.25	0.98	0.29	1.19
1853	1.05	1.03	1.01	1.18	1.22	1.15	1.56	0.74	0.25	1.17
1854	1.26	1.18	0.65	1.2	1.4	1.36	1.26	0.51	0.26	1.18
1855	1.35	1.35	0.72	1.25	1.35	1.41	1.12	0.61	0.26	0.94
1856	1.42	1.42	0.83	1.49	1.17	1.38	1.59	0.64	0.24	0.95
1857	2.72	1.54	1.09	1.58	1.1	1.42	2.14	0.94	0.28	1.27
1858	3.13	1.56	0.87	1.26	1.2	1.3	2.13	1.06	0.36	1.31
1859	2.66	1.63	0.98	1.41	1.28	1.54	1.5	0.76	0.33	1.34
1860	1.93	1.47	0.74	1.1	1.41	1.74	1.43	0.67	0.32	1.04
