# Holmes - Angostura Lago Alumine - ARAR - ITRDB ARGE012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3505
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3505.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge012-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Holmes - Angostura Lago Alumine - ARAR - ITRDB ARGE012
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Angostura Lago Alumine
#   Location: Neuquen
#   Northernmost_Latitude: -38.88
#   Southernmost_Latitude: -38.88
#   Easternmost_Longitude: -71.17
#   Westernmost_Longitude: -71.17
#   Elevation_m: 1160
#--------------------
# Data_Collection
#   Collection_Name: ARGE012
#   First_Year: 1717
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AA1662_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1662; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1672_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1672; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1681_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1681; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1682_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1682; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1683_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1683; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1692_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1692; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1701_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1701; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1711_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1711; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1712_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1712; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AA1662_raw	AA1672_raw	AA1681_raw	AA1682_raw	AA1683_raw	AA1692_raw	AA1701_raw	AA1711_raw	AA1712_raw
1794	NA	NA	1.74	2.09	3.88	2.49	NA	NA	NA
1795	NA	NA	1.56	1.96	2.93	2.3	NA	NA	NA
1796	NA	NA	1.18	1.56	2.03	2.42	NA	NA	NA
1797	NA	NA	1.72	1.81	2.3	2.03	NA	NA	NA
1798	NA	NA	2.27	2.2	2.59	2.32	NA	NA	NA
1799	NA	NA	1.97	2.23	2.82	1.98	NA	NA	NA
1800	NA	NA	2.08	2.43	2.89	1.89	NA	NA	NA
1801	NA	NA	1.58	1.99	2.13	1.36	NA	NA	NA
1802	NA	NA	0.85	1.62	1.39	1.39	NA	NA	NA
1803	NA	NA	1.6	1.88	1.55	1.71	NA	NA	NA
1804	NA	1.01	2	3.05	2.31	2.48	NA	NA	NA
1805	NA	0.9	1.88	2.65	2.26	2.3	NA	NA	NA
1806	NA	1.09	1.7	2.93	2.4	2.74	NA	NA	NA
1807	NA	0.96	1.46	2.87	2.33	3.18	NA	NA	NA
1808	NA	1.08	1.72	3.44	3.15	3.1	NA	NA	NA
1809	NA	1.05	1.11	2.7	2.55	2.24	1.24	NA	NA
1810	NA	1.03	0.9	1.83	2.25	2.05	1.1	NA	NA
1811	NA	1.08	1.06	2.38	2.42	1.8	1.17	NA	NA
1812	NA	1.41	1.01	2.22	2.11	1.94	1.48	NA	NA
1813	NA	1.13	0.59	1.76	1.16	1.48	0.98	NA	NA
1814	NA	1.21	0.69	1.61	1.29	1.88	0.75	NA	NA
1815	NA	1.29	0.6	1.56	1.12	1.75	0.79	NA	NA
1816	NA	1.39	0.65	1.37	1.07	1.56	0.77	NA	NA
1817	NA	1.24	0.63	1.38	0.99	1.42	0.8	NA	NA
1818	NA	1.38	0.63	1.18	0.87	1.54	1.12	NA	NA
1819	NA	1.78	0.51	0.98	0.62	1.62	1.02	NA	NA
1820	NA	2.79	0.62	1.13	0.94	1.72	1.14	NA	NA
1821	NA	3.19	0.46	0.87	0.8	1.83	1.86	NA	NA
1822	NA	4.33	0.5	1.19	0.99	1.79	1.87	NA	NA
1823	NA	4.87	0.63	1.17	0.93	2	1.74	NA	NA
1824	NA	3.71	0.6	0.85	0.84	2.23	1.87	NA	NA
1825	NA	3.51	0	0.43	0.29	4.25	1.22	NA	NA
1826	NA	4.42	0.18	0.56	0.3	4.08	1.68	NA	NA
1827	NA	4.25	0.22	0.63	0.39	3.16	1.12	NA	NA
1828	NA	4.2	0.21	0.5	0.31	2.89	0.86	NA	NA
1829	NA	3.86	0.24	0.74	0.52	2.55	0.94	NA	NA
1830	NA	3.24	0.53	1.28	0.81	3.06	1.33	NA	NA
1831	NA	3.42	0.63	1.53	0.97	3.02	1.01	NA	NA
1832	NA	2.95	0.57	1.44	0.91	0.94	0.53	NA	NA
1833	NA	2.84	0.64	1.35	1.14	2.21	0.19	NA	NA
1834	NA	2.68	0.74	1.44	1.49	2.87	0.66	NA	NA
1835	NA	2.87	0.76	2.08	1.84	1.32	0.87	NA	NA
1836	NA	2.45	0.68	1.6	1.4	1.32	0.48	NA	NA
1837	NA	2.64	0.79	2.13	1.81	1.12	0.76	NA	NA
1838	NA	2.66	1.2	2.92	2.52	1.44	0.72	NA	NA
1839	NA	1.94	0.86	2.29	1.91	1.07	0.74	NA	NA
1840	NA	2.28	0.84	1.89	1.72	1.5	0.44	NA	NA
1841	NA	1.76	0.82	1.58	1.3	1.23	0.37	NA	NA
1842	NA	1.54	0.9	1.78	1.68	1.38	0.58	NA	NA
1843	NA	1.41	0.73	1.6	1.51	2.2	1.13	NA	NA
1844	NA	1.71	0.85	1.92	1.67	2.49	1.73	NA	NA
1845	NA	1.49	0.71	1.31	1.36	1.76	1.14	NA	NA
1846	NA	1.29	0.7	1.29	1.37	1.78	1.22	NA	NA
1847	NA	1.19	0.64	1.03	1.16	1.23	1.14	NA	NA
1848	NA	1.05	0.54	0.82	0.94	1.3	1.57	NA	NA
1849	NA	1.33	0.6	0.96	0.81	1.67	1.54	NA	NA
1850	NA	1.16	0.55	0.8	0.71	1.53	1.55	NA	NA
1851	NA	1.23	0.58	0.72	0.74	1.38	0.88	NA	NA
1852	NA	1.27	0.7	0.92	1.05	1.33	0.98	NA	NA
1853	NA	1.12	0.56	0.84	0.97	1.29	0.83	NA	NA
1854	NA	1.23	0.54	0.78	0.78	1.52	0.78	NA	NA
1855	NA	1.22	0.7	0.88	0.84	1.27	0.87	NA	NA
1856	NA	1.18	0.82	0.99	1.1	1.09	0.93	NA	NA
1857	NA	1.31	0.82	1	1	1.06	1.16	NA	NA
1858	NA	1.16	0.56	0.74	0.78	1.02	1.16	NA	NA
1859	NA	0.81	0.45	0.64	0.57	1.17	0.78	NA	NA
1860	NA	0.99	0.59	0.66	0.67	1.12	1.08	NA	NA
1861	NA	0.68	0.65	0.69	0.73	0.76	1.2	NA	NA
1862	NA	1.01	0.94	1.02	1.09	0.93	1.32	NA	NA
1863	NA	0.82	0.57	0.76	0.82	1.04	1.64	NA	NA
1864	NA	0.81	0.89	1.22	1.14	1.07	1.53	NA	NA
1865	NA	0.65	0.88	1.33	1.22	0.95	1.01	NA	NA
1866	NA	0.88	1.13	1.92	1.59	1	1.49	NA	NA
1867	NA	0.8	1.02	2.31	1.48	0.83	1.05	NA	NA
1868	NA	1.05	1.24	2.64	2.21	0.99	1.6	NA	NA
1869	NA	0.65	0.78	2	1.55	0.93	1.66	NA	NA
1870	NA	0.59	0.88	2.08	1.41	0.92	1.81	NA	NA
1871	2.46	0.97	0.97	1.84	1.37	0.81	1.61	NA	NA
1872	2.46	1.19	1.07	2.01	1.32	0.99	1.75	NA	NA
1873	2.2	1.21	1.07	2.27	1.27	0.92	1.42	NA	NA
1874	2.09	1	0.73	1.6	0.88	0.78	1.45	NA	NA
1875	1.6	0.63	0.38	1.06	0.57	0.66	1.21	NA	NA
1876	2.1	1.3	0.98	1.79	1.41	0.98	1.43	NA	NA
1877	2.49	1.16	0.9	1.71	1.4	0.78	1.11	NA	NA
1878	3.08	0.76	0.68	1.47	1.09	0.86	1.42	NA	NA
1879	2.47	0.55	0.43	1.21	0.8	0.89	1.9	NA	NA
1880	2.28	1.17	0.69	1.51	1.13	1.01	1.9	NA	NA
1881	2.18	1.12	0.66	1.42	1.09	1.13	1.91	NA	NA
1882	2.1	0.85	0.73	1.7	1.23	0.93	1.52	NA	NA
1883	2.08	0.93	0.8	1.72	1.25	1.13	1.57	NA	NA
1884	1.63	1.01	0.68	1.46	1.05	1.15	1.95	NA	NA
1885	1.64	0.75	0.63	1.61	0.88	0.84	1.95	NA	NA
1886	2.26	0.84	0.89	1.79	1.19	0.86	1.69	NA	NA
1887	2.46	1.15	0.81	1.75	1.15	0.99	1.38	NA	NA
1888	2.15	0.99	0.67	1.34	1	1.07	1.75	NA	NA
1889	1.94	0.87	0.87	1.84	1.16	0.96	1.61	NA	NA
1890	2.15	0.92	0.86	1.99	1.33	0.93	1.51	NA	NA
1891	2.08	1.26	1.08	2.12	1.61	0.99	1.54	NA	NA
1892	3	1.36	1.07	2.07	1.59	1.09	1.95	NA	NA
1893	2.87	1.23	0.82	1.73	1.19	1.06	1.43	NA	NA
1894	3.83	1.85	1.19	1.92	1.48	1.38	2.37	NA	NA
1895	3.77	1.79	0.78	1.62	1.06	1.64	1.85	NA	NA
1896	3.61	2.03	0.79	1.47	0.91	1.8	2.38	NA	NA
1897	3.94	1.38	0.72	0.85	0.66	1.46	2.79	3.29	2.4
1898	5.64	2.28	1.33	1.41	1.22	2.22	2.67	3.66	2.92
1899	4.27	2.99	1.68	2.02	1.71	2.23	2	3.16	3.16
1900	4.79	2.4	1.63	2.18	1.93	2	1.77	2.04	1.61
1901	4.85	2.34	1.22	2.1	1.92	2.11	1.78	2.72	2
1902	4.01	2.3	1.32	2.12	2.09	2.41	1.95	2.05	1.34
1903	5.03	2.39	1.5	2.69	2.45	2.25	1.52	2.3	2.06
1904	4.17	1.83	1.23	2.03	2.07	1.93	1.68	1.87	1.34
1905	3.65	2.06	0.97	1.54	1.74	1.9	1.83	3.02	1.72
1906	3.9	1.78	0.89	1.25	1.35	1.71	1.24	2.08	1.37
1907	4.47	2.33	1.24	1.2	1.43	1.92	1.32	2.49	1.43
1908	3.42	2.11	1.19	0.99	1.52	1.94	1.94	2.31	1.85
1909	3.76	1.4	0.62	0.6	0.88	1.48	1.65	2.55	1.65
1910	3.77	1.55	0.91	0.72	1.18	1.54	2.14	2.53	1.99
1911	2.7	2.35	1.06	0.83	1.25	1.4	2	2.72	1.89
1912	2.51	1.79	0.86	0.79	1.08	1.53	2.01	3.53	1.49
1913	2.62	1.63	0.79	0.82	0.85	1.47	0.82	2	1.08
1914	3.14	1.75	0.75	0.73	0.79	1.47	1.31	1.66	1.48
1915	2.82	2.05	0.54	0.59	0.85	1.48	1.55	2.33	1.78
1916	2.32	2.26	0.95	0.98	1.29	1.42	1.73	2.63	1.78
1917	2.76	2.1	0.82	0.78	1.13	1.71	2.45	2.14	1.92
1918	2.24	1.94	0.93	0.97	1.38	1.52	2.39	2.2	1.96
1919	2.58	1.61	0.76	0.82	1.22	1.68	2.01	2.09	1.45
1920	2.38	1.71	0.76	0.75	1.19	1.34	2.52	2.57	1.75
1921	3.58	2.1	1.15	1.22	2	1.73	2.62	3.05	1.88
1922	3.67	2.08	1.19	1.25	1.94	2.13	1.74	1.53	1.19
1923	3.58	1.79	0.95	1	1.68	2.01	2.23	1.75	0.9
1924	2.69	1.62	0.77	0.86	1.57	2.37	1.35	1.38	0.92
1925	3.34	1.97	1.27	1.16	2.19	1.99	2.04	1.1	0.89
1926	3.43	1.44	1.02	1.1	1.96	2.19	2.38	1.19	0.99
1927	2.49	1.39	1.08	1	1.75	1.78	2.14	1.37	1.02
1928	3.04	1.48	0.9	1.16	1.73	1.67	1.68	1.15	1.22
1929	3.08	1.92	1.15	1.38	1.9	1.95	1.93	0.9	0.88
1930	1.9	1.42	0.85	1.35	1.89	1.84	2.58	1.36	1.18
1931	2.06	1.27	0.87	1.17	1.49	1.64	1.76	1.23	0.97
1932	2.13	1.43	0.9	1.07	1.31	1.73	1.54	0.76	0.7
1933	2.63	1.52	1.13	1.38	1.55	1.66	2.41	1.18	1.12
1934	2.41	1.31	1.07	1.4	1.47	1.86	1.89	0.95	1.22
1935	2.08	1.38	1.06	1.3	1.49	1.59	1.63	1	1
1936	2.58	1.01	0.94	1.06	1.2	1.52	2.2	0.88	1.05
1937	1.87	0.87	0.89	0.94	1.17	1.54	1.75	0.86	1.01
1938	2.91	1.42	1.08	1.16	1.26	1.62	1.91	0.73	0.95
1939	2.23	1.28	0.86	0.94	0.99	1.78	1.41	0.66	0.81
1940	2.09	1.49	1.17	1.13	1.08	2.03	1.7	0.78	0.86
1941	2.58	1.33	0.98	1.05	1.03	2.06	1.68	0.9	0.9
1942	2.43	1.32	0.91	1.04	1.12	1.47	1.54	1.02	0.95
1943	2.73	1.14	0.84	0.91	0.82	1.45	1.07	0.62	0.65
1944	2.36	1.53	0.78	0.92	0.82	1.64	1.2	0.7	0.69
1945	1.67	1.22	0.84	0.99	0.95	1.82	1.68	0.86	1.11
1946	2.59	1.58	1.35	1.47	1.43	1.98	1.91	1.03	1.54
1947	2.61	1.12	1.16	1.43	1.29	1.87	1.57	0.61	0.8
1948	3.27	1.15	1	1.04	0.98	1.6	1.57	0.61	0.82
1949	3.01	0.72	0.68	0.75	0.71	1.65	1.3	0.56	0.74
1950	2.5	1.37	1.18	1	1.05	1.89	1.32	0.6	0.58
1951	3.61	1.63	1.29	1.4	1.3	2.06	1.96	0.83	0.71
1952	3.16	1.13	0.97	0.99	0.76	2.22	1.43	0.69	0.63
1953	3.3	1.14	0.92	0.86	0.78	1.95	1.21	0.56	0.55
1954	3.15	1.26	1.15	0.81	0.82	1.89	1.45	0.63	0.67
1955	2.43	1.03	1.17	0.8	0.74	1.75	2	0.73	0.72
1956	2.6	1.29	1.21	1.09	1.11	1.39	1.79	0.52	0.6
1957	2.69	0.97	0.79	0.67	0.62	1.87	1.66	0.47	0.36
1958	2.24	0.88	0.73	0.47	0.6	1.68	1.87	0.24	0.35
1959	2.21	1.27	1.33	0.84	1	1.95	1.75	0.41	0.43
1960	2.61	1.11	0.88	0.73	0.78	1.68	2.32	0.57	0.39
1961	2.92	1.16	0.98	0.86	0.93	2.08	2.33	0.4	0.41
1962	1.79	1.09	0.93	0.69	0.76	1.66	1.65	0.34	0.48
1963	2.41	1.36	0.97	0.71	0.89	1.9	2.78	1.09	1.08
1964	2.82	1.61	0.96	0.89	0.93	2.05	3.85	1.38	1.64
