# Holmes - Puente del Agrio - ARAR - ITRDB ARGE003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3547
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3547.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge003-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Holmes - Puente del Agrio - ARAR - ITRDB ARGE003
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.; Boninsegna, J.A.; Cobos, D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Puente del Agrio
#   Location: Neuquen
#   Northernmost_Latitude: -37.82
#   Southernmost_Latitude: -37.82
#   Easternmost_Longitude: -70.95
#   Westernmost_Longitude: -70.95
#   Elevation_m: 1515
#--------------------
# Data_Collection
#   Collection_Name: ARGE003
#   First_Year: 1486
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AG0262_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0262; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0274_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0274; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0283_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0283; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0291_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0291; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0293_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0293; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0303_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0303; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0304_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0304; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0323_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0323; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AG0262_raw	AG0274_raw	AG0283_raw	AG0291_raw	AG0293_raw	AG0303_raw	AG0304_raw	AG0323_raw
1571	NA	NA	0.51	NA	NA	0.59	NA	NA
1572	NA	NA	0.4	NA	NA	0.49	NA	NA
1573	NA	NA	0.53	NA	NA	0.54	NA	NA
1574	NA	NA	0.89	NA	NA	0.6	NA	NA
1575	NA	NA	0.72	NA	NA	0.58	NA	NA
1576	NA	NA	0.53	NA	NA	0.43	NA	NA
1577	NA	NA	0.49	NA	NA	0.78	NA	NA
1578	NA	NA	0.51	NA	NA	0.57	NA	NA
1579	NA	NA	0.56	NA	NA	0.61	NA	NA
1580	NA	NA	0.5	NA	NA	0.7	NA	NA
1581	NA	NA	0.61	NA	NA	0.81	NA	NA
1582	NA	NA	0.64	NA	NA	0.86	NA	NA
1583	NA	NA	0.49	NA	NA	0.8	NA	NA
1584	NA	NA	0.51	NA	NA	0.86	NA	NA
1585	NA	NA	0.44	NA	NA	0.88	NA	NA
1586	NA	NA	0.42	NA	NA	0.8	NA	NA
1587	NA	NA	0.45	NA	NA	0.57	NA	NA
1588	NA	NA	0.69	NA	NA	0.73	NA	NA
1589	NA	NA	0.56	NA	NA	0.65	NA	NA
1590	NA	NA	0.57	NA	NA	0.78	NA	NA
1591	NA	NA	0.58	NA	NA	0.85	NA	NA
1592	NA	NA	0.35	NA	NA	0.77	NA	NA
1593	NA	NA	0.39	NA	NA	0.78	NA	NA
1594	NA	NA	0.44	NA	NA	0.86	NA	NA
1595	NA	NA	0.53	NA	NA	0.65	NA	NA
1596	NA	NA	0.4	NA	NA	0.82	NA	NA
1597	NA	NA	0.38	NA	NA	0.75	NA	NA
1598	NA	NA	0.44	NA	NA	0.59	NA	NA
1599	NA	NA	0.37	NA	NA	0.33	NA	NA
1600	NA	NA	0.64	NA	NA	0.38	NA	NA
1601	NA	NA	0.52	NA	NA	0.56	NA	NA
1602	NA	NA	0.64	NA	NA	0.66	NA	NA
1603	NA	NA	0.35	NA	NA	0.6	NA	NA
1604	NA	NA	0.37	NA	NA	0.6	NA	NA
1605	NA	NA	0.53	NA	NA	0.65	NA	NA
1606	NA	NA	0.53	NA	NA	0.75	NA	NA
1607	NA	NA	0.4	NA	NA	0.67	NA	NA
1608	NA	NA	0.34	NA	NA	0.52	NA	NA
1609	NA	NA	0.36	NA	NA	0.55	NA	NA
1610	NA	NA	0.42	NA	NA	0.79	NA	NA
1611	NA	NA	0.37	NA	NA	0.91	NA	NA
1612	NA	NA	0.34	NA	NA	0.74	NA	NA
1613	NA	NA	0.2	NA	NA	0.64	NA	NA
1614	NA	NA	0.25	NA	NA	0.64	NA	NA
1615	NA	NA	0.42	NA	NA	0.79	NA	NA
1616	NA	NA	0.46	NA	NA	0.82	NA	NA
1617	NA	NA	0.53	NA	NA	0.77	NA	NA
1618	NA	NA	0.52	NA	NA	0.73	NA	NA
1619	NA	NA	0.41	NA	0.73	0.78	NA	NA
1620	NA	NA	0.46	NA	0.86	0.77	NA	NA
1621	NA	NA	0.43	NA	0.77	0.76	NA	NA
1622	NA	NA	0.37	NA	0.73	0.68	NA	NA
1623	NA	NA	0.52	NA	0.58	0.63	NA	NA
1624	NA	NA	0.47	NA	0.54	0.5	NA	NA
1625	NA	NA	0.57	NA	0.51	0.41	NA	NA
1626	NA	NA	0.53	NA	0.56	0.62	NA	NA
1627	NA	NA	0.41	NA	0.53	0.56	NA	NA
1628	NA	NA	0.66	NA	0.53	0.57	0.73	NA
1629	NA	NA	0.58	NA	0.38	0.5	0.53	NA
1630	NA	NA	0.59	NA	0.61	0.5	0.89	NA
1631	NA	NA	0.69	NA	0.61	0.47	0.86	NA
1632	NA	NA	0.65	NA	0.5	0.39	0.79	NA
1633	NA	NA	0.64	NA	0.7	0.41	0.64	NA
1634	NA	NA	0.56	NA	0.59	0.46	0.61	NA
1635	NA	NA	0.69	NA	0.68	0.46	0.6	NA
1636	NA	NA	0.78	NA	0.54	0.56	0.74	NA
1637	NA	NA	0.77	NA	0.51	0.48	0.66	NA
1638	NA	NA	0.93	NA	0.8	0.55	0.89	NA
1639	NA	NA	0.91	NA	0.32	0.34	0.68	NA
1640	NA	NA	0.57	NA	0.59	0.3	0.45	NA
1641	NA	NA	0.7	NA	0.65	0.35	0.59	NA
1642	NA	NA	0.96	NA	0.68	0.42	0.78	NA
1643	NA	NA	1.02	NA	0.65	0.36	0.82	NA
1644	NA	NA	0.85	NA	0.66	0.31	0.71	NA
1645	NA	NA	0.98	NA	0.58	0.46	0.69	NA
1646	NA	NA	1.48	NA	0.63	0.39	0.66	NA
1647	NA	NA	1.2	NA	0.54	0.33	0.62	NA
1648	NA	NA	1.02	NA	0.74	0.4	0.79	NA
1649	NA	NA	0.82	NA	0.85	0.44	0.6	NA
1650	NA	NA	0.78	NA	0.7	0.4	0.73	NA
1651	NA	NA	0.57	NA	0.78	0.23	0.34	NA
1652	NA	NA	0.78	NA	1.01	0.33	0.37	NA
1653	NA	NA	0.99	NA	0.88	0.51	0.45	NA
1654	NA	NA	0.8	NA	1.26	0.57	0.65	NA
1655	NA	NA	0.6	NA	1.36	0.5	0.76	NA
1656	NA	NA	0.59	NA	1.35	0.37	0.63	NA
1657	NA	NA	0.54	NA	1.24	0.37	0.7	NA
1658	NA	NA	0.6	NA	1.1	0.31	0.66	NA
1659	NA	NA	0.56	NA	1.52	0.42	0.7	NA
1660	NA	NA	0.59	NA	1.68	0.4	0.7	NA
1661	NA	NA	0.59	NA	1.52	0.33	0.58	NA
1662	NA	NA	0.49	NA	1.14	0.23	0.57	NA
1663	NA	NA	0.71	NA	1.26	0.31	0.6	NA
1664	NA	NA	0.63	NA	0.94	0.31	0.82	NA
1665	NA	NA	0.5	NA	0.82	0.24	0.73	NA
1666	NA	NA	0.35	NA	0.85	0.19	0.58	NA
1667	NA	NA	0.46	NA	0.81	0.25	0.59	NA
1668	NA	NA	0.44	NA	0.74	0.34	0.95	NA
1669	NA	NA	0.36	NA	0.5	0.25	0.87	NA
1670	NA	NA	0.47	NA	0.62	0.45	1.18	NA
1671	NA	NA	0.48	1.37	0.64	0.53	1.35	NA
1672	NA	NA	0.46	1.63	0.7	0.48	1.32	NA
1673	NA	NA	0.41	1.77	0.65	0.37	1.02	NA
1674	NA	NA	0.39	1.3	0.65	0.33	1.63	NA
1675	NA	NA	0.33	0.8	0.31	0.42	1.35	NA
1676	NA	NA	0.53	1.28	0.41	0.27	1.38	NA
1677	NA	NA	0.47	1.1	0.55	0.29	1.04	NA
1678	NA	NA	0.6	1.3	0.79	0.32	0.96	NA
1679	NA	NA	0.62	0.92	0.6	0.48	0.83	NA
1680	NA	NA	0.49	0.72	0.34	0.41	0.65	NA
1681	NA	NA	0.45	0.71	0.43	0.33	0.53	NA
1682	NA	NA	0.35	0.74	0.44	0.3	0.55	NA
1683	NA	NA	0.42	0.83	0.66	0.3	0.55	NA
1684	NA	NA	0.65	1.09	0.81	0.33	0.74	NA
1685	NA	NA	0.58	1.11	0.74	0.39	0.65	NA
1686	NA	NA	0.5	1.01	0.62	0.33	0.65	NA
1687	NA	NA	0.58	0.72	0.63	0.31	0.56	NA
1688	NA	NA	0.54	0.74	0.66	0.3	0.77	NA
1689	NA	NA	0.57	0.5	0.48	0.28	0.91	NA
1690	1.59	NA	0.72	0.83	0.56	0.39	1.16	NA
1691	1.8	NA	0.76	0.66	0.59	0.35	1.08	NA
1692	1.54	NA	0.71	0.82	0.65	0.32	0.89	NA
1693	1.11	NA	0.49	0.91	0.71	0.24	0.69	NA
1694	1.32	NA	0.52	1.08	0.83	0.3	0.89	NA
1695	1.16	NA	0.49	0.81	0.75	0.3	0.77	NA
1696	0.77	NA	0.41	0.59	0.59	0.21	0.55	NA
1697	0.88	NA	0.52	0.59	0.63	0.27	0.67	NA
1698	1.03	NA	0.45	0.47	0.59	0.19	0.83	NA
1699	1.01	NA	0.45	0.57	0.43	0.22	0.89	NA
1700	1.06	NA	0.54	0.98	0.64	0.27	0.95	NA
1701	0.96	NA	0.51	1.01	0.58	0.32	1.06	NA
1702	1.01	NA	0.46	1.25	0.71	0.34	1.35	NA
1703	1.12	NA	0.57	1.32	0.74	0.42	1.32	NA
1704	1.19	NA	0.55	1.08	0.78	0.43	1	NA
1705	1.54	NA	0.5	0.88	0.69	0.36	0.84	NA
1706	1.2	NA	0.47	0.87	0.73	0.32	0.98	NA
1707	1.22	NA	0.5	0.89	0.75	0.37	1.43	NA
1708	1.25	NA	0.39	1.34	0.95	0.39	1.75	NA
1709	1.17	NA	0.57	1.04	0.93	0.39	1.23	NA
1710	1.19	NA	0.48	0.69	0.67	0.23	0.82	NA
1711	1.41	NA	0.43	0.93	0.64	0.34	0.95	NA
1712	1.18	NA	0.53	1.05	0.61	0.46	1.55	NA
1713	1.25	NA	0.56	0.88	0.52	0.48	1.33	NA
1714	1.03	NA	0.56	0.73	0.46	0.39	0.91	NA
1715	1.24	NA	0.59	0.91	0.61	0.36	1.12	NA
1716	0.96	NA	0.5	0.88	0.54	0.31	0.71	NA
1717	0.89	NA	0.55	0.92	0.66	0.36	0.75	NA
1718	0.71	NA	0.5	0.91	0.54	0.24	0.53	NA
1719	0.65	NA	0.35	0.81	0.43	0.19	0.4	NA
1720	0.83	NA	0.61	0.75	0.54	0.26	0.81	NA
1721	0.63	NA	0.63	0.52	0.42	0.39	0.88	NA
1722	0.5	NA	0.65	0.46	0.43	0.4	0.87	NA
1723	0.55	NA	0.49	0.58	0.45	0.3	0.83	NA
1724	0.64	NA	0.44	0.52	0.51	0.29	0.63	NA
1725	0.63	NA	0.43	0.53	0.5	0.29	0.56	NA
1726	0.65	NA	0.35	0.44	0.36	0.25	0.4	NA
1727	0.72	NA	0.29	0.38	0.3	0.25	0.43	NA
1728	0.92	NA	0.48	0.5	0.36	0.3	0.6	NA
1729	0.75	NA	0.43	0.5	0.46	0.23	0.86	NA
1730	0.71	NA	0.5	0.48	0.43	0.2	0.78	NA
1731	0.91	NA	0.59	0.55	0.39	0.21	0.57	NA
1732	0.79	NA	0.52	0.57	0.46	0.23	0.67	NA
1733	0.93	NA	0.5	0.47	0.39	0.29	0.49	NA
1734	1.23	NA	0.38	0.39	0.34	0.18	0.69	NA
1735	1.27	NA	0.33	0.44	0.47	0.36	0.8	NA
1736	0.97	NA	0.4	0.58	0.46	0.49	0.7	NA
1737	0.75	NA	0.36	0.45	0.32	0.32	0.64	NA
1738	0.94	NA	0.43	0.78	0.34	0.26	0.63	NA
1739	0.88	NA	0.34	0.63	0.41	0.35	0.63	NA
1740	0.85	NA	0.36	0.84	0.62	0.23	0.8	NA
1741	0.65	NA	0.3	0.84	0.69	0.29	0.8	0.22
1742	0.95	NA	0.32	0.81	0.75	0.26	0.78	0.23
1743	0.67	NA	0.3	0.52	0.39	0.2	0.55	0.21
1744	0.57	NA	0.32	0.43	0.33	0.26	0.45	0.39
1745	0.71	NA	0.33	0.4	0.23	0.34	0.59	0.3
1746	0.8	NA	0.3	0.49	0.21	0.36	0.67	0.25
1747	0.72	NA	0.26	0.54	0.24	0.37	0.81	0.29
1748	0.62	NA	0.32	0.51	0.29	0.28	0.6	0.27
1749	1.04	NA	0.4	0.56	0.37	0.37	0.83	0.44
1750	0.97	NA	0.24	0.48	0.35	0.39	0.76	0.48
1751	0.86	NA	0.24	0.48	0.32	0.36	0.7	0.61
1752	0.97	NA	0.21	0.47	0.32	0.27	0.51	0.79
1753	0.99	NA	0.26	0.49	0.32	0.3	0.4	0.63
1754	1.11	NA	0.34	0.48	0.33	0.31	0.36	0.61
1755	1.45	NA	0.26	0.45	0.22	0.23	0.49	0.67
1756	1.34	NA	0.41	0.53	0.22	0.27	0.69	0.65
1757	1.15	NA	0.3	0.38	0.21	0.38	0.63	1.31
1758	1.19	NA	0.32	0.47	0.28	0.37	0.64	1.56
1759	1.07	NA	0.25	0.39	0.19	0.24	0.54	0.94
1760	1.02	NA	0.27	0.54	0.27	0.21	0.55	0.62
1761	0.77	NA	0.27	0.62	0.28	0.2	0.51	0.74
1762	0.67	NA	0.28	0.52	0.3	0.23	0.51	0.43
1763	0.77	NA	0.35	0.48	0.29	0.2	0.46	0.6
1764	0.9	NA	0.41	0.52	0.27	0.26	0.55	0.35
1765	0.9	NA	0.4	0.52	0.34	0.32	0.77	0.89
1766	0.89	NA	0.26	0.49	0.27	0.26	0.57	0.66
1767	0.75	NA	0.23	0.46	0.33	0.24	0.45	0.67
1768	0.76	NA	0.22	0.44	0.23	0.2	0.36	0.78
1769	0.94	NA	0.29	0.52	0.2	0.23	0.37	0.78
1770	1.39	NA	0.25	0.62	0.21	0.2	0.38	0.56
1771	1.52	NA	NA	0.56	0.28	0.26	0.47	1.01
1772	1.3	NA	NA	0.52	0.27	0.16	0.53	0.84
1773	0.83	NA	NA	0.52	0.26	0.2	0.45	0.79
1774	0.92	NA	NA	0.47	0.26	0.18	0.38	0.77
1775	0.89	NA	NA	0.43	0.2	0.17	0.36	0.85
1776	0.87	NA	NA	0.55	0.21	0.22	0.48	0.72
1777	0.92	NA	NA	0.56	0.24	0.19	0.43	0.83
1778	1.07	NA	NA	0.61	0.29	0.27	0.53	0.81
