# Buyantuyev - Shuthulay River - LASI - ITRDB RUSS240
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16795
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16795.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ240-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ240-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ240.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ240.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-04-23
#--------------------
# File_Last_Modified_Date
#   Date: 2014-04-23
#--------------------
# Title
#   Study_Name: Buyantuyev - Shuthulay River - LASI - ITRDB RUSS240
#--------------------
# Investigators
#   Investigators: Buyantuyev, V.; Oskolkov, V.A.; Moritz, R.S.; Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Shuthulay River
#   Location: Russia
#   Northernmost_Latitude: 52.482311
#   Southernmost_Latitude: 52.482311
#   Easternmost_Longitude: 98.968749
#   Westernmost_Longitude: 98.968749
#   Elevation_m: 2170
#--------------------
# Data_Collection
#   Collection_Name: RUSS240
#   First_Year: 1603
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## shut1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut25_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut25; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut26-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut26-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut26_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut26; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut27_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut27; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut28_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut28; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut29_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut29; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	shut1_raw	shut24_raw	shut25_raw	shut26-2_raw	shut26_raw	shut27_raw	shut28_raw	shut29_raw
1689	0.92	NA	0.62	NA	0.63	NA	NA	0.36
1690	0.89	NA	0.83	NA	0.8	NA	NA	0.48
1691	1.14	NA	0.99	NA	0.84	NA	0.53	0.49
1692	0.96	NA	0.87	NA	0.74	NA	0.56	0.36
1693	1.02	NA	0.97	NA	0.94	NA	0.92	0.41
1694	0.81	NA	0.84	NA	0.89	NA	0.85	0.37
1695	1.19	NA	1.02	NA	1.04	NA	0.75	0.58
1696	0.88	NA	0.9	NA	0.95	NA	0.82	0.46
1697	0.43	NA	0.46	NA	0.66	NA	0.91	0.19
1698	0.37	NA	0.52	NA	0.64	NA	0.74	0.18
1699	0.57	NA	0.49	NA	0.65	NA	0.52	0.3
1700	0.69	NA	0.63	NA	0.42	NA	1.08	0.2
1701	0.75	NA	0.55	NA	0.49	NA	0.84	0.34
1702	0.66	NA	0.38	NA	0.3	NA	1.21	0.15
1703	0.44	NA	0.38	NA	0.31	NA	0.9	0.24
1704	0.8	NA	0.67	NA	0.49	NA	0.61	0.51
1705	0.96	NA	0.59	NA	0.52	NA	0.63	0.32
1706	0.84	NA	0.73	NA	0.52	NA	0.61	0.33
1707	0.94	NA	0.72	NA	0.44	NA	0.7	0.29
1708	0.98	NA	0.83	NA	0.64	NA	1.18	0.44
1709	0.73	NA	0.6	NA	0.47	NA	1.06	0.2
1710	0.85	NA	0.45	NA	0.38	NA	1.32	0.15
1711	0.86	NA	0.41	0.52	0.3	NA	1.25	0.13
1712	1.02	NA	0.55	0.44	0.24	NA	0.81	0.24
1713	0.83	NA	0.72	0.64	0.34	NA	0.86	0.28
1714	0.99	NA	0.66	0.54	0.37	NA	0.78	0.28
1715	1.33	NA	1.05	0.7	0.55	1.08	1.02	0.47
1716	1.23	NA	0.86	0.68	0.55	0.99	0.84	0.18
1717	1.02	NA	0.72	0.61	0.45	1.19	0.87	0.16
1718	1.01	NA	0.91	0.49	0.55	0.97	0.86	0.2
1719	0.82	NA	0.75	0.55	0.42	0.77	0.73	0.18
1720	0.74	NA	0.53	0.48	0.42	1.21	0.64	0.21
1721	0.86	NA	0.71	0.5	0.39	1.35	0.92	0.26
1722	0.66	NA	0.55	0.42	0.36	0.79	0.82	0.2
1723	0.87	NA	0.9	0.63	0.51	1.16	1.15	0.33
1724	0.81	NA	0.71	0.6	0.56	0.68	0.92	0.36
1725	0.67	NA	0.66	0.49	0.48	0.55	1.04	0.24
1726	0.89	NA	0.83	0.59	0.68	0.81	1.17	0.4
1727	0.63	NA	0.56	0.39	0.55	0.64	0.96	0.24
1728	0.9	NA	0.99	0.6	0.62	1.41	1.33	0.51
1729	0.61	NA	0.77	0.63	0.63	1.06	1.32	0.38
1730	0.65	NA	1.21	0.52	0.57	1.01	1.43	0.47
1731	0.94	NA	0.68	0.5	0.64	1.48	1.08	0.33
1732	1.23	NA	0.73	0.53	0.64	1.08	1.18	0.47
1733	0.77	NA	0.75	0.68	0.67	2.02	1.12	0.43
1734	0.58	NA	0.41	0.29	0.2	1.25	0.75	0.4
1735	0.91	NA	0.93	0.53	0.46	1.71	1.12	0.59
1736	0.56	NA	0.83	0.54	0.47	1.38	0.77	0.37
1737	0.9	NA	1.06	0.58	0.51	1.69	0.82	0.2
1738	0.72	NA	0.79	0.5	0.56	1.31	0.86	0.42
1739	1.09	NA	1.03	0.59	0.91	0.57	0.71	0.46
1740	0.71	NA	0.7	0.51	0.7	1.18	1.15	0.41
1741	0.6	NA	0.67	0.29	0.51	1.64	1.09	0.33
1742	0.41	NA	0.43	0.23	0.35	2.09	0.75	0.2
1743	0.81	NA	0.71	0.37	0.51	2.34	0.96	0.3
1744	0.87	NA	0.84	0.59	0.74	1.94	0.88	0.44
1745	0.67	NA	0.54	0.62	0.62	1.02	0.8	0.25
1746	0.76	NA	0.56	0.47	0.39	0.91	0.7	0.21
1747	0.3	NA	0.37	0.13	0.09	0.47	0.59	0.1
1748	0.54	NA	0.57	0.22	0.25	1.27	0.71	0.11
1749	0.77	NA	0.65	0.4	0.48	1.86	0.71	0.3
1750	0.5	NA	0.37	0.31	0.36	1.14	0.34	0.17
1751	0.16	NA	0.12	0.13	0.04	1	0.04	0.14
1752	0.35	NA	0.38	0.34	0.32	0.33	0.31	0.17
1753	0.38	NA	0.53	0.35	0.49	0.87	0.43	0.19
1754	0.42	NA	0.49	0.55	0.65	0.99	0.56	0.17
1755	0.39	NA	0.53	0.52	0.56	0.22	0.49	0.28
1756	0.96	NA	0.89	0.55	0.66	0.27	0.8	0.22
1757	0.85	NA	0.96	0.54	0.61	0.33	0.82	0.24
1758	0.85	NA	0.7	0.62	0.58	0.46	1.13	0.16
1759	0.67	NA	0.49	0.4	0.22	0.69	0.88	0.3
1760	0.89	NA	0.66	0.4	0.36	0.82	1.02	0.18
1761	0.84	NA	0.58	0.25	0.28	1.2	0.75	0.27
1762	1.31	NA	0.86	0.45	0.4	1.43	0.79	0.18
1763	1.39	NA	0.78	0.6	0.46	1.23	0.72	0.06
1764	1.09	NA	0.72	0.58	0.39	0.93	0.8	0.07
1765	0.46	NA	0.37	0.18	0.23	0.9	0.51	0.1
1766	0.96	NA	0.59	0.24	0.36	0.54	0.86	0.24
1767	1.11	NA	0.67	0.42	0.49	0.86	0.81	0.21
1768	1.34	NA	0.67	0.51	0.46	0.62	0.89	0.09
1769	0.7	NA	0.34	0.41	0.47	0.3	0.51	0.15
1770	0.76	NA	0.46	0.41	0.39	0.14	0.57	0.21
1771	0.85	NA	0.56	0.43	0.44	0.48	0.72	0.02
1772	1.15	NA	0.47	0.35	0.38	0.66	0.68	0.24
1773	0.8	NA	0.4	0.53	0.43	0.39	0.63	0.26
1774	0.98	NA	0.47	0.48	0.45	0.09	0.85	0.36
1775	0.85	NA	0.3	0.48	0.36	0.19	0.46	0.22
1776	0.61	NA	0.16	0.19	0.18	0.16	0.22	0.14
1777	0.96	NA	0.52	0.41	0.37	0.27	0.5	0.22
1778	1.18	NA	0.5	0.43	0.43	0.2	1.05	0.43
1779	1.23	NA	0.54	0.77	0.44	0.59	1.08	0.37
1780	1.16	NA	0.5	0.59	0.46	0.61	0.93	0.37
1781	0.61	NA	0.39	0.47	0.42	0.24	0.6	0.21
1782	0.61	NA	0.41	0.42	0.35	0.63	0.72	0.31
1783	0.57	NA	0.67	0.39	0.43	0.9	0.97	0.4
1784	0.15	NA	0.1	0.35	0.18	1.21	0.27	0.08
1785	0.08	0.52	0.19	0.04	0.08	1.4	0.17	0.05
1786	0.25	0.6	0.36	0.16	0.19	0.89	0.5	0.16
1787	0.09	0.39	0.12	0.1	0.15	1.14	0.29	0.06
1788	0.18	0.31	0.16	0.17	0.14	0.66	0.23	0.08
1789	0.35	0.58	0.17	0.1	0.11	0.19	0.48	0.09
1790	0.38	0.61	0.47	0.22	0.22	0.25	0.58	0.15
1791	0.43	0.63	0.41	0.25	0.28	0.05	0.55	0.17
1792	0.24	0.53	0.16	0.17	0.17	0.2	0.16	0.02
1793	0.31	0.45	0.33	0.2	0.21	0.42	0.5	0.18
1794	0.37	0.33	0.36	0.21	0.19	0.25	0.46	0.15
1795	0.58	0.35	0.33	0.22	0.21	0.06	0.44	0.23
1796	0.75	0.41	0.37	0.32	0.3	0.17	0.55	0.17
1797	0.5	0.49	0.32	0.25	0.23	0.07	0.46	0.18
1798	0.64	0.74	0.44	0.24	0.27	0.12	0.55	0.29
1799	0.71	0.64	0.43	0.26	0.28	0.2	0.65	0.32
1800	0.62	0.59	0.23	0.27	0.26	0.13	0.46	0.2
1801	0.65	0.61	0.26	0.21	0.33	0.33	0.64	0.17
1802	0.56	0.54	0.2	0.21	0.3	0.41	0.48	0.13
1803	0.59	0.52	0.26	0.24	0.3	0.54	0.55	0.17
1804	0.79	0.79	0.52	0.4	0.44	0.46	0.89	0.29
1805	0.69	0.69	0.25	0.29	0.35	0.5	0.84	0.26
1806	0.72	0.86	0.42	0.35	0.36	0.53	0.65	0.28
1807	0.35	0.24	0.17	0.22	0.18	0.75	0.26	0.1
1808	0.58	0.67	0.18	0.22	0.24	0.52	0.56	0.18
1809	0.37	0.53	0.22	0.37	0.29	1.04	0.43	0.11
1810	0.33	0.6	0.17	0.32	0.24	0.28	0.4	0.13
1811	0.53	0.7	0.36	0.38	0.35	0.57	0.67	0.19
1812	0.38	0.69	0.12	0.33	0.21	0.44	0.41	0.1
1813	0.25	0.52	0.08	0.16	0.1	0.37	0.32	0.12
1814	0.24	0.44	0.06	0.24	0.09	0.63	0.24	0.1
1815	0.38	0.54	0.26	0.38	0.27	0.37	0.37	0.16
1816	0.41	0.44	0.25	0.47	0.26	0.19	0.38	0.19
1817	0.46	0.45	0.25	0.4	0.27	0.14	0.36	0.17
1818	0.64	0.69	0.37	0.46	0.29	0.33	0.51	0.32
1819	0.41	0.35	0.19	0.25	0.18	0.27	0.23	0.13
1820	0.35	0.53	0.2	0.15	0.13	0.25	0.28	0.1
1821	0.26	0.43	0.05	0.19	0.17	0.49	0.43	0.15
1822	0.54	0.77	0.34	0.42	0.25	0.22	0.43	0.24
1823	0.86	0.84	0.57	0.59	0.46	0.23	0.61	0.43
1824	0.6	0.69	0.33	0.38	0.3	0.25	0.32	0.23
1825	0.52	0.51	0.35	0.26	0.29	0.34	0.42	0.2
1826	0.76	0.55	0.38	0.33	0.33	0.73	0.65	0.22
1827	0.8	0.62	0.33	0.48	0.38	0.72	0.58	0.19
1828	0.69	0.76	0.21	0.43	0.3	0.55	0.46	0.16
1829	0.75	0.7	0.28	0.34	0.32	0.5	0.43	0.18
1830	0.78	0.56	0.2	0.31	0.27	0.67	0.46	0.2
1831	0.49	0.43	0.11	0.24	0.23	0.46	0.36	0.08
1832	0.44	0.3	0.08	0.18	0.12	0.46	0.28	0.08
1833	0.63	0.5	0.2	0.3	0.24	0.52	0.43	0.16
1834	0.94	0.41	0.26	0.35	0.2	0.37	0.58	0.17
1835	0.67	0.22	0.12	0.19	0.1	0.2	0.32	0.05
1836	0.44	0.32	0.16	0.08	0.08	0.29	0.22	0.1
1837	0.59	0.38	0.25	0.27	0.22	0.24	0.44	0.14
1838	0.55	0.43	0.33	0.29	0.23	0.03	0.49	0.16
1839	0.53	0.47	0.28	0.29	0.19	0.05	0.38	0.11
1840	0.36	0.27	0.19	0.17	0.08	0.22	0.24	0.09
1841	0.72	0.44	0.33	0.25	0.25	0.17	0.57	0.18
1842	0.7	0.34	0.3	0.18	0.19	0.18	0.39	0.09
1843	0.27	0.28	0.14	0.05	0.08	0.04	0.3	0.1
1844	0.29	0.3	0.08	0.1	0.08	0.16	0.2	0.05
1845	0.45	0.27	0.26	0.22	0.24	0.11	0.45	0.17
1846	0.32	0.31	0.24	0.2	0.18	0.07	0.34	0.17
1847	0.24	0.29	0.1	0.19	0.14	0.18	0.23	0.11
1848	0.46	0.46	0.28	0.31	0.24	0.12	0.36	0.13
1849	0.25	0.43	0.21	0.29	0.23	0.06	0.27	0.1
1850	0.37	0.37	0.26	0.33	0.23	0.18	0.36	0.13
1851	0.41	0.31	0.24	0.24	0.22	0.2	0.31	0.02
1852	0.34	0.34	0.22	0.2	0.18	0.22	0.27	0.02
1853	0.35	0.63	0.22	0.2	0.2	0.09	0.37	0.1
1854	0.11	0.24	0.27	0.07	0.06	0.15	0.06	0.23
1855	0.36	0.5	0.22	0.19	0.17	0.2	0.36	0.18
1856	0.49	0.63	0.15	0.15	0.21	0.26	0.44	0.16
1857	0.38	0.44	0.15	0.19	0.2	0.27	0.31	0.14
1858	0.3	0.42	0.21	0.21	0.2	0.14	0.28	0.17
1859	0.39	0.38	0.34	0.22	0.2	0.3	0.33	0.17
1860	0.53	0.51	0.27	0.35	0.35	0.27	0.36	0.22
1861	0.5	0.47	0.23	0.24	0.23	0.47	0.25	0.19
1862	0.78	0.47	0.33	0.3	0.31	0.27	0.45	0.26
1863	1.01	0.64	0.43	0.54	0.34	0.47	0.5	0.28
1864	0.87	0.69	0.3	0.46	0.28	0.77	0.6	0.23
1865	0.56	0.5	0.27	0.21	0.23	0.72	0.47	0.11
1866	0.52	0.63	0.1	0.25	0.25	0.29	0.4	0.12
1867	0.22	0.18	0.04	0.03	0.07	0.44	0.09	0.1
1868	0.34	0.32	0.18	0.02	0.13	0.13	0.38	0.08
1869	0.4	0.23	0.02	0.06	0.09	0.12	0.24	0.12
1870	0.31	0.15	0.09	0.13	0.02	0.24	0.33	0.13
1871	0.73	0.41	0.31	0.2	0.23	0.15	0.49	0.18
1872	0.59	0.29	0.42	0.24	0.21	0.12	0.41	0.14
1873	0.54	0.3	0.28	0.16	0.28	0.16	0.38	0.16
1874	0.94	0.49	0.36	0.23	0.27	0.22	0.61	0.24
1875	1.1	0.64	0.61	0.3	0.33	0.24	0.56	0.19
1876	0.97	0.56	0.51	0.28	0.33	0.37	0.43	0.19
1877	1.09	0.7	0.5	0.36	0.39	0.39	0.52	0.16
1878	0.9	0.71	0.36	0.25	0.35	0.83	0.49	0.19
1879	1.44	0.7	0.62	0.41	0.4	0.88	0.65	0.18
1880	1.21	0.75	0.6	0.36	0.39	0.53	0.47	0.19
