# Hughes - Indigirka - LAGM - ITRDB RUSS184
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3568
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3568.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ184-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ184-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ184.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ184.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Indigirka - LAGM - ITRDB RUSS184
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Indigirka
#   Location: Sakha
#   Northernmost_Latitude: 70.53
#   Southernmost_Latitude: 70.53
#   Easternmost_Longitude: 148.15
#   Westernmost_Longitude: 148.15
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS184
#   First_Year: 1554
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## IND03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND41A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND41A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND47_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND47; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND54_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND54; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND57A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND57A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND57B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND57B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND59_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND59; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	IND03A_raw	IND03B_raw	IND41A_raw	IND47_raw	IND54_raw	IND57A_raw	IND57B_raw	IND59_raw
1761	0.27	0.48	0.26	NA	NA	0.37	0.48	NA
1762	0.09	0.26	0.17	NA	NA	0.37	0.3	NA
1763	0.41	0.9	0.44	NA	NA	1.01	0.77	NA
1764	0.28	0.53	0.22	NA	NA	0.98	0.65	NA
1765	0.23	0.54	0.12	NA	NA	0.52	0.73	0.68
1766	0.37	0.66	0.31	NA	NA	0.6	0.75	0.7
1767	0.35	0.56	0.29	NA	NA	0.52	0.58	0.57
1768	0.24	0.39	0.21	NA	NA	0.4	0.41	0.51
1769	0.2	0.31	0.23	NA	NA	0.31	0.34	0.5
1770	0.19	0.25	0.14	NA	NA	0.32	0.37	0.43
1771	0.29	0.42	0.38	NA	NA	0.52	0.74	0.56
1772	0.13	0.44	0.25	NA	NA	0.51	0.62	0.75
1773	0.21	0.46	0.31	NA	NA	0.54	0.69	0.95
1774	0.22	0.38	0.14	NA	NA	0.55	0.69	0.72
1775	0.21	0.37	0.2	NA	NA	0.59	0.65	0.62
1776	0.13	0.21	0.1	NA	NA	0.65	0.64	0.49
1777	0.23	0.29	0.3	NA	NA	0.48	0.6	0.56
1778	0.25	0.45	0.46	NA	NA	0.54	0.83	0.63
1779	0.07	0.15	0.13	NA	NA	0.22	0.31	0.19
1780	0.06	0.15	0.1	NA	NA	0.24	0.4	0.34
1781	0.19	0.47	0.33	NA	NA	0.54	0.74	0.6
1782	0.15	0.31	0.45	NA	NA	0.53	0.85	0.52
1783	0.15	0.25	0.38	NA	NA	0.49	0.87	0.57
1784	0.15	0.27	0.37	NA	NA	0.53	1	0.6
1785	0.17	0.4	0.38	NA	NA	0.54	0.97	0.46
1786	0.12	0.21	0.34	NA	NA	0.44	0.65	0.35
1787	0.12	0.21	0.31	NA	NA	0.51	0.65	0.36
1788	0.2	0.25	0.21	NA	NA	0.46	0.72	0.4
1789	0.23	0.34	0.34	NA	NA	0.67	1.12	0.92
1790	0.17	0.2	0.21	NA	NA	0.37	0.42	0.53
1791	0.23	0.24	0.31	NA	NA	0.45	0.46	0.69
1792	0.35	0.3	0.48	NA	NA	0.52	0.52	0.85
1793	0.23	0.26	0.35	NA	NA	0.6	0.31	0.75
1794	0.18	0.13	0.2	NA	NA	0.21	0.17	0.36
1795	0.18	0.16	0.25	NA	NA	0.22	0.23	0.35
1796	0.22	0.3	0.22	NA	NA	0.29	0.33	0.33
1797	0.28	0.27	0.17	NA	NA	0.35	0.29	0.31
1798	0.29	0.32	0.47	NA	NA	0.47	0.47	0.39
1799	0.29	0.29	0.46	NA	NA	0.42	0.46	0.3
1800	0.24	0.27	0.5	NA	NA	0.33	0.42	0.29
1801	0.12	0.12	0.1	NA	NA	0.16	0.24	0.16
1802	0.29	0.31	0.32	NA	NA	0.28	0.37	0.32
1803	0.23	0.16	0.2	NA	NA	0.27	0.34	0.24
1804	0.21	0.16	0.18	NA	NA	0.3	0.26	0.21
1805	0.34	0.27	0.33	NA	NA	0.38	0.38	0.33
1806	0.23	0.18	0.16	NA	NA	0.23	0.21	0.23
1807	0.33	0.23	0.39	NA	NA	0.25	0.28	0.23
1808	0.3	0.32	0.81	NA	NA	0.36	0.4	0.17
1809	0.28	0.25	0.58	NA	NA	0.25	0.24	0.16
1810	0.39	0.26	0.69	NA	NA	0.23	0.3	0.18
1811	0.51	0.41	1.08	NA	NA	0.41	0.51	0.33
1812	0.31	0.2	0.97	NA	NA	0.24	0.33	0.23
1813	0.24	0.12	0.52	NA	NA	0.15	0.26	0.14
1814	0.26	0.13	0.57	NA	NA	0.22	0.31	0.18
1815	0.33	0.14	0.5	NA	NA	0.23	0.29	0.24
1816	0.38	0.22	0.56	NA	NA	0.33	0.36	0.32
1817	0.14	0.05	0.23	NA	NA	0.16	0.21	0.05
1818	0.1	0	0.04	NA	NA	0.12	0.1	0.05
1819	0.39	0.25	0.5	NA	NA	0.43	0.61	0.34
1820	0.38	0.21	0.47	NA	NA	0.35	0.33	0.24
1821	0.28	0.13	0.39	NA	NA	0.13	0.19	0.09
1822	0.17	0.05	0	NA	NA	0.1	0.12	0.06
1823	0.29	0.15	0.12	NA	NA	0.15	0.29	0.11
1824	0.21	0.11	0.4	NA	NA	0.12	0.15	0.1
1825	0.32	0.14	0.07	NA	NA	0.24	0.32	0.14
1826	0.17	0.15	0.25	NA	NA	0.19	0.27	0.12
1827	0.11	0.08	0.1	NA	NA	0.19	0.26	0.13
1828	0.32	0.25	0.28	NA	NA	0.33	0.61	0.18
1829	0.22	0.12	0.17	NA	NA	0.24	0.49	0.12
1830	0.28	0.14	0.33	NA	NA	0.27	0.75	0.25
1831	0.29	0.15	0.31	NA	NA	0.23	0.42	0.21
1832	0.23	0.12	0.31	NA	NA	0.16	0.38	0.21
1833	0.32	0.22	0.45	NA	NA	0.25	0.65	0.24
1834	0.23	0.19	0.34	NA	NA	0.24	0.53	0.16
1835	0.33	0.2	0.42	NA	NA	0.3	0.49	0.2
1836	0.21	0.24	0.29	NA	NA	0.35	0.55	0.15
1837	0.02	0	0.03	NA	NA	0	0.07	0
1838	0.17	0.19	0.27	NA	NA	0.22	0.33	0.13
1839	0.17	0.2	0.22	NA	NA	0.32	0.5	0.21
1840	0.22	0.18	0.16	NA	0.25	0.23	0.38	0.2
1841	0.09	0.06	0.13	NA	0.05	0.06	0.2	0.05
1842	0.27	0.2	0.34	NA	0.25	0.37	0.55	0.23
1843	0.29	0.29	0.26	NA	0.25	0.38	0.43	0.25
1844	0.21	0.16	0.17	NA	0.25	0.24	0.29	0.15
1845	0.38	0.24	0.33	NA	0.44	0.4	0.4	0.21
1846	0.32	0.22	0.33	NA	0.38	0.32	0.34	0.31
1847	0.37	0.23	0.37	NA	0.37	0.3	0.31	0.3
1848	0.26	0.09	0.26	NA	0.32	0.24	0.21	0.13
1849	0.23	0.1	0.1	NA	0.21	0.18	0.24	0.11
