# Hughes - Khillanmarg - ABPI - ITRDB INDI003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3569
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3569.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; indi003e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/indi003e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hughes - Khillanmarg - ABPI - ITRDB INDI003
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Khillanmarg
#   Location: Jammu and Kashmir
#   Northernmost_Latitude: 35.08
#   Southernmost_Latitude: 35.08
#   Easternmost_Longitude: 74.33
#   Westernmost_Longitude: 74.33
#   Elevation_m: 3125
#--------------------
# Data_Collection
#   Collection_Name: INDI003
#   First_Year: 1608
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies pindrow (Royle ex D. Don) Royle
#   Common_Name: Himalayan silver fir
#   Tree_Species_Code: ABPI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## K3080_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3079_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3079; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3077_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3077; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3074_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3074; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3072_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3071_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3070_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3073_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3073; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3075_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3075; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3076_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3076; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3081_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	K3080_raw	K3079_raw	K3077_raw	K3074_raw	K3072_raw	K3071_raw	K3070_raw	K3073_raw	K3075_raw	K3076_raw	K3081_raw
1755	1.11	1.62	NA	NA	NA	0.6	0.36	NA	2.01	NA	NA
1756	1.77	1.86	NA	NA	NA	0.63	0.57	NA	1.5	NA	NA
1757	1.32	1.71	NA	NA	NA	0.81	0.66	NA	1.5	NA	NA
1758	1.38	1.71	NA	NA	NA	0.69	0.57	NA	1.38	NA	NA
1759	2.04	2.22	NA	NA	NA	1.26	0.6	NA	1.56	NA	NA
1760	1.62	2.1	NA	NA	NA	1.02	0.87	NA	1.5	NA	NA
1761	1.77	2.34	NA	NA	NA	0.66	1.23	NA	1.02	NA	NA
1762	1.38	1.65	NA	NA	NA	0.54	0.75	NA	0.99	NA	NA
1763	1.5	1.44	NA	NA	NA	0.87	0.78	NA	1.02	NA	NA
1764	1.62	1.8	NA	NA	NA	0.96	0.99	NA	0.99	NA	NA
1765	1.44	1.92	NA	NA	NA	1.05	1.17	NA	1.23	NA	NA
1766	1.68	1.98	NA	NA	NA	1.38	0.6	NA	1.83	NA	NA
1767	1.5	1.83	NA	NA	NA	1.08	0.75	NA	1.59	NA	NA
1768	1.41	1.29	NA	NA	NA	1.32	0.6	NA	1.08	NA	NA
1769	1.5	1.8	NA	NA	NA	1.2	1.35	NA	1.5	NA	NA
1770	1.32	1.53	NA	NA	NA	1.08	1.5	NA	1.26	NA	NA
1771	1.29	1.44	NA	NA	NA	1.29	1.11	NA	0.87	NA	NA
1772	1.59	1.59	NA	NA	NA	1.2	0.84	NA	0.75	NA	NA
1773	1.29	1.35	NA	NA	NA	1.2	0.99	NA	2.22	NA	NA
1774	1.23	1.14	NA	NA	NA	0.36	0.6	NA	1.56	NA	NA
1775	1.38	1.17	NA	NA	NA	1.11	0.81	NA	2.58	NA	NA
1776	1.11	1.65	NA	NA	NA	1.26	0.81	NA	2.58	NA	NA
1777	1.38	1.35	NA	NA	NA	0.75	0.66	NA	2.34	NA	NA
1778	1.2	1.2	NA	NA	NA	0.51	0.93	NA	2.43	NA	NA
1779	1.74	1.59	NA	NA	NA	0	1.23	NA	2.07	NA	NA
1780	1.44	1.14	NA	NA	NA	0	0.66	NA	1.35	NA	NA
1781	1.38	1.08	NA	NA	NA	0	0.63	NA	1.08	NA	NA
1782	1.29	1.17	NA	NA	NA	0	0.33	NA	1.26	NA	NA
1783	1.62	1.56	NA	NA	NA	0	0.57	NA	1.86	NA	NA
1784	1.41	1.5	NA	NA	NA	0	0.75	NA	1.83	NA	NA
1785	1.14	1.17	NA	NA	NA	0	0.6	NA	1.83	NA	0.99
1786	1.2	1.23	NA	NA	NA	0	0.63	NA	1.89	NA	0.9
1787	1.05	1.2	NA	NA	NA	0	1.11	NA	1.35	NA	0.87
1788	1.23	1.53	NA	NA	NA	0	1.02	NA	1.38	NA	0.9
1789	1.02	1.86	NA	NA	NA	0	1.05	NA	1.62	NA	0.9
1790	1.17	1.59	NA	NA	NA	0	1.11	NA	0.9	NA	0.72
1791	1.26	1.74	NA	NA	NA	1.2	0.87	NA	0.96	NA	0.75
1792	1.14	1.74	NA	NA	NA	1.32	0.96	NA	1.32	NA	0.63
1793	1.14	1.86	NA	NA	NA	1.02	0.69	NA	1.32	NA	0.75
1794	1.08	1.26	NA	NA	NA	0.87	0.63	NA	1.17	NA	0.54
1795	1.32	1.47	NA	NA	NA	0.93	0.6	NA	2.13	NA	0.57
1796	1.17	1.83	NA	NA	NA	0.99	0.72	NA	2.85	NA	0.84
1797	1.08	1.68	NA	NA	NA	0.9	0.87	NA	2.58	NA	1.05
1798	0.96	1.83	NA	NA	NA	0.75	0.78	NA	2.04	NA	1.14
1799	1.38	1.38	NA	NA	NA	0.93	0.87	NA	2.04	NA	1.17
1800	1.17	1.65	NA	NA	NA	0.72	0.78	NA	1.95	NA	1.41
1801	1.5	1.5	NA	NA	NA	0.72	0.75	NA	1.65	NA	0.81
1802	1.17	1.26	NA	NA	NA	0.48	0.39	NA	0.81	NA	0.93
1803	1.05	1.32	NA	NA	NA	0.54	0.57	NA	1.44	NA	0.66
1804	0.93	1.08	NA	NA	NA	0.66	0.57	NA	1.41	NA	0.81
1805	1.26	1.05	NA	NA	NA	0.81	0.69	NA	2.31	NA	1.08
1806	1.2	0.84	NA	NA	NA	0.75	0.72	NA	1.98	NA	0.96
1807	1.23	0.75	NA	NA	NA	0.81	0.78	NA	1.83	NA	1.38
1808	0.9	0.57	NA	NA	NA	0.99	0.9	NA	2.13	NA	1.29
1809	0.81	0.72	NA	NA	NA	0.69	0.63	NA	1.59	NA	1.47
1810	0.66	1.05	NA	NA	NA	1.17	1.08	NA	1.53	NA	1.35
1811	0.75	0.96	NA	NA	NA	1.08	1.02	NA	1.56	NA	1.41
1812	0.93	1.17	NA	NA	NA	1.14	1.02	NA	1.77	NA	1.62
1813	0.96	1.5	NA	NA	NA	1.05	1.14	NA	1.56	NA	1.47
1814	1.17	1.47	NA	NA	NA	1.2	1.17	NA	2.04	NA	1.05
1815	1.29	1.74	NA	NA	NA	1.17	0.75	NA	1.65	NA	1.08
1816	1.77	2.4	NA	NA	NA	1.65	1.23	NA	1.92	NA	1.17
1817	1.53	2.31	NA	NA	NA	1.56	1.05	NA	1.65	NA	1.14
1818	1.38	1.77	NA	NA	NA	1.17	1.02	NA	1.23	NA	0.99
1819	1.65	1.86	NA	NA	NA	0.84	1.53	NA	0.99	NA	0.81
1820	1.65	1.71	NA	NA	NA	0.6	0.75	NA	0.78	NA	1.05
1821	1.47	1.53	NA	NA	NA	0.75	1.17	NA	0.78	NA	0.93
1822	1.11	0.87	NA	NA	NA	0.54	0.6	NA	0.57	NA	0.81
1823	1.08	0.6	NA	NA	NA	0.36	0.45	NA	0.48	NA	0.66
1824	1.29	0.57	NA	NA	NA	0.36	0.6	NA	0.63	NA	0.78
1825	1.35	0.66	NA	1.47	NA	0.45	0.66	NA	0.72	NA	1.32
1826	1.41	0.84	NA	1.5	NA	0.36	0.75	NA	0.84	NA	1.05
1827	1.44	0.69	NA	1.44	NA	0.69	0.69	NA	1.05	NA	0.66
1828	1.29	0.75	NA	1.62	NA	0.93	0.81	NA	1.41	NA	0.96
1829	1.29	0.87	NA	1.5	NA	1.05	0.84	NA	1.98	NA	1.05
1830	1.29	0.69	NA	1.56	NA	1.11	0.93	NA	3.87	NA	1.23
1831	0.87	0.54	NA	1.32	NA	0.99	1.11	NA	1.62	NA	1.11
1832	1.05	0.66	NA	1.62	NA	1.05	0.96	NA	1.5	NA	1.11
1833	1.23	0.57	NA	1.29	NA	0.57	0.84	NA	0.84	NA	1.11
1834	1.41	0.72	NA	1.38	NA	0.99	1.11	NA	1.11	NA	1.02
1835	1.44	0.96	NA	1.44	NA	1.17	1.71	NA	1.62	NA	1.14
1836	1.68	1.2	NA	1.47	NA	1.41	1.29	NA	1.71	NA	1.26
1837	1.62	1.29	NA	2.04	NA	1.65	1.47	NA	2.31	NA	1.35
1838	1.77	1.32	NA	1.53	NA	1.62	1.53	NA	2.43	NA	1.56
1839	1.59	1.14	NA	1.14	NA	1.29	1.23	NA	1.77	NA	1.29
1840	1.74	0.93	NA	1.86	NA	1.14	1.08	NA	2.28	NA	1.2
1841	1.53	0.96	NA	1.14	NA	1.2	1.44	NA	1.86	NA	0.99
1842	1.62	1.11	NA	0.72	NA	1.32	0.9	NA	2.04	NA	1.05
1843	1.92	1.08	NA	1.38	NA	1.11	1.11	NA	2.49	NA	0.96
1844	1.38	0.96	NA	1.89	NA	0.81	1.02	NA	2.1	NA	1.35
1845	1.77	1.11	0.81	1.17	NA	0.93	1.11	NA	2.1	0.63	1.2
1846	1.56	0.87	0.54	1.56	NA	0.9	1.02	NA	2.1	1.08	1.08
1847	1.38	0.93	1.11	1.95	NA	0.75	0.75	NA	1.98	0.69	0.96
1848	1.5	1.2	1.71	1.71	NA	0.81	0.63	NA	2.55	0.9	1.14
1849	1.47	0.99	1.65	1.47	NA	0.96	0.63	NA	3.3	1.02	1.02
1850	1.47	1.26	1.32	1.89	NA	0.66	0.63	NA	2.79	0.87	0.93
1851	1.65	1.44	1.14	1.32	NA	0.9	0.9	NA	3.24	1.05	0.87
1852	1.29	1.2	1.47	1.14	NA	1.02	0.72	NA	2.73	0.93	0.87
1853	1.38	1.08	1.23	1.92	NA	0.93	0.78	NA	2.85	0.9	0.72
1854	1.53	1.14	1.35	1.56	NA	0.96	0.96	NA	2.46	1.02	0.72
1855	1.41	1.14	1.5	1.62	NA	0.75	0.9	NA	1.71	1.05	0.72
1856	1.2	1.2	1.53	1.74	NA	0.75	0.72	NA	2.1	0.81	0.63
1857	1.32	1.29	1.11	0.93	0.78	0.72	0.69	NA	1.29	0.66	0.66
1858	1.29	1.38	1.05	1.17	1.35	0.81	0.93	NA	1.08	0.63	0.72
1859	1.23	1.11	1.02	1.26	1.53	0.72	0.78	NA	0.96	0.72	0.6
1860	1.38	1.17	0.78	1.2	1.8	0.72	1.11	NA	0.93	0.63	0.66
1861	0.69	0.72	0.75	0.84	1.38	0.69	0.69	NA	0.72	0.6	0.66
1862	0.9	0.66	1.05	1.38	1.68	0.69	0.45	NA	1.14	0.96	0.63
1863	1.35	0.6	0.99	1.62	0.96	0.6	0.36	NA	1.17	0.9	0.63
1864	1.32	0.84	1.17	1.23	1.32	0.6	0.6	NA	1.17	0.78	0.78
1865	1.29	0.93	1.2	0.93	1.26	0.63	0.51	NA	0.78	0.87	0.78
1866	1.26	0.87	1.2	1.5	1.29	0.78	0.57	NA	1.26	0.9	0.81
1867	1.11	0.9	1.47	1.35	1.17	0.78	0.72	NA	1.23	0.9	0.93
1868	1.08	0.87	2.01	1.89	1.5	0.63	0.78	NA	1.77	1.14	0.75
1869	1.05	0.81	2.1	1.86	1.83	0.63	0.84	NA	1.89	1.35	1.44
1870	1.11	0.84	1.8	1.86	1.98	0.72	0.75	NA	1.89	1.02	1.35
1871	1.02	0.84	1.59	2.31	1.89	1.02	0.72	NA	1.92	0.72	1.14
1872	0.93	0.75	1.65	1.35	0.9	0.93	0.66	NA	1.89	1.23	1.02
1873	1.23	1.08	2.37	1.65	0.93	0.78	0.57	NA	1.8	1.41	1.29
