# Hughes - Nanjan - LAGM - ITRDB RUSS189
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3573
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3573.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ189-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ189-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ189.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ189.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Nanjan - LAGM - ITRDB RUSS189
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nanjan
#   Location: Sakha
#   Northernmost_Latitude: 69.45
#   Southernmost_Latitude: 69.45
#   Easternmost_Longitude: 150.25
#   Westernmost_Longitude: 150.25
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS189
#   First_Year: 1500
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NAN01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN45A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN45A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN45B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN45B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NAN01_raw	NAN02A_raw	NAN02B_raw	NAN031_raw	NAN041_raw	NAN051_raw	NAN06_raw	NAN07_raw	NAN081_raw	NAN45A_raw	NAN45B_raw
1574	NA	0.34	NA	0.26	NA	NA	NA	NA	NA	NA	NA
1575	NA	0.49	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1576	NA	0.08	NA	0.13	NA	NA	NA	NA	NA	NA	NA
1577	NA	0.25	NA	0.22	NA	NA	NA	NA	NA	NA	NA
1578	NA	0.33	NA	0.43	NA	NA	NA	NA	NA	NA	NA
1579	NA	0.37	NA	0.26	NA	NA	NA	NA	NA	NA	NA
1580	NA	0.19	NA	0.15	NA	NA	NA	NA	NA	NA	NA
1581	NA	0.31	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1582	NA	0.1	NA	0.18	NA	NA	NA	NA	NA	NA	NA
1583	NA	0.18	NA	0.19	NA	NA	NA	NA	NA	NA	NA
1584	NA	0.17	NA	0.28	NA	NA	NA	NA	NA	NA	NA
1585	NA	0.06	NA	0.08	NA	NA	NA	0.19	NA	NA	NA
1586	NA	0.18	NA	0.13	NA	NA	NA	0.74	NA	NA	NA
1587	NA	0.26	NA	0.15	NA	NA	NA	0.68	NA	NA	NA
1588	NA	0.31	NA	0.2	NA	NA	NA	0.55	NA	NA	NA
1589	NA	0.25	NA	0.14	NA	NA	NA	0.28	NA	NA	NA
1590	NA	0.47	NA	0.25	NA	NA	NA	0.46	NA	NA	NA
1591	NA	0.51	NA	0.29	NA	NA	NA	0.65	NA	NA	NA
1592	NA	0.19	NA	0.33	NA	NA	NA	0.58	NA	NA	NA
1593	NA	0.13	NA	0.37	NA	NA	NA	0.65	NA	NA	NA
1594	NA	0.27	NA	0.34	NA	NA	NA	0.75	NA	NA	NA
1595	NA	0.37	NA	0.5	NA	NA	NA	0.94	NA	NA	NA
1596	NA	0.14	NA	0.24	NA	NA	NA	0.96	0.48	NA	NA
1597	NA	0.15	NA	0.31	NA	NA	NA	0.59	0.42	NA	NA
1598	NA	0.29	NA	0.51	NA	NA	NA	0.92	0.73	NA	NA
1599	NA	0.33	NA	0.44	NA	NA	NA	1.46	0.79	NA	NA
1600	NA	0.6	NA	0.78	NA	NA	NA	1.32	0.87	NA	NA
1601	0.11	0.38	NA	0.43	NA	NA	NA	0.56	0.45	NA	NA
1602	0.06	0.31	NA	0.57	NA	NA	NA	0.68	0.32	NA	NA
1603	0.09	0.55	NA	1.06	NA	NA	NA	0.64	0.72	NA	NA
1604	0.08	0.5	NA	0.8	NA	NA	NA	0.71	0.83	NA	NA
1605	0.1	0.17	NA	0.25	NA	NA	NA	0.33	0.25	NA	NA
1606	0.31	0.43	NA	0.45	NA	NA	NA	0.85	0.69	NA	NA
1607	0.19	0.26	NA	0.3	NA	NA	NA	0.38	0.52	NA	NA
1608	0.32	0.22	NA	0.31	NA	NA	NA	0.39	0.6	NA	NA
1609	0.31	0.14	NA	0.2	NA	NA	NA	0.32	0.41	NA	NA
1610	0.54	0.3	NA	0.4	NA	NA	NA	0.72	0.99	NA	NA
1611	0.44	0.19	NA	0.31	NA	NA	NA	0.9	1.05	NA	NA
1612	0.46	0.3	NA	0.34	NA	NA	NA	0.98	1.41	NA	NA
1613	0.31	0.34	NA	0.33	NA	NA	NA	1.04	1.2	NA	NA
1614	0.08	0.21	NA	0.22	NA	NA	0.12	0.46	0.37	NA	NA
1615	0.22	0.45	NA	0.48	NA	NA	1.24	0.72	1.21	NA	NA
1616	0.16	0.37	NA	0.39	NA	NA	0.68	0.76	0.88	NA	NA
1617	0.27	0.41	NA	0.39	NA	NA	0.97	0.72	0.9	NA	NA
1618	0.31	0.34	NA	0.44	NA	NA	1.23	0.73	1.22	NA	NA
1619	0.13	0.26	NA	0.14	NA	NA	0.55	0.61	0.9	NA	NA
1620	0.17	0.21	NA	0.22	NA	NA	0.33	0.62	0.53	NA	NA
1621	0.15	0.12	NA	0.19	NA	NA	0.32	0.32	0.31	NA	NA
1622	0.35	0.27	NA	0.25	NA	NA	0.6	0.7	0.6	NA	NA
1623	0.3	0.26	NA	0.32	NA	NA	0.72	0.78	0.33	NA	NA
1624	0.34	0.29	NA	0.34	NA	NA	0.88	1.11	0.76	NA	NA
1625	0.39	0.32	NA	0.45	NA	NA	0.85	0.98	0.66	NA	NA
1626	0.33	0.26	NA	0.22	NA	NA	0.67	0.93	0.49	NA	NA
1627	0.24	0.1	NA	0.13	NA	NA	0.43	0.65	0.22	NA	NA
1628	0.16	0.13	NA	0.1	NA	NA	0.45	0.53	0.29	NA	NA
1629	0.34	0.25	NA	0.24	NA	NA	0.82	0.87	0.5	NA	NA
1630	0.61	0.38	NA	0.39	NA	NA	1.28	1.11	0.67	NA	NA
1631	0.63	0.24	NA	0.27	NA	NA	1.02	0.92	0.46	NA	NA
1632	0.44	0.16	NA	0.19	NA	NA	0.66	0.67	0.25	NA	NA
1633	0.62	0.22	NA	0.3	NA	NA	0.85	0.92	0.45	NA	NA
1634	0.39	0.17	NA	0.18	NA	NA	0.57	0.78	0.26	NA	NA
1635	0.41	0.09	NA	0.11	NA	NA	0.47	0.66	0.19	NA	NA
1636	0.35	0.1	NA	0.09	NA	NA	0.58	0.61	0.14	NA	NA
1637	0.39	0.07	NA	0.07	NA	NA	0.39	0.57	0.13	NA	NA
1638	0.61	0.14	NA	0.3	NA	NA	0.6	0.96	0.2	NA	NA
1639	0.3	0.17	NA	0.26	NA	NA	0.72	0.9	0.18	NA	NA
1640	0.58	0.17	NA	0.27	NA	NA	0.87	0.67	0.21	NA	NA
1641	0.68	0.12	NA	0.29	NA	NA	0.85	0.63	0.13	NA	NA
1642	0.14	0	NA	0.05	NA	NA	0.26	0.33	0.06	NA	NA
1643	0.21	0.08	NA	0.07	NA	NA	0.22	0.26	0.06	NA	NA
1644	0.71	0.16	NA	0.53	NA	NA	1.07	0.77	0.32	NA	NA
1645	0.56	0.11	NA	0.19	NA	NA	0.49	0.68	0.08	NA	NA
1646	0.72	0.18	NA	0.61	NA	NA	0.78	1.29	0.23	NA	NA
1647	1.15	0.28	NA	0.65	NA	NA	1.46	1.99	0.26	NA	NA
1648	1.05	0.24	NA	0.52	NA	NA	1.29	1.73	0.21	NA	NA
1649	0.53	0.24	NA	0.52	NA	NA	1.07	1.59	0.27	NA	NA
1650	0.82	0.27	NA	0.6	NA	NA	1.03	1.96	0.3	NA	NA
1651	1.06	0.37	NA	0.54	NA	NA	1.54	1.89	0.52	NA	NA
1652	0.8	0.22	NA	0.56	NA	NA	0.92	1.52	0.31	NA	NA
1653	0.94	0.27	NA	0.73	NA	NA	1.1	1.56	0.33	NA	NA
1654	0.51	0.15	NA	0.43	NA	NA	0.57	0.96	0.17	NA	NA
1655	0.79	0.27	NA	0.72	NA	NA	1.16	1.67	0.39	NA	NA
1656	0.47	0.2	NA	0.49	NA	NA	0.69	0.95	0.3	NA	NA
1657	0.65	0.31	NA	0.65	NA	NA	1.01	0.86	0.4	NA	NA
1658	1.02	0.41	NA	0.67	NA	NA	1.02	0.88	0.45	NA	NA
1659	0.69	0.32	NA	0.54	NA	NA	0.81	0.77	0.38	NA	NA
1660	1	0.28	NA	0.62	NA	NA	1.05	0.91	0.37	NA	NA
1661	0.46	0.18	NA	0.27	NA	NA	0.63	0.41	0.16	NA	NA
1662	0.54	0.28	NA	0.36	NA	NA	0.6	0.47	0.24	NA	NA
1663	0.36	0.15	NA	0.29	NA	NA	0.55	0.45	0.24	NA	NA
1664	0.41	0.25	NA	0.47	NA	NA	0.87	0.65	0.25	NA	NA
1665	0.5	0.16	NA	0.21	NA	NA	0.65	0.38	0.17	NA	NA
1666	0.83	0.27	NA	0.26	NA	NA	0.98	0.75	0.19	NA	NA
1667	1.33	0.36	NA	0.26	NA	NA	0.82	0.77	0.24	NA	NA
1668	0.8	0.24	NA	0.2	NA	NA	0.7	1.05	0.15	NA	NA
1669	0.7	0.26	NA	0.27	NA	NA	0.71	1.01	0.14	NA	NA
1670	0.86	0.54	NA	0.42	NA	NA	1.6	1.31	0.28	NA	NA
1671	1.13	0.41	NA	0.17	NA	NA	1.19	1.26	0.24	NA	NA
1672	1.06	0.33	NA	0.27	NA	NA	1.21	1.5	0.28	NA	NA
1673	0.69	0.27	NA	0.47	NA	NA	0.78	1.01	0.24	NA	NA
1674	0.82	0.36	NA	0.5	NA	NA	1.05	1.04	0.28	NA	NA
1675	0.21	0.06	NA	0.22	NA	NA	0.34	0.33	0.08	NA	NA
1676	0.77	0.23	NA	0.15	NA	NA	0.35	0.44	0.13	NA	NA
1677	1.02	0.33	NA	0.4	NA	NA	0.49	0.66	0.25	NA	NA
1678	0.61	0.21	NA	0.34	NA	NA	0.57	0.47	0.16	NA	NA
1679	0.47	0.15	NA	0.28	NA	NA	0.5	0.4	0.14	NA	NA
1680	0.19	0.05	NA	0.06	NA	NA	0.28	0.2	0.05	NA	NA
1681	1.19	0.23	NA	0.3	NA	NA	0.71	0.69	0.2	NA	NA
1682	1.16	0.2	NA	0.49	NA	NA	0.73	0.63	0.08	NA	NA
1683	0.66	0.21	NA	0.35	NA	NA	0.63	0.67	0.2	NA	NA
1684	0.48	0.17	NA	0.34	NA	NA	0.41	0.57	0.12	NA	NA
1685	0.5	0.23	NA	0.41	NA	NA	0.45	0.73	0.21	NA	NA
1686	0.41	0.21	NA	0.17	NA	NA	0.27	0.71	0.13	NA	NA
1687	0.33	0.21	NA	0.19	NA	NA	0.21	0.58	0.12	NA	NA
1688	0.53	0.24	NA	0.31	NA	NA	0.42	1.04	0.27	NA	NA
1689	0.51	0.24	NA	0.3	NA	NA	0.39	1.16	0.22	NA	NA
1690	0.28	0.14	NA	0.21	NA	NA	0.14	0.68	0.06	NA	NA
1691	0.99	0.41	NA	0.46	NA	NA	0.51	1.77	0.3	NA	NA
1692	0.56	0.21	NA	0.3	NA	NA	0.29	1.35	0.17	NA	NA
1693	1.45	0.41	NA	0.51	NA	NA	0.63	1.92	0.37	NA	NA
1694	0.67	0.25	NA	0.19	NA	NA	0.33	0.95	0.21	NA	NA
1695	0.24	0.03	NA	0.06	NA	NA	0.05	0.26	0	NA	NA
1696	0.56	0.13	NA	0.12	NA	NA	0.13	0.74	0.06	NA	NA
1697	1.27	0.36	NA	0.3	NA	NA	0.45	1.56	0.24	NA	NA
1698	0.52	0.18	NA	0.14	NA	NA	0.22	0.51	0.06	NA	NA
1699	0.77	0.35	NA	0.25	NA	NA	0.45	0.78	0.22	NA	NA
1700	0.64	0.27	NA	0.3	NA	NA	0.4	0.62	0.16	NA	NA
1701	0.66	0.4	NA	0.28	NA	NA	0.36	0.35	0.16	NA	NA
1702	0.66	0.28	NA	0.25	NA	NA	0.22	0.32	0.12	NA	NA
1703	0.73	0.29	NA	0.16	NA	NA	0.37	0.42	0.15	NA	NA
1704	0.6	0.29	NA	0.25	NA	NA	0.38	0.38	0.17	NA	NA
1705	0.58	0.24	NA	0.18	0.57	NA	0.27	0.33	0.18	NA	NA
1706	0.68	0.25	NA	0.13	0.36	NA	0.24	0.32	0.2	NA	NA
1707	0.64	0.33	NA	0.17	0.23	NA	0.24	0.41	0.25	NA	NA
1708	0.47	0.22	NA	0.17	0.27	NA	0.2	0.3	0.14	NA	NA
